supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.974491,-1.27818,0,0.201258,0.974491,0
SPE00100016,0.993497,-0.326256,0,0.744334,0.993497,0
SPE00100058,1.01,0.49881,0,0.620258,1.01,0
SPE00100094,1.00992,0.5069,0,0.610362,1.00992,0
SPE00100126,0.988336,-0.588942,0,0.569856,0.988336,0
SPE00100194,0.997819,-0.107623,0,0.914674,0.997819,0
SPE00100271,0.558663,-22.1058,0,0,0.558663,0
SPE00100305,0.983237,-0.848585,0,0.45505,0.983237,0
SPE00100003,0.975561,-1.22666,0,0.224348,0.975561,0
SPE00100024,1.01784,0.901987,0,0.419614,1.01784,0
SPE00100060,1.01346,0.675067,0,0.500054,1.01346,0
SPE00100096,1.01846,0.925913,0,0.355408,1.01846,0
SPE00100129,0.988999,-0.548367,0,0.588154,0.988999,0
SPE00100195,1.00374,0.188614,0,0.850688,1.00374,0
SPE00100279,0.731053,-13.4568,0,2.71446e-36,0.731053,0
SPE00100310,0.981473,-0.922346,0,0.38246,0.981473,0
SPE00100005,0.940538,-2.97037,0,0.0067437,0.940538,0
SPE00100031,0.98722,-0.647063,0,0.549372,0.98722,0
SPE00100066,1.02156,1.07988,0,0.280196,1.02156,0
SPE00100098,1.01712,0.856334,0,0.39282,1.01712,0
SPE00100139,0.991476,-0.424452,0,0.67461,0.991476,0
SPE00100201,0.992251,-0.388697,0,0.697636,0.992251,0
SPE00100280,0.965888,-1.71015,0,0.0881198,0.965888,0
SPE00100315,0.99179,-0.415046,0,0.685166,0.99179,0
SPE00100006,1.00239,0.115264,0,0.793146,1.00239,0
SPE00100034,1.00032,0.0141032,0,0.903382,1.00032,0
SPE00100068,1.0027,0.13649,0,0.891642,1.0027,0
SPE00100099,0.998483,-0.0658989,0,0.560102,0.998483,0
SPE00100140,1.00958,0.483039,0,0.63539,1.00958,0
SPE00100205,0.996191,-0.189193,0,0.850574,0.996191,0
SPE00100287,0.287498,-35.6965,0,0,0.287498,0
SPE00100318,0.989103,-0.550113,0,0.59335,0.989103,0
SPE00100008,0.970659,-1.47111,0,0.142342,0.970659,0
SPE00100047,1.00522,0.259602,0,0.796306,1.00522,0
SPE00100069,1.02649,1.32759,0,0.184432,1.02649,0
SPE00100101,0.95717,-2.14523,0,0.0319656,0.95717,0
SPE00100146,0.978782,-1.05593,0,0.329184,0.978782,0
SPE00100218,0.996782,-0.160143,0,0.873016,0.996782,0
SPE00100290,0.992772,-0.355795,0,0.733046,0.992772,0
SPE00100325,0.0667709,-46.7641,0,0,0.0667709,0
SPE00100009,0.890765,-5.47806,0,1.43894e-07,0.890765,0
SPE00100048,1.00658,0.327101,0,0.74585,1.00658,0
SPE00100076,1.00959,0.482765,0,0.632342,1.00959,0
SPE00100102,1.01361,0.682967,0,0.495828,1.01361,0
SPE00100156,0.977526,-1.13956,0,0.391448,0.977526,0
SPE00100222,0.990796,-0.461653,0,0.64452,0.990796,0
SPE00100296,0.967911,-1.61149,0,0.116488,0.967911,0
SPE00100530,0.991814,-0.414605,0,0.688598,0.991814,0
SPE00100049,1.00774,0.384533,0,0.705814,1.00774,0
SPE00100081,0.999413,-0.0371544,0,0.654664,0.999413,0
SPE00100103,1.01891,0.951614,0,0.356352,1.01891,0
SPE00100158,0.998767,-0.0576306,0,0.812172,0.998767,0
SPE00100223,0.974936,-1.25479,0,0.210034,0.974936,0
SPE00100298,0.992752,-0.35457,0,0.643916,0.992752,0
SPE00100531,0.997383,-0.130117,0,0.896638,0.997383,0
SPE00240645,0.92678,-3.67303,0,0.000397372,0.92678,0
SPE00100012,0.974832,-1.26064,0,0.207456,0.974832,0
SPE00100050,0.993776,-0.316175,0,0.759528,0.993776,0
SPE00100088,1.01569,0.787703,0,0.432534,1.01569,0
SPE00100105,1.01417,0.707533,0,0.483614,1.01417,0
SPE00100162,0.995903,-0.20131,0,0.823058,0.995903,0
SPE00100242,0.965914,-1.69819,0,0.135948,0.965914,0
SPE00100301,0.091772,-45.5123,0,0,0.091772,0
SPE00100359,0.999223,-0.0432866,0,0.80157,0.999223,0
SPE00100013,0.979223,-1.04033,0,0.29841,0.979223,0
SPE00100054,1.00228,0.112157,0,0.900668,1.00228,0
SPE00100090,1.03068,1.5415,0,0.136546,1.03068,0
SPE00100114,1.01522,0.769182,0,0.475334,1.01522,0
SPE00100173,0.997291,-0.130925,0,0.783494,0.997291,0
SPE00100254,0.980241,-0.994663,0,0.338366,0.980241,0
SPE00100303,0.991705,-0.411622,0,0.68827,0.991705,0
SPE00100360,0.993964,-0.291566,0,0.549516,0.993964,0
SPE00100014,0.970592,-1.48164,0,0.184842,0.970592,0
SPE00100056,0.996536,-0.174217,0,0.861802,0.996536,0
SPE00100093,1.00518,0.261932,0,0.795328,1.00518,0
SPE00100117,1.01974,0.977303,0,0.431604,1.01974,0
SPE00100190,1.00265,0.12252,0,0.566464,1.00265,0
SPE00100267,0.989701,-0.518562,0,0.608196,0.989701,0
SPE00100304,0.990685,-0.466375,0,0.640992,0.990685,0
SPE00100368,0.995331,-0.23131,0,0.819092,0.995331,0
SPE00100375,0.997942,-0.101581,0,0.919404,0.997942,0
SPE00100528,0.979266,-1.04595,0,0.337224,0.979266,0
SPE00100537,0.107756,-44.7097,0,0,0.107756,0
SPE00100568,1.02805,1.40711,0,0.16229,1.02805,0
SPE00100609,0.967785,-1.61215,0,0.10859,0.967785,0
SPE00102018,0.980198,-0.988199,0,0.334638,0.980198,0
SPE00200004,1.00066,0.0288464,0,0.812798,1.00066,0
SPE01500420,1.00321,0.162757,0,0.871708,1.00321,0
SPE00100378,0.99277,-0.368816,0,0.720482,0.99277,0
SPE00100455,1.02717,1.36223,0,0.174018,1.02717,0
SPE00100540,0.866551,-6.69854,0,1.55899e-09,0.866551,0
SPE00100572,1.03063,1.53947,0,0.140386,1.03063,0
SPE00100612,0.929407,-3.52937,0,0.000929982,0.929407,0
SPE00100682,1.00783,0.393241,0,0.694696,1.00783,0
SPE00102076,0.850707,-7.48769,0,1.50381e-12,0.850707,0
SPE00201606,0.877117,-6.15495,0,7.90984e-10,0.877117,0
