supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.973586,-1.04201,0,0.315396,0.973586,0
SPE00100016,0.997387,-0.113246,0,0.872536,0.997387,0
SPE00100058,1.01424,0.572679,0,0.567484,1.01424,0
SPE00100094,1.00359,0.140281,0,0.888668,1.00359,0
SPE00100126,0.99276,-0.312027,0,0.69242,0.99276,0
SPE00100194,0.983442,-0.651523,0,0.523322,0.983442,0
SPE00100271,0.853086,-5.85979,0,1.68847e-08,0.853086,0
SPE00100305,0.959155,-1.63924,0,0.102674,0.959155,0
SPE00100003,0.980705,-0.765272,0,0.447628,0.980705,0
SPE00100024,1.0186,0.762248,0,0.47144,1.0186,0
SPE00100060,1.00704,0.281786,0,0.778108,1.00704,0
SPE00100096,1.02127,0.862722,0,0.399778,1.02127,0
SPE00100129,0.984429,-0.631499,0,0.532844,0.984429,0
SPE00100195,0.99965,-0.0159675,0,0.970916,0.99965,0
SPE00100279,0.573456,-17.093,0,0,0.573456,0
SPE00100310,0.969653,-1.21833,0,0.224502,0.969653,0
SPE00100005,0.952806,-1.88743,0,0.0591286,0.952806,0
SPE00100031,1.0037,0.13193,0,0.76623,1.0037,0
SPE00100066,1.01833,0.732971,0,0.46358,1.01833,0
SPE00100098,1.02513,1.00977,0,0.31407,1.02513,0
SPE00100139,0.996958,-0.126387,0,0.899802,0.996958,0
SPE00100201,0.99207,-0.307282,0,0.762616,0.99207,0
SPE00100280,0.971227,-1.14255,0,0.25931,0.971227,0
SPE00100315,0.968869,-1.24686,0,0.212592,0.968869,0
SPE00100006,0.99196,-0.301774,0,0.72364,0.99196,0
SPE00100034,1.01387,0.552561,0,0.580906,1.01387,0
SPE00100068,1.01099,0.438757,0,0.660894,1.01099,0
SPE00100099,1.01707,0.68604,0,0.493342,1.01707,0
SPE00100140,0.988577,-0.474512,0,0.652532,0.988577,0
SPE00100205,0.999842,-0.00548785,0,0.987798,0.999842,0
SPE00100287,0.712819,-11.4893,0,1.50341e-30,0.712819,0
SPE00100318,0.969271,-1.22726,0,0.22011,0.969271,0
SPE00100008,0.963783,-1.44808,0,0.147657,0.963783,0
SPE00100047,1.01519,0.59966,0,0.553278,1.01519,0
SPE00100069,1.03297,1.33777,0,0.206874,1.03297,0
SPE00100101,0.970906,-1.16423,0,0.244334,0.970906,0
SPE00100146,0.986312,-0.548354,0,0.583484,0.986312,0
SPE00100218,1.00703,0.283115,0,0.777244,1.00703,0
SPE00100290,0.978102,-0.873492,0,0.382954,0.978102,0
SPE00100325,0.0702016,-37.311,0,0,0.0702016,0
SPE00100009,0.978287,-0.868908,0,0.384902,0.978287,0
SPE00100048,1.01708,0.677543,0,0.50048,1.01708,0
SPE00100076,1.01493,0.598686,0,0.549548,1.01493,0
SPE00100102,1.01631,0.649426,0,0.516714,1.01631,0
SPE00100156,0.983049,-0.669349,0,0.508998,0.983049,0
