supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.983359,-0.977341,0,0.328412,0.983359,0
SPE00100016,0.995306,-0.274446,0,0.785244,0.995306,0
SPE00100058,1.00409,0.238529,0,0.81312,1.00409,0
SPE00100094,1.00631,0.365963,0,0.665632,1.00631,0
SPE00100126,0.999518,-0.0271636,0,0.913314,0.999518,0
SPE00100194,0.99054,-0.555167,0,0.579034,0.99054,0
SPE00100271,0.621344,-22.2652,0,0,0.621344,0
SPE00100305,0.981549,-1.07958,0,0.3158,0.981549,0
SPE00100003,0.977971,-1.29269,0,0.198252,0.977971,0
SPE00100024,0.997555,-0.146478,0,0.782516,0.997555,0
SPE00100060,1.00513,0.301695,0,0.762964,1.00513,0
SPE00100096,1.01052,0.615389,0,0.547582,1.01052,0
SPE00100129,0.994424,-0.32936,0,0.745982,0.994424,0
SPE00100195,1.00959,0.565781,0,0.581926,1.00959,0
SPE00100279,0.856911,-8.40617,0,2.14574e-16,0.856911,0
SPE00100310,0.97383,-1.53485,0,0.132301,0.97383,0
SPE00100005,0.965734,-2.0181,0,0.0764844,0.965734,0
SPE00100031,0.993265,-0.394913,0,0.693382,0.993265,0
SPE00100066,1.02007,1.17703,0,0.24646,1.02007,0
SPE00100098,0.998877,-0.067322,0,0.896962,0.998877,0
SPE00100139,0.994625,-0.315569,0,0.75234,0.994625,0
SPE00100201,1.01239,0.728097,0,0.466682,1.01239,0
SPE00100280,0.97339,-1.56485,0,0.125356,0.97339,0
SPE00100315,0.978946,-1.23337,0,0.237686,0.978946,0
SPE00100006,1.00029,0.0160933,0,0.926408,1.00029,0
SPE00100034,1.0083,0.481079,0,0.592972,1.0083,0
SPE00100068,1.00295,0.173469,0,0.862312,1.00295,0
SPE00100099,1.0051,0.296413,0,0.775488,1.0051,0
SPE00100140,0.991431,-0.506982,0,0.634928,0.991431,0
SPE00100205,1.0036,0.212861,0,0.832936,1.0036,0
SPE00100287,0.394814,-35.5565,0,0,0.394814,0
SPE00100318,0.985,-0.874675,0,0.462362,0.985,0
SPE00100008,0.982157,-1.04622,0,0.301476,0.982157,0
SPE00100047,0.997712,-0.136708,0,0.823888,0.997712,0
SPE00100069,1.02264,1.32557,0,0.214632,1.02264,0
SPE00100101,0.947501,-3.08648,0,0.00319132,0.947501,0
SPE00100146,0.993453,-0.386784,0,0.705734,0.993453,0
SPE00100218,1.00416,0.242667,0,0.810716,1.00416,0
SPE00100290,0.989445,-0.617416,0,0.548136,0.989445,0
SPE00100325,0.0532174,-55.6086,0,0,0.0532174,0
SPE00100009,0.927885,-4.23983,0,7.65634e-05,0.927885,0
SPE00100048,1.00541,0.31663,0,0.752846,1.00541,0
SPE00100076,1.0096,0.561121,0,0.586384,1.0096,0
SPE00100102,1.00931,0.538396,0,0.491862,1.00931,0
SPE00100156,0.983692,-0.956357,0,0.343198,0.983692,0
SPE00100222,0.990849,-0.536019,0,0.595326,0.990849,0
SPE00100296,0.981519,-1.08248,0,0.29728,0.981519,0
SPE00100530,0.984487,-0.906875,0,0.402068,0.984487,0
SPE00100049,1.00683,0.398504,0,0.699674,1.00683,0
SPE00100081,1.02138,1.25592,0,0.209754,1.02138,0
SPE00100103,1.00978,0.574819,0,0.565792,1.00978,0
SPE00100158,0.998043,-0.117907,0,0.777288,0.998043,0
SPE00100223,0.992016,-0.47219,0,0.653506,0.992016,0
SPE00100298,1.00203,0.121931,0,0.804596,1.00203,0
