supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.996229,-0.215811,0,0.829136,0.996229,0
SPE00100016,0.998602,-0.0864271,0,0.860518,0.998602,0
SPE00100058,1.00884,0.475149,0,0.45703,1.00884,0
SPE00100094,0.979415,-1.17404,0,0.242332,0.979415,0
SPE00100126,0.989047,-0.621829,0,0.537286,0.989047,0
SPE00100194,0.988043,-0.689589,0,0.495642,0.988043,0
SPE00100271,0.274483,-41.5905,0,0,0.274483,0
SPE00100305,0.998123,-0.0401884,0,0.0668758,0.998123,0
SPE00100003,1.00872,0.486847,0,0.643584,1.00872,0
SPE00100024,1.00944,0.54153,0,0.588546,1.00944,0
SPE00100060,0.982248,-1.00594,0,0.330256,0.982248,0
SPE00100096,1.00385,0.217265,0,0.828508,1.00385,0
SPE00100129,1.00681,0.363894,0,0.508482,1.00681,0
SPE00100195,1.0014,0.104053,0,0.517506,1.0014,0
SPE00100279,0.540725,-26.2517,0,0,0.540725,0
SPE00100310,0.993018,-0.363745,0,0.362676,0.993018,0
SPE00100005,0.839341,-9.21534,0,9.84336e-18,0.839341,0
SPE00100031,1.0061,0.300859,0,0.207522,1.0061,0
SPE00100066,1.01142,0.633045,0,0.584572,1.01142,0
SPE00100098,0.974865,-1.46224,0,0.231208,0.974865,0
SPE00100139,0.985484,-0.828124,0,0.40839,0.985484,0
SPE00100201,1.00861,0.564959,0,0.0841192,1.00861,0
SPE00100280,0.898008,-5.81925,0,2.83518e-08,0.898008,0
SPE00100315,0.992743,-0.385418,0,0.451658,0.992743,0
SPE00100006,1.00954,0.557031,0,0.594828,1.00954,0
SPE00100034,0.9974,-0.168497,0,0.594378,0.9974,0
SPE00100068,1.00202,0.0948574,0,0.574556,1.00202,0
SPE00100099,0.990139,-0.585614,0,0.617712,0.990139,0
SPE00100140,1.01005,0.543334,0,0.45552,1.01005,0
SPE00100205,1.0175,1.03445,0,0.48061,1.0175,0
SPE00100287,0.135237,-49.5473,0,0,0.135237,0
SPE00100318,0.997009,-0.152211,0,0.611012,0.997009,0
SPE00100008,0.974838,-1.39582,0,0.420592,0.974838,0
SPE00100047,1.00973,0.515729,0,0.324438,1.00973,0
SPE00100069,1.03598,2.03149,0,0.0990768,1.03598,0
SPE00100101,0.882188,-6.76826,0,1.34099e-09,0.882188,0
SPE00100146,0.948315,-3.00117,0,0.0382798,0.948315,0
SPE00100218,0.983578,-0.965625,0,0.448736,0.983578,0
SPE00100290,0.985454,-0.814132,0,0.468258,0.985454,0
SPE00100325,0.0590977,-53.881,0,0,0.0590977,0
SPE00100009,0.766614,-13.3898,0,6.98076e-35,0.766614,0
SPE00100048,1.00811,0.475169,0,0.650456,1.00811,0
SPE00100076,1.01367,0.761502,0,0.513566,1.01367,0
SPE00100102,1.00388,0.214275,0,0.832484,1.00388,0
SPE00100156,0.993107,-0.433162,0,0.331594,0.993107,0
SPE00100222,0.990673,-0.572717,0,0.358996,0.990673,0
SPE00100296,0.988477,-0.621538,0,0.393678,0.988477,0
SPE00100530,1.00008,0.0897881,0,0.0202958,1.00008,0
SPE00100049,1.00788,0.453951,0,0.651138,1.00788,0
SPE00100081,1.00741,0.399592,0,0.53826,1.00741,0
SPE00100103,1.00343,0.173446,0,0.542324,1.00343,0
SPE00100158,0.994592,-0.324236,0,0.699104,0.994592,0
SPE00100223,0.976858,-1.34973,0,0.281706,0.976858,0
SPE00100298,1.09168,5.37293,0,0.0328966,1.09168,0
SPE00100531,0.982653,-0.917719,0,0.133973,0.982653,0
SPE00240645,0.862361,-7.87763,0,5.80562e-15,0.862361,0
SPE00100012,0.987854,-0.696229,0,0.486682,0.987854,0
SPE00100050,1.00039,0.0105731,0,0.748004,1.00039,0
SPE00100088,1.00167,0.0869735,0,0.82153,1.00167,0
SPE00100105,0.990021,-0.543575,0,0.520506,0.990021,0
SPE00100162,1.01792,1.05289,0,0.419128,1.01792,0
SPE00100242,0.922263,-4.4227,0,7.82104e-05,0.922263,0
SPE00100301,0.0729856,-53.0956,0,0,0.0729856,0
SPE00100359,1.0152,0.959532,0,0.0670358,1.0152,0
SPE00100013,0.997425,-0.179009,0,0.394196,0.997425,0
SPE00100054,1.00106,0.0594995,0,0.952572,1.00106,0
SPE00100090,1.04858,2.86729,0,0.328724,1.04858,0
SPE00100114,1.02234,1.29404,0,0.240424,1.02234,0
SPE00100173,1.02661,1.47551,0,0.422694,1.02661,0
SPE00100254,0.963689,-2.05265,0,0.085271,0.963689,0
SPE00100303,0.971369,-1.61164,0,0.193063,0.971369,0
SPE00100360,0.987181,-0.741306,0,0.469502,0.987181,0
SPE00100014,0.996574,-0.167257,0,0.439918,0.996574,0
SPE00100056,0.986747,-0.767232,0,0.457254,0.986747,0
SPE00100093,1.02877,1.65021,0,0.101728,1.02877,0
SPE00100117,0.999785,-0.0156429,0,0.927266,0.999785,0
SPE00100190,0.992508,-0.44309,0,0.682246,0.992508,0
SPE00100267,0.990478,-0.524687,0,0.634492,0.990478,0
SPE00100304,1.00591,0.327603,0,0.752764,1.00591,0
SPE00100368,0.995471,-0.252605,0,0.803578,0.995471,0
SPE00100375,0.984259,-0.87934,0,0.452876,0.984259,0
SPE00100528,0.914893,-4.86699,0,1.1391e-06,0.914893,0
SPE00100537,0.0764518,-52.8993,0,0,0.0764518,0
SPE00100568,1.07356,4.0664,1,0.413336,1.07356,0
SPE00100609,0.916388,-4.80744,0,1.90729e-05,0.916388,0
SPE00102018,0.958585,-2.35571,0,0.0261258,0.958585,0
SPE00200004,1.02364,1.33099,0,0.253198,1.02364,0
SPE01500420,0.993208,-0.399179,0,0.702118,0.993208,0
SPE00100378,0.996098,-0.224301,0,0.82261,0.996098,0
SPE00100455,1.0139,0.78761,0,0.440248,1.0139,0
SPE00100540,0.57843,-24.0933,0,0,0.57843,0
SPE00100572,0.999949,-0.00922743,0,0.86369,0.999949,0
SPE00100612,0.728859,-15.5575,0,0,0.728859,0
SPE00100682,0.992074,-0.455406,0,0.649332,0.992074,0
SPE00102076,0.67783,-18.4358,0,0,0.67783,0
SPE00201606,0.718481,-16.1804,0,5.60519e-45,0.718481,0
SPE00100423,0.978651,-1.22759,0,0.226836,0.978651,0
SPE00100458,0.997774,-0.133349,0,0.870224,0.997774,0
SPE00100541,0.906579,-5.35361,0,2.07558e-07,0.906579,0
SPE00100576,1.00264,0.14866,0,0.882082,1.00264,0
SPE00100615,1.01261,0.718871,0,0.472986,1.01261,0
SPE00100686,0.994771,-0.296713,0,0.76715,0.994771,0
SPE00102058,1.03747,2.07304,1,0.43617,1.03747,0
SPE00200010,0.965843,-1.95963,0,0.053138,0.965843,0
SPE00100424,1.01797,1.03307,0,0.30657,1.01797,0
SPE00100525,0.998638,-0.0738568,0,0.912226,0.998638,0
SPE00100551,0.974386,-1.48021,0,0.172466,0.974386,0
SPE00100580,0.968316,-1.82143,0,0.077397,0.968316,0
SPE00100616,0.920545,-4.57127,0,6.18754e-05,0.920545,0
SPE00100698,0.998214,-0.120339,0,0.622404,0.998214,0
SPE00107023,0.991993,-0.465005,0,0.647998,0.991993,0
SPE00200012,0.996432,-0.19866,0,0.844228,0.996432,0
SPE00100432,0.991787,-0.438065,0,0.430702,0.991787,0
SPE00100465,1.01084,0.618572,0,0.536444,1.01084,0
SPE00100550,1.02962,1.71829,0,0.153551,1.02962,0
SPE00100582,0.888137,-6.40041,0,1.68324e-10,0.888137,0
SPE00100618,0.988689,-0.653855,0,0.5207,0.988689,0
SPE00100719,0.845836,-8.83145,0,1.45351e-17,0.845836,0
