supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.991364,-0.363019,0,0.71713,0.991364,0
SPE00100016,1.00405,0.169076,0,0.865928,1.00405,0
SPE00100058,1.01889,0.823756,0,0.4455,1.01889,0
SPE00100094,0.991179,-0.377955,0,0.706058,0.991179,0
SPE00100126,0.990535,-0.414392,0,0.686458,0.990535,0
SPE00100194,0.991016,-0.366439,0,0.723732,0.991016,0
SPE00100271,0.0743369,-39.4043,0,0,0.0743369,0
SPE00100305,0.982354,-0.756888,0,0.453828,0.982354,0
SPE00100003,0.982117,-0.767546,0,0.448186,0.982117,0
SPE00100024,1.0207,0.899508,0,0.402222,1.0207,0
SPE00100060,1.01455,0.617982,0,0.536602,1.01455,0
SPE00100096,1.0193,0.813781,0,0.417854,1.0193,0
SPE00100129,0.989805,-0.427746,0,0.670066,0.989805,0
SPE00100195,0.993496,-0.275982,0,0.782562,0.993496,0
SPE00100279,0.693887,-12.9702,0,1.33351e-36,0.693887,0
SPE00100310,0.974451,-1.11079,0,0.319544,0.974451,0
SPE00100005,0.570897,-18.187,0,0,0.570897,0
SPE00100031,1.00924,0.373159,0,0.724896,1.00924,0
SPE00100066,1.0216,0.913326,0,0.361914,1.0216,0
SPE00100098,1.00365,0.182319,0,0.62508,1.00365,0
SPE00100139,0.995037,-0.202114,0,0.841688,0.995037,0
SPE00100201,0.994918,-0.201954,0,0.807958,0.994918,0
SPE00100280,0.885498,-4.81807,0,2.36786e-05,0.885498,0
SPE00100315,0.988824,-0.47727,0,0.633654,0.988824,0
SPE00100006,1.00518,0.213543,0,0.831932,1.00518,0
SPE00100034,1.02085,0.907454,0,0.402348,1.02085,0
SPE00100068,1.0107,0.456541,0,0.648308,1.0107,0
SPE00100099,1.02633,1.13574,0,0.281144,1.02633,0
SPE00100140,0.994309,-0.237167,0,0.813092,0.994309,0
SPE00100205,0.9932,-0.271728,0,0.76888,0.9932,0
SPE00100287,0.070541,-39.5673,0,0,0.070541,0
SPE00100318,0.991958,-0.352349,0,0.729782,0.991958,0
SPE00100008,0.977557,-0.961625,0,0.342806,0.977557,0
SPE00100047,1.00361,0.140205,0,0.816552,1.00361,0
