supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.983622,-0.82487,0,0.442788,0.983622,0
SPE00100016,0.992146,-0.399426,0,0.70393,0.992146,0
SPE00100058,1.01477,0.746262,0,0.45576,1.01477,0
SPE00100094,1.00496,0.250513,0,0.802232,1.00496,0
SPE00100126,0.991422,-0.432418,0,0.66902,0.991422,0
SPE00100194,0.982505,-0.88419,0,0.376628,0.982505,0
SPE00100271,0.314208,-34.6731,0,0,0.314208,0
SPE00100305,0.98893,-0.558612,0,0.57922,0.98893,0
SPE00100003,0.98316,-0.852348,0,0.399622,0.98316,0
SPE00100024,1.00577,0.293044,0,0.773768,1.00577,0
SPE00100060,1.00624,0.313302,0,0.762556,1.00624,0
SPE00100096,1.01882,0.950358,0,0.346296,1.01882,0
SPE00100129,1.00431,0.216713,0,0.830512,1.00431,0
SPE00100195,0.996607,-0.167874,0,0.644248,0.996607,0
SPE00100279,0.522539,-24.1407,0,0,0.522539,0
SPE00100310,0.98823,-0.593271,0,0.561906,0.98823,0
SPE00100005,0.944704,-2.79509,0,0.00519976,0.944704,0
SPE00100031,0.995472,-0.229296,0,0.81894,0.995472,0
SPE00100066,1.0042,0.207022,0,0.51765,1.0042,0
SPE00100098,1.00399,0.200814,0,0.841566,1.00399,0
SPE00100139,0.995454,-0.229217,0,0.819144,0.995454,0
SPE00100201,0.985433,-0.734634,0,0.472794,0.985433,0
SPE00100280,0.952863,-2.38633,0,0.0314154,0.952863,0
SPE00100315,0.985417,-0.732608,0,0.533226,0.985417,0
SPE00100006,0.993052,-0.35113,0,0.725502,0.993052,0
SPE00100034,1.00646,0.32693,0,0.744302,1.00646,0
SPE00100068,1.01327,0.670195,0,0.503966,1.01327,0
SPE00100099,1.01262,0.634334,0,0.563832,1.01262,0
SPE00100140,1.00187,0.0904936,0,0.587444,1.00187,0
SPE00100205,0.995014,-0.256384,0,0.586426,0.995014,0
SPE00100287,0.138928,-43.5275,0,0,0.138928,0
SPE00100318,0.983282,-0.840962,0,0.461494,0.983282,0
SPE00100008,0.982406,-0.887319,0,0.390132,0.982406,0
SPE00100047,1.01232,0.628528,0,0.548908,1.01232,0
SPE00100069,1.03353,1.69686,0,0.101369,1.03353,0
SPE00100101,0.941848,-2.94204,0,0.00542106,0.941848,0
SPE00100146,0.972516,-1.39041,0,0.170172,0.972516,0
SPE00100218,0.99757,-0.124112,0,0.866242,0.99757,0
SPE00100290,0.984693,-0.774132,0,0.439632,0.984693,0
SPE00100325,0.0578228,-47.6244,0,0,0.0578228,0
SPE00100009,0.849939,-7.58961,0,1.73262e-12,0.849939,0
SPE00100048,1.00368,0.186802,0,0.852248,1.00368,0
SPE00100076,1.02,1.01093,0,0.312066,1.02,0
SPE00100102,1.01979,0.999179,0,0.323178,1.01979,0
SPE00100156,0.984987,-0.759934,0,0.452176,0.984987,0
SPE00100222,0.983398,-0.840525,0,0.408446,0.983398,0
SPE00100296,0.979235,-1.04696,0,0.322084,0.979235,0
SPE00100530,0.980602,-0.976583,0,0.387414,0.980602,0
SPE00100049,1.00866,0.441442,0,0.670382,1.00866,0
SPE00100081,1.01716,0.867024,0,0.38612,1.01716,0
SPE00100103,0.997842,-0.110269,0,0.879524,0.997842,0
SPE00100158,1.00117,0.0611133,0,0.810184,1.00117,0
SPE00100223,0.982281,-0.898306,0,0.39747,0.982281,0
SPE00100298,1.00056,0.0264625,0,0.790672,1.00056,0
SPE00100531,0.94857,-2.60007,0,0.00952132,0.94857,0
SPE00240645,0.925744,-3.75249,0,0.000186599,0.925744,0
SPE00100012,0.990243,-0.494105,0,0.623848,0.990243,0
SPE00100050,0.994969,-0.252793,0,0.803966,0.994969,0
SPE00100088,1.01029,0.523796,0,0.64425,1.01029,0
SPE00100105,1.01045,0.528624,0,0.597594,1.01045,0
SPE00100162,1.00262,0.127328,0,0.510742,1.00262,0
SPE00100242,0.952071,-2.42695,0,0.033252,0.952071,0
SPE00100301,0.0808044,-46.4613,0,0,0.0808044,0
SPE00100359,0.970838,-1.47535,0,0.146623,0.970838,0
SPE00100013,0.987102,-0.653986,0,0.528054,0.987102,0
SPE00100054,1.00439,0.223745,0,0.797552,1.00439,0
SPE00100090,1.02766,1.40377,0,0.261494,1.02766,0
SPE00100114,1.01384,0.700757,0,0.490198,1.01384,0
SPE00100173,0.997633,-0.120751,0,0.885156,0.997633,0
SPE00100254,0.973596,-1.33351,0,0.186514,0.973596,0
SPE00100303,0.994814,-0.260237,0,0.80069,0.994814,0
SPE00100360,0.982321,-0.893183,0,0.372374,0.982321,0
SPE00100014,0.987557,-0.630002,0,0.532716,0.987557,0
