supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.912001,-2.93505,0,0.00628928,0.912001,0
SPE00100016,0.975504,-0.769802,0,0.467636,0.975504,0
SPE00100058,0.991998,-0.276694,0,0.783888,0.991998,0
SPE00100094,1.01032,0.33742,0,0.73584,1.01032,0
SPE00100126,0.982903,-0.555388,0,0.579396,0.982903,0
SPE00100194,0.985148,-0.537097,0,0.631148,0.985148,0
SPE00100271,0.997791,0.491589,1,3.00832e-07,0.997791,0
SPE00100305,0.98773,-0.396217,0,0.692634,0.98773,0
SPE00100003,0.986172,-0.364658,0,0.413614,0.986172,0
SPE00100024,0.979834,-0.688174,0,0.504374,0.979834,0
SPE00100060,0.998952,-0.023174,0,0.912844,0.998952,0
SPE00100096,0.996725,-0.137096,0,0.776626,0.996725,0
SPE00100129,0.997545,-0.0401159,0,0.693656,0.997545,0
SPE00100195,1.53019,19.2284,1,0.0440082,1.53019,0
SPE00100279,0.85838,-4.6004,0,2.32318e-05,0.85838,0
SPE00100310,0.983331,-0.56293,0,0.577586,0.983331,0
SPE00100005,0.939748,-1.99653,0,0.0485926,0.939748,0
SPE00100031,0.986472,-0.43283,0,0.667198,0.986472,0
SPE00100066,1.00776,0.279761,0,0.785702,1.00776,0
SPE00100098,1.01003,0.317688,0,0.752324,1.01003,0
SPE00100139,0.989586,-0.383838,0,0.707362,0.989586,0
SPE00100201,1.21038,7.25998,0,4.79594e-05,1.21038,0
SPE00100280,0.91025,-2.95511,0,0.00316598,0.91025,0
SPE00100315,0.991453,-0.262137,0,0.79655,0.991453,0
SPE00100006,0.97885,-0.652331,0,0.549276,0.97885,0
SPE00100034,0.984299,-0.574726,0,0.624368,0.984299,0
SPE00100068,0.994299,-0.196481,0,0.844834,0.994299,0
SPE00100099,0.981952,-0.636248,0,0.559618,0.981952,0
SPE00100140,1.00948,0.415306,0,0.35425,1.00948,0
SPE00100205,1.04634,1.74908,0,0.327004,1.04634,0
SPE00100287,0.821623,-5.93433,0,8.14358e-08,0.821623,0
SPE00100318,0.986196,-0.426736,0,0.680072,0.986196,0
SPE00100008,0.956347,-1.53802,0,0.30211,0.956347,0
SPE00100047,1.00346,0.0559293,0,0.574882,1.00346,0
SPE00100069,0.951817,-1.85052,0,0.228614,0.951817,0
SPE00100101,0.91576,-2.80851,0,0.00842734,0.91576,0
SPE00100146,0.995336,-0.0792167,0,0.472924,0.995336,0
SPE00100218,1.03095,0.956058,0,0.419172,1.03095,0
SPE00100290,1.00987,0.423869,0,0.375598,1.00987,0
SPE00100325,0.0811129,-30.5383,0,0,0.0811129,0
SPE00100009,0.884964,-3.8656,0,0.0011774,0.884964,0
SPE00100048,0.974041,-0.920043,0,0.45171,0.974041,0
SPE00100076,1.00183,0.033651,0,0.797664,1.00183,0
SPE00100102,1.01065,0.350861,0,0.725704,1.01065,0
SPE00100156,0.989255,-0.279681,0,0.492268,0.989255,0
SPE00100222,0.986354,-0.475786,0,0.645966,0.986354,0
SPE00100296,1.03793,1.38527,0,0.488114,1.03793,0
SPE00100530,0.992098,-0.234776,0,0.81368,0.992098,0
SPE00100049,0.897779,-3.46554,0,0.00742376,0.897779,0
SPE00100081,0.989188,-0.432579,0,0.493562,0.989188,0
SPE00100103,1.00047,0.0262803,0,0.916728,1.00047,0
SPE00100158,0.983708,-0.486216,0,0.664298,0.983708,0
SPE00100223,1.02357,0.805382,0,0.441028,1.02357,0
SPE00100298,1.03631,1.25772,0,0.293284,1.03631,0
SPE00100531,0.992019,-0.215557,0,0.657072,0.992019,0
SPE00240645,0.865126,-4.54641,0,0.000288318,0.865126,0
