supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.977776,-1.51935,0,0.148419,0.977776,0
SPE00100016,0.996643,-0.227157,0,0.706228,0.996643,0
SPE00100058,1.01083,0.739146,0,0.462696,1.01083,0
SPE00100094,1.0039,0.266052,0,0.790204,1.0039,0
SPE00100126,1.0059,0.402412,0,0.68972,1.0059,0
SPE00100194,0.999848,-0.0118132,0,0.791694,0.999848,0
SPE00100271,0.969056,-2.11384,0,0.0365568,0.969056,0
SPE00100305,0.970443,-2.01646,0,0.0561974,0.970443,0
SPE00100003,0.989433,-0.720663,0,0.477326,0.989433,0
SPE00100024,1.00087,0.0617663,0,0.692408,1.00087,0
SPE00100060,1.00765,0.521953,0,0.601774,1.00765,0
SPE00100096,1.01833,1.25227,0,0.212592,1.01833,0
SPE00100129,1.00483,0.32745,0,0.697672,1.00483,0
SPE00100195,1.00455,0.310686,0,0.756336,1.00455,0
SPE00100279,0.952724,-3.22724,0,0.0015396,0.952724,0
SPE00100310,0.980591,-1.32451,0,0.191112,0.980591,0
SPE00100005,0.961829,-2.60622,0,0.00928218,0.961829,0
SPE00100031,1.00446,0.306364,0,0.76946,1.00446,0
SPE00100066,1.02179,1.48836,0,0.136749,1.02179,0
SPE00100098,1.00798,0.546246,0,0.600762,1.00798,0
SPE00100139,1.00797,0.545393,0,0.59109,1.00797,0
SPE00100201,0.984411,-1.06888,0,0.4287,0.984411,0
SPE00100280,0.965139,-2.38084,0,0.0174471,0.965139,0
SPE00100315,0.980716,-1.3162,0,0.191147,0.980716,0
SPE00100006,0.986238,-0.942246,0,0.395788,0.986238,0
SPE00100034,0.999753,-0.0191908,0,0.665572,0.999753,0
SPE00100068,1.0091,0.623653,0,0.569014,1.0091,0
SPE00100099,1.00566,0.387157,0,0.701258,1.00566,0
SPE00100140,1.00294,0.201457,0,0.840756,1.00294,0
SPE00100205,1.00122,0.0826525,0,0.854404,1.00122,0
SPE00100287,1.03455,2.36163,0,0.026455,1.03455,0
SPE00100318,0.984044,-1.08826,0,0.290502,0.984044,0
SPE00100008,0.979059,-1.43069,0,0.156254,0.979059,0
SPE00100047,0.999937,-0.00420518,0,0.984352,0.999937,0
SPE00100069,1.03348,2.2793,0,0.17059,1.03348,0
SPE00100101,0.970232,-2.03213,0,0.0434526,0.970232,0
SPE00100146,0.998084,-0.133467,0,0.625284,0.998084,0
SPE00100218,0.988905,-0.756953,0,0.45274,0.988905,0
SPE00100290,0.991778,-0.563131,0,0.591106,0.991778,0
SPE00100325,0.0537691,-64.6163,0,0,0.0537691,0
SPE00100009,0.941808,-3.97727,0,0.00045389,0.941808,0
SPE00100048,1.01293,0.882295,0,0.37923,1.01293,0
SPE00100076,1.0142,0.969534,0,0.332304,1.0142,0
SPE00100102,1.00539,0.368512,0,0.713956,1.00539,0
SPE00100156,0.993026,-0.474578,0,0.650442,0.993026,0
SPE00100222,0.995754,-0.290659,0,0.773294,0.995754,0
SPE00100296,0.979239,-1.41782,0,0.156351,0.979239,0
SPE00100530,0.980137,-1.35553,0,0.18014,0.980137,0
SPE00100049,1.01646,1.12375,0,0.263078,1.01646,0
SPE00100081,1.00196,0.131153,0,0.66288,1.00196,0
SPE00100103,1.01261,0.860441,0,0.39235,1.01261,0
SPE00100158,1.00123,0.0872165,0,0.567824,1.00123,0
SPE00100223,0.992928,-0.484955,0,0.652206,0.992928,0
SPE00100298,1.00199,0.134463,0,0.813394,1.00199,0
SPE00100531,0.975667,-1.65932,0,0.126312,0.975667,0
SPE00240645,0.939747,-4.11117,0,0.000226766,0.939747,0
SPE00100012,0.972912,-1.84922,0,0.0656538,0.972912,0
SPE00100050,0.998932,-0.0729259,0,0.941866,0.998932,0
SPE00100088,1.00792,0.540227,0,0.59005,1.00792,0
SPE00100105,1.00781,0.535185,0,0.608108,1.00781,0
SPE00100162,1.01063,0.724218,0,0.487956,1.01063,0
SPE00100242,0.968968,-2.11741,0,0.043051,0.968968,0
SPE00100301,0.134964,-59.0706,0,0,0.134964,0
SPE00100359,0.979776,-1.37852,0,0.213672,0.979776,0
SPE00100013,0.97597,-1.64083,0,0.100866,0.97597,0
SPE00100054,1.00158,0.10894,0,0.808312,1.00158,0
SPE00100090,1.01158,0.7904,0,0.42932,1.01158,0
SPE00100114,1.00846,0.576592,0,0.570374,1.00846,0
