supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.986696,-0.81956,0,0.525558,0.986696,0
SPE00100016,0.995948,-0.211037,0,0.685016,0.995948,0
SPE00100058,1.01027,0.616539,0,0.555354,1.01027,0
SPE00100094,1.00455,0.25688,0,0.799024,1.00455,0
SPE00100126,0.990148,-0.56741,0,0.572774,0.990148,0
SPE00100194,0.988624,-0.675276,0,0.50836,0.988624,0
SPE00100271,0.20546,-46.4864,0,0,0.20546,0
SPE00100305,0.980122,-1.1561,0,0.247964,0.980122,0
SPE00100003,0.978927,-1.23766,0,0.221696,0.978927,0
SPE00100024,1.01207,0.716963,0,0.484902,1.01207,0
SPE00100060,1.00791,0.471519,0,0.642658,1.00791,0
SPE00100096,1.01632,0.938818,0,0.357474,1.01632,0
SPE00100129,0.995451,-0.253292,0,0.80373,0.995451,0
SPE00100195,0.994878,-0.303233,0,0.762436,0.994878,0
SPE00100279,0.498287,-29.3645,0,0,0.498287,0
SPE00100310,0.96513,-1.98267,0,0.12401,0.96513,0
SPE00100005,0.818159,-10.6659,0,8.9939e-22,0.818159,0
SPE00100031,0.999169,-0.0713254,0,0.70578,0.999169,0
SPE00100066,1.00621,0.38567,0,0.714694,1.00621,0
SPE00100098,1.00234,0.132886,0,0.894432,1.00234,0
SPE00100139,0.995501,-0.264433,0,0.791592,0.995501,0
SPE00100201,1.00277,0.164649,0,0.869386,1.00277,0
SPE00100280,0.942347,-3.37598,0,0.00108409,0.942347,0
SPE00100315,0.977501,-1.33985,0,0.228464,0.977501,0
SPE00100006,1.01062,0.596384,0,0.577822,1.01062,0
SPE00100034,0.995954,-0.230505,0,0.818374,0.995954,0
SPE00100068,1.01054,0.607349,0,0.546228,1.01054,0
SPE00100099,1.0033,0.189108,0,0.850204,1.0033,0
SPE00100140,0.992331,-0.428771,0,0.681774,0.992331,0
SPE00100205,1.00346,0.196179,0,0.845154,1.00346,0
SPE00100287,0.130809,-50.8618,0,0,0.130809,0
SPE00100318,0.978618,-1.19652,0,0.374436,0.978618,0
SPE00100008,0.968676,-1.81031,0,0.0789342,0.968676,0
SPE00100047,1.0066,0.369389,0,0.720382,1.0066,0
SPE00100069,1.02658,1.52674,0,0.151529,1.02658,0
SPE00100101,0.884539,-6.80882,0,2.17292e-08,0.884539,0
SPE00100146,0.961101,-2.28874,0,0.0311002,0.961101,0
SPE00100218,1.01213,0.689124,0,0.508996,1.01213,0
SPE00100290,0.982433,-1.03357,0,0.307798,0.982433,0
SPE00100325,0.0606804,-54.9632,0,0,0.0606804,0
SPE00100009,0.804064,-11.4532,0,8.44048e-28,0.804064,0
SPE00100048,1.00541,0.302554,0,0.767142,1.00541,0
SPE00100076,1.01474,0.837314,0,0.432206,1.01474,0
SPE00100102,1.01426,0.853203,0,0.424532,1.01426,0
SPE00100156,0.983325,-0.973277,0,0.330576,0.983325,0
SPE00100222,0.985517,-0.83659,0,0.406322,0.985517,0
SPE00100296,0.97994,-1.19544,0,0.275532,0.97994,0
SPE00100530,0.983354,-0.955998,0,0.351872,0.983354,0
SPE00100049,1.02827,1.61466,0,0.157111,1.02827,0
SPE00100081,1.0183,1.02175,0,0.426202,1.0183,0
SPE00100103,1.01849,1.06074,0,0.306724,1.01849,0
SPE00100158,0.995075,-0.292836,0,0.770684,0.995075,0
SPE00100223,0.988257,-0.683257,0,0.494508,0.988257,0
SPE00100298,0.986091,-0.778487,0,0.497172,0.986091,0
SPE00100531,0.967266,-1.86774,0,0.118745,0.967266,0
SPE00240645,0.835875,-9.54725,0,9.2918e-21,0.835875,0
SPE00100012,0.99741,-0.133081,0,0.769866,0.99741,0
SPE00100050,1.00342,0.205772,0,0.837862,1.00342,0
SPE00100088,1.00558,0.30781,0,0.767782,1.00558,0
SPE00100105,1.01175,0.697182,0,0.495056,1.01175,0
SPE00100162,0.998969,-0.0673882,0,0.903966,0.998969,0
SPE00100242,0.948552,-3.00991,0,0.00312426,0.948552,0
SPE00100301,0.068515,-54.4759,0,0,0.068515,0
