supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.914343,-2.07016,0,0.471356,0.914343,0
SPE00100016,1.04781,1.09193,0,0.336568,1.04781,0
SPE00100058,1.0036,0.111295,0,0.755534,1.0036,0
SPE00100094,0.972631,-0.534882,0,0.631306,0.972631,0
SPE00100126,1.05677,1.33549,0,0.371958,1.05677,0
SPE00100194,0.983273,-0.436562,0,0.527446,0.983273,0
SPE00100271,0.14709,-18.7345,0,0,0.14709,0
SPE00100305,0.991456,-0.250721,0,0.550748,0.991456,0
SPE00100003,0.950904,-1.03354,0,0.32204,0.950904,0
SPE00100024,1.04011,0.940172,0,0.444614,1.04011,0
SPE00100060,0.971672,-0.668329,0,0.55592,0.971672,0
SPE00100096,1.03679,0.933676,0,0.379208,1.03679,0
SPE00100129,1.06197,1.45302,0,0.340986,1.06197,0
SPE00100195,0.98357,-0.501561,0,0.22441,0.98357,0
SPE00100279,1.02673,0.577702,0,0.563534,1.02673,0
SPE00100310,1.00369,0.0619392,0,0.865666,1.00369,0
SPE00100005,0.794633,-4.31831,0,0.00118557,0.794633,0
SPE00100031,1.02704,0.664593,0,0.552936,1.02704,0
SPE00100066,1.07109,1.63422,0,0.228354,1.07109,0
SPE00100098,0.94293,-1.19435,0,0.270532,0.94293,0
SPE00100139,1.04796,1.10637,0,0.35635,1.04796,0
SPE00100201,0.988832,-0.312774,0,0.527084,0.988832,0
SPE00100280,0.764285,-5.01793,0,1.82548e-05,0.764285,0
SPE00100315,0.958037,-0.970389,0,0.405454,0.958037,0
SPE00100006,0.981791,-0.295738,0,0.371248,0.981791,0
SPE00100034,1.01786,0.425328,0,0.68976,1.01786,0
SPE00100068,1.06299,1.43082,0,0.226262,1.06299,0
SPE00100099,1.01049,0.242981,0,0.810016,1.01049,0
SPE00100140,0.984628,-0.382604,0,0.666868,0.984628,0
SPE00100205,1.00239,-0.0876371,0,0.190961,1.00239,0
SPE00100287,0.123868,-19.2289,0,0,0.123868,0
SPE00100318,1.00098,0.0254458,0,0.968138,1.00098,0
SPE00100008,0.997044,0.109459,0,0.104437,0.997044,0
SPE00100047,1.01038,0.338558,0,0.313182,1.01038,0
SPE00100069,1.06335,1.40006,0,0.17396,1.06335,0
SPE00100101,0.873078,-2.68432,0,0.021121,0.873078,0
SPE00100146,0.899838,-2.14096,0,0.0399276,0.899838,0
SPE00100218,0.995976,-0.112002,0,0.817174,0.995976,0
SPE00100290,0.995528,-0.17568,0,0.465862,0.995528,0
SPE00100325,0.0660535,-20.4998,0,0,0.0660535,0
SPE00100009,0.680552,-6.91485,0,6.69132e-12,0.680552,0
SPE00100048,1.06464,1.53145,0,0.3801,1.06464,0
SPE00100076,1.03373,0.816584,0,0.546654,1.03373,0
SPE00100102,1.02414,0.566508,0,0.601488,1.02414,0
SPE00100156,1.01538,0.341822,0,0.73324,1.01538,0
SPE00100222,0.966989,-0.772485,0,0.500982,0.966989,0
SPE00100296,1.00869,0.161282,0,0.800948,1.00869,0
SPE00100530,0.930078,-1.66985,0,0.411134,0.930078,0
SPE00100049,1.04569,1.07301,0,0.41408,1.04569,0
SPE00100081,0.92882,-1.43575,0,0.344772,0.92882,0
SPE00100103,0.986077,-0.197876,0,0.336678,0.986077,0
SPE00100158,1.00474,0.131812,0,0.78692,1.00474,0
SPE00100223,1.0242,0.482978,0,0.654754,1.0242,0
SPE00100298,1.02178,0.448933,0,0.661306,1.02178,0
SPE00100531,0.956082,-1.04261,0,0.452104,0.956082,0
SPE00240645,0.660743,-7.37496,0,2.90936e-13,0.660743,0
SPE00100012,0.941739,-1.35057,0,0.312286,0.941739,0
SPE00100050,0.980359,-0.457656,0,0.6615,0.980359,0
SPE00100088,1.06687,1.58074,0,0.364004,1.06687,0
SPE00100105,1.05559,1.31728,0,0.403836,1.05559,0
SPE00100162,1.04747,1.17913,0,0.414868,1.04747,0
SPE00100242,0.971151,-0.676324,0,0.545282,0.971151,0
SPE00100301,0.252703,-16.4487,0,0,0.252703,0
SPE00100359,1.00446,0.117996,0,0.84325,1.00446,0
SPE00100013,0.961208,-0.909325,0,0.454368,0.961208,0
SPE00100054,0.870949,-2.94688,0,0.0599846,0.870949,0
SPE00100090,1.06891,1.57312,0,0.212314,1.06891,0
SPE00100114,1.0303,0.758384,0,0.466538,1.0303,0
SPE00100173,1.01235,0.256494,0,0.798694,1.01235,0
SPE00100254,1.00584,0.037775,0,0.40323,1.00584,0
SPE00100303,0.951955,-1.06783,0,0.29964,0.951955,0
SPE00100360,0.974081,-0.601186,0,0.573944,0.974081,0
SPE00100014,1.04623,1.18872,0,0.288744,1.04623,0
SPE00100056,0.933443,-1.54791,0,0.29148,0.933443,0
SPE00100093,1.0254,0.462094,0,0.451328,1.0254,0
SPE00100117,1.01109,0.276944,0,0.742,1.01109,0
SPE00100190,1.04521,0.982052,0,0.326124,1.04521,0
SPE00100267,1.00444,0.103029,0,0.918108,1.00444,0
SPE00100304,1.02578,0.630936,0,0.577822,1.02578,0
SPE00100368,0.963289,-0.830896,0,0.430522,0.963289,0
SPE00100375,1.00941,0.202959,0,0.839176,1.00941,0
SPE00100528,0.921992,-1.68065,0,0.0946672,0.921992,0
SPE00100537,0.513271,-10.5668,0,6.62816e-26,0.513271,0
SPE00100568,1.05964,1.28833,0,0.198162,1.05964,0
SPE00100609,0.942538,-1.26204,0,0.211912,0.942538,0
SPE00102018,0.946155,-1.1691,0,0.242396,0.946155,0
SPE00200004,1.02526,0.559759,0,0.57807,1.02526,0
SPE01500420,1.06933,1.51635,0,0.13211,1.06933,0
SPE00100378,0.968392,-0.668998,0,0.508642,0.968392,0
SPE00100455,1.05964,1.28916,0,0.197705,1.05964,0
SPE00100540,0.0972865,-19.7997,0,0,0.0972865,0
SPE00100572,1.04668,1.0181,0,0.309296,1.04668,0
SPE00100612,0.359255,-14.0427,0,4.2111e-37,0.359255,0
