supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.959373,-0.49535,0,0.620482,0.959373,0
SPE00100016,1.05256,0.66629,0,0.516938,1.05256,0
SPE00100058,1.05364,0.639246,0,0.52401,1.05364,0
SPE00100094,0.764139,-2.86901,0,0.0043221,0.764139,0
SPE00100126,1.05094,0.60219,0,0.549712,1.05094,0
SPE00100194,0.952405,-0.541115,0,0.602586,0.952405,0
SPE00100271,0.148437,-10.4863,0,4.56844e-20,0.148437,0
SPE00100305,1.01493,0.175663,0,0.86067,1.01493,0
SPE00100003,0.91967,-1.00961,0,0.333064,0.91967,0
SPE00100024,1.0334,0.375232,0,0.71479,1.0334,0
SPE00100060,0.987621,-0.155816,0,0.876314,0.987621,0
SPE00100096,0.969016,-0.378292,0,0.7053,0.969016,0
SPE00100129,1.09663,1.16762,0,0.243044,1.09663,0
SPE00100195,1.05061,0.600094,0,0.55045,1.05061,0
SPE00100279,1.07531,0.870117,0,0.409642,1.07531,0
SPE00100310,0.994165,-0.0594164,0,0.929404,0.994165,0
SPE00100005,0.513455,-5.94993,0,2.07608e-08,0.513455,0
SPE00100031,0.9925,-0.0752936,0,0.902626,0.9925,0
SPE00100066,1.04805,0.585194,0,0.558564,1.04805,0
SPE00100098,0.784605,-2.63549,0,0.00996502,0.784605,0
SPE00100139,1.04902,0.620038,0,0.544136,1.04902,0
SPE00100201,0.985321,-0.202195,0,0.842692,0.985321,0
SPE00100280,0.443482,-6.84408,0,9.38412e-10,0.443482,0
SPE00100315,1.00625,0.0850061,0,0.93244,1.00625,0
SPE00100006,0.86308,-1.69238,0,0.102585,0.86308,0
SPE00100034,1.00647,0.0803357,0,0.935978,1.00647,0
SPE00100068,1.08674,1.04947,0,0.29397,1.08674,0
SPE00100099,1.02602,0.30621,0,0.760016,1.02602,0
SPE00100140,1.02274,0.253256,0,0.803032,1.02274,0
SPE00100205,1.0438,0.51331,0,0.61095,1.0438,0
SPE00100287,0.126906,-10.7427,0,3.0382e-21,0.126906,0
SPE00100318,1.04525,0.599362,0,0.580904,1.04525,0
SPE00100008,0.902355,-1.16071,0,0.252604,0.902355,0
SPE00100047,0.885784,-1.39208,0,0.165002,0.885784,0
SPE00100069,1.09242,1.15805,0,0.269014,1.09242,0
SPE00100101,0.647442,-4.25458,0,2.34922e-05,0.647442,0
SPE00100146,0.623711,-4.5442,0,6.0492e-06,0.623711,0
SPE00100218,0.902367,-1.25859,0,0.287706,0.902367,0
SPE00100290,1.06091,0.741801,0,0.458468,1.06091,0
SPE00100325,0.0908135,-11.1921,0,1.01125e-22,0.0908135,0
SPE00100009,0.40352,-7.35893,0,1.71494e-10,0.40352,0
SPE00100048,1.00487,0.0714463,0,0.92153,1.00487,0
SPE00100076,1.00313,0.0499263,0,0.924348,1.00313,0
SPE00100102,1.03469,0.429959,0,0.668184,1.03469,0
SPE00100156,1.0532,0.645775,0,0.518462,1.0532,0
SPE00100222,0.934984,-0.769021,0,0.446582,0.934984,0
SPE00100296,1.07178,0.866527,0,0.386304,1.07178,0
SPE00100530,1.00127,-0.00581568,0,0.867216,1.00127,0
SPE00100049,1.01831,0.219201,0,0.826526,1.01831,0
SPE00100081,0.682509,-3.86848,0,0.000142757,0.682509,0
SPE00100103,0.883938,-1.43109,0,0.160908,0.883938,0
SPE00100158,0.96918,-0.404709,0,0.694806,0.96918,0
SPE00100223,1.10839,1.29003,0,0.203996,1.10839,0
SPE00100298,0.99171,-0.0635509,0,0.771452,0.99171,0
SPE00100531,1.00925,0.137033,0,0.844732,1.00925,0
SPE00240645,0.490757,-6.21902,0,3.34708e-09,0.490757,0
SPE00100012,0.972077,-0.317232,0,0.75432,0.972077,0
SPE00100050,0.974049,-0.343993,0,0.737922,0.974049,0
SPE00100088,1.01538,0.204736,0,0.839484,1.01538,0
SPE00100105,1.04657,0.56197,0,0.57418,1.04657,0
SPE00100162,0.980727,-0.263193,0,0.79797,0.980727,0
SPE00100242,0.973873,-0.299667,0,0.76641,0.973873,0
SPE00100301,0.229183,-9.47062,0,2.57398e-17,0.229183,0
SPE00100359,0.981139,-0.199775,0,0.824688,0.981139,0
SPE00100013,1.03897,0.478944,0,0.632522,1.03897,0
SPE00100054,0.79398,-2.51419,0,0.0129687,0.79398,0
SPE00100090,1.08968,1.06632,0,0.291968,1.08968,0
SPE00100114,0.962733,-0.464349,0,0.644184,0.962733,0
SPE00100173,1.05872,0.664645,0,0.533996,1.05872,0
SPE00100254,0.960104,-0.487118,0,0.626352,0.960104,0
SPE00100303,0.797043,-2.5145,0,0.0210542,0.797043,0
SPE00100360,1.02375,0.285069,0,0.775636,1.02375,0
SPE00100014,0.969714,-0.363347,0,0.716442,0.969714,0
SPE00100056,0.916747,-1.04866,0,0.318838,0.916747,0
SPE00100093,1.06499,0.798444,0,0.426528,1.06499,0
SPE00100117,1.05682,0.732142,0,0.490624,1.05682,0
SPE00100190,1.0716,0.812272,0,0.45864,1.0716,0
