supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.982311,-0.77782,0,0.43773,0.982311,0
SPE00100016,0.998363,-0.080758,0,0.72217,0.998363,0
SPE00100058,1.01584,0.699967,0,0.485632,1.01584,0
SPE00100094,0.981877,-0.803553,0,0.431538,0.981877,0
SPE00100126,0.996398,-0.153889,0,0.843594,0.996398,0
SPE00100194,0.991857,-0.356084,0,0.723462,0.991857,0
SPE00100271,0.317075,-30.1386,0,0,0.317075,0
SPE00100305,0.977886,-0.964162,0,0.377274,0.977886,0
SPE00100003,0.971501,-1.26125,0,0.218876,0.971501,0
SPE00100024,1.00052,0.0223052,0,0.97974,1.00052,0
SPE00100060,1.0071,0.305435,0,0.766406,1.0071,0
SPE00100096,1.01558,0.688565,0,0.492608,1.01558,0
SPE00100129,1.0067,0.288468,0,0.781018,1.0067,0
SPE00100195,1.00552,0.253599,0,0.673424,1.00552,0
SPE00100279,0.550288,-19.8492,0,0,0.550288,0
SPE00100310,0.992137,-0.333078,0,0.600062,0.992137,0
SPE00100005,0.730889,-11.8942,0,1.29421e-25,0.730889,0
SPE00100031,0.983458,-0.757873,0,0.354834,0.983458,0
SPE00100066,0.996813,-0.146445,0,0.805806,0.996813,0
SPE00100098,1.00253,0.104443,0,0.777066,1.00253,0
SPE00100139,0.995473,-0.199482,0,0.841886,0.995473,0
SPE00100201,1.00218,0.108878,0,0.599522,1.00218,0
SPE00100280,0.969561,-1.33514,0,0.195706,0.969561,0
SPE00100315,0.978584,-0.932833,0,0.39749,0.978584,0
SPE00100006,0.98986,-0.438908,0,0.677248,0.98986,0
SPE00100034,1.01652,0.729767,0,0.466778,1.01652,0
SPE00100068,1.01238,0.538493,0,0.60558,1.01238,0
SPE00100099,0.994323,-0.26964,0,0.436924,0.994323,0
SPE00100140,0.987817,-0.541041,0,0.594148,0.987817,0
SPE00100205,1.01106,0.487171,0,0.626136,1.01106,0
SPE00100287,0.185604,-35.9211,0,0,0.185604,0
SPE00100318,0.96409,-1.57351,0,0.139695,0.96409,0
SPE00100008,0.981371,-0.815468,0,0.426398,0.981371,0
SPE00100047,0.997907,-0.0988569,0,0.784174,0.997907,0
SPE00100069,1.02714,1.20211,0,0.244946,1.02714,0
SPE00100101,0.934425,-2.89406,0,0.00444472,0.934425,0
SPE00100146,0.933351,-2.96712,0,0.043374,0.933351,0
SPE00100218,0.999929,-0.00112967,0,0.933898,0.999929,0
SPE00100290,0.9917,-0.360514,0,0.72463,0.9917,0
SPE00100325,0.0570668,-41.5729,0,0,0.0570668,0
SPE00100009,0.706098,-12.9665,0,4.67288e-35,0.706098,0
SPE00100048,0.984504,-0.679501,0,0.500856,0.984504,0
SPE00100076,1.01541,0.676755,0,0.500138,1.01541,0
SPE00100102,1.0164,0.723823,0,0.469532,1.0164,0
SPE00100156,0.98553,-0.651375,0,0.578396,0.98553,0
SPE00100222,0.982504,-0.78847,0,0.539892,0.982504,0
SPE00100296,0.990805,-0.396563,0,0.709622,0.990805,0
SPE00100530,0.956941,-1.88335,0,0.102914,0.956941,0
SPE00100049,1.02544,1.1328,0,0.312474,1.02544,0
SPE00100081,1.01057,0.460079,0,0.653932,1.01057,0
SPE00100103,1.00595,0.258413,0,0.798428,1.00595,0
SPE00100158,1.00455,0.196023,0,0.84709,1.00455,0
SPE00100223,0.981653,-0.804412,0,0.427568,0.981653,0
SPE00100298,0.990108,-0.423647,0,0.643532,0.990108,0
SPE00100531,0.949698,-2.21924,0,0.0274482,0.949698,0
SPE00240645,0.922371,-3.42511,0,0.000753118,0.922371,0
SPE00100012,0.989899,-0.450464,0,0.660258,0.989899,0
SPE00100050,1.00422,0.189411,0,0.851202,1.00422,0
SPE00100088,1.01384,0.616001,0,0.550724,1.01384,0
SPE00100105,0.998056,-0.0872938,0,0.9306,0.998056,0
SPE00100162,0.999819,-0.0135717,0,0.816418,0.999819,0
SPE00100242,0.964747,-1.55342,0,0.120322,0.964747,0
SPE00100301,0.0787991,-40.6129,0,0,0.0787991,0
SPE00100359,0.960302,-1.74224,0,0.0941906,0.960302,0
SPE00100013,0.988229,-0.521033,0,0.60405,0.988229,0
SPE00100054,1.01113,0.488258,0,0.626562,1.01113,0
SPE00100090,1.03534,1.55783,0,0.119407,1.03534,0
SPE00100114,1.01859,0.826041,0,0.426666,1.01859,0
SPE00100173,0.997378,-0.120212,0,0.848166,0.997378,0
SPE00100254,0.980179,-0.872041,0,0.383902,0.980179,0
SPE00100303,1.00339,0.152757,0,0.879744,1.00339,0
SPE00100360,0.972893,-1.18671,0,0.258954,0.972893,0
SPE00100014,0.986249,-0.600144,0,0.559654,0.986249,0
SPE00100056,1.00228,0.103906,0,0.883654,1.00228,0
SPE00100093,1.03202,1.42248,0,0.201578,1.03202,0
SPE00100117,1.01439,0.641696,0,0.54062,1.01439,0
SPE00100190,1.00332,0.143063,0,0.887196,1.00332,0
SPE00100267,0.989853,-0.456663,0,0.6727,0.989853,0
SPE00100304,0.990429,-0.419588,0,0.675972,0.990429,0
SPE00100368,0.961675,-1.67875,0,0.120934,0.961675,0
SPE00100375,0.975439,-1.09338,0,0.32365,0.975439,0
SPE00100528,0.957376,-1.89318,0,0.107557,0.957376,0
SPE00100537,0.0866545,-40.2684,0,0,0.0866545,0
SPE00100568,1.16371,7.19364,0,1.02108e-10,1.16371,0
SPE00100609,0.906239,-4.13538,0,4.4115e-05,0.906239,0
SPE00102018,1.01681,0.739683,0,0.459744,1.01681,0
SPE00200004,1.00412,0.18138,0,0.85607,1.00412,0
SPE01500420,0.982315,-0.772768,0,0.45585,0.982315,0
SPE00100378,0.959211,-1.79573,0,0.0731412,0.959211,0
SPE00100455,0.984635,-0.674258,0,0.502986,0.984635,0
SPE00100540,0.122625,-38.6826,0,0,0.122625,0
SPE00100572,1.00837,0.374068,0,0.714538,1.00837,0
SPE00100612,0.443803,-24.5263,0,0,0.443803,0
SPE00100682,0.991017,-0.404578,0,0.704702,0.991017,0
SPE00102076,0.582492,-18.4387,0,0,0.582492,0
SPE00201606,0.99058,-0.422081,0,0.685602,0.99058,0
SPE00100423,0.90111,-4.36355,0,2.16586e-05,0.90111,0
SPE00100458,0.957358,-1.8849,0,0.067211,0.957358,0
SPE00100541,0.810028,-8.36684,0,1.25441e-16,0.810028,0
SPE00100576,0.953533,-2.01934,0,0.197257,0.953533,0
SPE00100615,1.04236,1.88736,0,0.156991,1.04236,0
SPE00100686,1.00101,0.0461126,0,0.945158,1.00101,0
SPE00102058,0.991192,-0.392875,0,0.699992,0.991192,0
SPE00200010,0.931627,-3.02216,0,0.00456188,0.931627,0
SPE00100424,1.00746,0.343028,0,0.57729,1.00746,0
SPE00100525,0.975863,-1.05497,0,0.321292,0.975863,0
SPE00100551,1.00068,0.0296434,0,0.976352,1.00068,0
SPE00100580,1.01761,0.782331,0,0.448936,1.01761,0
SPE00100616,0.920612,-3.50022,0,0.000488338,0.920612,0
SPE00100698,1.00724,0.321172,0,0.74887,1.00724,0
SPE00107023,0.993143,-0.31627,0,0.577712,0.993143,0
SPE00200012,0.987589,-0.550624,0,0.586364,0.987589,0
SPE00100432,0.966669,-1.46063,0,0.16628,0.966669,0
SPE00100465,0.988893,-0.478334,0,0.666488,0.988893,0
SPE00100550,0.991604,-0.364912,0,0.72105,0.991604,0
SPE00100582,1.07137,3.15497,0,0.00328868,1.07137,0
SPE00100618,1.04393,1.93596,0,0.052904,1.04393,0
SPE00100719,0.820591,-7.91473,0,2.57112e-14,0.820591,0
SPE00107022,1.0015,0.0609274,0,0.837842,1.0015,0
SPE00201466,0.983274,-0.75003,0,0.514924,0.983274,0
SPE00100434,0.96734,-1.43849,0,0.150433,0.96734,0
SPE00100475,0.987034,-0.560711,0,0.610358,0.987034,0
SPE00100552,1.022,0.980213,0,0.37315,1.022,0
SPE00100583,1.10369,4.59178,0,0.000132051,1.10369,0
SPE00100620,0.994062,-0.266822,0,0.79424,0.994062,0
SPE00100688,0.995749,-0.199073,0,0.633116,0.995749,0
