supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.975395,-0.861252,0,0.401154,0.975395,0
SPE00100016,0.995912,-0.130246,0,0.730118,0.995912,0
SPE00100058,1.00291,0.0825367,0,0.579638,1.00291,0
SPE00100094,0.983014,-0.588633,0,0.556204,0.983014,0
SPE00100126,1.00162,0.0646536,0,0.799114,1.00162,0
SPE00100194,1.00535,0.178422,0,0.832282,1.00535,0
SPE00100271,0.411395,-20.4611,0,0,0.411395,0
SPE00100305,0.999048,-0.0169485,0,0.628848,0.999048,0
SPE00100003,0.959074,-1.44448,0,0.253938,0.959074,0
SPE00100024,0.994024,-0.202526,0,0.841152,0.994024,0
SPE00100060,1.00051,0.0158291,0,0.956882,1.00051,0
SPE00100096,1.01436,0.507389,0,0.62518,1.01436,0
SPE00100129,1.00075,0.0149624,0,0.74172,1.00075,0
SPE00100195,0.999629,-0.00483798,0,0.809158,0.999629,0
SPE00100279,0.453851,-18.9841,0,0,0.453851,0
SPE00100310,0.984223,-0.531328,0,0.63596,0.984223,0
SPE00100005,0.832466,-5.82094,0,1.28375e-08,0.832466,0
SPE00100031,0.992645,-0.271712,0,0.632626,0.992645,0
SPE00100066,1.01718,0.602337,0,0.553626,1.01718,0
SPE00100098,0.987222,-0.440224,0,0.661192,0.987222,0
SPE00100139,1.00523,0.180979,0,0.856398,1.00523,0
SPE00100201,1.00514,0.170992,0,0.83137,1.00514,0
SPE00100280,0.925755,-2.5828,0,0.0113297,0.925755,0
SPE00100315,1.00015,0.0200955,0,0.655876,1.00015,0
SPE00100006,0.985972,-0.486974,0,0.626288,0.985972,0
SPE00100034,0.993947,-0.221911,0,0.72751,0.993947,0
SPE00100068,1.00166,0.0572922,0,0.954316,1.00166,0
SPE00100099,0.993232,-0.228129,0,0.823114,0.993232,0
SPE00100140,1.00144,0.0361958,0,0.681144,1.00144,0
SPE00100205,0.99011,-0.346864,0,0.730326,0.99011,0
SPE00100287,0.190899,-28.0995,0,0,0.190899,0
SPE00100318,1.00639,0.232381,0,0.751786,1.00639,0
SPE00100008,0.997155,-0.0688238,0,0.370486,0.997155,0
SPE00100047,0.981674,-0.64166,0,0.527406,0.981674,0
SPE00100069,1.02283,0.797075,0,0.43063,1.02283,0
SPE00100101,0.900266,-3.46812,0,0.000711706,0.900266,0
SPE00100146,0.911377,-3.09567,0,0.00682384,0.911377,0
SPE00100218,0.973235,-0.935272,0,0.359068,0.973235,0
SPE00100290,0.9936,-0.224067,0,0.82302,0.9936,0
SPE00100325,0.061569,-32.5976,0,0,0.061569,0
SPE00100009,0.787807,-7.37498,0,1.32695e-12,0.787807,0
SPE00100048,0.997535,-0.0765232,0,0.787748,0.997535,0
SPE00100076,1.02203,0.759965,0,0.451488,1.02203,0
SPE00100102,1.00853,0.291779,0,0.772102,1.00853,0
SPE00100156,0.977,-0.807346,0,0.437422,0.977,0
SPE00100222,0.996853,-0.12375,0,0.663858,0.996853,0
SPE00100296,0.986795,-0.450071,0,0.66209,0.986795,0
SPE00100530,1.01699,0.599515,0,0.56666,1.01699,0
SPE00100049,0.981882,-0.62887,0,0.529444,0.981882,0
SPE00100081,0.994548,-0.184197,0,0.855454,0.994548,0
SPE00100103,0.996818,-0.108139,0,0.914086,0.996818,0
SPE00100158,1.01019,0.346961,0,0.733604,1.01019,0
SPE00100223,0.986683,-0.462106,0,0.644006,0.986683,0
SPE00100298,0.998331,-0.0621009,0,0.89988,0.998331,0
SPE00100531,0.988602,-0.39443,0,0.693408,0.988602,0
SPE00240645,0.765643,-8.11517,0,1.19373e-14,0.765643,0
SPE00100012,0.952403,-1.64827,0,0.100841,0.952403,0
SPE00100050,0.989109,-0.37938,0,0.704698,0.989109,0
SPE00100088,1.0061,0.220328,0,0.800432,1.0061,0
SPE00100105,0.998426,-0.0624828,0,0.813786,0.998426,0
SPE00100162,1.00222,0.0852126,0,0.80859,1.00222,0
SPE00100242,0.963217,-1.28112,0,0.204962,0.963217,0
SPE00100301,0.0944537,-31.4549,0,0,0.0944537,0
SPE00100359,1.0201,0.700337,0,0.48542,1.0201,0
SPE00100013,0.97697,-0.800478,0,0.423856,0.97697,0
SPE00100054,0.984129,-0.555479,0,0.582506,0.984129,0
SPE00100090,1.04438,1.5523,0,0.145808,1.04438,0
SPE00100114,1.00614,0.197094,0,0.635818,1.00614,0
SPE00100173,1.01107,0.393772,0,0.705858,1.01107,0
SPE00100254,0.964887,-1.22656,0,0.23413,0.964887,0
SPE00100303,0.977017,-0.781987,0,0.481586,0.977017,0
SPE00100360,1.02589,0.915627,0,0.422216,1.02589,0
SPE00100014,0.954275,-1.59489,0,0.121996,0.954275,0
SPE00100056,0.987106,-0.449355,0,0.653752,0.987106,0
SPE00100093,0.939577,-2.09693,0,0.0360178,0.939577,0
SPE00100117,0.998542,-0.0524991,0,0.954002,0.998542,0
SPE00100190,0.996597,-0.12338,0,0.874218,0.996597,0
SPE00100267,1.00029,0.0207734,0,0.749734,1.00029,0
SPE00100304,0.995376,-0.163329,0,0.870744,0.995376,0
