supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.966364,-1.06643,0,0.315954,0.966364,0
SPE00100016,0.992367,-0.236745,0,0.816136,0.992367,0
SPE00100058,1.01826,0.571887,0,0.573288,1.01826,0
SPE00100094,0.965328,-1.10076,0,0.316388,0.965328,0
SPE00100126,1.00704,0.223508,0,0.82397,1.00704,0
SPE00100194,1.01787,0.560466,0,0.577798,1.01787,0
SPE00100271,0.153007,-26.6933,0,0,0.153007,0
SPE00100305,0.996389,-0.0925379,0,0.27678,0.996389,0
SPE00100003,0.952771,-1.49332,0,0.151486,0.952771,0
SPE00100024,0.989471,-0.332962,0,0.73972,0.989471,0
SPE00100060,1.00085,0.0208076,0,0.757114,1.00085,0
SPE00100096,1.01904,0.601421,0,0.549282,1.01904,0
SPE00100129,1.00991,0.308508,0,0.761956,1.00991,0
SPE00100195,1.0102,0.331017,0,0.63792,1.0102,0
SPE00100279,0.545453,-14.3275,0,6.16571e-44,0.545453,0
SPE00100310,1.00608,0.205575,0,0.479568,1.00608,0
SPE00100005,0.743657,-8.10413,0,2.1534e-11,0.743657,0
SPE00100031,0.987104,-0.419397,0,0.533916,0.987104,0
SPE00100066,0.99475,-0.168918,0,0.857576,0.99475,0
SPE00100098,0.886337,-3.59395,0,0.00189974,0.886337,0
SPE00100139,0.998856,-0.0296198,0,0.74138,0.998856,0
SPE00100201,1.00896,0.282789,0,0.777394,1.00896,0
SPE00100280,0.777914,-6.98678,0,3.38354e-11,0.777914,0
SPE00100315,1.02772,0.890273,0,0.535486,1.02772,0
SPE00100006,0.987394,-0.40467,0,0.707684,0.987394,0
SPE00100034,0.982499,-0.557979,0,0.59902,0.982499,0
SPE00100068,1.00577,0.180651,0,0.856838,1.00577,0
SPE00100099,0.975752,-0.766644,0,0.448122,0.975752,0
SPE00100140,1.01346,0.421459,0,0.676024,1.01346,0
SPE00100205,1.00948,0.30082,0,0.764836,1.00948,0
SPE00100287,0.133512,-27.3058,0,0,0.133512,0
SPE00100318,1.03145,1.00802,0,0.482424,1.03145,0
SPE00100008,0.948388,-1.62976,0,0.110357,0.948388,0
SPE00100047,0.974018,-0.823201,0,0.424388,0.974018,0
SPE00100069,1.01817,0.569447,0,0.57347,1.01817,0
SPE00100101,0.720085,-8.85336,0,1.30747e-12,0.720085,0
SPE00100146,0.715231,-8.98988,0,7.40366e-16,0.715231,0
SPE00100218,0.98151,-0.579871,0,0.565378,0.98151,0
SPE00100290,1.01726,0.553086,0,0.62338,1.01726,0
SPE00100325,0.0692963,-29.3302,0,0,0.0692963,0
SPE00100009,0.487034,-16.1816,0,0,0.487034,0
SPE00100048,0.996271,-0.120982,0,0.856942,0.996271,0
SPE00100076,1.00265,0.0812761,0,0.906044,1.00265,0
SPE00100102,1.00314,0.0978552,0,0.922168,1.00314,0
SPE00100156,0.991651,-0.267554,0,0.79465,0.991651,0
SPE00100222,0.99397,-0.195023,0,0.797978,0.99397,0
SPE00100296,1.01609,0.51772,0,0.627422,1.01609,0
SPE00100530,1.03718,1.18934,0,0.419326,1.03718,0
SPE00100049,0.964599,-1.11988,0,0.276856,0.964599,0
SPE00100081,0.995827,-0.131734,0,0.895208,0.995827,0
SPE00100103,0.989183,-0.342446,0,0.733024,0.989183,0
SPE00100158,1.00516,0.153545,0,0.650508,1.00516,0
SPE00100223,0.978209,-0.689122,0,0.494984,0.978209,0
SPE00100298,1.03141,0.994057,0,0.333084,1.03141,0
SPE00100531,1.00058,0.0315002,0,0.493652,1.00058,0
SPE00240645,0.708307,-9.19815,0,1.76935e-18,0.708307,0
SPE00100012,0.896438,-3.26636,0,0.00138562,0.896438,0
SPE00100050,0.983354,-0.529245,0,0.60816,0.983354,0
SPE00100088,0.998617,-0.0455545,0,0.917834,0.998617,0
SPE00100105,0.996274,-0.115003,0,0.904034,0.996274,0
SPE00100162,1.00274,0.0862277,0,0.931286,1.00274,0
SPE00100242,0.848247,-4.78468,0,2.8768e-06,0.848247,0
SPE00100301,0.0767817,-29.0926,0,0,0.0767817,0
SPE00100359,1.02594,0.836514,0,0.469596,1.02594,0
SPE00100013,0.967375,-1.03528,0,0.336488,0.967375,0
SPE00100054,0.985118,-0.473063,0,0.64431,0.985118,0
SPE00100090,0.954542,-1.44518,0,0.239368,0.954542,0
SPE00100114,1.01281,0.403434,0,0.686634,1.01281,0
SPE00100173,1.0142,0.452756,0,0.663002,1.0142,0
SPE00100254,0.920228,-2.51403,0,0.0121012,0.920228,0
SPE00100303,0.980618,-0.608611,0,0.544788,0.980618,0
SPE00100360,1.0242,0.772646,0,0.49973,1.0242,0
SPE00100014,0.949787,-1.58686,0,0.125145,0.949787,0
SPE00100056,0.971779,-0.898027,0,0.419364,0.971779,0
SPE00100093,0.867673,-4.1785,0,0.000130568,0.867673,0
SPE00100117,1.00111,0.0338913,0,0.951126,1.00111,0
SPE00100190,1.00616,0.19461,0,0.845792,1.00616,0
SPE00100267,0.995625,-0.139297,0,0.889534,0.995625,0
SPE00100304,1.01225,0.387069,0,0.699162,1.01225,0
SPE00100368,0.98159,-0.571316,0,0.604138,0.98159,0
SPE00100375,0.974835,-0.784687,0,0.4705,0.974835,0
SPE00100528,0.829181,-5.36905,0,9.53858e-07,0.829181,0
SPE00100537,0.0845885,-28.8455,0,0,0.0845885,0
SPE00100568,1.04744,1.50134,0,0.15917,1.04744,0
SPE00100609,0.892066,-3.3915,0,0.00161529,0.892066,0
SPE00102018,0.904427,-3.00861,0,0.00275746,0.904427,0
SPE00200004,1.07373,2.32638,0,0.0223,1.07373,0
SPE01500420,1.06698,2.11316,0,0.0374052,1.06698,0
