supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100271,0.553767,-5.47009,0,5.90622e-08,0.553767,0
SPE00100305,0.937259,-0.7681,0,0.445784,0.937259,0
SPE00100002,0.9491,-0.62593,0,0.538412,0.9491,0
SPE00100194,0.988277,-0.139802,0,0.69166,0.988277,0
SPE00100126,1.00196,0.0223625,0,0.869612,1.00196,0
SPE00100094,1.0045,0.0523633,0,0.778094,1.0045,0
SPE00100016,1.01713,0.212439,0,0.814224,1.01713,0
SPE00100058,1.0279,0.344076,0,0.736158,1.0279,0
SPE00100279,0.40183,-7.33624,0,4.60316e-13,0.40183,0
SPE00100310,0.930655,-0.846308,0,0.434496,0.930655,0
SPE00100003,0.994286,-0.069582,0,0.944592,0.994286,0
SPE00100024,1.00519,0.0630186,0,0.94984,1.00519,0
SPE00100195,1.02556,0.30962,0,0.71532,1.02556,0
SPE00100129,1.05032,0.617326,0,0.537282,1.05032,0
SPE00100060,1.05645,0.69069,0,0.494578,1.05645,0
SPE00100096,1.06915,0.841069,0,0.502522,1.06915,0
SPE00100005,0.810888,-2.32201,0,0.0271588,0.810888,0
SPE00100280,0.870758,-1.58205,0,0.126637,0.870758,0
SPE00100315,0.892365,-1.31731,0,0.201374,0.892365,0
SPE00100098,0.998981,-0.0116306,0,0.930032,0.998981,0
SPE00100201,1.01895,0.230164,0,0.82223,1.01895,0
SPE00100031,1.02414,0.296479,0,0.767094,1.02414,0
SPE00100066,1.02995,0.366305,0,0.71531,1.02995,0
SPE00100139,1.03017,0.372936,0,0.721716,1.03017,0
SPE00100287,0.1813,-10.0389,0,1.17804e-23,0.1813,0
SPE00100318,0.882355,-1.44088,0,0.155104,0.882355,0
SPE00100006,0.966122,-0.413426,0,0.68528,0.966122,0
SPE00100205,0.995795,-0.0538939,0,0.812338,0.995795,0
SPE00100140,1.03982,0.488005,0,0.625668,1.03982,0
SPE00100099,1.04404,0.539285,0,0.59055,1.04404,0
SPE00100034,1.04952,0.604118,0,0.565342,1.04952,0
SPE00100068,1.09343,1.14538,0,0.252142,1.09343,0
SPE00100325,0.118933,-10.8044,0,7.2301e-27,0.118933,0
SPE00100146,0.953026,-0.575218,0,0.566284,0.953026,0
SPE00100008,0.956689,-0.525883,0,0.646152,0.956689,0
SPE00100101,0.974691,-0.310425,0,0.75625,0.974691,0
SPE00100290,1.00476,0.0583463,0,0.953472,1.00476,0
SPE00100218,1.01664,0.201771,0,0.821092,1.01664,0
SPE00100047,1.03713,0.45512,0,0.64904,1.03713,0
SPE00100069,1.06197,0.76,0,0.447368,1.06197,0
SPE00100009,0.868481,-1.61015,0,0.118343,0.868481,0
SPE00100530,0.940191,-0.736598,0,0.485442,0.940191,0
SPE00100222,0.981325,-0.230711,0,0.820282,0.981325,0
SPE00100296,0.984791,-0.181737,0,0.634406,0.984791,0
SPE00100156,1.02607,0.317488,0,0.75699,1.02607,0
SPE00100076,1.05441,0.667583,0,0.5048,1.05441,0
SPE00100102,1.08584,1.05191,0,0.293628,1.08584,0
SPE00100048,1.31951,3.9181,0,9.08568e-05,1.31951,0
SPE00240645,0.823649,-2.16515,0,0.0373976,0.823649,0
SPE00100531,0.899367,-1.23554,0,0.223004,0.899367,0
SPE00100223,0.991715,-0.101612,0,0.919066,0.991715,0
SPE00100158,0.994658,-0.0676544,0,0.826886,0.994658,0
SPE00100049,1.01198,0.145684,0,0.885,1.01198,0
SPE00100081,1.03644,0.448987,0,0.661714,1.03644,0
SPE00100103,1.05243,0.643803,0,0.521534,1.05243,0
SPE00100298,1.05889,0.718013,0,0.509712,1.05889,0
SPE00100301,0.125058,-10.7291,0,1.36408e-26,0.125058,0
SPE00100242,0.887203,-1.38528,0,0.176839,0.887203,0
SPE00100359,0.916209,-1.029,0,0.309898,0.916209,0
SPE00100012,0.928128,-0.880332,0,0.38077,0.928128,0
SPE00100162,0.988642,-0.137257,0,0.839732,0.988642,0
SPE00100105,1.01186,0.145275,0,0.88451,1.01186,0
SPE00100050,1.05585,0.686653,0,0.499726,1.05585,0
SPE00100088,1.05806,0.710861,0,0.4798,1.05806,0
SPE00100303,0.96219,-0.464689,0,0.644174,0.96219,0
SPE00100360,0.963732,-0.444709,0,0.65653,0.963732,0
SPE00100254,0.964189,-0.43955,0,0.660616,0.964189,0
SPE00100054,1.04177,0.511827,0,0.608936,1.04177,0
SPE00100173,1.0424,0.520831,0,0.604064,1.0424,0
SPE00100013,1.04368,0.539631,0,0.619846,1.04368,0
SPE00100114,1.05737,0.703232,0,0.482006,1.05737,0
SPE00100090,1.09795,1.19908,0,0.239384,1.09795,0
