supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100271,0.345258,-30.7229,0,0,0.345258,0
SPE00100305,0.953766,-2.18607,0,0.0792668,0.953766,0
SPE00100002,0.989322,-0.500916,0,0.61649,0.989322,0
SPE00100016,0.991202,-0.422104,0,0.683432,0.991202,0
SPE00100126,0.991312,-0.408632,0,0.683026,0.991312,0
SPE00100194,0.994259,-0.255521,0,0.504658,0.994259,0
SPE00100094,1.00478,0.225615,0,0.821794,1.00478,0
SPE00100058,1.00888,0.415738,0,0.678136,1.00888,0
SPE00100279,0.930696,-3.2557,0,0.00120345,0.930696,0
SPE00100310,0.961943,-1.79774,0,0.114947,0.961943,0
SPE00100003,0.98328,-0.786778,0,0.433268,0.98328,0
SPE00100129,0.9903,-0.442461,0,0.563534,0.9903,0
SPE00100195,1.00558,0.257674,0,0.800836,1.00558,0
SPE00100060,1.00613,0.277411,0,0.618048,1.00613,0
SPE00100024,1.01311,0.618769,0,0.54074,1.01311,0
SPE00100096,1.01465,0.67454,0,0.581102,1.01465,0
SPE00100005,0.756672,-11.4116,0,1.19321e-27,0.756672,0
SPE00100280,0.883074,-5.49065,0,4.29626e-08,0.883074,0
SPE00100315,0.958969,-1.93661,0,0.084054,0.958969,0
SPE00100201,0.989396,-0.49174,0,0.638038,0.989396,0
SPE00100139,1.00137,0.0721042,0,0.700588,1.00137,0
SPE00100031,1.00261,0.111499,0,0.593748,1.00261,0
SPE00100098,1.02037,0.969274,0,0.426256,1.02037,0
SPE00100066,1.27804,12.8067,1,0.239236,1.27804,0
SPE00100287,0.18672,-38.1891,0,0,0.18672,0
SPE00100318,0.968519,-1.4853,0,0.163136,0.968519,0
SPE00100205,0.987511,-0.589881,0,0.561282,0.987511,0
SPE00100140,1.00021,0.0236552,0,0.501642,1.00021,0
SPE00100006,1.0062,0.288633,0,0.774242,1.0062,0
SPE00100099,1.00646,0.301965,0,0.763082,1.00646,0
SPE00100034,1.00855,0.393115,0,0.711674,1.00855,0
SPE00100068,1.01311,0.617074,0,0.538426,1.01311,0
SPE00100325,0.0646124,-43.9311,0,0,0.0646124,0
SPE00100101,0.848613,-7.06496,1,2.9488e-07,0.848613,0
SPE00100146,0.938433,-2.86613,0,0.0470016,0.938433,0
SPE00100290,0.974666,-1.18501,0,0.246462,0.974666,0
SPE00100008,0.985344,-0.688169,0,0.491356,0.985344,0
SPE00100218,0.994109,-0.283219,0,0.753444,0.994109,0
SPE00100047,1.01142,0.533824,0,0.595624,1.01142,0
SPE00100069,1.04483,2.12344,0,0.117337,1.04483,0
SPE00100009,0.664599,-15.7282,0,0,0.664599,0
SPE00100296,0.976823,-1.09193,0,0.28353,0.976823,0
SPE00100222,0.981052,-0.893397,0,0.3801,0.981052,0
SPE00100156,0.981777,-0.854355,0,0.39365,0.981777,0
SPE00100530,0.996466,-0.166526,0,0.867802,0.996466,0
SPE00100102,1.00412,0.188251,0,0.808794,1.00412,0
SPE00100076,1.00915,0.431832,0,0.667932,1.00915,0
SPE00100048,1.01303,0.611982,0,0.540552,1.01303,0
