supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100271,0.537543,-7.48108,0,1.22675e-11,0.537543,0
SPE00100094,0.968829,-0.506033,0,0.614798,0.968829,0
SPE00100016,0.979339,-0.33273,0,0.739344,0.979339,0
SPE00100002,0.984041,-0.239884,0,0.630204,0.984041,0
SPE00100126,1.00696,0.107674,0,0.899102,1.00696,0
SPE00100194,1.01875,0.300308,0,0.764254,1.01875,0
SPE00100058,1.02488,0.393533,0,0.700304,1.02488,0
SPE00100305,1.02853,0.456532,0,0.649372,1.02853,0
SPE00100279,0.788611,-3.40409,0,0.000687762,0.788611,0
SPE00100024,0.95816,-0.677398,0,0.499848,0.95816,0
SPE00100003,0.988009,-0.187676,0,0.85299,0.988009,0
SPE00100310,0.997629,-0.0342104,0,0.908778,0.997629,0
SPE00100096,1.00171,0.0286849,0,0.97265,1.00171,0
SPE00100060,1.01995,0.31836,0,0.7512,1.01995,0
SPE00100129,1.03039,0.493295,0,0.623556,1.03039,0
SPE00100195,1.07402,1.19201,0,0.233408,1.07402,0
SPE00100005,0.850036,-2.41876,0,0.0157334,0.850036,0
SPE00100280,0.900481,-1.60259,0,0.109257,0.900481,0
SPE00100098,0.959416,-0.653397,0,0.513574,0.959416,0
SPE00100139,0.989011,-0.17274,0,0.863908,0.989011,0
SPE00100031,1.00082,0.00902874,0,0.904094,1.00082,0
SPE00100201,1.00352,0.0548271,0,0.956342,1.00352,0
SPE00100066,1.01556,0.245642,0,0.807938,1.01556,0
SPE00100315,1.0185,0.303226,0,0.764104,1.0185,0
SPE00100287,0.238342,-12.2953,0,5.63742e-32,0.238342,0
SPE00100006,0.944247,-0.885571,0,0.407776,0.944247,0
SPE00100318,0.995297,-0.0748586,0,0.940348,0.995297,0
SPE00100034,1.00475,0.0767091,0,0.938856,1.00475,0
SPE00100140,1.01287,0.212603,0,0.8335,1.01287,0
SPE00100099,1.01958,0.314618,0,0.753144,1.01958,0
SPE00100205,1.02057,0.325482,0,0.748448,1.02057,0
SPE00100068,1.0227,0.366977,0,0.71377,1.0227,0
SPE00100325,0.0757786,-14.914,0,0,0.0757786,0
SPE00100101,0.710185,-4.66738,0,3.3597e-06,0.710185,0
SPE00100008,0.95532,-0.722511,0,0.471068,0.95532,0
SPE00100146,0.978006,-0.353393,0,0.723916,0.978006,0
SPE00100290,0.991779,-0.134726,0,0.893048,0.991779,0
SPE00100047,0.995415,-0.068862,0,0.885824,0.995415,0
SPE00100069,1.0366,0.581941,0,0.570704,1.0366,0
SPE00100218,1.03704,0.60223,0,0.551496,1.03704,0
SPE00100009,0.811807,-3.03186,0,0.00244178,0.811807,0
SPE00100048,0.98275,-0.276839,0,0.782022,0.98275,0
SPE00100076,1.00056,0.00872233,0,0.99304,1.00056,0
SPE00100222,1.00168,0.0270559,0,0.978416,1.00168,0
SPE00100296,1.00552,0.0918952,0,0.927046,1.00552,0
SPE00100102,1.01162,0.189734,0,0.849882,1.01162,0
SPE00100156,1.01247,0.200274,0,0.841304,1.01247,0
SPE00100530,1.01513,0.246428,0,0.805876,1.01513,0
SPE00240645,0.672541,-5.2694,0,2.4955e-07,0.672541,0
SPE00100081,0.938052,-0.993726,0,0.32459,0.938052,0
SPE00100223,0.993774,-0.107621,0,0.835958,0.993774,0
SPE00100531,0.995623,-0.0696429,0,0.944496,0.995623,0
SPE00100103,1.00488,0.0807399,0,0.935768,1.00488,0
SPE00100049,1.01088,0.177522,0,0.859366,1.01088,0
SPE00100158,1.01378,0.221951,0,0.824356,1.01378,0
SPE00100298,1.03571,0.574482,0,0.565828,1.03571,0
SPE00100301,0.0721047,-14.972,0,0,0.0721047,0
SPE00100242,0.839599,-2.59603,0,0.0130778,0.839599,0
SPE00100012,0.932539,-1.07697,0,0.301912,0.932539,0
SPE00100162,0.98466,-0.251205,0,0.802916,0.98466,0
SPE00100050,0.99706,-0.0406017,0,0.846344,0.99706,0
SPE00100088,0.999526,-0.00522172,0,0.944766,0.999526,0
SPE00100105,1.00575,0.0939452,0,0.9252,1.00575,0
SPE00100359,1.042,0.693186,0,0.533202,1.042,0
SPE00100254,0.955098,-0.730635,0,0.47388,0.955098,0
SPE00100054,0.972085,-0.448753,0,0.653776,0.972085,0
SPE00100114,0.98302,-0.277615,0,0.782674,0.98302,0
SPE00100013,0.985598,-0.233665,0,0.815428,0.985598,0
SPE00100173,1.01318,0.217663,0,0.829636,1.01318,0
SPE00100360,1.03666,0.595109,0,0.55474,1.03666,0
SPE00100303,1.04165,0.671464,0,0.50193,1.04165,0
SPE00100090,1.07371,1.19574,0,0.243674,1.07371,0
SPE00100093,0.935584,-1.04023,0,0.299102,0.935584,0
SPE00100368,0.959908,-0.636399,0,0.540318,0.959908,0
SPE00100014,0.974551,-0.420538,0,0.687416,0.974551,0
SPE00100117,0.99766,-0.0505083,0,0.714534,0.99766,0
SPE00100056,0.998742,-0.0145111,0,0.868936,0.998742,0
