supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100271,0.0887933,-36.1007,0,0,0.0887933,0
SPE00100094,0.976869,-0.908606,0,0.387758,0.976869,0
SPE00100002,0.981606,-0.749565,0,0.478508,0.981606,0
SPE00100305,0.982819,-0.693476,0,0.554382,0.982819,0
SPE00100194,0.997278,-0.105011,0,0.903956,0.997278,0
SPE00100016,0.998296,-0.0705336,0,0.893752,0.998296,0
SPE00100126,1.00103,0.0421884,0,0.956092,1.00103,0
SPE00100058,1.01307,0.531948,0,0.588924,1.01307,0
SPE00100279,0.558127,-17.5077,0,0,0.558127,0
SPE00100024,0.98704,-0.50736,0,0.623306,0.98704,0
SPE00100310,0.992214,-0.311451,0,0.75765,0.992214,0
SPE00100003,0.991995,-0.302003,0,0.532524,0.991995,0
SPE00100129,0.992274,-0.289097,0,0.481072,0.992274,0
SPE00100195,1.00229,0.0891678,0,0.929106,1.00229,0
SPE00100096,1.01374,0.529593,0,0.57848,1.01374,0
SPE00100060,1.02334,0.941757,0,0.472838,1.02334,0
SPE00100005,0.811972,-7.43795,0,6.48592e-13,0.811972,0
SPE00100280,0.894945,-4.16384,0,3.90682e-05,0.894945,0
SPE00100201,0.983056,-0.668845,0,0.505434,0.983056,0
SPE00100098,0.984376,-0.591618,0,0.316076,0.984376,0
SPE00100315,0.986791,-0.53858,0,0.557324,0.986791,0
SPE00100139,0.992431,-0.301148,0,0.763746,0.992431,0
SPE00100031,1.0091,0.348254,0,0.625188,1.0091,0
SPE00100066,1.03897,1.56008,0,0.21551,1.03897,0
SPE00100287,0.0785492,-36.5051,0,0,0.0785492,0
SPE00100140,0.9803,-0.765494,0,0.529362,0.9803,0
SPE00100318,0.985436,-0.591762,0,0.581426,0.985436,0
SPE00100099,0.990437,-0.383403,0,0.707356,0.990437,0
SPE00100205,0.997747,-0.088779,0,0.929272,0.997747,0
SPE00100034,1.00315,0.130573,0,0.807042,1.00315,0
SPE00100006,1.00413,0.173172,0,0.674856,1.00413,0
SPE00100068,1.01652,0.650582,0,0.52097,1.01652,0
SPE00100325,0.06282,-37.1292,0,0,0.06282,0
SPE00100101,0.661687,-13.4213,0,2.10462e-35,0.661687,0
SPE00100146,0.949211,-1.98633,0,0.184749,0.949211,0
SPE00100218,0.966638,-1.32252,0,0.186804,0.966638,0
SPE00100008,0.979092,-0.834715,0,0.423988,0.979092,0
SPE00100290,0.983094,-0.658557,0,0.555716,0.983094,0
SPE00100047,1.03066,1.21969,0,0.236124,1.03066,0
SPE00100069,1.03163,1.27387,0,0.381382,1.03163,0
SPE00100009,0.776679,-8.85601,0,4.94688e-17,0.776679,0
SPE00100156,0.969731,-1.21038,0,0.284938,0.969731,0
SPE00100296,0.971261,-1.14681,0,0.285346,0.971261,0
SPE00100530,0.989919,-0.393081,0,0.704416,0.989919,0
SPE00100222,0.991928,-0.315991,0,0.755042,0.991928,0
SPE00100102,1.01439,0.577328,0,0.584262,1.01439,0
SPE00100076,1.02532,1.00479,0,0.317374,1.02532,0
SPE00100048,1.02797,1.1147,0,0.28645,1.02797,0
SPE00240645,0.819697,-7.1671,0,1.09733e-09,0.819697,0
SPE00100531,0.959685,-1.60989,0,0.166731,0.959685,0
SPE00100223,0.978718,-0.850759,0,0.423106,0.978718,0
SPE00100049,0.993315,-0.262622,0,0.793688,0.993315,0
SPE00100298,0.997795,-0.0777309,0,0.677234,0.997795,0
SPE00100158,0.999507,-0.0162957,0,0.88804,0.999507,0
SPE00100081,1.00564,0.215776,0,0.74836,1.00564,0
SPE00100103,1.02279,0.913035,0,0.410364,1.02279,0
SPE00100301,0.0754726,-36.6262,0,0,0.0754726,0
SPE00100242,0.914334,-3.39763,0,0.00091218,0.914334,0
SPE00100012,0.963188,-1.46874,0,0.186828,0.963188,0
SPE00100359,0.980071,-0.805429,0,0.526302,0.980071,0
SPE00100162,1.00457,0.181603,0,0.85597,1.00457,0
SPE00100105,1.00679,0.269773,0,0.787444,1.00679,0
SPE00100050,1.00875,0.347296,0,0.728492,1.00875,0
SPE00100088,1.00946,0.383385,0,0.72041,1.00946,0
SPE00100254,0.952904,-1.87253,0,0.0752922,0.952904,0
SPE00100013,0.983476,-0.657997,0,0.515864,0.983476,0
SPE00100173,0.988718,-0.441894,0,0.665734,0.988718,0
SPE00100114,0.999261,-0.039254,0,0.664168,0.999261,0
SPE00100360,0.999499,-0.013384,0,0.777964,0.999499,0
SPE00100054,1.00479,0.181005,0,0.709864,1.00479,0
SPE00100303,1.02172,0.864422,0,0.396344,1.02172,0
SPE00100090,1.06759,2.68712,0,0.0137049,1.06759,0
SPE00100368,0.956911,-1.72012,0,0.142042,0.956911,0
SPE00100014,0.978339,-0.874913,0,0.501428,0.978339,0
SPE00100304,0.989284,-0.427523,0,0.671926,0.989284,0
SPE00100056,0.994646,-0.203047,0,0.7018,0.994646,0
SPE00100190,1.00459,0.168072,0,0.556074,1.00459,0
SPE00100093,1.00605,0.232481,0,0.761004,1.00605,0
SPE00100267,1.00651,0.274967,0,0.47073,1.00651,0
SPE00100117,1.0093,0.370847,0,0.712442,1.0093,0
SPE00100537,0.0859082,-36.2175,0,0,0.0859082,0
SPE00100528,0.723416,-10.9657,0,1.30259e-25,0.723416,0
SPE00100609,0.907169,-3.67044,0,0.000352398,0.907169,0
SPE00102018,0.93663,-2.52573,0,0.0353076,0.93663,0
SPE00100375,0.969164,-1.23709,0,0.321402,0.969164,0
SPE00200004,1.00629,0.254287,0,0.804012,1.00629,0
SPE01500420,1.00981,0.389341,0,0.697308,1.00981,0
SPE00100568,1.01927,0.765088,0,0.445966,1.01927,0
SPE00100540,0.0830927,-36.3274,0,0,0.0830927,0
SPE00100612,0.231213,-30.4622,0,0,0.231213,0
SPE00201606,0.353741,-25.6308,0,0,0.353741,0
SPE00102076,0.598605,-15.9013,0,0,0.598605,0
SPE00100378,0.975342,-0.988016,0,0.382042,0.975342,0
SPE00100572,0.992336,-0.311204,0,0.748314,0.992336,0
SPE00100455,0.996268,-0.138556,0,0.690882,0.996268,0
SPE00100682,1.00593,0.241301,0,0.779436,1.00593,0
SPE00100541,0.765581,-9.31548,0,1.46817e-15,0.765581,0
SPE00100458,0.974803,-0.998777,0,0.318352,0.974803,0
SPE00100615,0.99177,-0.336766,0,0.654482,0.99177,0
SPE00100423,0.996226,-0.149423,0,0.88122,0.996226,0
SPE00102058,1.00408,0.162749,0,0.870918,1.00408,0
SPE00100576,1.01491,0.595586,0,0.56209,1.01491,0
SPE00100686,1.01591,0.644787,0,0.596522,1.01591,0
SPE00200010,1.02942,1.16216,0,0.24834,1.02942,0
SPE00100616,0.798358,-7.97462,0,2.62296e-14,0.798358,0
SPE00100551,0.876405,-4.89222,0,1.09956e-06,0.876405,0
SPE00100580,0.897273,-4.06446,0,5.78828e-05,0.897273,0
SPE00100424,0.977609,-0.897469,0,0.4202,0.977609,0
SPE00100525,0.978421,-0.856596,0,0.39362,0.978421,0
SPE00100698,0.99183,-0.323403,0,0.746392,0.99183,0
SPE00107023,0.99506,-0.20719,0,0.622068,0.99506,0
SPE00200012,1.02559,1.0255,0,0.3694,1.02559,0
SPE00100719,0.796943,-8.03987,0,9.67584e-16,0.796943,0
SPE00100618,0.977178,-0.889973,0,0.453846,0.977178,0
SPE00100432,0.985039,-0.574213,0,0.497986,0.985039,0
SPE00100550,0.993353,-0.267145,0,0.792376,0.993353,0
SPE00100465,0.995126,-0.199523,0,0.780554,0.995126,0
SPE00107022,1.00127,0.0617007,0,0.622932,1.00127,0
SPE00100582,1.01323,0.530648,0,0.611206,1.01323,0
SPE00201466,1.02084,0.820261,0,0.423832,1.02084,0
SPE00107093,0.829871,-6.75911,0,3.39902e-09,0.829871,0
SPE00201477,0.912017,-3.46871,0,0.00257494,0.912017,0
SPE00100434,0.974332,-1.03051,0,0.388128,0.974332,0
SPE00100620,0.977053,-0.907898,0,0.364216,0.977053,0
SPE00100475,0.986929,-0.511866,0,0.619846,0.986929,0
SPE00100583,0.997006,-0.119352,0,0.905054,0.997006,0
SPE00100552,0.997456,-0.0967073,0,0.860704,0.997456,0
SPE00100688,1.00582,0.230965,0,0.817416,1.00582,0
SPE00200002,0.732307,-10.5762,0,8.77458e-22,0.732307,0
SPE00100435,0.977578,-0.927042,0,0.222634,0.977578,0
SPE00100638,0.979933,-0.777708,0,0.548952,0.979933,0
SPE00100562,0.993346,-0.255763,0,0.744944,0.993346,0
SPE00100489,0.993516,-0.253731,0,0.801398,0.993516,0
SPE00100731,0.995749,-0.173558,0,0.82299,0.995749,0
SPE00201484,1.00876,0.352406,0,0.731994,1.00876,0
SPE00100584,1.01119,0.438035,0,0.669344,1.01119,0
SPE00201505,0.763941,-9.38812,0,1.15934e-14,0.763941,0
SPE00100646,0.964857,-1.38387,0,0.190479,0.964857,0
SPE00100439,0.970864,-1.16368,0,0.287406,0.970864,0
SPE00100520,0.976812,-0.911824,0,0.380266,0.976812,0
SPE00107015,0.985925,-0.582796,0,0.345042,0.985925,0
SPE00100492,1.00048,0.0111885,0,0.727306,1.00048,0
SPE00100585,1.00703,0.279723,0,0.78004,1.00703,0
SPE00100563,1.01506,0.609203,0,0.60027,1.01506,0
SPE00201506,0.486632,-20.3457,0,0,0.486632,0
SPE00102007,0.836887,-6.49198,0,2.07098e-07,0.836887,0
SPE00100586,0.937281,-2.47798,0,0.0160447,0.937281,0
SPE00100901,0.999769,-0.0189546,0,0.669196,0.999769,0
SPE00100497,1.00458,0.172059,0,0.685896,1.00458,0
SPE00100650,1.00695,0.276607,0,0.7825,1.00695,0
SPE00100566,1.00753,0.286646,0,0.629028,1.00753,0
SPE00100447,1.00828,0.35152,0,0.333694,1.00828,0
SPE00100529,0.806224,-7.68742,0,7.353e-13,0.806224,0
SPE00102035,0.978393,-0.866692,0,0.438852,0.978393,0
SPE00107005,0.982285,-0.695322,0,0.50237,0.982285,0
SPE00100517,0.9963,-0.129817,0,0.470046,0.9963,0
SPE00201509,1.00073,0.0126975,0,0.484818,1.00073,0
SPE00100567,1.00953,0.386201,0,0.718964,1.00953,0
SPE00100595,1.01512,0.596066,0,0.553482,1.01512,0
SPE00100651,1.01722,0.69753,0,0.577122,1.01722,0
SPE00300007,0.93161,-2.68506,0,0.0468518,0.93161,0
SPE00200833,0.940622,-2.36461,0,0.0386134,0.940622,0
SPE00200449,0.949379,-1.99219,0,0.0787976,0.949379,0
SPE00200141,0.95809,-1.65701,0,0.099673,0.95809,0
SPE00300058,1.00269,0.102833,0,0.870444,1.00269,0
SPE00211458,1.07419,2.96307,0,0.0305258,1.07419,0
SPE00300119,1.09792,3.88654,0,0.000239344,1.09792,0
SPE00300531,1.10878,4.32606,0,0.000213314,1.10878,0
SPE00300012,0.905399,-3.74987,0,0.000212272,0.905399,0
SPE00300061,0.96761,-1.27204,0,0.250208,0.96761,0
SPE00200183,0.970286,-1.15633,0,0.413912,0.970286,0
SPE00200851,1.01852,0.734488,0,0.463096,1.01852,0
SPE00200015,1.02296,0.906546,0,0.368152,1.02296,0
SPE00200457,1.03332,1.31614,0,0.193146,1.03332,0
SPE00300132,1.03431,1.34487,0,0.254654,1.03431,0
SPE00300532,1.0655,2.60765,0,0.0230708,1.0655,0
SPE00200255,0.0675732,-36.942,0,0,0.0675732,0
SPE00300538,0.738066,-10.3828,0,1.52199e-23,0.738066,0
SPE00200031,0.95169,-1.93245,0,0.141131,0.95169,0
SPE00300018,0.984893,-0.58254,0,0.562332,0.984893,0
SPE00300101,0.998453,-0.0567926,0,0.846214,0.998453,0
SPE00300133,1.01161,0.443656,0,0.524908,1.01161,0
SPE00200463,1.01859,0.748996,0,0.519894,1.01859,0
SPE00200873,1.02093,0.828557,0,0.407446,1.02093,0
SPE00200484,0.963994,-1.42277,0,0.158471,0.963994,0
SPE00200040,0.9709,-1.14927,0,0.254722,0.9709,0
SPE00201066,0.986681,-0.516301,0,0.64582,0.986681,0
SPE00300148,0.995869,-0.151174,0,0.592922,0.995869,0
SPE00300104,1.0011,0.0133203,0,0.187759,1.0011,0
SPE00300021,1.00762,0.299048,0,0.766504,1.00762,0
SPE00200191,1.01032,0.404777,0,0.689964,1.01032,0
SPE00300539,1.03198,1.25824,0,0.236494,1.03198,0
SPE00201067,0.425333,-22.7977,0,0,0.425333,0
SPE00300032,0.877398,-4.84948,0,2.18762e-06,0.877398,0
SPE00300157,0.907706,-3.65555,0,0.000258572,0.907706,0
SPE00200070,0.980453,-0.76764,0,0.460318,0.980453,0
SPE00200488,1.00451,0.17928,0,0.8578,1.00451,0
SPE00300105,1.0151,0.601422,0,0.552116,1.0151,0
SPE00300540,1.02557,1.01891,0,0.327554,1.02557,0
SPE00200243,1.02791,1.09811,0,0.293974,1.02791,0
SPE00200107,0.782582,-8.60359,0,3.73978e-17,0.782582,0
SPE00201078,0.968882,-1.23213,0,0.217906,0.968882,0
SPE00200640,0.971205,-1.14381,0,0.258292,0.971205,0
SPE00300006,0.990893,-0.375173,0,0.554414,0.990893,0
SPE00200412,1.00002,0.00345208,0,0.902536,1.00002,0
SPE00300106,1.00588,0.237974,0,0.81638,1.00588,0
SPE00300542,1.02956,1.16695,0,0.24871,1.02956,0
SPE00300160,1.05231,2.08084,0,0.0534438,1.05231,0
SPE00201083,0.780709,-8.67344,0,1.01186e-16,0.780709,0
SPE00200743,0.900214,-3.97488,0,0.00156211,0.900214,0
SPE00200424,0.916476,-3.31193,0,0.00113391,0.916476,0
SPE00300545,0.927819,-2.86912,0,0.00863504,0.927819,0
SPE00300052,0.976678,-0.934586,0,0.403492,0.976678,0
SPE00200110,1.00975,0.387669,0,0.699108,1.00975,0
SPE00300166,1.036,1.42598,0,0.153949,1.036,0
SPE00300110,1.0368,1.46172,0,0.151702,1.0368,0
SPE00300228,0.381072,-24.5212,0,0,0.381072,0
SPE00300546,0.439941,-22.2093,0,0,0.439941,0
SPE00300053,0.992872,-0.292524,0,0.668454,0.992872,0
SPE00201133,1.00039,-0.00271259,0,0.431464,1.00039,0
SPE00200759,1.00959,0.361158,0,0.44838,1.00959,0
SPE00200427,1.01847,0.721673,0,0.510134,1.01847,0
SPE00200111,1.01746,0.724329,0,0.2557,1.01746,0
SPE00300111,1.02276,0.907369,0,0.380784,1.02276,0
SPE00201136,0.650843,-13.8368,0,3.59545e-41,0.650843,0
SPE00212097,0.766257,-9.24129,0,4.13174e-18,0.766257,0
