supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE00100002,0.967072,-1.13363,0,0.398288,0.967072,0
SPE00100016,0.994421,-0.192585,0,0.849014,0.994421,0
SPE00100058,1.01615,0.555373,0,0.605394,1.01615,0
SPE00100094,0.928885,-2.3676,0,0.0380502,0.928885,0
SPE00100126,1.04605,1.57316,0,0.22219,1.04605,0
SPE00100194,1.02317,0.811669,0,0.476122,1.02317,0
SPE00100271,0.23747,-25.6091,0,0,0.23747,0
SPE00100305,1.00169,0.0897352,0,0.342896,1.00169,0
SPE00100003,0.950826,-1.71453,0,0.455966,0.950826,0
SPE00100024,1.00098,0.0157584,0,0.622902,1.00098,0
SPE00100060,0.998003,-0.0801928,0,0.706494,0.998003,0
SPE00100096,1.00274,0.0912047,0,0.927342,1.00274,0
SPE00100129,1.02278,0.770893,0,0.44764,1.02278,0
SPE00100195,1.01896,0.652954,0,0.559124,1.01896,0
SPE00100279,1.02175,0.739326,0,0.47513,1.02175,0
SPE00100310,1.00504,0.194093,0,0.482406,1.00504,0
SPE00100005,0.70168,-10.0357,0,1.50869e-21,0.70168,0
SPE00100031,0.973195,-0.926757,0,0.48259,0.973195,0
SPE00100066,1.00272,0.0779447,0,0.702464,1.00272,0
SPE00100098,0.951176,-1.61963,0,0.159691,0.951176,0
SPE00100139,1.01302,0.442868,0,0.662208,1.01302,0
SPE00100201,1.02686,0.9144,0,0.391142,1.02686,0
SPE00100280,0.663671,-11.2863,0,4.6893e-29,0.663671,0
SPE00100315,0.995763,-0.114783,0,0.433,0.995763,0
SPE00100006,0.977314,-0.788345,0,0.551286,0.977314,0
SPE00100034,0.993003,-0.243262,0,0.813132,0.993003,0
SPE00100068,1.01611,0.540694,0,0.588718,1.01611,0
SPE00100099,1.00872,0.284984,0,0.781202,1.00872,0
SPE00100140,1.01023,0.353965,0,0.735072,1.01023,0
SPE00100205,1.04826,1.63173,0,0.121109,1.04826,0
SPE00100287,0.181615,-27.5068,0,0,0.181615,0
SPE00100318,1.00118,0.0712046,0,0.364386,1.00118,0
SPE00100008,0.958788,-1.41373,0,0.302526,0.958788,0
SPE00100047,0.956002,-1.50363,0,0.240222,0.956002,0
SPE00100069,1.05113,1.70889,0,0.0955444,1.05113,0
SPE00100101,0.913894,-2.88102,0,0.00547352,0.913894,0
SPE00100146,0.918862,-2.71502,0,0.00852028,0.918862,0
SPE00100218,1.03488,1.19053,0,0.305044,1.03488,0
SPE00100290,1.02423,0.832019,0,0.467546,1.02423,0
SPE00100325,0.05861,-31.6442,0,0,0.05861,0
SPE00100009,0.565861,-14.5887,0,0,0.565861,0
SPE00100048,0.990449,-0.335062,0,0.695864,0.990449,0
SPE00100076,1.01265,0.415045,0,0.689974,1.01265,0
SPE00100102,1.00061,0.0279134,0,0.82814,1.00061,0
SPE00100156,1.01724,0.585086,0,0.565128,1.01724,0
SPE00100222,0.998519,-0.0389194,0,0.756662,0.998519,0
SPE00100296,1.00216,0.0815435,0,0.795652,1.00216,0
SPE00100530,0.985707,-0.478605,0,0.632446,0.985707,0
SPE00100049,1.01176,0.375926,0,0.610842,1.01176,0
SPE00100081,0.825711,-5.85503,0,5.64836e-09,0.825711,0
SPE00100103,0.962257,-1.2551,0,0.236454,0.962257,0
SPE00100158,0.995985,-0.131107,0,0.896276,0.995985,0
SPE00100223,1.03187,1.07635,0,0.289998,1.03187,0
SPE00100298,1.01964,0.656896,0,0.512306,1.01964,0
SPE00100531,0.995361,-0.150863,0,0.881242,0.995361,0
SPE00240645,0.677877,-10.8258,0,3.89508e-26,0.677877,0
SPE00100012,0.970884,-1.00314,0,0.43565,0.970884,0
SPE00100050,1.00258,0.0942192,0,0.825632,1.00258,0
SPE00100088,1.00203,0.0647646,0,0.925818,1.00203,0
SPE00100105,1.00006,0.00812904,0,0.8592,1.00006,0
SPE00100162,1.01333,0.459036,0,0.663772,1.01333,0
SPE00100242,0.987201,-0.418734,0,0.69027,0.987201,0
SPE00100301,0.253658,-25.0629,0,0,0.253658,0
SPE00100359,1.01653,0.553373,0,0.580376,1.01653,0
SPE00100013,0.980411,-0.676748,0,0.559064,0.980411,0
SPE00100054,0.922012,-2.59974,0,0.0203036,0.922012,0
SPE00100090,1.03603,1.20674,0,0.229336,1.03603,0
SPE00100114,0.993991,-0.180853,0,0.555282,0.993991,0
SPE00100173,1.00758,0.259502,0,0.797352,1.00758,0
SPE00100254,0.986648,-0.441523,0,0.664816,0.986648,0
SPE00100303,0.970664,-0.97515,0,0.348248,0.970664,0
SPE00100360,0.996654,-0.133356,0,0.549636,0.996654,0
SPE00100014,0.984588,-0.546945,0,0.4633,0.984588,0
SPE00100056,0.990988,-0.30775,0,0.760852,0.990988,0
SPE00100093,1.0513,1.71939,0,0.0866938,1.0513,0
SPE00100117,1.00605,0.208921,0,0.836786,1.00605,0
SPE00100190,1.01634,0.550416,0,0.582502,1.01634,0
SPE00100267,1.01152,0.393832,0,0.699672,1.01152,0
SPE00100304,1.00432,0.149461,0,0.882136,1.00432,0
SPE00100368,0.964515,-1.18691,0,0.239086,0.964515,0
SPE00100375,1.00183,0.0629536,0,0.949852,1.00183,0
SPE00100528,0.972702,-0.909484,0,0.372706,0.972702,0
SPE00100537,0.319443,-22.8442,0,0,0.319443,0
SPE00100568,1.03876,1.30015,0,0.193789,1.03876,0
SPE00100609,0.966284,-1.1354,0,0.258508,0.966284,0
SPE00102018,0.862389,-4.59874,0,3.37974e-05,0.862389,0
SPE00200004,0.996868,-0.114897,0,0.78089,0.996868,0
SPE01500420,1.04068,1.37248,0,0.177972,1.04068,0
SPE00100378,0.992817,-0.236404,0,0.814816,0.992817,0
SPE00100455,1.02608,0.872918,0,0.38417,1.02608,0
SPE00100540,0.11058,-29.8955,0,0,0.11058,0
SPE00100572,1.02444,0.819237,0,0.413024,1.02444,0
SPE00100612,0.541498,-15.4019,0,0,0.541498,0
SPE00100682,1.03062,1.02086,0,0.317152,1.03062,0
SPE00102076,0.569476,-14.4635,0,0,0.569476,0
SPE00201606,0.508805,-16.4806,0,0,0.508805,0
SPE00100423,0.94729,-1.76716,0,0.0779738,0.94729,0
SPE00100458,1.01705,0.569789,0,0.569938,1.01705,0
SPE00100541,0.99075,-0.300004,0,0.772106,0.99075,0
SPE00100576,1.03246,1.07984,0,0.300242,1.03246,0
SPE00100615,0.916621,-2.81125,0,0.00758056,0.916621,0
SPE00100686,1.0368,1.23561,0,0.216604,1.0368,0
SPE00102058,1.0193,0.644807,0,0.520938,1.0193,0
SPE00200010,0.96794,-1.05758,0,0.357454,0.96794,0
SPE00100424,1.0003,0.0119728,0,0.957272,1.0003,0
SPE00100525,1.02087,0.695728,0,0.490784,1.02087,0
SPE00100551,0.953961,-1.54372,0,0.123254,0.953961,0
SPE00100580,1.01536,0.507526,0,0.621514,1.01536,0
SPE00100616,0.881545,-3.96503,0,0.000154519,0.881545,0
SPE00100698,1.045,1.50459,0,0.138597,1.045,0
SPE00107023,1.00948,0.31238,0,0.757954,1.00948,0
SPE00200012,0.99546,-0.139581,0,0.714606,0.99546,0
SPE00100432,0.969033,-1.04642,0,0.304344,0.969033,0
SPE00100465,1.0069,0.222802,0,0.803408,1.0069,0
SPE00100550,1.0307,1.0357,0,0.305354,1.0307,0
SPE00100582,0.608225,-13.1477,0,7.3352e-39,0.608225,0
SPE00100618,1.01499,0.512833,0,0.62134,1.01499,0
SPE00100719,0.810088,-6.36292,0,1.08376e-09,0.810088,0
SPE00107022,0.998054,-0.0641869,0,0.94885,0.998054,0
SPE00201466,0.984735,-0.513683,0,0.607676,0.984735,0
SPE00100434,0.960752,-1.32167,0,0.189148,0.960752,0
SPE00100475,1.00132,0.0435133,0,0.965302,1.00132,0
SPE00100552,1.02076,0.692154,0,0.492976,1.02076,0
SPE00100583,1.03648,1.22987,0,0.22341,1.03648,0
SPE00100620,1.00503,0.172903,0,0.863648,1.00503,0
SPE00100688,1.02602,0.87113,0,0.3848,1.02602,0
SPE00107093,0.611146,-13.0383,0,1.93877e-36,0.611146,0
SPE00201477,0.961049,-1.31207,0,0.192917,0.961049,0
SPE00100435,0.976409,-0.795089,0,0.428344,0.976409,0
SPE00100489,0.994218,-0.200293,0,0.843696,0.994218,0
SPE00100562,1.01282,0.429736,0,0.667476,1.01282,0
SPE00100584,1.00887,0.300841,0,0.764422,1.00887,0
SPE00100638,1.01228,0.407903,0,0.68589,1.01228,0
SPE00100731,1.01753,0.590684,0,0.555412,1.01753,0
SPE00200002,0.726452,-9.13712,0,3.34698e-15,0.726452,0
SPE00201484,0.988495,-0.385516,0,0.699924,0.988495,0
SPE00100439,0.969558,-1.0266,0,0.308746,0.969558,0
SPE00100492,1.00733,0.251119,0,0.803664,1.00733,0
SPE00100520,1.02508,0.831905,0,0.42548,1.02508,0
SPE00100563,1.01528,0.518473,0,0.60871,1.01528,0
SPE00100585,1.00742,0.243035,0,0.81081,1.00742,0
SPE00100646,0.986109,-0.460495,0,0.649808,0.986109,0
SPE00107015,1.01151,0.378183,0,0.713198,1.01151,0
SPE00201505,0.490584,-17.0839,0,0,0.490584,0
SPE00100447,0.985426,-0.49785,0,0.62903,0.985426,0
SPE00100497,1.02935,0.985367,0,0.324448,1.02935,0
SPE00100566,0.979198,-0.671209,0,0.529512,0.979198,0
SPE00100586,0.872188,-4.25542,0,0.00061867,0.872188,0
SPE00100650,1.02704,0.90317,0,0.370566,1.02704,0
SPE00100901,1.04069,1.35779,0,0.186346,1.04069,0
SPE00102007,0.891276,-3.60737,0,0.0087602,0.891276,0
SPE00201506,0.184531,-27.3976,0,0,0.184531,0
SPE00100517,0.847023,-5.13515,0,2.84226e-07,0.847023,0
SPE00100529,0.853087,-4.92421,0,1.49847e-06,0.853087,0
SPE00100567,1.03024,1.0089,0,0.32099,1.03024,0
SPE00100595,1.01782,0.59747,0,0.550318,1.01782,0
SPE00100651,1.01689,0.568772,0,0.570046,1.01689,0
SPE00102035,1.01878,0.623873,0,0.540316,1.01878,0
SPE00107005,1.01056,0.340898,0,0.714394,1.01056,0
SPE00201509,0.97547,-0.816525,0,0.42366,0.97547,0
SPE00200141,0.993567,-0.214345,0,0.83046,0.993567,0
