supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01503968,0.754488,-8.40157,0,1.64711e-15,0.754488,32.86
SPE01505706,0.897501,-3.50676,0,0.000583386,0.897501,17.89
SPE00330001,0.967129,-1.12363,0,0.261782,0.967129,10.57
SPE01503009,1.00251,0.0872939,0,0.930464,1.00251,7.03
SPE01501203,1.00528,0.18205,0,0.855626,1.00528,6.8
SPE01500223,1.00758,0.260724,0,0.794458,1.00758,6.23
SPE01500801,1.03346,1.14674,0,0.253696,1.03346,3.6
SPE01500131,1.04511,1.54537,0,0.125054,1.04511,2.34
SPE01503977,0.959511,-1.38436,0,0.167212,0.959511,11.14
SPE01505482,0.972229,-0.94906,0,0.342962,0.972229,9.77
SPE01503134,0.984993,-0.512211,0,0.608524,0.984993,8.51
SPE01300043,0.999561,-0.0135953,0,0.98296,0.999561,7.03
SPE01505430,1.00461,0.159184,0,0.87359,1.00461,6.34
SPE01500807,1.01873,0.642479,0,0.521412,1.01873,4.86
SPE01500134,1.03843,1.31668,0,0.190497,1.03843,2.8
SPE01500224,1.05184,1.77564,0,0.0785554,1.05184,1.43
SPE01504008,0.0940609,-31.0057,0,0,0.0940609,101.77
SPE01505672,0.957966,-1.43723,0,0.151678,0.957966,11.6
SPE01500839,0.961848,-1.30437,0,0.192968,0.961848,10.91
SPE01503216,0.974672,-0.865443,0,0.387068,0.974672,9.66
SPE00330002,0.999452,-0.0173081,0,0.983152,0.999452,7.37
SPE01500143,1.01894,0.649618,0,0.516808,1.01894,5.54
SPE01504105,1.03113,1.06679,0,0.288078,1.03113,4.17
SPE01500246,1.04957,1.69814,0,0.0922852,1.04957,2.46
SPE01503692,0.145426,-29.2476,0,0,0.145426,96.51
SPE01505707,0.956174,-1.49856,0,0.135079,0.956174,12.4
SPE01503228,0.976338,-0.808448,0,0.419044,0.976338,10.23
SPE01501205,0.976761,-0.793974,0,0.427408,0.976761,10.11
SPE01504078,0.977931,-0.753914,0,0.451062,0.977931,10.11
SPE01500667,0.989429,-0.360391,0,0.718556,0.989429,8.97
SPE01500155,1.03583,1.22791,0,0.221868,1.03583,4.17
SPE01500247,1.06248,2.13999,0,0.0346034,1.06248,1.43
SPE01505249,0.964249,-1.2222,0,0.22238,0.964249,11.71
SPE01503244,0.97606,-0.817945,0,0.41361,0.97606,10.46
SPE00300024,0.980939,-0.650968,0,0.51515,0.980939,10
SPE01505955,0.985388,-0.498686,0,0.618018,0.985388,9.54
SPE01502202,0.988925,-0.377634,0,0.705704,0.988925,9.09
SPE01500107,1.01935,0.663834,0,0.5077,1.01935,6
SPE01500249,1.04813,1.64861,0,0.102044,1.04813,2.91
SPE01500156,1.05421,1.85683,0,0.066024,1.05421,2.34
SPE01300030,0.945028,-1.88008,0,0.061369,0.945028,13.54
SPE02300259,0.947201,-1.8057,0,0.072233,0.947201,13.31
SPE01505172,0.957076,-1.46771,0,0.143241,0.957076,12.29
