supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01505706,0.920375,-5.58793,0,2.29794e-08,0.920375,6.45
SPE01500223,0.957705,-2.39628,0,0.0165625,0.957705,2.11
SPE01501203,0.970115,-1.3353,0,0.181779,0.970115,0.86
SPE00330001,0.972307,-1.14786,0,0.251026,0.972307,0.51
SPE01500131,0.97492,-0.924445,0,0.355254,0.97492,0.17
SPE01500801,0.985136,-0.0509976,0,0.959328,0.985136,-0.97
SPE01503009,1,1.21984,0,0.222526,1,-2.57
SPE01503968,1.05695,6.08889,0,1.13698e-09,1.05695,-9.08
SPE01500224,0.956694,-2.48278,0,0.0130362,0.956694,2.11
SPE01503977,0.971277,-1.23589,0,0.216498,0.971277,0.51
SPE01300043,0.974566,-0.954742,0,0.339708,0.974566,0.17
SPE01500134,0.981914,-0.326485,0,0.744058,0.981914,-0.74
SPE01500807,0.982038,-0.315901,0,0.752078,0.982038,-0.74
SPE01503134,0.982425,-0.282769,0,0.777354,0.982425,-0.74
SPE01505430,0.983092,-0.225798,0,0.821358,0.983092,-0.86
SPE01505482,0.983183,-0.218007,0,0.827424,0.983183,-0.86
SPE01504008,0.0880024,-76.7543,0,0,0.0880024,101.2
SPE01500839,0.969465,-1.39081,0,0.164282,0.969465,0.63
SPE01500246,0.969758,-1.36583,0,0.171991,0.969758,0.51
SPE01500143,0.971814,-1.19004,0,0.23403,0.971814,0.29
SPE00330002,0.971831,-1.18852,0,0.234628,0.971831,0.29
SPE01504105,0.97682,-0.761999,0,0.44606,0.97682,-0.29
SPE01503216,0.979232,-0.555741,0,0.578388,0.979232,-0.51
SPE01505672,0.98389,-0.157563,0,0.874802,0.98389,-1.08
SPE01503692,0.62093,-31.1899,0,0,0.62093,40.24
SPE01505707,0.970652,-1.28937,0,0.19727,0.970652,0.29
SPE01500247,0.971807,-1.19058,0,0.23382,0.971807,0.06
SPE01500155,0.974863,-0.9293,0,0.352734,0.974863,-0.29
SPE01500667,0.975048,-0.913478,0,0.360992,0.975048,-0.29
SPE01501205,0.984589,-0.0977997,0,0.922092,0.984589,-1.2
SPE01504078,0.988979,0.277579,0,0.781336,0.988979,-1.77
SPE01503228,0.991313,0.477147,0,0.633258,0.991313,-2
SPE00300024,0.976177,-0.816948,0,0.413958,0.976177,-0.29
SPE01500107,0.97845,-0.622636,0,0.533524,0.97845,-0.51
SPE01500156,0.981632,-0.350609,0,0.725882,0.981632,-0.86
SPE01500249,0.983761,-0.168557,0,0.866144,0.983761,-1.08
SPE01505249,0.985436,-0.0253686,0,0.97976,0.985436,-1.43
SPE01505955,0.994803,0.775468,0,0.438064,0.994803,-2.45
SPE01503244,1.00307,1.48214,0,0.138302,1.00307,-3.48
SPE01502202,1.0128,2.31446,0,0.0206424,1.0128,-4.62
SPE01502230,0.957909,-2.37887,0,0.0173658,0.957909,1.88
SPE01500157,0.964779,-1.7915,0,0.0732124,0.964779,1.31
SPE01300030,0.967107,-1.59246,0,0.111282,0.967107,0.97
SPE01503423,0.973103,-1.07976,0,0.280248,0.973103,0.17
SPE01505172,0.974373,-0.971239,0,0.33143,0.974373,0.06
SPE02300259,0.97472,-0.941581,0,0.346408,0.97472,0.06
SPE01500272,0.978962,-0.57891,0,0.56265,0.978962,-0.29
SPE01500104,0.98752,0.152796,0,0.878558,0.98752,-1.31
SPE01502254,0.902786,-7.09175,0,1.32427e-12,0.902786,8.39
SPE01500186,0.96037,-2.16845,0,0.0301246,0.96037,1.43
SPE01500273,0.968589,-1.46572,0,0.142724,0.968589,0.4
SPE00200046,0.972125,-1.16343,0,0.244654,0.972125,0.17
SPE02300332,0.974613,-0.950736,0,0.341738,0.974613,0.06
SPE01300018,0.975887,-0.841807,0,0.399896,0.975887,-0.17
SPE01505312,0.983253,-0.212,0,0.832106,0.983253,-0.86
SPE01503428,0.984713,-0.0871632,0,0.930542,0.984713,-0.97
SPE01502255,0.972833,-1.1029,0,0.27007,0.972833,-0.17
