supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01503968,0.694656,-7.10163,0,3.3271e-11,0.694656,50.48
SPE01505706,0.911494,-2.05721,0,0.047259,0.911494,31.44
SPE00330001,0.925468,-1.73716,0,0.0876896,0.925468,30.3
SPE01500223,0.986569,-0.308558,0,0.730056,0.986569,24.79
SPE01503009,1.00315,0.0742099,0,0.935082,1.00315,23.4
SPE01500131,1.02333,0.544575,0,0.589112,1.02333,21.6
SPE01500801,1.02723,0.632811,0,0.528948,1.02723,21.31
SPE01501203,1.03879,0.896848,0,0.434754,1.03879,20.36
SPE01505430,0.947652,-1.21765,0,0.22501,0.947652,28.12
SPE01505482,0.963377,-0.853592,0,0.395334,0.963377,26.84
SPE01300043,0.964213,-0.83435,0,0.406976,0.964213,26.85
SPE01503134,0.985269,-0.341401,0,0.735134,0.985269,24.92
SPE01500134,1.01638,0.383272,0,0.705258,1.01638,21.78
SPE01503977,1.02477,0.578263,0,0.566936,1.02477,21.42
SPE01500807,1.05764,1.32558,0,0.461592,1.05764,18.63
SPE01500224,1.09323,2.17273,0,0.0335962,1.09323,14.83
SPE01504008,0.116962,-20.5602,0,0,0.116962,101.45
SPE01500839,0.96972,-0.705674,0,0.481432,0.96972,25.73
SPE00330002,0.970896,-0.66929,0,0.560396,0.970896,25.06
SPE01503216,0.975433,-0.5678,0,0.5946,0.975433,25.03
SPE01500143,0.99365,-0.146483,0,0.884348,0.99365,23.01
SPE01500246,1.02393,0.553857,0,0.595024,1.02393,20.33
SPE01505672,1.05069,1.15788,0,0.21553,1.05069,18.66
SPE01504105,1.13848,3.21301,0,0.0117372,1.13848,10.41
SPE01503692,0.190006,-18.8594,0,0,0.190006,94.87
SPE01505707,0.94626,-1.24773,0,0.231104,0.94626,27.12
SPE01503228,0.968401,-0.727036,0,0.55856,0.968401,25
SPE01501205,0.9943,-0.138705,0,0.600828,0.9943,22.99
SPE01500667,0.994688,-0.119289,0,0.702154,0.994688,22.88
SPE01504078,1.02566,0.592289,0,0.592542,1.02566,20.16
SPE01500247,1.03719,0.870667,0,0.428388,1.03719,19.18
SPE01500155,1.09352,2.1565,0,0.366904,1.09352,14.6
SPE00300024,0.949337,-1.17813,0,0.241692,0.949337,27.5
SPE01505955,0.972682,-0.639124,0,0.538806,0.972682,25.43
SPE01503244,0.981669,-0.42683,0,0.669514,0.981669,24.37
SPE01500107,0.982037,-0.413435,0,0.702468,0.982037,24.59
SPE01500156,1.00502,0.119504,0,0.823114,1.00502,22.63
SPE01505249,1.02159,0.480868,0,0.0850972,1.02159,21.36
SPE01502202,1.02272,0.51631,0,0.329112,1.02272,20.88
SPE01500249,1.06479,1.50349,0,0.166414,1.06479,17.51
SPE01300030,0.896915,-2.39636,0,0.021391,0.896915,32.28
SPE02300259,0.942833,-1.33126,0,0.183463,0.942833,28.3
SPE01505172,0.96734,-0.755468,0,0.489302,0.96734,26
SPE01503423,1.00039,0.0137339,0,0.676904,1.00039,23.05
SPE01502230,1.00315,0.0767645,0,0.760064,1.00315,22.81
SPE01500157,1.03975,0.92261,0,0.369928,1.03975,19.7
SPE01500272,1.07062,1.64889,0,0.131628,1.07062,16.77
SPE01500104,1.24234,5.60535,1,0.00753692,1.24234,2.55
SPE01502254,0.356473,-14.964,0,8.88703e-42,0.356473,79.8
SPE02300332,0.941935,-1.35019,0,0.18085,0.941935,28.23
SPE01505312,0.955076,-1.04233,0,0.319482,0.955076,27.05
SPE01300018,0.971602,-0.661906,0,0.509158,0.971602,25.61
SPE00200046,0.985002,-0.346355,0,0.736792,0.985002,24.29
SPE01500186,1.03162,0.735467,0,0.462508,1.03162,20.19
SPE01500273,1.03866,0.907169,0,0.456314,1.03866,19.41
SPE01503428,1.11505,2.67225,0,0.0170061,1.11505,13.08
SPE01503705,0.927016,-1.69268,0,0.140154,0.927016,29.38
SPE02300205,0.929139,-1.64733,0,0.106201,0.929139,29.28
SPE01505453,0.97507,-0.588502,0,0.54425,0.97507,25.41
SPE01300028,1.00553,0.123885,0,0.669034,1.00553,22.62
SPE00310039,1.01728,0.395123,0,0.557256,1.01728,21.59
SPE01502255,1.03093,0.720443,0,0.47152,1.03093,20.25
SPE01500274,1.03112,0.730098,0,0.518066,1.03112,20.04
SPE01500205,1.11664,2.69225,0,0.2514,1.11664,13.02
SPE01300027,0.939803,-1.39445,0,0.23798,0.939803,27.66
SPE00210369,0.967909,-0.745821,0,0.45846,0.967909,25.42
SPE01503804,0.973437,-0.614913,0,0.557052,0.973437,25.1
