supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01503968,0.659572,-9.25472,0,2.1581e-20,0.659572,48.31
SPE01505706,0.826643,-4.64743,0,2.1952e-05,0.826643,32.05
SPE00330001,0.975129,-0.620964,0,0.577518,0.975129,17.68
SPE01503009,0.991153,-0.217352,0,0.83119,0.991153,16.31
SPE01501203,1.0013,0.0628141,0,0.81552,1.0013,15.38
SPE01500223,1.00675,0.126159,0,0.629174,1.00675,14.7
SPE01500131,1.03893,1.03259,0,0.313276,1.03893,11.57
SPE01500801,1.03867,1.08961,0,0.300862,1.03867,11.54
SPE01505482,0.952678,-1.33883,0,0.22262,0.952678,19.87
SPE01300043,0.958981,-1.13366,0,0.26272,0.958981,19.25
SPE01503134,0.972853,-0.717155,0,0.48023,0.972853,17.84
SPE01505430,0.998629,-0.102845,0,0.579528,0.998629,15.44
SPE01503977,1.00465,0.174435,0,0.688466,1.00465,14.71
SPE01500807,1.04298,1.16403,0,0.244768,1.04298,11.1
SPE01500134,1.04839,1.28034,0,0.22063,1.04839,10.66
SPE01500224,1.13979,3.78245,0,0.000184955,1.13979,1.84
SPE01504008,0.115802,-24.4033,0,0,0.115802,101.36
SPE01505672,0.936362,-1.80612,0,0.129777,0.936362,21.87
SPE01500839,0.940608,-1.55481,0,0.167469,0.940608,21.07
SPE01503216,0.951066,-1.29038,0,0.22256,0.951066,20.15
SPE00330002,0.97325,-0.760292,0,0.464642,0.97325,18.34
SPE01500143,1.01754,0.430379,0,0.690606,1.01754,14.24
SPE01500246,1.02561,0.58264,0,0.412198,1.02561,13.61
SPE01504105,1.08197,2.29261,0,0.0424548,1.08197,7.82
SPE01503692,0.14963,-23.4899,0,0,0.14963,98.19
SPE01505707,0.942427,-1.63996,0,0.168603,0.942427,21.66
SPE01503228,0.951516,-1.29451,0,0.20453,0.951516,20.62
SPE01501205,0.97682,-0.543772,0,0.524894,0.97682,18.07
SPE01500667,1.0043,0.0949526,0,0.852756,1.0043,15.67
SPE01504078,1.0083,0.250223,0,0.806574,1.0083,15.19
SPE01500155,1.04052,1.08255,0,0.285394,1.04052,12.22
SPE01500247,1.08755,2.34633,0,0.0240124,1.08755,7.79
SPE01505249,0.938768,-1.65116,0,0.100978,0.938768,22.27
SPE01503244,0.963693,-1.02026,0,0.32648,0.963693,19.84
SPE01505955,0.96674,-0.92153,0,0.361898,0.96674,19.77
SPE01502202,0.985713,-0.256302,0,0.277148,0.985713,17.37
SPE00300024,0.990237,-0.240517,0,0.81406,0.990237,17.56
SPE01500107,1.01073,0.227717,0,0.596576,1.01073,15.82
SPE01500156,1.04589,1.21139,0,0.247492,1.04589,12.42
SPE01500249,1.06472,1.72737,0,0.0958198,1.06472,10.56
SPE01300030,0.902149,-2.70308,0,0.0106986,0.902149,25.8
SPE02300259,0.920689,-2.13783,0,0.0346984,0.920689,23.98
SPE01505172,0.93335,-1.76793,0,0.0979386,0.93335,22.78
SPE01503423,0.96473,-0.942871,0,0.350232,0.96473,19.88
SPE01502230,0.974115,-0.665199,0,0.528272,0.974115,19
SPE01500157,1.0548,1.54038,0,0.157567,1.0548,10.98
SPE01500272,1.06387,1.73057,0,0.0839234,1.06387,10.22
SPE01500104,1.1356,3.72731,0,0.000381524,1.1356,3.3
SPE01502254,0.294264,-19.1513,0,0,0.294264,83.72
SPE02300332,0.923975,-2.13835,0,0.0657102,0.923975,23.83
SPE01505312,0.953592,-1.29101,0,0.210382,0.953592,20.89
SPE01300018,0.975827,-0.6538,0,0.513422,0.975827,18.82
SPE00200046,1.00471,0.161537,0,0.778744,1.00471,16.16
SPE01500186,1.05284,1.48645,0,0.171923,1.05284,11.78
SPE01500273,1.08172,2.21906,0,0.0265272,1.08172,9.42
SPE01503428,1.09642,2.73264,0,0.0368286,1.09642,6.97
SPE01503705,0.909544,-2.57867,0,0.0588708,0.909544,26.44
SPE02300205,0.930048,-1.95658,0,0.0755458,0.930048,24.75
SPE01505453,0.961963,-1.06403,0,0.302628,0.961963,21.56
SPE00310039,0.9657,-0.994357,0,0.38364,0.9657,21.57
SPE01300028,0.988528,-0.276045,0,0.769286,0.988528,19.2
SPE01502255,1.00527,0.127945,0,0.897036,1.00527,16.98
SPE01500205,1.03552,0.990641,0,0.332582,1.03552,14.9
SPE01500274,1.07818,2.14862,0,0.0349164,1.07818,10.92
SPE00310040,0.949419,-1.4524,0,0.2302,0.949419,22.23
SPE01502258,0.947054,-1.4147,0,0.166366,0.947054,23.17
SPE01503804,0.954842,-1.24233,0,0.217594,0.954842,22.46
SPE01505397,0.97327,-0.682286,0,0.52495,0.97327,20.51
SPE00210369,0.985179,-0.382797,0,0.70601,0.985179,19.26
SPE01300027,0.993222,-0.091439,0,0.432286,0.993222,18.1
SPE01500208,1.0587,1.70684,0,0.226102,1.0587,11.13
SPE01500275,1.07054,1.96493,0,0.067788,1.07054,9.71
SPE01505464,0.941093,-1.56038,0,0.141164,0.941093,20.91
SPE01503908,0.944934,-1.49416,0,0.135265,0.944934,21
SPE00310035,0.951357,-1.35535,0,0.191912,0.951357,18.9
SPE01505347,0.957246,-1.14026,0,0.262556,0.957246,19
SPE01503007,0.98135,-0.588608,0,0.558682,0.98135,18.06
SPE01400208,0.998673,-0.0507658,0,0.900896,0.998673,14.65
SPE01500215,1.03093,0.862194,0,0.39632,1.03093,10.59
SPE01500277,1.06617,1.76197,0,0.0929246,1.06617,6.78
SPE01500260,0.139849,-23.6521,0,0,0.139849,98.51
SPE01500101,0.974163,-0.690841,0,0.491782,0.974163,16.47
SPE01500102,0.982064,-0.503747,0,0.617726,0.982064,15.29
SPE01500523,0.983491,-0.450078,0,0.652672,0.983491,15.35
SPE01500280,1.0072,0.215461,0,0.83176,1.0072,12.52
SPE01500663,1.00978,0.268716,0,0.788208,1.00978,13.24
SPE01500844,1.0472,1.22298,0,0.279978,1.0472,9.96
SPE01500283,1.05768,1.5789,0,0.115802,1.05768,9.29
