supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01503968,0.718828,-7.71613,0,1.44386e-14,0.718828,40.12
SPE01505706,0.918703,-2.23053,0,0.0257126,0.918703,20.42
SPE00330001,0.94497,-1.50004,0,0.170386,0.94497,17.72
SPE01500223,0.989048,-0.27139,0,0.20866,0.989048,13.1
SPE01503009,1.00788,0.211199,0,0.830314,1.00788,11.87
SPE01500801,1.01603,0.455665,0,0.5178,1.01603,10.63
SPE01501203,1.04396,1.18321,0,0.451428,1.04396,8.53
SPE01500131,1.05207,1.43298,0,0.160029,1.05207,7.08
SPE01505430,0.960016,-1.07887,0,0.424658,0.960016,15.69
SPE01503134,0.990852,-0.256168,0,0.803106,0.990852,13
SPE01503977,0.992014,-0.226151,0,0.757938,0.992014,12.84
SPE01300043,0.9948,-0.140665,0,0.888588,0.9948,12.62
SPE01500807,1.02121,0.583149,0,0.560282,1.02121,9.69
SPE01505482,1.02446,0.639091,0,0.23424,1.02446,9.7
SPE01500134,1.04955,1.35358,0,0.190552,1.04955,6.91
SPE01500224,1.04931,1.35471,0,0.176961,1.04931,6.93
SPE01504008,0.100275,-24.6955,0,0,0.100275,100.82
SPE00330002,0.957111,-1.15946,0,0.376274,0.957111,16.61
SPE01503216,0.95941,-1.11726,0,0.270138,0.95941,16.04
SPE01500839,0.967923,-0.87919,0,0.379674,0.967923,15.06
SPE01505672,0.969786,-0.841221,0,0.467312,0.969786,15.36
SPE01500246,1.03055,0.854678,0,0.509704,1.03055,9.84
SPE01500143,1.04353,1.19156,0,0.236746,1.04353,8.53
SPE01504105,1.04549,1.25407,0,0.226246,1.04549,8.15
SPE01503692,0.156992,-23.1393,0,0,0.156992,95.4
SPE01505707,0.956403,-1.19762,0,0.232106,0.956403,17.5
SPE01501205,0.966472,-0.924485,0,0.365392,0.966472,16.33
SPE01503228,0.973899,-0.718854,0,0.475532,0.973899,15.7
SPE01504078,0.980986,-0.528163,0,0.61265,0.980986,15.1
SPE01500155,0.992715,-0.174636,0,0.265212,0.992715,13.8
SPE01500667,1.0229,0.626785,0,0.531658,1.0229,11.01
SPE01500247,1.05566,1.53488,0,0.146974,1.05566,7.75
SPE01505955,0.537585,-12.4253,1,0.242234,0.537585,57.1
SPE01503244,0.943861,-1.53296,0,0.145315,0.943861,18.64
SPE01505249,0.96164,-1.05452,0,0.293714,0.96164,16.95
SPE01502202,0.990622,-0.27572,0,0.42674,0.990622,14.21
SPE00300024,0.990099,-0.267761,0,0.79198,0.990099,14.1
SPE01500107,1.03095,0.859598,0,0.439098,1.03095,10.06
SPE01500249,1.03424,0.966518,0,0.416122,1.03424,9.64
SPE01500156,1.05491,1.51406,0,0.151758,1.05491,7.71
SPE01300030,0.923614,-2.08594,0,0.055603,0.923614,20.84
SPE01505172,0.958905,-1.1421,0,0.34933,0.958905,17.31
SPE01503423,0.960508,-1.09098,0,0.301814,0.960508,17.04
SPE01502230,1.00087,0.00610283,0,0.427306,1.00087,13.09
SPE02300259,1.03177,0.816023,0,0.047565,1.03177,10.48
SPE01500157,1.034,0.937808,0,0.359648,1.034,10.43
SPE01500104,1.09904,2.71379,0,0.00727972,1.09904,3.99
SPE01500272,1.1171,3.1853,0,0.025166,1.1171,2.71
SPE01502254,0.290749,-19.4408,0,0,0.290749,82.51
SPE01505312,0.947737,-1.44843,0,0.230538,0.947737,19.56
SPE02300332,0.951846,-1.32747,0,0.201716,0.951846,19.28
SPE01300018,0.976553,-0.641353,0,0.52289,0.976553,17.04
SPE00200046,1.00911,0.251436,0,0.801868,1.00911,14.1
SPE01503428,1.01406,0.389427,0,0.700704,1.01406,12.92
SPE01500273,1.03448,0.974761,0,0.390848,1.03448,11.99
SPE01500186,1.09506,2.5816,0,0.081265,1.09506,6.24
SPE01503705,0.948401,-1.42713,0,0.206538,0.948401,20.77
SPE02300205,0.950885,-1.34217,0,0.192086,0.950885,20.74
SPE01300028,0.959631,-1.0939,0,0.359306,0.959631,19.96
