supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01503968,0.699801,-8.6408,0,1.50673e-11,0.699801,41.11
SPE01505706,0.904337,-2.75821,0,0.0228314,0.904337,20.98
SPE00330001,0.955083,-1.28724,0,0.203386,0.955083,16.02
SPE01501203,0.987747,-0.36123,0,0.729764,0.987747,12.99
SPE01503009,1.01183,0.342521,0,0.734072,1.01183,10.61
SPE01500223,1.0143,0.387693,0,0.633914,1.0143,9.92
SPE01500801,1.02965,0.843357,0,0.399912,1.02965,8.57
SPE01500131,1.03829,1.09516,0,0.274862,1.03829,7.7
SPE01503977,0.982583,-0.492339,0,0.624698,0.982583,13.15
SPE01505482,0.986047,-0.396627,0,0.691814,0.986047,12.75
SPE01300043,0.991302,-0.25706,0,0.802252,0.991302,12.25
SPE01505430,0.992724,-0.226831,0,0.631974,0.992724,11.93
SPE01503134,0.996639,-0.0915658,0,0.913178,0.996639,11.77
SPE01500807,1.01086,0.310455,0,0.756238,1.01086,10.29
SPE01500134,1.03282,0.936883,0,0.348892,1.03282,8.18
SPE01500224,1.04042,1.12775,0,0.350758,1.04042,7.36
SPE01504008,0.101318,-25.6661,0,0,0.101318,100.94
SPE01503216,0.954296,-1.31396,0,0.20414,0.954296,16.32
SPE01505672,0.964209,-1.01664,0,0.312114,0.964209,15.72
SPE01500839,0.971566,-0.802288,0,0.433782,0.971566,14.57
SPE00330002,0.981893,-0.531098,0,0.620158,0.981893,13.98
SPE01500246,1.01239,0.317647,0,0.385872,1.01239,11.14
SPE01500143,1.01954,0.545228,0,0.603332,1.01954,10.48
SPE01504105,1.04229,1.2167,0,0.239766,1.04229,8.26
SPE01503692,0.171735,-23.6789,0,0,0.171735,93.99
SPE01505707,0.960732,-1.10344,0,0.31149,0.960732,16.84
SPE01503228,0.964837,-0.993923,0,0.332936,0.964837,16.28
SPE01501205,0.982616,-0.477789,0,0.66711,0.982616,14.49
SPE01504078,0.988444,-0.302851,0,0.514668,0.988444,14.13
SPE01500667,1.00945,0.264668,0,0.79287,1.00945,11.95
SPE01500247,1.04137,1.15579,0,0.33236,1.04137,8.71
SPE01500155,1.04213,1.19703,0,0.234648,1.04213,8.74
SPE01505249,0.951108,-1.38894,0,0.169156,0.951108,17.83
SPE01503244,0.96289,-1.05471,0,0.293764,0.96289,16.63
SPE01505955,0.970873,-0.837248,0,0.408812,0.970873,15.84
SPE01502202,0.975129,-0.709211,0,0.478198,0.975129,15.37
SPE00300024,0.989777,-0.295096,0,0.768826,0.989777,14.01
SPE01500107,1.03168,0.902132,0,0.367328,1.03168,9.88
SPE01500249,1.04087,1.15211,0,0.276808,1.04087,8.75
SPE01500156,1.04832,1.37373,0,0.17223,1.04832,8.17
SPE01300030,0.948786,-1.45875,0,0.145165,0.948786,17.49
SPE02300259,0.951576,-1.39051,0,0.17625,0.951576,17.22
SPE01505172,0.9534,-1.33174,0,0.18389,0.9534,17.15
SPE01502230,0.964534,-1.00444,0,0.323142,0.964534,16.28
SPE01503423,0.973467,-0.742372,0,0.487432,0.973467,15.35
SPE01500157,1.03218,0.915519,0,0.36086,1.03218,9.13
SPE01500272,1.04704,1.3296,0,0.204096,1.04704,7.6
SPE01500104,1.08384,2.40099,0,0.0195819,1.08384,4.13
SPE01502254,0.276523,-20.7201,0,0,0.276523,83.39
SPE02300332,0.946892,-1.49895,0,0.165218,0.946892,17.74
SPE01505312,0.970407,-0.842134,0,0.400294,0.970407,15.3
SPE01300018,0.980469,-0.553332,0,0.58175,0.980469,14.44
SPE00200046,1.00633,0.187853,0,0.852508,1.00633,12.03
SPE01503428,1.0441,1.28229,0,0.283706,1.0441,8.11
SPE01500186,1.04905,1.41098,0,0.176947,1.04905,8.01
SPE01500273,1.0564,1.59393,0,0.135813,1.0564,7.36
SPE02300205,0.941976,-1.65233,0,0.0992512,0.941976,19.3
SPE01503705,0.952588,-1.36206,0,0.186325,0.952588,17.95
SPE01505453,0.957187,-1.21952,0,0.22304,0.957187,17.7
SPE00310039,0.972237,-0.796666,0,0.429072,0.972237,16.45
SPE01300028,0.988932,-0.30827,0,0.762038,0.988932,14.82
SPE01502255,1.0126,0.329298,0,0.468646,1.0126,11.8
SPE01500205,1.03301,0.943249,0,0.345974,1.03301,10.59
SPE01500274,1.06597,1.86855,0,0.0764356,1.06597,7.35
SPE01503804,0.966131,-0.962755,0,0.337356,0.966131,17.11
SPE00210369,0.971333,-0.817066,0,0.413944,0.971333,16.43
SPE01502258,0.973985,-0.739124,0,0.461046,0.973985,16.37
SPE01505397,0.975254,-0.686712,0,0.54105,0.975254,16.23
SPE00310040,0.978499,-0.606869,0,0.549242,0.978499,15.39
SPE01300027,1.00412,0.133668,0,0.683878,1.00412,13.14
SPE01500208,1.04219,1.21199,0,0.236398,1.04219,8.91
SPE01500275,1.04332,1.22052,0,0.25519,1.04332,8.44
SPE00310035,0.960216,-1.14975,0,0.284178,0.960216,15.09
SPE01505464,0.959658,-1.13889,0,0.275874,0.959658,16.01
SPE01503908,0.963672,-1.03892,0,0.300018,0.963672,15.81
SPE01505347,0.96581,-0.97235,0,0.332148,0.96581,15.11
SPE01503007,0.985836,-0.419793,0,0.698594,0.985836,13.82
SPE01400208,0.988224,-0.338635,0,0.735508,0.988224,12.6
SPE01500215,1.03736,1.07294,0,0.291936,1.03736,7.2
SPE01500277,1.03883,1.11086,0,0.2684,1.03883,6.75
SPE01500260,0.116186,-25.221,0,0,0.116186,99.72
SPE01500523,0.968323,-0.883368,0,0.436982,0.968323,15.67
SPE01500102,0.987055,-0.379975,0,0.714374,0.987055,13.54
SPE01500101,0.99749,-0.0665751,0,0.89837,0.99749,12.89
SPE01500280,0.999344,-0.027365,0,0.825794,0.999344,12.17
SPE01500663,1.01739,0.495856,0,0.619998,1.01739,11.08
SPE01500844,1.05893,1.66772,0,0.114235,1.05893,7.11
SPE01500283,1.06915,1.96965,0,0.049389,1.06915,6.47
SPE01500674,0.171281,-23.6716,0,0,0.171281,94.39
SPE01500282,0.927734,-2.08904,0,0.0863204,0.927734,20.35
SPE01500600,0.946147,-1.54204,0,0.127468,0.946147,19.07
SPE01500524,0.984715,-0.435481,0,0.663236,0.984715,15.19
SPE01500422,0.994002,-0.17594,0,0.861396,0.994002,14.11
SPE01500261,1.01668,0.48046,0,0.633478,1.01668,12.85
SPE01500847,1.02755,0.771248,0,0.470916,1.02755,11.5
SPE01500284,1.04318,1.22956,0,0.219442,1.04318,10.46
SPE01500262,0.116759,-25.2209,0,0,0.116759,99.91
SPE01500285,0.972349,-0.782393,0,0.439854,0.972349,17.52
SPE01500873,0.982403,-0.522166,0,0.647092,0.982403,17.16
SPE01500526,0.983482,-0.483036,0,0.644494,0.983482,16.69
SPE01500602,0.996456,-0.0888914,0,0.75694,0.996456,15.69
SPE01500675,1.00298,0.103814,0,0.634448,1.00298,15.23
SPE01500430,1.00533,0.155515,0,0.876896,1.00533,14.51
SPE01500276,1.01517,0.412183,0,0.632518,1.01517,14.37
SPE01500287,0.90927,-2.61316,0,0.0250474,0.90927,24.97
SPE01500605,0.952264,-1.37161,0,0.18414,0.952264,21.02
SPE01500286,0.968794,-0.899701,0,0.382486,0.968794,19.03
SPE01500534,0.976893,-0.653516,0,0.517638,0.976893,18.67
SPE01500443,0.984682,-0.434796,0,0.664172,0.984682,17.76
SPE01500676,1.0219,0.62353,0,0.533144,1.0219,14.52
SPE01500907,1.06569,1.88956,0,0.079456,1.06569,10.45
SPE01500263,1.06742,1.9159,0,0.0592422,1.06742,10.14
