supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01503968,0.781139,-5.44006,1,2.53822e-06,0.781139,20.64
SPE01505706,0.889768,-2.06535,0,0.04372,0.889768,9.5
SPE00330001,0.935281,-0.656274,0,0.515672,0.935281,4.84
SPE01501203,0.937745,-0.576524,0,0.566084,0.937745,4.56
SPE01500223,0.970522,0.458753,0,0.646414,0.970522,1.26
SPE01500801,0.977472,0.675588,0,0.499408,0.977472,0.52
SPE01503009,0.98444,0.875153,0,0.411764,0.98444,-0.23
SPE01500131,1,1.37844,0,0.170454,1,-1.78
SPE01505482,0.935093,-0.65752,0,0.511516,0.935093,4.93
SPE01503977,0.93882,-0.561988,0,0.608788,0.93882,4.53
SPE01300043,0.940601,-0.497739,0,0.632976,0.940601,4.33
SPE01503134,0.942735,-0.431905,0,0.68052,0.942735,4.12
SPE01505430,0.948189,-0.257713,0,0.801994,0.948189,3.61
SPE01500807,0.969767,0.425581,0,0.674476,0.969767,1.42
SPE01500134,0.975455,0.601477,0,0.556358,0.975455,0.85
SPE01500224,0.994871,1.20541,0,0.250882,0.994871,-1.1
SPE01504008,0.00606202,-29.9422,0,0,0.00606202,100.2
SPE01500839,0.927233,-0.904849,0,0.366528,0.927233,5.87
SPE01503216,0.928268,-0.89665,0,0.42508,0.928268,5.81
SPE01505672,0.933361,-0.71025,0,0.477706,0.933361,5.34
SPE00330002,0.940393,-0.494813,0,0.623346,0.940393,4.61
SPE01500143,0.970212,0.445698,0,0.656292,0.970212,1.54
SPE01500246,0.983893,0.877439,0,0.380338,0.983893,0.13
SPE01504105,0.987842,0.981387,0,0.359132,0.987842,-0.26
SPE01503692,0.140121,-25.6753,0,0,0.140121,86.49
SPE01501205,0.922027,-1.09162,0,0.326674,0.922027,6.46
SPE01504078,0.93653,-0.630567,0,0.556556,0.93653,5
SPE01505707,0.93559,-0.627305,0,0.538588,0.93559,5.1
SPE01503228,0.939037,-0.564484,0,0.609266,0.939037,4.73
SPE01500667,0.969708,0.422839,0,0.677248,0.969708,1.58
SPE01500247,0.985313,0.91544,0,0.364334,0.985313,-0.04
SPE01500155,0.986564,0.964507,0,0.33511,0.986564,-0.16
SPE01505249,0.916272,-1.26506,0,0.232234,0.916272,7.04
SPE01503244,0.922515,-1.0795,0,0.344738,0.922515,6.4
SPE00300024,0.939497,-0.513042,0,0.608398,0.939497,4.65
SPE01505955,0.943562,-0.404201,0,0.697458,0.943562,4.25
SPE01502202,0.954844,-0.0475373,0,0.811318,0.954844,3.08
SPE01500107,0.974923,0.589916,0,0.558124,0.974923,0.98
SPE01500156,0.984621,0.903581,0,0.366564,0.984621,-0.08
SPE01500249,0.989881,1.0583,0,0.295054,0.989881,-0.72
SPE01503423,0.921377,-1.13466,0,0.417854,0.921377,6.11
SPE01505172,0.923256,-1.04211,0,0.31613,0.923256,5.84
SPE01300030,0.926614,-0.933058,0,0.362124,0.926614,5.32
SPE01502230,0.931945,-0.763663,0,0.452686,0.931945,5.13
SPE02300259,0.938477,-0.563623,0,0.587186,0.938477,4.18
SPE01500157,0.988278,1.02541,0,0.311368,0.988278,-1.15
SPE01500272,1.00084,1.40868,0,0.159211,1.00084,-2.46
SPE01500104,1.03834,2.60232,0,0.0113066,1.03834,-6.27
SPE01502254,0.392509,-17.2253,0,1.91694e-19,0.392509,60.5
SPE01505312,0.922323,-1.08974,0,0.358252,0.922323,5.68
SPE02300332,0.926018,-0.953789,0,0.35548,0.926018,5.31
SPE01300018,0.954429,-0.0595511,0,0.825292,0.954429,2.4
SPE00200046,0.958023,0.0673248,0,0.94634,0.958023,2.08
SPE01500186,0.981865,0.800831,0,0.437044,0.981865,-0.31
SPE01500273,0.981629,0.808639,0,0.418826,0.981629,-0.2
SPE01503428,0.994982,1.19767,0,0.290156,0.994982,-1.83
SPE01503705,0.904483,-1.64067,0,0.133162,0.904483,7.86
SPE02300205,0.92315,-1.05248,0,0.330994,0.92315,5.99
SPE01505453,0.926979,-0.927596,0,0.378338,0.926979,5.59
SPE01502255,0.94405,-0.389921,0,0.709092,0.94405,3.74
SPE01300028,0.946618,-0.304562,0,0.766002,0.946618,3.55
SPE00310039,0.960848,0.146815,0,0.884378,0.960848,2.04
SPE01500274,0.989661,1.04778,0,0.305244,0.989661,-1.1
SPE01500205,0.989809,1.05252,0,0.302924,0.989809,-1.02
SPE00210369,0.932565,-0.737235,0,0.461836,0.932565,4.28
SPE01503804,0.933312,-0.726286,0,0.484978,0.933312,4.47
SPE01502258,0.941347,-0.471552,0,0.646852,0.941347,3.77
SPE01300027,0.947736,-0.269568,0,0.79233,0.947736,2.59
SPE00310040,0.949227,-0.234426,0,0.680974,0.949227,2.28
SPE01505397,0.949328,-0.19483,0,0.831442,0.949328,2.69
