supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01503968,0.700245,-8.26016,0,1.27002e-14,0.700245,40.69
SPE01505706,0.894505,-2.90452,0,0.00499908,0.894505,21.47
SPE00330001,0.979434,-0.570093,0,0.54644,0.979434,12.95
SPE01500223,0.994021,-0.165473,0,0.870132,0.994021,11.74
SPE01501203,0.999252,-0.0203053,0,0.95151,0.999252,10.79
SPE01503009,1.01283,0.355388,0,0.715126,1.01283,9.54
SPE01500801,1.03482,0.960877,0,0.365828,1.03482,7.62
SPE01500131,1.04844,1.33453,0,0.183102,1.04844,6.29
SPE01503977,0.963158,-1.01291,0,0.345034,0.963158,15.04
SPE01505482,0.970379,-0.816646,0,0.418786,0.970379,14.31
SPE01300043,0.974352,-0.704773,0,0.505328,0.974352,13.81
SPE01503134,0.978749,-0.584329,0,0.567116,0.978749,13.41
SPE01505430,0.998454,-0.0422447,0,0.948312,0.998454,11.61
SPE01500807,1.01775,0.488336,0,0.628878,1.01775,9.7
SPE01500134,1.01814,0.500741,0,0.626134,1.01814,9.73
SPE01500224,1.04693,1.29425,0,0.218216,1.04693,6.92
SPE01504008,0.0958953,-24.9039,0,0,0.0958953,101.17
SPE01503216,0.962811,-1.02461,0,0.305956,0.962811,15.3
SPE01500839,0.968586,-0.866257,0,0.3946,0.968586,14.67
SPE01505672,0.971535,-0.786179,0,0.470232,0.971535,14.45
SPE00330002,0.987828,-0.33713,0,0.730156,0.987828,12.87
SPE01500143,1.01208,0.333597,0,0.742314,1.01208,10.62
SPE01500246,1.0161,0.443988,0,0.658982,1.0161,10.27
SPE01504105,1.05239,1.44545,0,0.191102,1.05239,6.62
SPE01503692,0.136361,-23.7887,0,0,0.136361,97.25
SPE01505707,0.964184,-0.985388,0,0.337188,0.964184,15.69
SPE01503228,0.965748,-0.945413,0,0.378258,0.965748,15.33
SPE01501205,0.975037,-0.686532,0,0.502344,0.975037,14.41
SPE01504078,0.98634,-0.375919,0,0.707612,0.98634,13.43
SPE01500667,1.01347,0.369941,0,0.716416,1.01347,10.87
SPE01500155,1.01759,0.482781,0,0.64902,1.01759,10.47
SPE01500247,1.04849,1.33669,0,0.191594,1.04849,7.51
SPE01505249,0.961118,-1.07014,0,0.291812,0.961118,16.1
SPE01503244,0.968852,-0.857428,0,0.394112,0.968852,15.35
SPE00300024,0.975051,-0.687981,0,0.49602,0.975051,14.6
SPE01505955,0.97552,-0.675357,0,0.508216,0.97552,14.61
SPE01502202,0.976733,-0.63984,0,0.531492,0.976733,14.58
SPE01500107,1.01335,0.368605,0,0.717044,1.01335,10.78
SPE01500156,1.02562,0.706299,0,0.482882,1.02562,9.44
SPE01500249,1.03115,0.858556,0,0.392288,1.03115,8.74
SPE01505172,0.954645,-1.25137,0,0.247108,0.954645,15.85
SPE02300259,0.958585,-1.14163,0,0.25988,0.958585,15.36
SPE01503423,0.971526,-0.783892,0,0.434924,0.971526,14.35
SPE01300030,0.979139,-0.573772,0,0.571538,0.979139,13.24
SPE01502230,0.988884,-0.305706,0,0.760964,0.988884,12.77
SPE01500157,1.02626,0.723429,0,0.469628,1.02626,8.34
SPE01500272,1.0435,1.20027,0,0.267764,1.0435,6.62
SPE01500104,1.08326,2.29479,0,0.0272168,1.08326,2.77
SPE01502254,0.306229,-19.1096,0,0,0.306229,80.13
SPE02300332,0.950514,-1.36316,0,0.172841,0.950514,15.94
SPE01505312,0.953009,-1.29452,0,0.195657,0.953009,15.65
SPE01300018,0.979888,-0.553669,0,0.580638,0.979888,13.07
SPE00200046,1.0118,0.323989,0,0.752192,1.0118,9.94
SPE01500186,1.03487,0.959723,0,0.3412,1.03487,7.77
SPE01503428,1.04646,1.28134,0,0.222772,1.04646,6.33
SPE01500273,1.05343,1.47309,0,0.151917,1.05343,6.11
SPE01503705,0.94168,-1.60666,0,0.108459,0.94168,17.41
SPE01505453,0.956473,-1.19955,0,0.233196,0.956473,16.01
SPE02300205,0.961566,-1.05918,0,0.291872,0.961566,15.54
SPE01300028,0.986377,-0.373967,0,0.717278,0.986377,13.12
SPE01502255,0.99328,-0.184684,0,0.85399,0.99328,12.2
SPE00310039,0.995966,-0.114183,0,0.546408,0.995966,12.02
SPE01500205,1.03617,0.998292,0,0.350716,1.03617,8.09
SPE01500274,1.05414,1.49293,0,0.153445,1.05414,6.23
SPE01502258,0.966064,-0.934872,0,0.34995,0.966064,14.84
SPE00210369,0.966234,-0.928673,0,0.371894,0.966234,14.46
SPE01505397,0.970959,-0.799641,0,0.424728,0.970959,14.13
SPE01503804,0.974865,-0.69295,0,0.491282,0.974865,13.85
SPE01300027,0.995345,-0.128,0,0.898256,0.995345,11.33
SPE00310040,1.00297,0.0800343,0,0.736494,1.00297,10.25
SPE01500275,1.03394,0.937187,0,0.40174,1.03394,6.62
SPE01500208,1.04616,1.27325,0,0.227928,1.04616,5.7
SPE01505464,0.953962,-1.26905,0,0.21179,0.953962,13.68
SPE01505347,0.958922,-1.13131,0,0.258296,0.958922,12.91
SPE01503908,0.960146,-1.09933,0,0.293442,0.960146,13.34
SPE00310035,0.980591,-0.536736,0,0.621908,0.980591,10.02
SPE01503007,0.981839,-0.499944,0,0.617766,0.981839,11.5
SPE01400208,0.992129,-0.216208,0,0.829986,0.992129,9.22
SPE01500215,1.02613,0.721343,0,0.492072,1.02613,5.12
SPE01500277,1.03765,1.03745,0,0.300868,1.03765,3.56
SPE01500260,0.0956335,-24.9117,0,0,0.0956335,100.15
SPE01500101,0.986407,-0.37673,0,0.671718,0.986407,9.32
SPE01500523,0.989607,-0.286353,0,0.774636,0.989607,8.71
SPE01500280,0.992879,-0.195778,0,0.845214,0.992879,7.74
SPE01500102,1.0011,0.0326538,0,0.654378,1.0011,7.26
SPE01500663,1.01652,0.453336,0,0.667144,1.01652,6.58
SPE01500283,1.03442,0.948629,0,0.34491,1.03442,5.76
SPE01500844,1.04508,1.24423,0,0.262154,1.04508,4.08
SPE01500674,0.153948,-23.3076,0,0,0.153948,94.51
SPE01500282,0.960752,-1.08189,0,0.284908,0.960752,13.43
SPE01500600,0.965781,-0.942794,0,0.346204,0.965781,13.82
SPE01500524,0.982849,-0.470441,0,0.66312,0.982849,11.86
SPE01500422,0.989185,-0.296896,0,0.770996,0.989185,10.91
SPE01500284,0.996492,-0.0981739,0,0.763678,0.996492,11.86
SPE01500261,1.00443,0.122156,0,0.902846,1.00443,10.87
SPE01500847,1.0197,0.545118,0,0.625096,1.0197,9.13
SPE01500262,0.114313,-24.3968,0,0,0.114313,98.67
SPE01500873,0.975194,-0.684708,0,0.510182,0.975194,14.75
SPE01500276,0.978662,-0.591489,0,0.536418,0.978662,14.44
SPE01500602,0.9798,-0.55734,0,0.583524,0.9798,14.18
SPE01500526,0.982494,-0.480317,0,0.654314,0.982494,13.85
SPE01500430,0.99983,-0.00342175,0,0.804422,0.99983,11.99
SPE01500675,1.00574,0.157496,0,0.875784,1.00574,11.73
SPE01500285,1.00744,0.203568,0,0.797492,1.00744,11
SPE01500287,0.868108,-3.63098,0,0.000656438,0.868108,25.25
SPE01500605,0.948023,-1.43205,0,0.152947,0.948023,17.63
SPE01500534,0.974468,-0.702634,0,0.486016,0.974468,15.06
SPE01500286,0.985857,-0.388974,0,0.699372,0.985857,13.87
SPE01500443,0.992976,-0.193857,0,0.84668,0.992976,13.2
SPE01500676,1.01846,0.509991,0,0.627682,1.01846,10.79
SPE01500907,1.02268,0.624924,0,0.532336,1.02268,10.3
SPE01500263,1.04004,1.10316,0,0.271034,1.04004,8.54
SPE01500444,0.882311,-3.24215,0,0.00122025,0.882311,23.69
SPE01500607,0.960816,-1.07843,0,0.288602,0.960816,15.9
SPE01500536,0.980338,-0.540235,0,0.602414,0.980338,14.08
SPE01500296,0.987528,-0.344275,0,0.733258,0.987528,13.49
SPE01500680,0.988826,-0.307304,0,0.759656,0.988826,13.07
SPE01501128,0.997315,-0.0750993,0,0.823078,0.997315,12.13
SPE01500264,1.02543,0.700713,0,0.484208,1.02543,9.33
SPE01500279,1.02583,0.711108,0,0.479216,1.02583,9.23
SPE01500446,0.0984961,-24.8325,0,0,0.0984961,100.14
SPE01500311,0.950853,-1.35287,0,0.182903,0.950853,16.58
SPE01500538,0.968059,-0.879642,0,0.37938,0.968059,14.89
SPE01500611,0.990859,-0.252037,0,0.801248,0.990859,12.68
SPE01500687,1.02411,0.662619,0,0.528186,1.02411,9.47
SPE01500253,1.02609,0.718299,0,0.473116,1.02609,9.39
SPE01500266,1.03301,0.910807,0,0.382156,1.03301,8.86
SPE01500288,1.04392,1.21038,0,0.228056,1.04392,7.91
SPE01500255,0.946953,-1.46098,0,0.144398,0.946953,18.17
SPE01500291,0.959505,-1.11723,0,0.292238,0.959505,17.12
SPE01500541,0.961272,-1.06569,0,0.29736,0.961272,16.41
SPE01500648,0.979099,-0.574439,0,0.578116,0.979099,14.81
SPE01500459,0.980059,-0.546894,0,0.624418,0.980059,14.46
SPE01500314,0.983521,-0.456098,0,0.67726,0.983521,13.9
SPE01500822,1.00843,0.23307,0,0.817742,1.00843,12.1
SPE01500267,1.04354,1.19884,0,0.233426,1.04354,8.94
SPE01505756,0.104139,-24.6768,0,0,0.104139,99.63
SPE01500837,0.888728,-3.06614,0,0.00270074,0.888728,23.64
SPE01500649,0.970087,-0.821461,0,0.46593,0.970087,15.99
SPE01500566,0.98268,-0.476038,0,0.641378,0.98268,14.87
SPE01500486,0.983034,-0.469532,0,0.668682,0.983034,14.86
SPE01500268,0.991605,-0.229504,0,0.736234,0.991605,13.22
SPE01500331,1.00175,0.0470052,0,0.812016,1.00175,13.09
SPE01500256,1.01433,0.393137,0,0.707662,1.01433,11.23
SPE01500838,0.873759,-3.47975,0,0.0013458,0.873759,22.93
SPE01500487,0.975009,-0.688824,0,0.492578,0.975009,13.88
SPE01500651,0.975907,-0.662404,0,0.52056,0.975907,13.17
SPE01500568,0.991848,-0.225086,0,0.822842,0.991848,11.89
SPE01500258,0.996365,-0.0983441,0,0.727224,0.996365,10.44
SPE01500346,1.00072,0.0172849,0,0.613146,1.00072,11.64
SPE01500269,1.02239,0.616415,0,0.538776,1.02239,7.41
SPE01500293,1.02621,0.721615,0,0.47245,1.02621,6.62
SPE01500655,0.956763,-1.19117,0,0.233886,0.956763,12.06
SPE01500270,0.976095,-0.659492,0,0.51804,0.976095,8.9
SPE01500579,0.980153,-0.548309,0,0.602006,0.980153,10.04
SPE01500841,0.988327,-0.320313,0,0.755858,0.988327,8.47
SPE01500492,0.990622,-0.258717,0,0.796492,0.990622,9.4
SPE01500103,0.997542,-0.0677002,0,0.946024,0.997542,9.11
SPE01500259,1.00615,0.171195,0,0.729704,1.00615,6.25
SPE01500295,1.0304,0.836804,0,0.40594,1.0304,2.88
SPE01500328,0.0951547,-24.9247,0,0,0.0951547,101.27
SPE01500313,0.783877,-5.95697,0,9.09242e-08,0.783877,30.19
SPE01500343,0.978431,-0.593622,0,0.554812,0.978431,10.23
SPE01500354,0.99594,-0.113004,0,0.819024,0.99594,8.43
SPE01500368,1.01063,0.293144,0,0.76982,1.01063,6.97
SPE01500299,1.0108,0.299648,0,0.670056,1.0108,6.88
SPE01500400,1.02355,0.650801,0,0.550378,1.02355,5.73
SPE01500383,1.03226,0.887648,0,0.383526,1.03226,4.75
SPE01500330,0.804304,-5.39306,0,4.907e-07,0.804304,28.32
SPE01500344,0.962278,-1.03977,0,0.303074,0.962278,12.13
SPE01500300,0.992375,-0.209019,0,0.837666,0.992375,8.95
SPE01500355,1.0018,0.0486333,0,0.858568,1.0018,8.12
SPE01500372,1.01361,0.375202,0,0.708532,1.01361,7.06
SPE01500387,1.02055,0.567048,0,0.57682,1.02055,6.54
