supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
SPE01503968,0.745897,-6.38494,0,2.16228e-08,0.745897,25.26
SPE01505706,0.916142,-1.21772,0,0.265704,0.916142,8.12
SPE01501203,0.939877,-0.503416,0,0.6169,0.939877,5.76
SPE00330001,0.942287,-0.430608,0,0.668052,0.942287,5.47
SPE01500223,0.95412,-0.0833022,0,0.663666,0.95412,4.23
SPE01503009,0.983131,0.825886,0,0.50833,0.983131,1.42
SPE01500801,0.984227,0.850212,0,0.416656,0.984227,1.25
SPE01500131,0.994092,1.14531,0,0.25428,0.994092,0.24
SPE01503977,0.915168,-1.2486,0,0.244326,0.915168,8.09
SPE01300043,0.935558,-0.629021,0,0.554424,0.935558,6.09
SPE01505430,0.93834,-0.544654,0,0.60749,0.93834,5.74
SPE01503134,0.942482,-0.419154,0,0.690666,0.942482,5.37
SPE01505482,0.947159,-0.280235,0,0.782846,0.947159,4.86
SPE01500224,0.949676,-0.205045,0,0.838788,0.949676,4.49
SPE01500807,0.965628,0.276002,0,0.782814,0.965628,2.96
SPE01500134,0.969399,0.387967,0,0.701924,0.969399,2.54
SPE01504008,0.00104822,-29.0812,0,0,0.00104822,100.04
SPE01505672,0.939042,-0.520309,0,0.640682,0.939042,5.4
SPE01503216,0.939158,-0.510314,0,0.515232,0.939158,5.48
SPE00330002,0.940784,-0.476107,0,0.63573,0.940784,5.17
SPE01500839,0.941976,-0.439632,0,0.662098,0.941976,5.24
SPE01500246,0.957646,0.0253893,0,0.706842,0.957646,3.32
SPE01504105,0.966708,0.312048,0,0.755826,0.966708,2.49
SPE01500143,0.973742,0.519041,0,0.611422,0.973742,1.73
SPE01503692,0.107941,-25.8257,0,0,0.107941,89.23
SPE01501205,0.933116,-0.706406,0,0.490852,0.933116,5.77
SPE01504078,0.93412,-0.669202,0,0.554506,0.93412,5.66
SPE01505707,0.934572,-0.653683,0,0.57867,0.934572,5.61
SPE01503228,0.945382,-0.329812,0,0.7263,0.945382,4.52
SPE01500667,0.964845,0.252403,0,0.800886,0.964845,2.54
SPE01500247,0.965605,0.27557,0,0.78304,0.965605,2.44
SPE01500155,0.969631,0.397451,0,0.691622,0.969631,2.04
SPE01505249,0.910552,-1.38602,0,0.218634,0.910552,8
SPE00300024,0.922362,-1.02085,0,0.43269,0.922362,6.77
SPE01503244,0.92796,-0.861487,0,0.409664,0.92796,6.24
SPE01505955,0.949511,-0.215612,0,0.830258,0.949511,4.05
SPE01502202,0.958649,0.0581351,0,0.777938,0.958649,3.14
SPE01500107,0.965691,0.280354,0,0.779494,0.965691,2.34
SPE01500156,0.972754,0.49063,0,0.627038,0.972754,1.56
SPE01500249,0.975326,0.568361,0,0.574696,0.975326,1.23
SPE01505172,0.915678,-1.22832,0,0.293782,0.915678,7.1
SPE01503423,0.92203,-1.03375,0,0.393174,0.92203,6.51
SPE01300030,0.940048,-0.493494,0,0.638064,0.940048,4.5
