Compound ID,Compound Name,,,,,,,,,,,
AW 00178,N-(5-chloro-2-methylphenyl)-N`-{4-[5-(trifluoromethyl)-1H-pyrazol-1-yl]phenyl}thiourea,,,,,,,,,,,N-(5-chloro-2-methylphenyl)-N`-{4-[5-(trifluoromethyl)-1H-pyrazol-1-yl]phenyl}thiourea
AW 00215,ethyl 2-amino-4-(4-fluorophenyl)thiophene-3-carboxylate,,,,,,,,,,,ethyl 2-amino-4-(4-fluorophenyl)thiophene-3-carboxylate
AW 00227,N-(3-chloro-4-fluorophenyl)-N`-{4-[4-(trifluoromethoxy)phenoxy]phenyl}thiourea,,,,,,,,,,,N-(3-chloro-4-fluorophenyl)-N`-{4-[4-(trifluoromethoxy)phenoxy]phenyl}thiourea
AW 00255,N1-{4-[4-(trifluoromethoxy)phenoxy]phenyl}-3-chlorobenzene-1-sulfonamide,,,,,,,,,,,N1-{4-[4-(trifluoromethoxy)phenoxy]phenyl}-3-chlorobenzene-1-sulfonamide
AW 00264,"1-[(2,4-dichlorobenzyl)amino]-3-[2-(4-fluorophenyl)-1H-indol-1-yl]propan-2-ol",,,,,,,,,,,"1-[(2,4-dichlorobenzyl)amino]-3-[2-(4-fluorophenyl)-1H-indol-1-yl]propan-2-ol"
AW 00294,"N1-(3,5-dichlorophenyl)-4-[5-(trifluoromethyl)-2-pyridyl]-1,4-diazepane-1-carbothioamide",,,,,,,,,,,"N1-(3,5-dichlorophenyl)-4-[5-(trifluoromethyl)-2-pyridyl]-1,4-diazepane-1-carbothioamide"
AW 00421,"N2-(2,4-dimethylphenyl)-5-(2-methyl-1,3-thiazol-4-yl)thiophene-2-sulfonamide",,,,,,,,,,,"N2-(2,4-dimethylphenyl)-5-(2-methyl-1,3-thiazol-4-yl)thiophene-2-sulfonamide"
AW 00430,"N2-(4-bromo-2-chlorophenyl)-5-(2-methyl-1,3-thiazol-4-yl)thiophene-2-sulfonamide",,,,,,,,,,,"N2-(4-bromo-2-chlorophenyl)-5-(2-methyl-1,3-thiazol-4-yl)thiophene-2-sulfonamide"
AW 00436,"2-phenyl-4-(2-thienyl)-1,3-thiazole",,,,,,,,,,,"2-phenyl-4-(2-thienyl)-1,3-thiazole"
AW 00475,"5-[2-methyl-6-(trifluoromethyl)-3-pyridyl]-1,3,4-oxadiazol-2-yl4-chlorobenzene-1-carbothioate",,,,,,,,,,,"5-[2-methyl-6-(trifluoromethyl)-3-pyridyl]-1,3,4-oxadiazol-2-yl4-chlorobenzene-1-carbothioate"
AW 00480,"5-[2-methyl-6-(trifluoromethyl)-3-pyridyl]-1,3,4-oxadiazol-2-yl2-methyl-6-(trifluoromethyl)pyridine-3-carbothioate",,,,,,,,,,,"5-[2-methyl-6-(trifluoromethyl)-3-pyridyl]-1,3,4-oxadiazol-2-yl2-methyl-6-(trifluoromethyl)pyridine-3-carbothioate"
AW 00519,"N1-(4-fluorophenyl)-4-(2,4-dichlorobenzyl)-1,4-diazepane-1-carbothioamide",,,,,,,,,,,"N1-(4-fluorophenyl)-4-(2,4-dichlorobenzyl)-1,4-diazepane-1-carbothioamide"
AW 00564,"N1-(2,4-dichlorophenyl)-4-[4-(trifluoromethyl)-2-pyrimidinyl]-1,4-diazepane-1-carbothioamide",,,,,,,,,,,"N1-(2,4-dichlorophenyl)-4-[4-(trifluoromethyl)-2-pyrimidinyl]-1,4-diazepane-1-carbothioamide"
AW 00594,"N1-(3-chloro-2-methylphenyl)-4-(6-chloro-1,3-benzothiazol-2-yl)-1,4-diazepane-1-carbothioamide",,,,,,,,,,,"N1-(3-chloro-2-methylphenyl)-4-(6-chloro-1,3-benzothiazol-2-yl)-1,4-diazepane-1-carbothioamide"
AW 00603,"N1-(3-chloro-2-methylphenyl)-4-[2-nitro-4-(trifluoromethyl)phenyl]-1,4-diazepane-1-carbothioamide",,,,,,,,,,,"N1-(3-chloro-2-methylphenyl)-4-[2-nitro-4-(trifluoromethyl)phenyl]-1,4-diazepane-1-carbothioamide"
AW 00625,"1-[4-(6-chloro-1,3-benzothiazol-2-yl)piperazino]-3-{4-[3-chloro-5-(trifluoromethyl)-2-pyridyl]-1,4-diazepan-1-yl}-2-propanol",,,,,,,,,,,"1-[4-(6-chloro-1,3-benzothiazol-2-yl)piperazino]-3-{4-[3-chloro-5-(trifluoromethyl)-2-pyridyl]-1,4-diazepan-1-yl}-2-propanol"
AW 00637,"1-[4-(6-chloro-1,3-benzothiazol-2-yl)piperazino]-3-(1H-1-indolyl)-2-propanol",,,,,,,,,,,"1-[4-(6-chloro-1,3-benzothiazol-2-yl)piperazino]-3-(1H-1-indolyl)-2-propanol"
