supplier_obj_id,ADK1,ARK1,AVO1,BCK1,BY4741-2nd,BY4741-3rd,BY4741,BY4743,CAK1,CBK1,CCL1,CDC14,CDC15,CDC28,cdc34,cdc4,CDC5,cdc53,CDC7,CKA2,CKI1,CKS1,CLN2,DAK1,DBF2,DBF4,DUN1,ELM1,FAB1,FAR1,FCP1,FMP48,GLC7,HOG1,HSL1,ILV3,IPL1,IRE1,ISR1,KIN28,KSP1,LST8,MCK1,MEC1,MKK1,MPS1,NNK1,NPR1,PBS2,pdryCG196,pdryCG196log,pdryCG200,PFK2,PFK27,PKC1,PRR2,RIO1,RIO2,SCD5,SCH9,SDS22,SFP1,SLN1,SLT2,SSU72,TOR1,TOR2,TSCII,YCK3,YNK1,YPI1
AW 00255,0.362095,-0.306908,0.709271,0.354649,0.58838,-9.62368,-0.101937,0.633998,0.479258,0.043667199999999996,0.00465668,0.47240699999999997,0.260848,0.224104,0.6714720000000001,0.215058,0.412055,0.5085890000000001,0.150306,-0.251783,0.0331957,0.148065,-7.0999,-0.0328999,0.25963800000000004,-0.10806700000000001,0.735627,-0.300595,-1.36055,0.11885899999999999,0.324004,0.048919300000000006,-0.189219,-8.91412,-0.340528,0.198999,-0.019565700000000002,-0.8509709999999999,0.583551,0.0667329,-0.0429277,-0.0121573,-0.408439,0.302026,-0.334839,0.26866999999999996,0.663488,0.5651609999999999,-0.46160100000000004,-19.1595,-19.7347,-37.2045,0.14058299999999999,-0.031924799999999996,-0.158726,-0.0376906,0.582222,0.6978989999999999,-0.292459,0.37315,0.397915,0.41931899999999994,0.32348899999999997,-11.9331,0.132159,0.0823591,0.07786269999999999,0.326827,0.363674,-0.0869702,-0.0209423
AW 00421,0.460032,-0.704526,0.330919,-0.471099,-0.773127,-8.812339999999999,0.41640600000000005,0.07216669999999999,0.21130900000000002,0.298377,0.18112799999999998,0.247292,-0.00716431,0.32008200000000003,0.128503,0.0775445,0.09029880000000001,0.579246,0.258241,-1.3916899999999999,-0.729313,0.171612,-8.04751,-1.1241,0.040718800000000006,0.235827,0.854715,0.00892258,-0.349575,-0.133184,0.20972399999999997,-0.431255,-1.0479100000000001,-9.45707,-0.731042,-0.676367,0.25183099999999997,-0.37208600000000003,0.582078,-0.152001,-0.0423157,-0.100129,-0.549991,0.275751,-1.3041399999999999,0.168348,-0.0171236,-0.48907,-0.186427,-22.0727,-23.4885,-11.2857,-0.6234890000000001,-0.111246,0.454013,-0.50575,-0.8315739999999999,0.018756099999999998,0.00395831,0.62463,0.45711599999999997,-0.21790900000000002,0.333856,-9.43772,0.46732399999999996,-0.268342,-1.02015,-0.0185102,-0.255892,-0.7941090000000001,0.101221
AW 00430,-1.7032900000000002,-0.940734,-1.03118,-0.695054,-0.679165,-10.1484,-0.217331,-1.77935,-0.8879370000000001,-1.63699,-1.15832,-1.1511,-1.9154099999999998,-0.83919,-1.8530900000000001,-0.8271299999999999,-1.38174,-1.31459,-1.99426,-1.0719299999999998,-1.00316,-1.09915,-9.46597,-1.12471,-0.303005,-2.31602,-1.37981,-0.967247,-0.602984,-0.79089,-1.58971,-1.0016399999999999,-1.37889,-10.6724,-1.3031,-1.4521,-1.80792,-1.4337799999999998,-1.55281,-0.7476520000000001,-0.43889799999999995,-2.35616,-0.51543,-1.63468,-1.50233,-0.938694,-2.1299,-0.433061,-1.75125,-19.4911,-21.314,-36.6151,-0.801796,-1.15838,-1.5947,-0.784163,-0.747851,-2.33089,-1.7763400000000003,0.245381,-1.59429,-0.936467,-0.960025,-11.4837,-1.11802,-0.303071,-1.41854,-1.62982,-0.060211,-1.0387899999999999,-1.54588
AW 00475,-5.52265,-4.9638599999999995,-4.57735,-3.69541,-4.38314,-17.5826,-3.92889,-4.51091,-4.28359,-5.7116,-4.89556,-4.55265,-4.71521,-5.00398,-4.85312,-4.960719999999999,-4.64405,-4.86603,-5.16617,-4.4077,-5.00513,-4.53204,-18.8798,-5.2400199999999995,-3.2044599999999996,-5.47123,-6.80161,-4.46644,-3.19244,-3.0223,-4.41867,-3.6934099999999996,-2.71801,-22.5848,-5.51379,-1.8428099999999998,-5.23379,-4.713080000000001,-6.858739999999999,-4.72098,-4.0514,-5.05241,-4.7375300000000005,-4.28605,-5.52885,-4.45747,-8.29355,-4.03985,-6.4077,-18.82,-21.1318,-29.5772,-5.29821,-5.22485,-5.0355099999999995,-4.92971,-1.1653799999999999,-4.68575,-5.3727599999999995,-6.6642,-4.76577,-1.62452,-4.432169999999999,-17.2686,-4.71943,-2.7701,-1.89422,-4.626869999999999,-5.768,-5.7678199999999995,-5.284009999999999
AW 00480,-1.5579100000000001,-0.8484879999999999,-1.19428,-0.463796,-0.72628,-9.47402,0.0753262,-1.4324299999999999,-1.12494,-2.0651,-1.37716,-0.783884,-1.4673399999999999,-1.21899,-1.41193,-1.31515,-1.01404,-1.01825,-1.47855,-0.659371,-0.302296,-1.04536,-11.1881,-0.571527,-0.417324,-1.8874,-1.07533,-0.49516899999999997,0.597456,0.102104,-1.07266,-0.383918,-0.136641,-14.1973,-0.8980450000000001,0.252279,-1.41645,-1.83133,-1.17458,-1.17292,-0.25990100000000005,-1.18035,-0.811161,-1.0056,-1.3549,-1.01909,-2.0596200000000002,-0.385653,-1.5433,-10.9301,-12.8618,-11.1091,-0.5816560000000001,-0.754364,-1.3735,-0.567629,0.394192,-1.51664,-1.4013799999999998,-2.2037299999999997,-1.2291,0.29252399999999995,-1.14469,-10.2841,-1.04941,-0.252943,-0.038770099999999995,-1.35289,-0.706334,-0.887438,-1.41428
AW 00519,-0.199248,1.0998299999999999,0.9390780000000001,1.08683,0.987009,-3.1377,1.5773700000000002,1.0025600000000001,0.21596100000000001,0.18950799999999998,0.473869,1.02659,0.561164,0.275898,0.423368,0.789075,0.795369,0.5888979999999999,0.152005,1.1869,1.2940399999999999,0.8422290000000001,-3.22353,1.2335399999999999,0.916926,0.222377,0.414937,0.638157,1.11029,1.29951,0.728167,1.37684,1.07815,-5.21931,0.9958530000000001,1.21985,0.28905,0.386712,0.704129,0.8634280000000001,1.76495,0.362427,1.09673,0.445272,0.833168,0.627995,0.36096,1.57,0.33366599999999996,-8.58432,-9.57086,-0.25354499999999996,0.9396190000000001,1.40775,0.41758,0.913308,1.3108899999999999,0.44842299999999996,0.361019,0.763713,0.8838239999999999,1.2874700000000001,0.0704985,-2.6071299999999997,0.792669,1.1890399999999999,0.9030940000000001,0.378127,1.52859,0.969715,0.30525
AW 00564,0.228698,0.496749,0.48458500000000004,0.330851,0.26695599999999997,-5.63697,0.834729,0.43248500000000006,-0.47574399999999994,0.24813200000000002,-0.0738716,0.180301,-0.135035,-0.11423399999999999,0.148796,0.23276799999999997,-0.180152,-0.0116003,-0.69435,0.423432,0.776075,-0.16563,-6.32726,0.783776,-0.085862,-0.543083,-0.23157800000000003,0.12745499999999998,1.06449,0.716493,-0.0850702,0.809721,0.886525,-9.09066,0.46215500000000004,1.03892,-0.23960399999999998,-0.753725,0.0633186,-0.00217799,1.0047700000000002,0.00159848,0.31864899999999996,-0.124643,-0.503612,-0.0893488,-0.568338,0.734068,0.426415,-17.9279,-15.6164,-33.5466,0.42544399999999993,0.610535,0.055423599999999996,0.552388,1.0047700000000002,-0.46943100000000004,-0.35922600000000005,0.27218200000000004,0.11676199999999999,0.837636,-0.165265,-7.73262,0.122617,0.5021909999999999,0.36456,0.114507,1.3232,0.646287,-0.32018
AW 00594,0.337372,-0.48999799999999993,0.77385,-0.43003800000000003,-0.11273,-6.08649,0.132806,0.723437,-0.280528,0.419401,-0.122128,0.199527,-0.0185145,0.0784579,0.10689100000000001,0.256312,0.285451,0.6423949999999999,-0.36829,-0.949425,0.0315999,0.40467,-6.4737,0.77367,-1.7558900000000002,0.229402,-0.787655,0.366718,1.26815,-0.7322810000000001,0.06023200000000001,0.160997,-0.0892519,-5.98785,0.544013,-0.169456,0.0632097,-2.1802099999999998,0.27110500000000004,0.412595,0.9217620000000001,-0.9615040000000001,0.367383,0.159664,-0.471267,0.07914639999999999,0.41877600000000004,0.538259,0.28170700000000004,-32.1107,-36.4253,-38.4724,0.483512,0.318318,0.0797529,0.606202,-0.2108,0.0199019,-0.278114,0.555068,0.115069,-0.41654300000000005,0.29149200000000003,-10.0918,0.166881,-0.155504,-0.24964699999999998,-0.026779400000000005,0.323775,0.14131300000000002,0.383387
AW 00603,0.48175500000000004,0.602969,0.626397,0.945629,0.789215,-4.71646,0.696503,0.551234,0.8289200000000001,0.156226,0.653157,0.9416760000000001,0.652842,0.890763,0.15404400000000001,0.261826,-0.564376,0.45258699999999996,0.713749,0.45768100000000006,0.297083,0.815917,-3.7979199999999995,1.10215,0.519127,0.5408109999999999,-0.125389,0.724133,0.16784300000000002,0.204731,0.952083,0.8363229999999999,0.44509899999999997,-4.10921,1.00796,0.213944,0.701071,-0.3453,-0.323075,0.15854300000000002,0.886877,0.0932294,0.530941,-0.202647,0.924688,0.8635010000000001,0.457689,1.20859,-0.27364299999999997,-28.9995,-27.0677,-37.0357,0.643001,0.704631,0.17135,0.6420279999999999,0.902674,0.343379,0.061476300000000005,0.9004,0.9073540000000001,0.400446,0.620132,-4.29331,0.385969,0.458484,0.31048400000000004,0.254231,1.10851,0.692513,0.46419399999999994
AW 00637,0.627328,0.0585894,0.019927200000000003,0.450508,-0.29985,-6.27729,0.391263,0.611384,0.600582,0.292696,0.646217,0.9374129999999999,1.1459700000000002,0.470918,0.9857739999999999,0.832725,0.5959270000000001,1.13592,0.867758,0.250975,0.0529703,0.787626,-1.95606,0.04075669999999999,0.486267,1.04887,0.597997,0.658321,-0.325817,-0.25609899999999997,1.24281,0.6068359999999999,-0.238224,-3.95877,0.159344,-0.181154,0.640357,0.278027,0.744073,0.543672,0.6612060000000001,0.27319899999999997,0.126879,0.983833,0.377745,0.6574220000000001,-0.00126808,0.687761,-0.288602,-12.0217,-11.9506,-5.40316,0.0328042,-0.169988,0.768254,-0.23794400000000002,0.343937,1.34504,0.322929,0.551571,0.8867,0.00913474,1.1141299999999998,-3.6755400000000003,1.09523,0.200242,-0.16731300000000002,0.818666,-0.0836452,-0.294315,0.747498
