supplier_obj_id,BCK1,BY4741-2nd,BY4741-3rd,BY4741,BY4743,CLN2,HOG1,IRE1,MKK1,NPR1,pdr_yCG196,SLT2,TOR1
SPE01503968,-8.40157,2.09731,1.92072,-8.8132,6.08889,-7.10163,-9.25472,-7.71613,-8.6408,-5.44006,-17.4875,-8.26016,-6.38494
SPE01505706,-3.50676,-1.20156,-1.65267,-1.99518,-5.58793,-2.05721,-4.64743,-2.23053,-2.75821,-2.06535,-9.62348,-2.90452,-1.21772
SPE00330001,-1.12363,-1.52784,-1.32336,-1.53402,-1.14786,-1.73716,-0.620964,-1.50004,-1.28724,-0.656274,-13.474,-0.570093,-0.430608
SPE01503009,0.0872939,0.593168,0.539042,-0.324511,1.21984,0.0742099,-0.217352,0.211199,0.342521,0.875153,0.589192,0.355388,0.825886
SPE01501203,0.18205,-1.4858,-0.15539,0.0751535,-1.3353,0.896848,0.0628141,1.18321,-0.36123,-0.576524,0.15832,-0.0203053,-0.503416
SPE01500223,0.260724,-0.743517,-1.06287,0.295566,-2.39628,-0.308558,0.126159,-0.27139,0.387693,0.458753,-5.90403,-0.165473,-0.0833022
SPE01500801,1.14674,0.0359708,0.420264,0.0223732,-0.0509976,0.632811,1.08961,0.455665,0.843357,0.675588,1.31877,0.960877,0.850212
SPE01500131,1.54537,-0.165507,0.377639,0.795506,-0.924445,0.544575,1.03259,1.43298,1.09516,1.37844,0.0805188,1.33453,1.14531
SPE01503977,-1.38436,0.473462,0.587412,0.0562898,-1.23589,0.578263,0.174435,-0.226151,-0.492339,-0.561988,-1.88073,-1.01291,-1.2486
SPE01505482,-0.94906,-0.912451,-0.866568,-0.708158,-0.218007,-0.853592,-1.33883,0.639091,-0.396627,-0.65752,-0.718507,-0.816646,-0.280235
SPE01503134,-0.512211,-1.08009,-0.428505,-0.59958,-0.282769,-0.341401,-0.717155,-0.256168,-0.0915658,-0.431905,-0.325766,-0.584329,-0.419154
SPE01300043,-0.0135953,-1.75898,-0.749323,-0.277502,-0.954742,-0.83435,-1.13366,-0.140665,-0.25706,-0.497739,-0.00688572,-0.704773,-0.629021
SPE01505430,0.159184,-0.734243,-0.917291,-0.317822,-0.225798,-1.21765,-0.102845,-1.07887,-0.226831,-0.257713,0.141531,-0.0422447,-0.544654
SPE01500807,0.642479,-0.987725,-0.640887,-0.00383451,-0.315901,1.32558,1.16403,0.583149,0.310455,0.425581,-0.120913,0.488336,0.276002
SPE01500134,1.31668,-0.859995,-1.05255,0.0111635,-0.326485,0.383272,1.28034,1.35358,0.936883,0.601477,-0.395895,0.500741,0.387967
SPE01500224,1.77564,0.705811,1.33125,0.926419,-2.48278,2.17273,3.78245,1.35471,1.12775,1.20541,-0.875321,1.29425,-0.205045
SPE01504008,-31.0057,-51.3609,-56.993,-20.4375,-76.7543,-20.5602,-24.4033,-24.6955,-25.6661,-29.9422,-29.5886,-24.9039,-29.0812
