supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.990896,0.709271,0,0.482984,0.990896,-0.14
AW 00421,0.982541,0.330919,0,0.743658,0.982541,0.96
AW 00430,0.952462,-1.03118,0,0.310294,0.952462,4.51
AW 00475,0.874186,-4.57735,0,6.3271e-06,0.874186,13.47
AW 00480,0.948952,-1.19428,0,0.232538,0.948952,5.21
AW 00519,0.995963,0.939078,0,0.353922,0.995963,0.09
AW 00564,0.985918,0.484585,0,0.634012,0.985918,1.37
AW 00594,0.992407,0.77385,0,0.439542,0.992407,0.79
AW 00603,0.989023,0.626397,0,0.543452,0.989023,1.31
AW 00637,0.976027,0.0199272,0,0.51674,0.976027,2.9
AW 00845,0.951628,-1.07248,0,0.283506,0.951628,5.73
BR 00082,0.963057,-0.557381,0,0.58051,0.963057,4.57
BTB 00693,0.964607,-0.467977,0,0.45147,0.964607,4.49
BTB 00803,0.98208,0.316804,0,0.636754,0.98208,2.58
BTB 01259,0.965334,-0.443243,0,0.685276,0.965334,4.44
BTB 01345,0.922367,-2.36448,0,0.253014,0.922367,9.19
BTB 01397,0.998619,1.05629,0,0.290842,0.998619,0.67
BTB 01431,0.957098,-0.833006,0,0.44437,0.957098,5.22
BTB 01473,0.961903,-0.603323,0,0.553382,0.961903,4.57
BTB 01480,0.986729,0.523074,0,0.614742,0.986729,1.66
BTB 01594,0.927551,-2.15828,0,0.0362654,0.927551,8.11
BTB 02800,0.994847,0.889492,0,0.384102,0.994847,0.44
BTB 02837,0.973921,-0.0548468,0,0.694792,0.973921,2.64
BTB 03305,0.979638,0.198509,0,0.84358,0.979638,1.89
BTB 03433,0.996965,0.98172,0,0.326358,0.996965,-0.14
BTB 03574,0.981297,0.273909,0,0.785732,0.981297,1.54
BTB 03608,0.985863,0.476246,0,0.635826,0.985863,0.97
BTB 03925,0.981735,0.285886,0,0.783094,0.981735,1.38
BTB 04194,0.983437,0.361284,0,0.734128,0.983437,1.15
BTB 04231,0.982886,0.347057,0,0.732794,0.982886,1.19
BTB 04275,0.974239,-0.049872,0,0.933328,0.974239,2.19
BTB 04463,0.10356,-39.4975,0,0,0.10356,100.17
BTB 04719,0.920672,-2.47894,0,0.0151058,0.920672,8.36
BTB 04953,0.974041,-0.055982,0,0.951692,0.974041,2.48
BTB 05020,0.904061,-3.22217,0,0.00179782,0.904061,10.44
BTB 05066,0.985407,0.459342,0,0.647154,0.985407,1.43
BTB 05122,0.994396,0.867291,0,0.389222,0.994396,0.5
BTB 05144,0.989076,0.620607,0,0.540502,0.989076,1.14
BTB 05336,0.975391,0.00880036,0,0.806512,0.975391,2.7
BTB 05340,0.903394,-3.24021,0,0.0091376,0.903394,10.78
BTB 05419,0.969115,-0.279516,0,0.780042,0.969115,3.46
BTB 05486,0.164045,-36.7542,0,0,0.164045,93.48
BTB 05499,0.902049,-3.30928,0,0.00232642,0.902049,11.02
BTB 05661,0.939405,-1.62817,0,0.105079,0.939405,6.9
BTB 05727,0.99987,1.11233,0,0.266172,0.99987,0.2
BTB 06084,0.973335,-0.0841079,0,0.79797,0.973335,3.22
BTB 06237,0.994599,0.874541,0,0.381948,0.994599,0.9
BTB 06387,0.997788,1.01598,0,0.313838,0.997788,0.56
BTB 06428,0.902919,-3.29732,0,0.00872404,0.902919,11.1
BTB 06691,0.959954,-0.697113,0,0.487446,0.959954,4.63
BTB 06791,0.969665,-0.254649,0,0.799156,0.969665,3.4
BTB 07002,0.0920084,-40.0248,0,0,0.0920084,101.51
BTB 07082,0.973299,-0.0859544,0,0.807216,0.973299,2.7
BTB 07328,0.966512,-0.390137,0,0.703086,0.966512,3.34
BTB 07385,0.469676,-22.9902,0,0,0.469676,59.12
BTB 07880,0.978418,0.144381,0,0.869326,0.978418,1.83
BTB 08239,0.928257,-2.11104,0,0.139168,0.928257,7.4
BTB 08317,0.992865,0.79431,0,0.42795,0.992865,0.09
BTB 08363,1.00426,1.3152,0,0.195467,1.00426,-1.25
BTB 08370,0.996497,0.961917,0,0.338196,0.996497,-0.44
BTB 08512,1.00223,1.22298,0,0.227142,1.00223,-1.14
BTB 08537,0.985813,0.478578,0,0.634906,0.985813,0.67
BTB 08545,0.967389,-0.351287,0,0.729712,0.967389,2.7
BTB 08601,0.928366,-2.11945,0,0.0450568,0.928366,7.06
BTB 09041,0.9781,0.120221,0,0.74578,0.9781,1.43
BTB 10282,0.867213,-4.89602,0,9.90426e-07,0.867213,13.94
BTB 10320,0.631751,-15.2994,1,0.0250632,0.631751,40.34
BTB 10323,0.983776,0.379857,0,0.70965,0.983776,0.79
BTB 10396,0.958507,-0.751927,0,0.497034,0.958507,3.57
BTB 10539,1.01918,1.96112,0,0.268898,1.01918,-3.31
BTB 10705,0.0890507,-40.1672,0,0,0.0890507,101.75
XBX 00150,0.688584,-12.9132,0,4.92878e-20,0.688584,33.86
BTB 11052,0.983148,0.353366,0,0.725146,0.983148,0.55
BTB 11704,1.00515,1.36598,0,0.270708,1.00515,-2.02
BTB 11781,0.981345,0.288908,0,0.460138,0.981345,0.59
BTB 11850,0.959055,-0.731748,0,0.474898,0.959055,3.05
BTB 12055,0.993685,0.832217,0,0.405426,0.993685,-0.96
BTB 12761,0.992877,0.795241,0,0.426922,0.992877,-0.96
BTB 12931,0.0865101,-40.2807,0,0,0.0865101,101.99
BTB 13088,0.97432,-0.0441763,0,0.96477,0.97432,0.96
BTB 13588,0.962483,-0.577991,0,0.567152,0.962483,2.19
BTB 13702,0.927595,-2.16239,0,0.0308438,0.927595,6.26
BTB 13761,0.971123,-0.188332,0,0.85082,0.971123,1.45
BTB 13763,0.988264,0.576049,0,0.621672,0.988264,-0.38
BTB 13765,1.02801,2.35331,0,0.265136,1.02801,-4.76
BTB 13845,0.980273,0.223274,0,0.824072,0.980273,0.77
BTB 14058,0.975198,-0.00290268,0,0.924338,0.975198,1.45
BTB 14154,0.652354,-14.6158,0,3.64338e-44,0.652354,37.94
BTB 14688,0.604656,-16.4478,1,0.187069,0.604656,43.59
BTB 14851,0.899781,-3.41509,0,0.00105858,0.899781,10.23
BTB 14852,0.902628,-3.29043,0,0.00105263,0.902628,10
BTB 14910,0.969643,-0.253857,0,0.801282,0.969643,2.58
BTBG 00025,0.646948,-14.5983,1,0.268524,0.646948,39.1
CD 00707,0.984929,0.441702,0,0.671556,0.984929,1.11
CD 00752,0.965982,-0.42016,0,0.676128,0.965982,3.32
CD 00756,0.878776,-4.36723,0,2.39152e-05,0.878776,13.12
CD 00758,0.972822,-0.103709,0,0.660908,0.972822,2.59
CD 00759,0.950601,-1.12048,0,0.26374,0.950601,5.01
CD 00823,0.60864,-16.3384,1,0.00474768,0.60864,43.4
CD 00995,0.963169,-0.541752,0,0.617266,0.963169,3.44
CD 01737,1.00379,1.28684,0,0.20593,1.00379,-1.22
CD 01803,0.940374,-1.56839,0,0.205674,0.940374,5.82
CD 01912,0.993205,0.813445,0,0.419642,0.993205,-0.19
CD 02044,0.938733,-1.66027,0,0.102204,0.938733,5.87
CD 02158,0.936577,-1.74696,0,0.101961,0.936577,6.05
CD 02448,0.986335,0.508421,0,0.644092,0.986335,0.38
CD 02452,0.998447,1.05577,0,0.32347,0.998447,-1.04
CD 02506,0.984108,0.407756,0,0.678844,0.984108,0.55
CD 02717,0.927876,-2.1538,0,0.0372954,0.927876,6.88
CD 02744,0.961573,-0.617306,0,0.5484,0.961573,3.1
CD 02745,0.963715,-0.518301,0,0.624468,0.963715,2.87
CD 02761,0.981013,0.258551,0,0.795984,0.981013,0.94
CD 02830,0.974103,-0.0562452,0,0.926032,0.974103,1.73
CD 02841,0.974691,-0.0272109,0,0.97787,0.974691,1.68
CD 02860,0.911552,-2.89356,0,0.00522778,0.911552,8.81
CD 02966,0.968781,-0.297869,0,0.767432,0.968781,2.41
CD 03254,0.85609,-5.41551,0,1.58708e-06,0.85609,15.14
CD 03308,0.960783,-0.659053,0,0.510684,0.960783,3.43
CD 03678,0.938048,-1.68645,0,0.092418,0.938048,6.04
CD 04032,0.977832,0.113768,0,0.909488,0.977832,1.62
CD 04236,0.984332,0.412026,0,0.683812,0.984332,0.94
CD 04254,0.976764,0.0754597,0,0.639536,0.976764,1.85
CD 04583,0.951625,-1.06505,0,0.321824,0.951625,4.74
CD 04975,0.483029,-22.154,0,0,0.483029,57.39
CD 05071,0.981288,0.281564,0,0.61109,0.981288,1.63
CD 05259,0.721502,-11.3379,1,0.00054188,0.721502,30.89
CD 05404,0.950981,-1.09339,0,0.316754,0.950981,5.37
CD 05753,0.979659,0.198468,0,0.842948,0.979659,2.36
CD 06082,1.00352,1.27893,0,0.201152,1.00352,-0.14
CD 06608,0.926051,-2.22984,0,0.0261276,0.926051,8.59
CD 06678,0.491697,-21.7421,0,5.5441e-41,0.491697,56.95
CD 06681,0.994244,0.857127,0,0.391848,0.994244,1.16
CD 06828,0.897102,-3.54634,0,0.000485592,0.897102,11.98
CD 06834,0.951997,-1.05663,0,0.291064,0.951997,5.92
CD 06872,0.924931,-2.28466,0,0.0236064,0.924931,8.92
CD 06919,0.938923,-1.65269,0,0.107403,0.938923,7.34
CD 07342,0.949816,-1.146,0,0.29559,0.949816,6.05
CD 08368,0.969044,-0.279504,0,0.78438,0.969044,3.78
CD 08396,0.981669,0.291519,0,0.773462,0.981669,2.19
CD 08635,0.986626,0.515021,0,0.60853,0.986626,1.39
CD 09291,0.985922,0.488291,0,0.647934,0.985922,1.17
CD 09658,0.934387,-1.84724,0,0.0784586,0.934387,6.61
CD 09661,0.914721,-2.73189,0,0.0184024,0.914721,8.49
CD 09821,0.94562,-1.3487,0,0.186134,0.94562,4.68
CD 10699,0.971008,-0.191227,0,0.85054,0.971008,1.51
CD 10742,0.986896,0.527858,0,0.600976,0.986896,-0.53
CD 10788,0.997239,0.999281,0,0.336762,0.997239,-1.89
CD 11359,0.985603,0.469046,0,0.641674,0.985603,-0.7
DFP 00056,0.923188,-2.3585,0,0.0192293,0.923188,6.38
DFP 00315,0.978792,0.162274,0,0.832982,0.978792,0.04
DP 00330,0.975173,-0.000156107,0,0.771398,0.975173,0.44
DP 00453,0.98451,0.424492,0,0.692324,0.98451,-0.64
DP 00477,0.991931,0.756109,0,0.454258,0.991931,-1.49
DP 00750,0.960071,-0.685639,0,0.503734,0.960071,2.13
DP 00881,0.106919,-39.3473,0,0,0.106919,99.28
DP 01415,0.889592,-3.87177,0,0.00046943,0.889592,10.18
DP 01417,0.957053,-0.824754,0,0.411946,0.957053,2.53
DP 01887,0.968796,-0.285661,0,0.656896,0.968796,1.23
DP 01888,0.984175,0.402625,0,0.687426,0.984175,-0.48
DP 02004,0.936823,-1.74559,0,0.0830402,0.936823,4.96
DSHS 00540,0.97382,-0.0676151,0,0.946102,0.97382,0.62
EN 00070,0.968481,-0.316409,0,0.725126,0.968481,1.24
EN 00220,0.975176,-0.01258,0,0.731178,0.975176,0.5
