supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.947883,0.354649,0,0.722854,0.947883,22.13
AW 00421,0.858923,-0.471099,0,0.643196,0.858923,30.5
AW 00430,0.839969,-0.695054,0,0.490306,0.839969,32.25
AW 00475,0.531556,-3.69541,0,0.000642536,0.531556,61.15
AW 00480,0.860777,-0.463796,0,0.644736,0.860777,30.32
AW 00519,1.0202,1.08683,0,0.296422,1.0202,15.38
AW 00564,0.941703,0.330851,0,0.748588,0.941703,22.74
AW 00594,0.863216,-0.430038,0,0.672384,0.863216,30.1
AW 00603,1.00734,0.945629,0,0.350066,1.00734,16.57
AW 00637,0.953965,0.450508,0,0.663868,0.953965,21.59
AW 00845,0.863189,-0.410385,0,0.69721,0.863189,30.12
BR 00082,0.623696,-2.92245,0,0.0477898,0.623696,52.41
BTB 00693,0.374574,-5.21064,0,1.65093e-06,0.374574,75.87
BTB 00803,0.91779,0.0983397,0,0.821816,0.91779,24.98
BTB 01259,0.643016,-2.51318,0,0.0177499,0.643016,50.79
BTB 01345,0.136104,-7.56334,0,4.00846e-11,0.136104,98.2
BTB 01397,0.987733,0.74599,0,0.456726,0.987733,18.4
BTB 01431,0.74974,-1.50165,0,0.149318,0.74974,40.76
BTB 01473,0.149584,-7.42517,0,6.46522e-11,0.149584,96.94
BTB 01480,0.878559,-0.291113,0,0.772726,0.878559,28.65
BTB 01594,0.218227,-6.73544,0,1.16069e-09,0.218227,90.52
BTB 02800,0.890808,-0.161629,0,0.832558,0.890808,27.51
BTB 02837,0.885268,-0.199916,0,0.753394,0.885268,28.04
BTB 03305,0.688879,-1.97685,0,0.181731,0.688879,46.56
BTB 03433,0.924585,0.127301,0,0.89876,0.924585,24.31
BTB 03574,0.866292,-0.407494,0,0.686304,0.866292,29.8
BTB 03608,0.502108,-3.96948,0,0.000193556,0.502108,63.92
BTB 03925,0.87547,-0.30383,0,0.768248,0.87547,28.96
BTB 04194,0.84543,-0.599446,0,0.555994,0.84543,31.77
