supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.74985,-7.0999,0,1.89157e-09,0.74985,32.82
AW 00421,0.715059,-8.04751,0,2.97672e-12,0.715059,37.5
AW 00430,0.671675,-9.46597,0,1.19721e-12,0.671675,43.13
AW 00475,0.333772,-18.8798,0,0,0.333772,78.28
AW 00480,0.604667,-11.1881,0,2.98922e-21,0.604667,51.75
AW 00519,0.887504,-3.22353,0,0.00501532,0.887504,24.95
AW 00564,0.77739,-6.32726,0,9.10326e-08,0.77739,36.97
AW 00594,0.771717,-6.4737,0,3.05816e-08,0.771717,38.7
AW 00603,0.865881,-3.79792,0,0.000564376,0.865881,31.03
AW 00637,0.937747,-1.95606,0,0.24809,0.937747,25.74
AW 00845,0.86363,-3.9494,0,0.00184256,0.86363,33.63
BR 00082,0.231962,-21.8079,0,0,0.231962,91.31
BTB 00693,0.302783,-19.6518,0,0,0.302783,85.21
BTB 00803,0.825876,-4.97944,0,3.6331e-05,0.825876,39.59
BTB 01259,0.579173,-11.81,0,7.21466e-26,0.579173,61.55
BTB 01345,0.151682,-24.0552,0,0,0.151682,98.98
BTB 01397,0.984609,-0.504572,0,0.633442,0.984609,27.56
BTB 01431,0.790799,-6.19752,0,9.20794e-05,0.790799,44.58
BTB 01473,0.254784,-21.1404,0,0,0.254784,90.29
BTB 01480,0.86197,-3.91821,0,0.000474696,0.86197,37.8
BTB 01594,0.294473,-19.9462,0,0,0.294473,86.4
BTB 02800,0.827153,-4.85063,0,6.28912e-06,0.827153,38.9
BTB 02837,0.762138,-6.77369,0,1.84339e-08,0.762138,43.61
BTB 03305,0.684257,-8.97185,0,9.37962e-14,0.684257,49.75
BTB 03433,0.868293,-3.71491,0,0.000549782,0.868293,32.12
BTB 03574,0.82904,-4.88698,0,4.67494e-05,0.82904,35.11
BTB 03608,0.551038,-13.0036,0,1.01708e-20,0.551038,60.68
BTB 03925,0.838055,-4.69347,0,0.000326428,0.838055,33.3
BTB 04194,0.711128,-8.24686,0,2.64502e-11,0.711128,45.01
BTB 04231,0.77832,-6.20756,0,9.03368e-09,0.77832,38.59
