supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.979822,-0.108067,0,0.914064,0.979822,1.37
AW 00421,0.985848,0.235827,0,0.814116,0.985848,0.77
AW 00430,0.941027,-2.31602,0,0.0362218,0.941027,5.76
AW 00475,0.885778,-5.47123,0,4.48162e-08,0.885778,11.89
AW 00480,0.948658,-1.8874,0,0.0630208,0.948658,5.04
AW 00519,0.985621,0.222377,0,0.824084,0.985621,1.04
AW 00564,0.972199,-0.543083,0,0.587138,0.972199,2.58
AW 00594,0.985667,0.229402,0,0.645262,0.985667,1.16
AW 00603,0.991188,0.540811,0,0.591638,0.991188,0.6
AW 00637,1.00013,1.04887,0,0.295602,1.00013,-0.33
AW 00845,0.951428,-1.72691,0,0.0852172,0.951428,5.04
BR 00082,0.966669,-0.857828,0,0.392556,0.966669,3.4
BTB 00693,0.956768,-1.42073,0,0.168059,0.956768,4.5
BTB 00803,0.979986,-0.0998259,0,0.920628,0.979986,1.92
BTB 01259,0.952921,-1.63787,0,0.140249,0.952921,4.83
BTB 01345,0.949817,-1.81568,0,0.0913478,0.949817,5.1
BTB 01397,0.993553,0.6726,0,0.508562,0.993553,0.21
BTB 01431,0.964109,-1.00557,0,0.316942,0.964109,3.34
BTB 01473,0.961345,-1.15885,0,0.273118,0.961345,3.51
BTB 01480,0.987275,0.319121,0,0.7583,0.987275,0.5
BTB 01594,0.930489,-2.91496,0,0.0132181,0.930489,6.59
BTB 02800,0.995875,0.807507,0,0.420456,0.995875,-0.82
BTB 02837,0.964558,-0.976608,0,0.342588,0.964558,2.47
BTB 03305,0.977102,-0.261755,0,0.79739,0.977102,0.93
BTB 03433,0.988457,0.385074,0,0.702344,0.988457,-0.44
BTB 03574,0.980392,-0.075104,0,0.921738,0.980392,0.38
BTB 03608,0.983017,0.0724642,0,0.90433,0.983017,0.05
BTB 03925,0.982454,0.039547,0,0.841428,0.982454,0.1
BTB 04194,0.978119,-0.204019,0,0.840594,0.978119,0.6
BTB 04231,0.984851,0.179105,0,0.858434,0.984851,-0.11
