supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.694776,-8.91412,0,3.81638e-17,0.694776,35.48
AW 00421,0.676115,-9.45707,0,3.91938e-18,0.676115,37.99
AW 00430,0.634834,-10.6724,0,8.86368e-25,0.634834,42.9
AW 00475,0.228766,-22.5848,0,0,0.228766,87.47
AW 00480,0.514583,-14.1973,0,5.24086e-43,0.514583,56.82
AW 00519,0.820668,-5.21931,0,2.5036e-07,0.820668,24.46
AW 00564,0.688831,-9.09066,0,2.22968e-15,0.688831,39.17
AW 00594,0.794457,-5.98785,0,2.14878e-09,0.794457,28.64
AW 00603,0.858526,-4.10921,0,8.9825e-05,0.858526,22.61
AW 00637,0.863645,-3.95877,0,0.000126403,0.863645,22.75
AW 00845,0.789445,-6.13732,0,4.39822e-08,0.789445,30.99
BR 00082,0.400491,-17.5426,0,0,0.400491,71.26
BTB 00693,0.374884,-18.2948,0,0,0.374884,74.09
BTB 00803,0.790796,-6.09476,0,1.53044e-09,0.790796,32.28
BTB 01259,0.649551,-10.2387,0,2.74798e-24,0.649551,47.03
BTB 01345,0.166316,-24.4174,0,0,0.166316,95.74
BTB 01397,0.857737,-4.12815,0,0.00081437,0.857737,27.36
BTB 01431,0.742908,-7.50121,0,3.8582e-13,0.742908,39.21
BTB 01473,0.299548,-20.5086,0,0,0.299548,82.91
BTB 01480,0.747794,-7.35773,0,8.2519e-13,0.747794,38.75
BTB 01594,0.247108,-22.0469,0,0,0.247108,87.87
BTB 02800,0.74979,-7.29907,0,1.00782e-12,0.74979,37.49
BTB 02837,0.740125,-7.58204,0,4.01846e-14,0.740125,37.76
BTB 03305,0.642313,-10.4493,0,8.1662e-23,0.642313,47.11
BTB 03433,0.755823,-7.12332,0,5.06478e-11,0.755823,35.23
BTB 03574,0.787661,-6.18816,0,2.20378e-09,0.787661,31.67
BTB 03608,0.519872,-14.0494,0,7.19574e-35,0.519872,58.92
BTB 03925,0.781539,-6.36708,0,2.32698e-10,0.781539,31.74
BTB 04194,0.710038,-8.46606,0,7.30788e-16,0.710038,39
BTB 04231,0.76198,-6.94063,0,3.91374e-12,0.76198,33.73
BTB 04275,0.734932,-7.73146,0,3.19318e-12,0.734932,37
BTB 04463,0.131986,-25.424,0,0,0.131986,98.98
BTB 04719,0.717136,-8.25483,0,3.18356e-15,0.717136,41.28
BTB 04953,0.792928,-6.03336,0,3.44558e-09,0.792928,35.84
BTB 05020,0.379451,-18.1628,0,0,0.379451,76.78
BTB 05066,0.865671,-3.89775,0,0.000139523,0.865671,33.47
BTB 05122,0.811121,-5.50169,0,2.02114e-06,0.811121,40.17
BTB 05144,0.802731,-5.74133,0,2.43692e-06,0.802731,42.22
BTB 05336,0.899159,-2.91676,0,0.00462378,0.899159,34.7
BTB 05340,0.288023,-20.8449,0,0,0.288023,87.68
BTB 05419,0.614282,-11.2767,0,1.43177e-25,0.614282,60.14
BTB 05486,0.157249,-24.6842,0,0,0.157249,99.1
BTB 05499,0.443554,-16.2895,0,0,0.443554,75.45
BTB 05661,0.21023,-23.1301,0,0,0.21023,95.13
BTB 05727,0.574019,-12.4567,0,2.94458e-33,0.574019,66.17
BTB 06084,0.964033,-1.01233,0,0.314046,0.964033,36.04
BTB 06237,1.01709,0.54396,0,0.586678,1.01709,32.73
BTB 06387,1.00325,0.137561,0,0.888462,1.00325,34.05
BTB 06428,0.736116,-7.69483,0,2.19338e-10,0.736116,54.46
BTB 06691,1,0.0420053,0,0.85833,1,32.19
BTB 06791,0.350442,-19.0113,0,0,0.350442,83.54
BTB 07002,0.188791,-23.7581,0,0,0.188791,96.4
