supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.916252,-0.340528,0,0.747242,0.916252,5.8
AW 00421,0.893967,-0.731042,0,0.487276,0.893967,8.76
AW 00430,0.864029,-1.3031,0,0.193213,0.864029,12.45
AW 00475,0.638665,-5.51379,0,1.28412e-07,0.638665,38.78
AW 00480,0.886017,-0.898045,0,0.376694,0.886017,10.47
AW 00519,0.986687,0.995853,0,0.340848,0.986687,-0.74
AW 00564,0.958431,0.462155,0,0.64598,0.958431,2.83
AW 00594,0.962955,0.544013,0,0.586826,0.962955,2.63
AW 00603,0.988052,1.00796,0,0.314116,0.988052,0.08
AW 00637,0.9421,0.159344,0,0.874792,0.9421,5.64
AW 00845,0.87521,-1.09513,0,0.274462,0.87521,13.47
BR 00082,0.571134,-6.77403,0,9.77128e-11,0.571134,48.09
BTB 00693,0.691688,-4.55792,0,0.000402146,0.691688,34.61
BTB 00803,0.952734,0.338042,0,0.730766,0.952734,5.49
BTB 01259,0.833258,-1.89819,0,0.107963,0.833258,19.13
BTB 01345,0.322676,-11.4289,0,2.0671e-25,0.322676,76.51
BTB 01397,0.971144,0.705484,0,0.497494,0.971144,4.3
BTB 01431,0.823296,-2.04963,0,0.0479612,0.823296,21.08
BTB 01473,0.290928,-12.0086,0,1.24813e-29,0.290928,80.35
BTB 01480,0.916511,-0.313784,0,0.76082,0.916511,11.06
BTB 01594,0.386865,-10.2178,0,7.27306e-22,0.386865,69.77
BTB 02800,0.961057,0.503887,0,0.615464,0.961057,6.08
BTB 02837,0.964488,0.554385,0,0.613722,0.964488,5.62
BTB 03305,0.454248,-8.9265,0,2.33886e-18,0.454248,62.34
BTB 03433,0.941417,0.147796,0,0.858094,0.941417,8.32
BTB 03574,0.929234,-0.0808097,0,0.89013,0.929234,9.78
BTB 03608,0.633133,-5.60355,0,2.10118e-08,0.633133,42.69
BTB 03925,0.913617,-0.379819,0,0.704834,0.913617,11.82
BTB 04194,0.863319,-1.30937,0,0.194096,0.863319,17.56
BTB 04231,0.983236,0.916261,0,0.36208,0.983236,4.54
BTB 04275,0.922905,-0.210769,0,0.835692,0.922905,11.43
BTB 04463,0.128324,-15.0237,0,0,0.128324,98.67
BTB 04719,0.88808,-0.846573,0,0.403752,0.88808,15.84
BTB 04953,0.901347,-0.603741,0,0.546538,0.901347,14.69
