supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.950472,0.198999,0,0.843758,0.950472,4.58
AW 00421,0.898498,-0.676367,0,0.498874,0.898498,9.8
AW 00430,0.852516,-1.4521,0,0.150118,0.852516,14.42
AW 00475,0.829309,-1.84281,0,0.0657618,0.829309,16.74
AW 00480,0.953619,0.252279,0,0.80175,0.953619,4.26
AW 00519,1.01104,1.21985,0,0.228342,1.01104,-1.5
AW 00564,1.00023,1.03892,0,0.299892,1.00023,-0.42
AW 00594,0.92849,-0.169456,0,0.824874,0.92849,6.78
AW 00603,0.951312,0.213944,0,0.83059,0.951312,4.49
AW 00637,0.927951,-0.181154,0,0.815506,0.927951,6.85
AW 00845,0.844753,-1.58328,0,0.120039,0.844753,15.2
BR 00082,0.502015,-7.35764,0,8.18444e-13,0.502015,49.59
BTB 00693,0.533352,-6.82363,0,1.84228e-08,0.533352,46.41
BTB 00803,0.963026,0.410127,0,0.689232,0.963026,3.32
BTB 01259,0.800989,-2.31742,0,0.0326506,0.800989,19.57
BTB 01345,0.207852,-12.3148,0,1.81325e-32,0.207852,79.12
BTB 01397,0.959836,0.357255,0,0.721474,0.959836,3.64
BTB 01431,0.724321,-3.61432,0,0.00064817,0.724321,27.3
BTB 01473,0.167254,-12.9998,0,7.91122e-37,0.167254,83.2
BTB 01480,0.918247,-0.34223,0,0.73751,0.918247,7.8
BTB 01594,0.163097,-13.0682,0,1.34144e-35,0.163097,83.61
BTB 02800,0.964016,0.427607,0,0.67002,0.964016,3.22
BTB 02837,0.958868,0.341098,0,0.73321,0.958868,3.73
BTB 03305,0.802183,-2.30265,0,0.0393096,0.802183,19.48
BTB 03433,0.943203,0.0774736,0,0.938288,0.943203,5.3
BTB 03574,0.903262,-0.59655,0,0.552894,0.903262,9.32
BTB 03608,0.755132,-3.09073,0,0.00350956,0.755132,24.18
BTB 03925,0.840664,-1.65259,0,0.10994,0.840664,15.61
BTB 04194,0.903681,-0.589691,0,0.55924,0.903681,9.28
BTB 04231,0.975793,0.625306,0,0.542232,0.975793,2.04
BTB 04275,0.874433,-1.0815,0,0.280702,0.874433,12.21
BTB 04463,0.00952529,-15.6595,0,0,0.00952529,99.04
BTB 04719,0.829325,-1.84334,0,0.0704664,0.829325,16.75
BTB 04953,0.897025,-0.701619,0,0.484768,0.897025,9.95
BTB 05020,0.711992,-3.8195,0,0.00014082,0.711992,28.52
BTB 05066,0.947066,0.141449,0,0.870866,0.947066,4.92
BTB 05122,0.89261,-0.774911,0,0.44106,0.89261,10.38
BTB 05144,0.934387,-0.071484,0,0.943034,0.934387,6.19
BTB 05336,0.96558,0.454509,0,0.649484,0.96558,3.06
BTB 05340,0.197172,-12.4969,0,2.03564e-35,0.197172,80.21
BTB 05419,0.914141,-0.412846,0,0.680016,0.914141,8.23
BTB 05486,0.0126719,-15.6074,0,0,0.0126719,98.73
BTB 05499,0.844034,-1.59276,0,0.124363,0.844034,15.25
BTB 05661,0.323814,-10.3927,0,1.37473e-07,0.323814,67.67
BTB 05727,0.172374,-12.9263,0,1.13063e-28,0.172374,82.76
BTB 06084,0.931067,-0.128023,0,0.898958,0.931067,6.53
BTB 06237,0.981516,0.722464,0,0.472506,0.981516,1.46
BTB 06387,1.00839,1.17563,0,0.241216,1.00839,-1.24
BTB 06428,0.822664,-1.95468,0,0.0507306,0.822664,17.41
BTB 06691,0.896332,-0.713427,0,0.478528,0.896332,10.02
BTB 06791,0.577067,-6.09338,0,1.61138e-09,0.577067,42.06
BTB 07002,-0.00340424,-15.8791,0,0,-0.00340424,100.35
BTB 07082,0.531263,-6.86888,0,7.28938e-11,0.531263,46.68
BTB 07328,0.953008,0.241468,0,0.812534,0.953008,4.33
BTB 07385,0.0327993,-15.2684,0,0,0.0327993,96.72
BTB 07880,0.82547,-1.91034,0,0.094071,0.82547,17.15
BTB 08239,0.771527,-2.81573,0,0.00522178,0.771527,22.54
BTB 08317,0.932272,-0.107083,0,0.914738,0.932272,6.4
BTB 08363,0.959934,0.358326,0,0.72386,0.959934,3.63
BTB 08370,0.906051,-0.54984,0,0.586988,0.906051,9.04
BTB 08512,0.983943,0.762585,0,0.459312,0.983943,1.22
BTB 08537,0.981542,0.723194,0,0.47018,0.981542,1.46
BTB 08545,0.975466,0.619493,0,0.551364,0.975466,2.08
BTB 08601,0.911855,-0.449861,0,0.660872,0.911855,8.45
BTB 09041,0.883302,-0.933512,0,0.359642,0.883302,11.33
BTB 10282,0.732192,-3.47958,0,0.000503008,0.732192,26.49
BTB 10320,0.0934232,-14.2467,0,0,0.0934232,90.63
BTB 10323,0.773217,-2.79068,0,0.0109539,0.773217,22.39
BTB 10396,0.932743,-0.100595,0,0.785306,0.932743,6.37
BTB 10539,0.933023,-0.0968361,0,0.6591,0.933023,6.34
BTB 10705,0.00131147,-15.7995,0,0,0.00131147,99.88
XBX 00150,0.119564,-13.8056,0,2.77457e-43,0.119564,88
BTB 11052,0.943662,0.0839093,0,0.84627,0.943662,5.27
BTB 11704,0.960439,0.368033,0,0.71309,0.960439,3.57
BTB 11781,0.91667,-0.371635,0,0.721978,0.91667,7.98
BTB 11850,0.871245,-1.13741,0,0.278452,0.871245,12.54
BTB 12055,0.948832,0.171131,0,0.860246,0.948832,4.75
BTB 12761,0.776845,-2.72476,0,0.0101581,0.776845,22
BTB 12931,0.000350634,-15.8156,0,0,0.000350634,99.97
BTB 13088,1.02651,1.48012,0,0.150978,1.02651,-3.05
BTB 13588,0.973861,0.592094,0,0.576286,0.973861,3.11
BTB 13702,0.836836,-1.71616,0,0.0875488,0.836836,16.87
BTB 13761,0.917617,-0.353529,0,0.724656,0.917617,9.02
BTB 13763,0.972282,0.566339,0,0.577986,0.972282,3.82
BTB 13765,0.973467,0.586066,0,0.568514,0.973467,3.89
BTB 13845,0.955705,0.287317,0,0.775422,0.955705,5.82
BTB 14058,0.985414,0.7898,0,0.43734,0.985414,3.08
BTB 14154,0.11863,-13.8202,0,2.56718e-42,0.11863,88.25
BTB 14688,0.0276625,-15.3551,0,0,0.0276625,97.18
BTB 14851,0.890889,-0.804628,0,0.4211,0.890889,12.85
BTB 14852,0.867582,-1.19651,0,0.237164,0.867582,15.29
BTB 14910,0.946671,0.13617,0,0.892022,0.946671,7.75
BTBG 00025,0.230992,-11.9442,0,1.13841e-19,0.230992,77.3
CD 00707,0.965831,0.459567,0,0.649812,0.965831,6.16
CD 00752,0.949064,0.177291,0,0.829132,0.949064,7.83
CD 00756,0.819568,-2.00544,0,0.0501896,0.819568,20.39
CD 00758,0.82592,-1.90005,0,0.058133,0.82592,19.72
CD 00759,0.765854,-2.91342,0,0.00453194,0.765854,25.49
CD 00823,0.154498,-13.2149,0,3.91354e-38,0.154498,84.88
CD 00995,0.953033,0.244197,0,0.811508,0.953033,7.12
CD 01737,0.849075,-1.50694,0,0.166156,0.849075,17.12
CD 01803,0.509631,-7.22604,0,9.8743e-11,0.509631,50.14
CD 01912,0.990558,0.876153,0,0.38441,0.990558,2.98
CD 02044,0.938881,0.00684627,0,0.666954,0.938881,7.84
CD 02158,0.859846,-1.32776,0,0.184262,0.859846,15.39
CD 02448,0.965826,0.45739,0,0.654848,0.965826,4.76
CD 02452,0.955867,0.289676,0,0.77583,0.955867,5.54
CD 02506,0.954984,0.276283,0,0.782958,0.954984,5.48
CD 02717,0.523342,-6.99694,0,4.33672e-11,0.523342,48.08
CD 02744,0.919866,-0.317187,0,0.755548,0.919866,8.85
CD 02745,0.97239,0.568629,0,0.571786,0.97239,3.63
CD 02761,0.9951,0.952643,0,0.343596,0.9951,1.35
CD 02830,0.969538,0.519769,0,0.614176,0.969538,3.9
CD 02841,0.961625,0.386772,0,0.70355,0.961625,4.68
CD 02860,0.279404,-11.1134,0,2.13592e-27,0.279404,72.24
CD 02966,0.753768,-3.11405,0,0.00283538,0.753768,25.26
CD 03254,0.105198,-14.0413,0,3.2795e-38,0.105198,89.41
CD 03308,0.9425,0.0657152,0,0.947674,0.9425,6.73
CD 03678,0.860885,-1.31049,0,0.190384,0.860885,14.89
CD 04032,0.990155,0.867887,0,0.390144,0.990155,2.25
CD 04236,0.961814,0.389728,0,0.703646,0.961814,5.15
CD 04254,0.969078,0.512497,0,0.613008,0.969078,4.53
CD 04583,0.950878,0.205955,0,0.83798,0.950878,6.42
CD 04975,0.178845,-12.8043,0,1.21779e-35,0.178845,82.32
CD 05071,0.926352,-0.206875,0,0.836134,0.926352,9.08
CD 05259,0.170545,-12.9452,0,2.34928e-37,0.170545,83.21
CD 05404,1.01308,1.25628,0,0.219998,1.01308,1.05
CD 05753,0.785972,-2.56679,0,0.0707502,0.785972,23.45
CD 06082,0.994304,0.938559,0,0.347974,0.994304,3.35
CD 06608,0.92611,-0.210113,0,0.834986,0.92611,10.15
CD 06678,0.022464,-15.4424,0,0,0.022464,97.72
CD 06681,0.980573,0.708626,0,0.493162,0.980573,5.13
