supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.977658,-0.0429277,0,0.96579,0.977658,26.64
AW 00421,0.976444,-0.0423157,0,0.910784,0.976444,26.76
AW 00430,0.943453,-0.438898,0,0.663008,0.943453,30.36
AW 00475,0.617307,-4.0514,0,0.000653976,0.617307,65.68
AW 00480,0.96227,-0.259901,0,0.800126,0.96227,28.34
AW 00519,1.14829,1.76495,0,0.0775724,1.14829,8.22
AW 00564,1.07799,1.00477,0,0.315938,1.07799,15.82
AW 00594,1.0629,0.921762,0,0.38314,1.0629,17.39
AW 00603,1.06379,0.886877,0,0.377938,1.06379,17.33
AW 00637,1.05128,0.661206,0,0.535848,1.05128,18.75
AW 00845,0.968121,-0.279164,0,0.534228,0.968121,27.77
BR 00082,0.332485,-7.07035,0,1.47027e-10,0.332485,96.43
BTB 00693,0.615745,-3.98537,0,0.000183084,0.615745,65.79
BTB 00803,1.06909,0.876956,0,0.393094,1.06909,16.8
BTB 01259,0.842675,-1.47912,0,0.139554,0.842675,41.22
BTB 01345,0.200191,-8.67102,0,2.26828e-12,0.200191,110.85
BTB 01397,1.11682,1.44191,0,0.150049,1.11682,11.61
BTB 01431,0.871306,-1.28695,0,0.258868,0.871306,38.2
BTB 01473,0.146635,-9.3164,0,3.48336e-13,0.146635,116.69
BTB 01480,1.0395,0.562028,0,0.584134,1.0395,20
BTB 01594,0.293356,-7.62152,0,3.53164e-10,0.293356,100.75
BTB 02800,1.02926,0.496511,0,0.619544,1.02926,21.07
BTB 02837,1.03443,0.528336,0,0.600202,1.03443,20.53
BTB 03305,0.811244,-1.94174,0,0.0964146,0.811244,44.7
BTB 03433,1.10275,1.24239,0,0.222754,1.10275,13.16
BTB 03574,1.05424,0.710457,0,0.493698,1.05424,18.41
BTB 03608,0.652262,-3.56882,0,0.000550298,0.652262,61.82
BTB 03925,0.969742,-0.147678,0,0.88282,0.969742,27.51
BTB 04194,0.950296,-0.455036,0,0.603746,0.950296,29.68
BTB 04231,1.09648,1.18937,0,0.237906,1.09648,13.83
BTB 04275,0.963911,-0.20817,0,0.83533,0.963911,28.14
BTB 04463,0.156766,-9.24901,0,2.49874e-12,0.156766,115.63
BTB 04719,0.901986,-0.910951,0,0.380382,0.901986,34.86
BTB 04953,0.964803,-0.243055,0,0.785212,0.964803,28.07
BTB 05020,0.625962,-3.82016,0,0.000149865,0.625962,64.64
BTB 05066,1.03929,0.525888,0,0.627664,1.03929,20.05
BTB 05122,0.997241,0.162869,0,0.870676,0.997241,24.53
BTB 05144,0.965241,-0.230589,0,0.814618,0.965241,28.02
BTB 05336,1.04982,0.725371,0,0.468632,1.04982,18.85
BTB 05340,0.260923,-8.04738,0,3.238e-10,0.260923,104.31
BTB 05419,0.950502,-0.398957,0,0.702824,0.950502,29.62
BTB 05486,0.13101,-9.46982,0,6.82784e-14,0.13101,118.37
BTB 05499,0.914313,-0.801176,0,0.456584,0.914313,33.54
BTB 05661,0.161595,-9.15177,0,9.41616e-13,0.161595,115.07
BTB 05727,0.202206,-8.7844,0,1.1263e-10,0.202206,110.73
BTB 06084,1.0715,0.935548,0,0.35045,1.0715,16.52
BTB 06237,0.988212,0.0967395,0,0.855784,0.988212,25.48
BTB 06387,1.12761,1.51802,0,0.132692,1.12761,10.47
BTB 06428,0.837846,-1.57637,0,0.121275,0.837846,41.77
BTB 06691,1.05953,0.740413,0,0.495308,1.05953,17.86
BTB 06791,0.508039,-5.10728,0,7.5242e-07,0.508039,77.4
BTB 07002,0.154757,-9.15557,0,6.82784e-14,0.154757,115.76
BTB 07082,0.492223,-5.3766,0,2.40516e-06,0.492223,79.18
BTB 07328,1.0681,0.873832,0,0.391008,1.0681,16.91
BTB 07385,0.371037,-6.84694,0,1.51317e-07,0.371037,92.4
BTB 07880,0.856784,-1.43912,0,0.203304,0.856784,39.77
BTB 08239,0.470525,-5.50702,0,9.38968e-08,0.470525,81.45
BTB 08317,0.968338,-0.262961,0,0.578504,0.968338,27.73
BTB 08363,1.05336,0.685526,0,0.519378,1.05336,18.52
BTB 08370,0.962512,-0.343392,0,0.527916,0.962512,28.37
BTB 08512,1.11122,1.3378,0,0.187106,1.11122,12.24
BTB 08537,1.06798,0.915577,0,0.360066,1.06798,16.89
BTB 08545,1.07468,1.001,0,0.319188,1.07468,16.15
BTB 08601,0.988117,0.0387918,0,0.913564,0.988117,25.53
BTB 09041,0.973146,-0.0859617,0,0.931658,0.973146,27.12
BTB 10282,0.718528,-3.01865,0,0.025489,0.718528,54.78
BTB 10320,0.224306,-8.50194,0,1.47025e-10,0.224306,108.31
BTB 10323,0.80633,-2.13681,0,0.212286,0.80633,45.34
BTB 10396,0.976354,-0.120202,0,0.780002,0.976354,26.83
BTB 10539,1.07382,0.916254,0,0.379132,1.07382,16.3
BTB 10705,0.153025,-9.28518,0,1.6949e-12,0.153025,116.03
XBX 00150,0.270168,-7.96505,0,9.06548e-10,0.270168,103.32
BTB 11052,1.02179,0.364349,0,0.72585,1.02179,21.92
BTB 11704,1.15534,1.80489,0,0.0757354,1.15534,7.48
BTB 11781,0.932022,-0.603497,0,0.5687,0.932022,31.62
BTB 11850,0.909575,-0.820535,0,0.423834,0.909575,34.03
BTB 12055,0.998464,0.12238,0,0.808188,0.998464,24.43
BTB 12761,0.965563,-0.196317,0,0.84489,0.965563,27.96
BTB 12931,0.135295,-9.40311,0,5.00376e-14,0.135295,117.89
BTB 13088,1.08503,1.08459,0,0.278434,1.08503,15.05
BTB 13588,0.989291,0.0491246,0,0.904796,0.989291,6.51
BTB 13702,0.87461,-1.1808,0,0.244098,0.87461,22.37
BTB 13761,0.943008,-0.418733,0,0.67542,0.943008,15.04
BTB 13763,1.01175,0.284923,0,0.777736,1.01175,7.86
BTB 13765,1.03148,0.473791,0,0.645672,1.03148,6.87
BTB 13845,0.989545,0.0176903,0,0.768496,0.989545,13.38
BTB 14058,1.06158,0.806549,0,0.427606,1.06158,6.16
BTB 14154,0.412289,-6.1752,0,8.53338e-09,0.412289,84.13
BTB 14688,0.125915,-9.569,0,1.81138e-13,0.125915,118.19
BTB 14851,0.932731,-0.538107,0,0.590852,0.932731,25.33
BTB 14852,0.906233,-0.831016,0,0.408242,0.906233,29.62
BTB 14910,1.01202,0.269516,0,0.792966,1.01202,19.05
BTBG 00025,0.63833,-4.65438,1,0.340182,0.63833,62.87
CD 00707,1.07821,0.986888,0,0.33027,1.07821,14.48
CD 00752,1.05678,0.718821,0,0.501628,1.05678,17.85
CD 00756,0.827388,-1.63481,0,0.103286,0.827388,43.04
CD 00758,0.740577,-2.4916,0,0.021308,0.740577,52.45
CD 00759,0.793653,-2.06233,0,0.046171,0.793653,46.93
CD 00823,0.136374,-9.39029,0,5.2357e-14,0.136374,118.04
CD 00995,1.02794,0.417778,0,0.693192,1.02794,21.17
CD 01737,0.779218,-2.00261,0,0.121934,0.779218,47.27
CD 01803,0.630761,-3.78289,0,0.000202006,0.630761,63.32
CD 01912,1.10655,1.26267,0,0.226622,1.10655,10.6
CD 02044,0.89767,-0.898598,0,0.368982,0.89767,32.59
CD 02158,0.901234,-0.948327,0,0.385474,0.901234,31.31
CD 02448,1.0514,0.716989,0,0.475008,1.0514,13.07
CD 02452,1.02489,0.416705,0,0.6817,1.02489,14.9
CD 02506,1.03084,0.490233,0,0.626714,1.03084,13.25
CD 02717,0.587089,-4.37525,0,0.000209936,0.587089,64.33
CD 02744,0.983407,-0.0564793,0,0.734646,0.983407,17.79
CD 02745,1.02551,0.470294,0,0.638792,1.02551,12.58
CD 02761,1.05743,0.771014,0,0.445016,1.05743,8.71
CD 02830,1.02359,0.417652,0,0.67781,1.02359,12.59
CD 02841,1.03757,0.586634,0,0.55745,1.03757,10.98
CD 02860,0.242448,-8.2264,0,5.67394e-11,0.242448,104.4
CD 02966,0.64712,-3.50775,0,0.000782458,0.64712,57.02
CD 03254,0.151197,-9.23607,0,1.9037e-13,0.151197,115.21
CD 03308,0.932384,-0.573597,0,0.574398,0.932384,24.65
CD 03678,0.872111,-1.35298,0,0.340816,0.872111,32.23
CD 04032,1.06234,0.870478,0,0.386584,1.06234,10.94
CD 04236,0.996663,0.126319,0,0.900274,0.996663,19.15
CD 04254,1.00742,0.252822,0,0.800818,1.00742,18.59
CD 04583,0.993491,0.0841719,0,0.866098,0.993491,20.8
CD 04975,0.206247,-8.7111,0,6.60986e-11,0.206247,109.76
CD 05071,0.962662,-0.198727,0,0.84278,0.962662,25.44
CD 05259,0.14968,-9.23818,0,1.0991e-13,0.14968,116.24
CD 05404,1.06612,0.852229,0,0.403088,1.06612,15.69
CD 05753,0.900466,-0.804706,0,0.448778,0.900466,34.63
CD 06082,1.14215,1.71111,0,0.0875766,1.14215,9.67
CD 06608,0.906477,-0.824632,0,0.411048,0.906477,36.01
CD 06678,0.136974,-9.38099,0,5.01926e-14,0.136974,118.34
CD 06681,1.0916,1.13297,0,0.262378,1.0916,18.24
CD 06828,0.760183,-2.43412,0,0.0210764,0.760183,53.36
CD 06834,0.964131,-0.284141,0,0.662566,0.964131,32.4
CD 06872,0.853018,-1.53164,0,0.237754,0.853018,44.05
CD 06919,0.989294,-0.0379176,0,0.572258,0.989294,29.82
CD 07342,0.748147,-2.47273,0,0.0140014,0.748147,54.7
CD 08368,0.979961,-0.0477764,0,0.914664,0.979961,30.48
CD 08396,0.465764,-5.5785,0,1.10338e-07,0.465764,83.95
CD 08635,0.620089,-3.67467,0,0.00311168,0.620089,67.37
CD 09291,1.0453,0.62041,0,0.547334,1.0453,22.37
CD 09658,0.896981,-0.869071,0,0.39526,0.896981,37.18
CD 09661,0.973647,-0.13118,0,0.850516,0.973647,28.22
CD 09821,1.02638,0.513555,0,0.61745,1.02638,21.52
CD 10699,1.06712,0.859035,0,0.401228,1.06712,16.32
CD 10742,1.03936,0.55526,0,0.591108,1.03936,18.66
CD 10788,0.895794,-0.931627,0,0.352012,0.895794,33.92
CD 11359,1.00171,0.186869,0,0.852378,1.00171,22.13
DFP 00056,0.891406,-0.945917,0,0.347722,0.891406,34.65
DFP 00315,1.07685,1.02562,0,0.307822,1.07685,14.98
DP 00330,1.14929,1.73498,0,0.089492,1.14929,7.87
DP 00453,1.21045,2.39436,0,0.0181876,1.21045,1.98
DP 00477,0.656182,-4.31309,1,0.491884,0.656182,63.3
DP 00750,0.816774,-1.83387,0,0.0840418,0.816774,45.43
DP 00881,0.14451,-9.31237,0,1.31209e-13,0.14451,117.48
DP 01415,0.894498,-0.931735,0,0.351628,0.894498,38.3
DP 01417,1.11883,1.38474,0,0.190727,1.11883,15.77
DP 01887,0.68216,-3.29879,0,0.00278724,0.68216,61.79
DP 01888,1.01852,0.39643,0,0.692404,1.01852,27.69
DP 02004,0.876605,-1.33659,0,0.403392,0.876605,43.4
DSHS 00540,1.08328,1.09255,0,0.276954,1.08328,7.34
EN 00070,0.938335,-0.497527,0,0.622286,0.938335,24.61
EN 00220,0.960364,-0.275789,0,0.787176,0.960364,22.2
FM 00211,0.981067,-0.0658771,0,0.795216,0.981067,19.96
FM 00217,0.934989,-0.615002,0,0.598004,0.934989,25.55
FM 00281,1.09239,1.20736,0,0.235654,1.09239,7.24
GK 00584,1.02131,0.438042,0,0.663866,1.02131,15.72
GK 00860,0.393036,-6.29239,0,3.6114e-10,0.393036,89.06
GK 00898,1.06189,0.826188,0,0.410966,1.06189,11.32
GK 01359,0.872523,-1.23655,0,0.242006,0.872523,33.49
GK 01594,0.906947,-0.910325,0,0.429798,0.906947,29.63
GK 02006,0.893425,-1.03236,0,0.34549,0.893425,31.3
GK 02221,1.0507,0.704727,0,0.483638,1.0507,13.16
GK 02386,0.894834,-0.880343,0,0.395804,0.894834,31.27
GK 02445,1.07256,1.00495,0,0.328146,1.07256,10.87
GK 02598,1.14429,1.7518,0,0.08314,1.14429,2.71
GK 02688,1.03837,0.575533,0,0.566864,1.03837,14.99
GK 02714,0.946623,-0.385221,0,0.70012,0.946623,25.52
GK 02719,1.01622,0.343885,0,0.731732,1.01622,17.36
GK 03380,0.943916,-0.473014,0,0.653028,0.943916,25.59
HAN 00069,0.899189,-0.841152,0,0.412942,0.899189,30.54
HAN 00102,0.771052,-2.19775,0,0.0338312,0.771052,45.26
HAN 00332,1.10945,1.36797,0,0.172777,1.10945,5.79
HAN 00369,0.270503,-7.81012,0,1.64431e-11,0.270503,103.52
HAN 00373,0.905427,-1.03946,0,0.482906,0.905427,29.46
HAN 00388,0.982645,-0.0473091,0,0.801972,0.982645,20.32
HR 00030,1.01656,0.34522,0,0.730982,1.01656,16.26
HTS 00002,0.230018,-8.33125,0,1.0915e-11,0.230018,108.19
HTS 00332,0.939604,-0.431956,0,0.66823,0.939604,24.95
HTS 00945,0.617011,-3.74495,1,0.00136154,0.617011,62.58
HTS 01021,1.06202,0.852372,0,0.3942,1.06202,10.2
HTS 01155,1.10019,1.25245,0,0.21041,1.10019,5.59
HTS 01365,0.983717,-0.0572015,0,0.719226,0.983717,19.28
HTS 01522,0.689069,-3.17992,0,0.00217282,0.689069,53.95
HTS 01570,0.910852,-0.797417,0,0.432522,0.910852,27.88
HTS 01707,0.99107,0.0356049,0,0.775172,0.99107,18.48
HTS 01770,0.570577,-4.47663,0,3.0819e-05,0.570577,67.96
HTS 01796,1.00646,0.253811,0,0.799648,1.00646,16.86
HTS 01884,0.5,-5.29633,0,3.73866e-06,0.5,76.44
HTS 01888,1.08608,1.11231,0,0.266548,1.08608,8.01
HTS 02290,1.02721,0.40911,0,0.699692,1.02721,15.24
HTS 02696,0.856565,-1.4231,0,0.190963,0.856565,35.42
HTS 03200,0.826029,-1.75514,0,0.110719,0.826029,39.24
HTS 03395,1.01919,0.326964,0,0.75658,1.01919,17.09
HTS 03520,1.0407,0.58761,0,0.562132,1.0407,14.72
HTS 03640,1.01696,0.390356,0,0.698304,1.01696,17.46
HTS 03642,1.02841,0.524381,0,0.605926,1.02841,16.11
HTS 03649,0.884428,-1.06909,0,0.289022,0.884428,32.73
HTS 03656,0.979079,-0.0733469,0,0.849652,0.979079,21.75
HTS 03658,1.0009,0.0888809,0,0.584888,1.0009,19.19
HTS 03826,0.842868,-1.56754,0,0.148308,0.842868,37.41
HTS 03843,0.981905,-0.0632368,0,0.77055,0.981905,21.31
HTS 03872,0.879029,-1.13143,0,0.26348,0.879029,33.25
HTS 03942,1.09042,1.16079,0,0.246556,1.09042,8.92
HTS 04041,1.0612,0.805876,0,0.426584,1.0612,12.49
HTS 04228,1.0546,0.772736,0,0.439824,1.0546,13.35
HTS 04271,1.02015,0.336958,0,0.749446,1.02015,17.39
HTS 04496,0.656055,-3.58402,0,0.00124979,0.656055,59.33
HTS 04857,0.958417,-0.360382,0,0.617254,0.958417,24.41
HTS 05029,0.997803,0.10456,0,0.765618,0.997803,19.78
HTS 05109,0.986066,0.0425008,0,0.966108,0.986066,21.09
HTS 05340,0.895801,-0.882003,0,0.388082,0.895801,31.52
HTS 05483,0.993635,0.129294,0,0.897272,0.993635,20.34
HTS 05532,0.95781,-0.229794,0,0.820754,0.95781,24.54
HTS 05534,0.962325,-0.259745,0,0.800344,0.962325,24.11
HTS 05535,1.00263,0.119527,0,0.629218,1.00263,19.47
HTS 05583,0.997784,0.0896829,0,0.70894,0.997784,19.83
HTS 05647,0.762313,-2.34358,0,0.0190998,0.762313,46.67
HTS 05668,0.987344,0.00447505,0,0.808696,0.987344,20.04
HTS 05759,1.01191,0.303212,0,0.762036,1.01191,16.46
HTS 06154,1.00888,0.302295,0,0.763774,1.00888,16.09
HTS 06155,0.849751,-1.39896,0,0.162918,0.849751,34.23
HTS 06168,0.973806,-0.0794863,0,0.936782,0.973806,18.83
HTS 06170,1.01825,0.29501,0,0.67405,1.01825,12.82
HTS 06460,0.963627,-0.251433,0,0.801448,0.963627,18.66
HTS 06578,0.980091,-0.112847,0,0.656758,0.980091,15.96
HTS 06803,0.12517,-9.51992,0,2.92284e-14,0.12517,119.81
HTS 07134,1.00665,0.25502,0,0.798722,1.00665,11.21
HTS 07278,1.04332,0.635836,0,0.525656,1.04332,5.9
HTS 07280,1.00119,0.183038,0,0.85526,1.00119,10.33
HTS 07401,1.07248,0.862915,0,0.442124,1.07248,0.43
HTS 07682,1.05664,0.712578,0,0.509188,1.05664,2.94
HTS 07814,1.06758,0.812868,0,0.466932,1.06758,2.23
HTS 07816,1.04859,0.674331,0,0.504952,1.04859,5.04
HTS 08734,0.994111,0.0751363,0,0.80378,0.994111,12.2
HTS 09993,0.997583,0.112177,0,0.804748,0.997583,12.32
JA 00093,0.124208,-9.53097,0,2.77192e-14,0.124208,117.5
JA 00122,0.917618,-0.699649,0,0.484622,0.917618,22.91
JA 00123,0.937185,-0.51789,0,0.610508,0.937185,21.08
JFD 00022,0.136282,-9.41869,0,1.2127e-13,0.136282,116.27
JFD 00150,1.0655,0.871507,0,0.384438,1.0655,6.95
JFD 00422,1.00454,0.183415,0,0.7959,1.00454,14.61
JFD 00597,0.991524,0.115115,0,0.908776,0.991524,16.66
JFD 00950,0.148365,-9.24988,0,9.22174e-14,0.148365,115.12
JFD 00972,0.839265,-1.48126,0,0.148256,0.839265,34.84
JFD 01192,1.03982,0.745307,0,0.553486,1.03982,11.57
JFD 01208,0.320348,-7.35093,0,3.15784e-09,0.320348,95.14
JFD 01516,0.851678,-1.39713,0,0.16249,0.851678,33.45
JFD 01755,0.950346,-0.385285,0,0.706912,0.950346,21.92
JFD 01898,0.697696,-3.22112,0,0.0121342,0.697696,51.29
JFD 01986,0.948916,-0.306255,0,0.767236,0.948916,22.34
JFD 02062,1.05073,0.765054,0,0.45296,1.05073,10.49
JFD 02125,0.916776,-0.663306,0,0.51436,0.916776,26.12
JFD 02170,1.04909,0.805693,0,0.47441,1.04909,10.74
JFD 02331,0.590634,-4.05315,0,0.000285598,0.590634,64.2
JFD 02393,1.00274,0.180472,0,0.85907,1.00274,15.85
JFD 02584,1.01255,0.316239,0,0.75187,1.01255,14.69
JFD 02882,0.906415,-0.84791,0,0.405396,0.906415,27.02
JFD 03027,0.950662,-0.271278,0,0.739424,0.950662,22
JFD 03028,0.571072,-4.21704,0,0.000358334,0.571072,66.52
JFD 03033,0.162732,-9.11319,0,4.67572e-13,0.162732,113.5
JFD 03155,0.208782,-8.578,0,4.11952e-12,0.208782,108.23
JFD 03196,1.03232,0.53028,0,0.595918,1.03232,13.01
JFD 03398,0.567512,-4.67081,0,0.000366172,0.567512,66.8
JFD 03446,0.986464,0.0659622,0,0.904402,0.986464,18.77
JFD 03520,0.20417,-8.6984,0,2.19904e-11,0.20417,108.81
JFD 03916,0.125308,-9.53422,0,4.84236e-14,0.125308,117.97
JP 00319,0.875238,-1.09426,0,0.28786,0.875238,32.1
JP 00336,0.964771,-0.0637827,0,0.52427,0.964771,21.99
JP 00414,0.835047,-1.50145,0,0.156655,0.835047,36.92
JP 00451,0.948093,-0.364633,0,0.715392,0.948093,23.75
JP 00512,1.01745,0.401861,0,0.691134,1.01745,15.77
JP 00697,0.859278,-1.37077,0,0.189828,0.859278,33.83
KM 00261,0.918555,-0.633826,0,0.53787,0.918555,27.09
KM 00313,1.00761,0.244836,0,0.807856,1.00761,16.51
KM 00369,0.691495,-3.00041,0,0.00641712,0.691495,53.15
KM 00512,1.10393,1.42744,0,0.246964,1.10393,5.09
KM 00593,1.1253,1.63307,0,0.158788,1.1253,2.24
KM 00691,0.918306,-0.687577,0,0.491828,0.918306,25.85
KM 00694,0.993964,0.0880356,0,0.86147,0.993964,16.64
KM 00792,0.132614,-9.41379,0,2.29886e-14,0.132614,116.93
KM 00799,0.297684,-7.42526,0,8.10706e-12,0.297684,97.67
KM 00887,1.00621,0.220418,0,0.827866,1.00621,14.14
KM 01046,0.480408,-5.38121,0,1.14167e-07,0.480408,75.87
KM 01284,1.00722,0.263408,0,0.792236,1.00722,13.34
KM 02067,1.10532,1.34203,0,0.186216,1.10532,1.43
KM 02190,0.988979,0.0309699,0,0.844998,0.988979,14.98
KM 02224,0.939016,-0.514442,0,0.61933,0.939016,20.73
KM 02231,0.600354,-4.13825,0,8.17764e-05,0.600354,60.9
KM 03772,0.511387,-5.22356,0,1.59819e-05,0.511387,71.43
KM 03965,1.07771,0.970711,0,0.343394,1.07771,3.84
KM 04019,0.987648,0.0371046,0,0.92696,0.987648,14.53
KM 04031,1.01768,0.386991,0,0.699326,1.01768,10.95
KM 04069,1.09602,1.1922,0,0.234868,1.09602,1.65
KM 04177,1.0503,0.667378,0,0.520954,1.0503,7.16
KM 04680,1.00323,0.100878,0,0.541056,1.00323,12.82
KM 04879,0.899693,-0.916091,0,0.367152,0.899693,25.17
KM 04991,0.521015,-5.00414,0,2.86592e-06,0.521015,70.29
KM 05302,0.986996,0.0225446,0,0.896018,0.986996,14.66
KM 05362,1.03162,0.488424,0,0.630684,1.03162,9.18
KM 05490,0.907139,-0.764116,0,0.453326,0.907139,23.85
KM 05662,0.933672,-0.531733,0,0.595618,0.933672,20.51
KM 05872,0.2932,-7.4757,0,6.2963e-12,0.2932,97.11
KM 05969,1.01061,0.231108,0,0.733466,1.01061,10.93
KM 05978,1.03175,0.445597,0,0.681184,1.03175,8.18
KM 05992,0.998405,0.0755655,0,0.631608,0.998405,11.97
KM 06072,1.01562,0.282609,0,0.729898,1.01562,9.64
KM 06357,1.06083,0.774019,0,0.460178,1.06083,3.91
KM 06408,1.06893,0.851553,0,0.423124,1.06893,2.66
KM 06494,1.06307,0.824473,0,0.416534,1.06307,3.01
KM 06508,1.02199,0.499387,0,0.644964,1.02199,14.73
KM 06529,0.980862,0.0886783,0,0.589534,0.980862,19.91
KM 06598,0.778837,-2.12588,0,0.0376584,0.778837,43.28
KM 06623,0.837745,-1.47703,0,0.160642,0.837745,36.91
KM 06760,1.01207,0.426106,0,0.603496,1.01207,17.51
KM 06859,0.895924,-0.826215,0,0.461864,0.895924,31.01
KM 06944,0.76197,-2.17772,0,0.0965048,0.76197,46.67
KM 06947,0.17135,-9.0148,0,7.45516e-13,0.17135,112.23
KM 06986,0.916912,-0.600748,0,0.594968,0.916912,29.52
KM 07115,0.879737,-0.950384,0,0.460342,0.879737,34.09
KM 07522,0.762949,-2.35356,0,0.0190069,0.762949,46.95
KM 07972,1.05782,0.976396,0,0.49704,1.05782,14.6
KM 08102,0.794703,-1.78521,0,0.246822,0.794703,44.37
KM 08103,0.591062,-4.10829,0,7.55272e-05,0.591062,66.57
KM 08197,0.719658,-2.71441,0,0.0119565,0.719658,52.01
KM 08240,1.04339,0.788394,0,0.53722,1.04339,15.52
KM 08355,0.905033,-0.818957,0,0.413,0.905033,30.53
KM 08451,0.361283,-6.68431,0,1.2982e-10,0.361283,91.57
KM 08487,0.732803,-2.56369,0,0.0198978,0.732803,49.83
KM 08488,0.209161,-8.48828,0,3.41228e-13,0.209161,108.16
KM 08871,1.06238,0.92633,0,0.389388,1.06238,11.88
KM 08947,1.05263,0.849647,0,0.457482,1.05263,12.67
KM 09016,0.963582,-0.166145,0,0.859686,0.963582,22.29
