supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.980069,-0.0121573,0,0.9903,0.980069,-0.39
AW 00421,0.978462,-0.100129,0,0.920242,0.978462,-0.06
AW 00430,0.937261,-2.35616,0,0.0184647,0.937261,4.7
AW 00475,0.88802,-5.05241,0,4.3626e-07,0.88802,10.34
AW 00480,0.958734,-1.18035,0,0.23786,0.958734,2.6
AW 00519,0.98691,0.362427,0,0.717034,0.98691,-0.39
AW 00564,0.98032,0.00159848,0,0.998724,0.98032,0.5
AW 00594,0.962731,-0.961504,0,0.336298,0.962731,2.6
AW 00603,0.981994,0.0932294,0,0.925722,0.981994,0.61
AW 00637,0.98528,0.273199,0,0.7847,0.98528,0.39
AW 00845,0.955505,-1.35719,0,0.174722,0.955505,3.82
BR 00082,0.975676,-0.252687,0,0.80051,0.975676,1.71
BTB 00693,0.949676,-1.67639,0,0.0936628,0.949676,4.7
BTB 00803,0.97628,-0.219617,0,0.82617,0.97628,1.83
BTB 01259,0.975527,-0.260836,0,0.794218,0.975527,1.94
BTB 01345,0.95246,-1.52392,0,0.127528,0.95246,4.48
BTB 01397,0.992397,0.662874,0,0.50741,0.992397,0.06
BTB 01431,0.954839,-1.39364,0,0.163426,0.954839,4.15
BTB 01473,0.946175,-1.86807,0,0.0617518,0.946175,5.03
BTB 01480,0.971432,-0.485091,0,0.627612,0.971432,2.16
BTB 01594,0.930536,-2.72442,0,0.00644154,0.930536,6.58
BTB 02800,0.98267,0.130272,0,0.896352,0.98267,0.72
BTB 02837,0.973842,-0.35311,0,0.724006,0.973842,1.6
BTB 03305,0.983094,0.153482,0,0.878018,0.983094,0.5
BTB 03433,0.976456,-0.209973,0,0.833688,0.976456,1.16
BTB 03574,0.976869,-0.187366,0,0.851374,0.976869,1.05
BTB 03608,0.980308,0.000934857,0,0.999254,0.980308,0.61
BTB 03925,0.979855,-0.023855,0,0.980968,0.979855,0.61
BTB 04194,0.982581,0.12537,0,0.90023,0.982581,0.28
BTB 04231,0.975593,-0.257225,0,0.797004,0.975593,1.05
BTB 04275,0.971883,-0.460369,0,0.645252,0.971883,1.49
BTB 04463,0.0956534,-48.4394,0,0,0.0956534,98.84
BTB 04719,0.937492,-2.3435,0,0.019104,0.937492,5.48
BTB 04953,0.969573,-0.586883,0,0.557282,0.969573,2.05
BTB 05020,0.919854,-3.30928,0,0.000935372,0.919854,7.69
BTB 05066,0.982072,0.0975435,0,0.922294,0.982072,0.94
BTB 05122,0.98612,0.319154,0,0.74961,0.98612,0.61
BTB 05144,0.98597,0.310969,0,0.755824,0.98597,0.72
BTB 05336,0.972584,-0.421993,0,0.67303,0.972584,2.27
BTB 05340,0.928866,-2.81584,0,0.00486494,0.928866,7.13
BTB 05419,0.977372,-0.159856,0,0.872994,0.977372,1.83
BTB 05486,0.097459,-48.3405,0,0,0.097459,98.73
BTB 05499,0.93265,-2.60863,0,0.0090905,0.93265,6.8
BTB 05661,0.945068,-1.9287,0,0.0537686,0.945068,5.48
BTB 05727,0.506966,-25.9175,0,0,0.506966,53.71
BTB 06084,0.969208,-0.606838,0,0.543958,0.969208,2.93
BTB 06237,1.00086,1.12628,0,0.260046,1.00086,-0.5
BTB 06387,0.983909,0.198133,0,0.84294,0.983909,1.38
BTB 06428,0.925276,-3.01243,0,0.00259166,0.925276,7.8
BTB 06691,0.966926,-0.731799,0,0.464292,0.966926,3.15
BTB 06791,0.977059,-0.176967,0,0.859534,0.977059,1.94
BTB 07002,0.10644,-47.8488,0,0,0.10644,97.73
BTB 07082,0.959036,-1.16383,0,0.244494,0.959036,3.71
BTB 07328,0.962293,-0.985492,0,0.324382,0.962293,3.26
BTB 07385,0.219409,-41.663,0,0,0.219409,85.23
BTB 07880,0.968533,-0.643813,0,0.519696,0.968533,2.49
BTB 08239,0.942321,-2.07906,0,0.0376116,0.942321,5.37
BTB 08317,0.990189,0.542003,0,0.587816,0.990189,0.06
BTB 08363,0.988864,0.469444,0,0.638752,0.988864,0.17
BTB 08370,0.986396,0.334267,0,0.738178,0.986396,0.39
BTB 08512,1.00185,1.18024,0,0.237906,1.00185,-1.38
BTB 08537,0.976255,-0.220973,0,0.825114,0.976255,1.38
BTB 08545,0.953614,-1.46071,0,0.144095,0.953614,3.82
BTB 08601,0.933959,-2.53697,0,0.0111817,0.933959,5.92
BTB 09041,0.968258,-0.658906,0,0.509956,0.968258,2.05
BTB 10282,0.870081,-6.03466,0,1.59295e-09,0.870081,12.89
BTB 10320,0.792976,-10.2567,0,1.10456e-24,0.792976,21.4
BTB 10323,0.978841,-0.0794157,0,0.936702,0.978841,0.72
BTB 10396,0.945192,-1.92188,0,0.0546212,0.945192,4.37
BTB 10539,1.00811,1.52309,0,0.127736,1.00811,-2.71
BTB 10705,0.082456,-49.162,0,0,0.082456,100.28
XBX 00150,0.611494,-20.1939,0,0,0.611494,41.32
BTB 11052,0.974045,-0.342026,0,0.732332,0.974045,0.83
BTB 11704,1,1.07919,0,0.280502,1,-2.16
BTB 11781,0.979339,-0.0521039,0,0.958446,0.979339,0.06
BTB 11850,0.945831,-1.88692,0,0.0591712,0.945831,3.71
BTB 12055,0.979585,-0.038649,0,0.96917,0.979585,-0.17
BTB 12761,0.990556,0.562073,0,0.574066,0.990556,-1.49
BTB 12931,0.0769629,-49.4628,0,0,0.0769629,100.83
BTB 13088,0.966106,-0.776689,0,0.437342,0.966106,1.05
BTB 13588,0.966283,-0.767032,0,0.443062,0.966283,2.24
BTB 13702,0.932178,-2.63447,0,0.00842696,0.932178,6.18
BTB 13761,0.982831,0.139076,0,0.88939,0.982831,0.71
BTB 13763,1,1.07919,0,0.280502,1,-1.04
BTB 13765,1.04784,3.69896,0,0.000216486,1.04784,-6.18
BTB 13845,0.988759,0.463691,0,0.64287,0.988759,0.49
BTB 14058,0.978077,-0.121217,0,0.90352,0.978077,1.81
BTB 14154,0.574038,-22.2449,0,0,0.574038,46.44
BTB 14688,0.679109,-16.4916,0,0,0.679109,34.96
BTB 14851,0.905875,-4.07472,0,4.60696e-05,0.905875,10.12
BTB 14852,0.91496,-3.57725,0,0.000347226,0.91496,9.25
BTB 14910,0.972109,-0.448012,0,0.654144,0.972109,3.12
BTBG 00025,0.506864,-25.9231,0,0,0.506864,54.21
CD 00707,0.983921,0.198779,0,0.842436,0.983921,2.13
CD 00752,0.978864,-0.0781344,0,0.937722,0.978864,2.79
CD 00756,0.895162,-4.66135,0,3.14144e-06,0.895162,11.98
CD 00758,0.964373,-0.871605,0,0.383424,0.964373,4.43
CD 00759,0.956113,-1.3239,0,0.185536,0.956113,5.31
CD 00823,0.453815,-28.8278,0,0,0.453815,60.12
CD 00995,0.969342,-0.599546,0,0.548808,0.969342,3.77
CD 01737,1.00906,1.57532,0,0.115184,1.00906,-0.6
CD 01803,0.937698,-2.33223,0,0.0196887,0.937698,7.17
CD 01912,0.997411,0.937411,0,0.348548,0.997411,0.6
CD 02044,0.957035,-1.27342,0,0.202868,0.957035,4.98
CD 02158,0.942607,-2.06344,0,0.0390712,0.942607,6.51
CD 02448,0.982096,0.0988303,0,0.921272,0.982096,2.13
CD 02452,1.00156,1.16456,0,0.244196,1.00156,-0.05
CD 02506,0.984139,0.210711,0,0.833112,0.984139,1.81
CD 02717,0.929901,-2.75917,0,0.00579476,0.929901,7.71
CD 02744,0.962536,-0.972219,0,0.330942,0.962536,4.1
CD 02745,0.965258,-0.823141,0,0.410428,0.965258,3.77
CD 02761,0.980949,0.0360393,0,0.971252,0.980949,2.02
CD 02830,0.984695,0.241142,0,0.809444,0.984695,1.59
CD 02841,0.984488,0.229835,0,0.81822,0.984488,1.59
CD 02860,0.933561,-2.55878,0,0.0105041,0.933561,7.17
CD 02966,0.977397,-0.15844,0,0.87411,0.977397,2.35
CD 03254,0.672593,-16.8484,0,0,0.672593,35.83
CD 03308,0.973647,-0.363801,0,0.716006,0.973647,2.79
CD 03678,0.957854,-1.22855,0,0.219242,0.957854,4.54
CD 04032,0.991015,0.58722,0,0.557056,0.991015,0.93
CD 04236,0.980501,0.0114822,0,0.990838,0.980501,2.13
CD 04254,0.977173,-0.170743,0,0.864426,0.977173,2.57
CD 04583,0.954118,-1.43314,0,0.151818,0.954118,5.2
CD 04975,0.452175,-28.9176,0,0,0.452175,60.23
CD 05071,0.988123,0.428864,0,0.668022,0.988123,1.81
CD 05259,0.874747,-5.7792,0,7.50556e-09,0.874747,14.39
CD 05404,0.964311,-0.875018,0,0.381564,0.964311,4.87
CD 05753,0.991564,0.617273,0,0.537054,0.991564,2.13
CD 06082,0.99023,0.544244,0,0.586274,0.99023,2.46
CD 06608,0.915644,-3.53984,0,0.000400364,0.915644,10.67
CD 06678,0.341329,-34.9871,0,0,0.341329,72.81
CD 06681,0.975318,-0.272309,0,0.785384,0.975318,4.43
CD 06828,0.892983,-4.78064,0,1.74741e-06,0.892983,13.4
CD 06834,0.938387,-2.29452,0,0.021761,0.938387,8.59
CD 06872,0.922762,-3.15004,0,0.00163246,0.922762,10.34
CD 06919,0.93841,-2.29322,0,0.0218356,0.93841,8.7
CD 07342,0.96792,-0.677374,0,0.498168,0.96792,5.53
CD 08368,0.979724,-0.0310276,0,0.975248,0.979724,4.21
CD 08396,0.97889,-0.0767003,0,0.938862,0.97889,4.21
CD 08635,0.998771,1.0119,0,0.311584,0.998771,1.91
CD 09291,0.979519,-0.0422455,0,0.966302,0.979519,3.77
CD 09658,0.949867,-1.66591,0,0.0957308,0.949867,6.73
CD 09661,0.928322,-2.84563,0,0.0044324,0.928322,8.81
