supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.887165,-0.334839,0,0.41966,0.887165,22.46
AW 00421,0.806421,-1.30414,0,0.313986,0.806421,30.91
AW 00430,0.789797,-1.50233,0,0.260094,0.789797,33.01
AW 00475,0.454115,-5.52885,0,5.43548e-07,0.454115,66.47
AW 00480,0.802197,-1.3549,0,0.291888,0.802197,32.61
AW 00519,0.984802,0.833168,0,0.513192,0.984802,15.26
AW 00564,0.873037,-0.503612,0,0.432568,0.873037,26.72
AW 00594,0.876333,-0.471267,0,0.670386,0.876333,26.77
AW 00603,0.992727,0.924688,0,0.413148,0.992727,16.16
AW 00637,0.947123,0.377745,0,0.652762,0.947123,21.04
AW 00845,0.88592,-0.359669,0,0.727508,0.88592,27.28
BR 00082,0.578231,-4.0498,0,5.86662e-05,0.578231,56.6
BTB 00693,0.363812,-6.62245,0,3.58578e-11,0.363812,76.89
BTB 00803,0.936547,0.24555,0,0.808254,0.936547,23.82
BTB 01259,0.656718,-3.11847,0,0.00394406,0.656718,50.06
BTB 01345,0.130979,-9.41684,0,2.26292e-20,0.130979,98.78
BTB 01397,0.993992,0.932847,0,0.352322,0.993992,19.45
BTB 01431,0.809165,-1.28119,0,0.205898,0.809165,36.58
BTB 01473,0.202922,-8.55736,0,1.94158e-16,0.202922,92.25
BTB 01480,0.886954,-0.345783,0,0.74432,0.886954,29.33
BTB 01594,0.254558,-7.93204,0,2.20722e-15,0.254558,87.39
BTB 02800,0.901662,-0.168961,0,0.71222,0.901662,27.34
BTB 02837,0.847125,-0.821729,0,0.45315,0.847125,32
BTB 03305,0.781716,-1.59956,0,0.221948,0.781716,37.79
BTB 03433,0.915908,-0.00362798,0,0.964142,0.915908,24.83
BTB 03574,0.880313,-0.427237,0,0.677348,0.880313,27.96
BTB 03608,0.699309,-2.60175,0,0.00944024,0.699309,44.79
BTB 03925,0.87363,-0.507729,0,0.619154,0.87363,28.18
BTB 04194,0.834667,-0.969847,0,0.39106,0.834667,31.82
BTB 04231,0.911982,-0.0385738,0,0.435646,0.911982,24.52
BTB 04275,0.8368,-0.944213,0,0.404736,0.8368,31.71
BTB 04463,0.118929,-9.5611,0,5.3399e-21,0.118929,99.63
BTB 04719,0.836268,-0.960628,0,0.339178,0.836268,32.43
BTB 04953,0.871158,-0.542192,0,0.589094,0.871158,29.76
BTB 05020,0.488993,-5.11587,0,9.40266e-07,0.488993,65.68
BTB 05066,0.944746,0.344642,0,0.735664,0.944746,24.11
BTB 05122,0.828347,-1.04895,0,0.315708,0.828347,35.12
BTB 05144,0.792289,-1.49613,0,0.204912,0.792289,38.66
BTB 05336,0.902447,-0.165024,0,0.869042,0.902447,28.59
BTB 05340,0.246303,-8.03421,0,2.90926e-15,0.246303,88.4
BTB 05419,0.826972,-1.06952,0,0.285514,0.826972,35.39
BTB 05486,0.126732,-9.46546,0,4.43648e-21,0.126732,99.29
BTB 05499,0.572237,-4.13763,0,0.000491234,0.572237,58.84
BTB 05661,0.347905,-6.85907,1,2.6116e-05,0.347905,79.63
BTB 05727,0.756184,-1.93035,0,0.112716,0.756184,42.63
BTB 06084,0.953512,0.447292,0,0.655168,0.953512,25.08
BTB 06237,0.976161,0.713165,0,0.4933,0.976161,23.48
BTB 06387,0.985264,0.823648,0,0.419548,0.985264,22.86
BTB 06428,0.805684,-1.33141,0,0.210368,0.805684,38.9
BTB 06691,0.992582,0.908247,0,0.399272,0.992582,21.89
BTB 06791,0.501125,-4.98948,0,1.4583e-05,0.501125,65.76
BTB 07002,0.169167,-8.95855,0,1.08253e-18,0.169167,95.49
BTB 07082,0.468897,-5.36033,0,1.038e-07,0.468897,67.94
BTB 07328,0.942199,0.313399,0,0.757006,0.942199,24.16
BTB 07385,0.418214,-5.97393,0,5.22678e-09,0.418214,72.24
BTB 07880,0.754676,-1.93485,0,0.0549786,0.754676,41.06
BTB 08239,0.229288,-8.238,0,5.22124e-16,0.229288,89.65
BTB 08317,0.864922,-0.612833,0,0.545306,0.864922,30.85
BTB 08363,0.957852,0.49774,0,0.618938,0.957852,22.17
BTB 08370,0.907069,-0.110759,0,0.911838,0.907069,26.71
