supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.935591,-0.461601,0,0.657454,0.935591,-59.6
AW 00421,0.943134,-0.186427,0,0.852722,0.943134,-51.21
AW 00430,0.890349,-1.75125,0,0.0814794,0.890349,-73.7
AW 00475,0.747063,-6.4077,0,9.43004e-07,0.747063,-171.8
AW 00480,0.901921,-1.5433,0,0.188718,0.901921,-79.4
AW 00519,0.958806,0.333666,0,0.740342,0.958806,-37.1
AW 00564,0.977564,0.426415,0,0.143422,0.977564,-69.11
AW 00594,0.957212,0.281707,0,0.779224,0.957212,-36.96
AW 00603,0.941952,-0.273643,0,0.783764,0.941952,-52.12
AW 00637,0.94165,-0.288602,0,0.768344,0.94165,-52.12
AW 00845,0.89709,-1.66067,0,0.139062,0.89709,-75.61
BR 00082,0.867774,-3.12736,0,0.342162,0.867774,-140.83
BTB 00693,0.930042,-0.641475,0,0.544952,0.930042,-55.94
BTB 00803,0.921913,-0.916081,0,0.410156,0.921913,-61.79
BTB 01259,0.941939,-0.247814,0,0.807632,0.941939,-45.6
BTB 01345,0.908375,-1.47618,0,0.3434,0.908375,-80.61
BTB 01397,0.947069,-0.0390877,0,0.968828,0.947069,-37.01
BTB 01431,0.932666,-0.487325,0,0.626626,0.932666,-44.67
BTB 01473,0.833846,-4.42392,1,0.267292,0.833846,-177.79
BTB 01480,0.93919,-0.268159,0,0.788724,0.93919,-38.04
BTB 01594,0.884845,-2.04677,0,0.0771266,0.884845,-76.51
BTB 02800,0.946564,-0.124663,0,0.812852,0.946564,-40.02
BTB 02837,0.929437,-0.548778,0,0.584008,0.929437,-39.71
BTB 03305,0.865539,-3.2802,0,0.405648,0.865539,-143.06
BTB 03433,0.939553,-0.363214,0,0.732906,0.939553,-45.22
BTB 03574,0.952923,0.093435,0,0.898688,0.952923,-34.1
BTB 03608,0.922458,-0.84821,0,0.414102,0.922458,-51.57
BTB 03925,0.951719,0.0180878,0,0.783524,0.951719,-38.99
BTB 04194,0.926556,-0.715984,0,0.486152,0.926556,-49.49
BTB 04231,0.947484,-0.102197,0,0.798868,0.947484,-41
BTB 04275,0.952119,0.10367,0,0.917432,0.952119,-33.06
BTB 04463,0.257485,-23.4606,0,3.13806e-35,0.257485,-608.36
BTB 04719,0.902921,-1.5171,0,0.199357,0.902921,-70.16
BTB 04953,0.909455,-1.29104,0,0.249236,0.909455,-64.89
BTB 05020,0.865315,-2.75855,0,0.0474456,0.865315,-99.28
BTB 05066,0.927991,-0.700452,0,0.507686,0.927991,-54.18
BTB 05122,0.980076,0.967614,0,0.337532,0.980076,-20.53
BTB 05144,0.953542,0.0396884,0,0.693554,0.953542,-45.24
BTB 05336,0.955544,0.137246,0,0.802338,0.955544,-41.2
BTB 05340,0.775955,-6.81412,1,0.306032,0.775955,-265.43
BTB 05419,0.868315,-2.61963,0,0.0431858,0.868315,-95.1
BTB 05486,0.495445,-17.98,1,0.140773,0.495445,-642.87
BTB 05499,0.895139,-1.73951,0,0.133828,0.895139,-75.48
BTB 05661,0.132059,-26.3486,0,0,0.132059,-590.46
BTB 05727,0.938212,-0.559835,0,0.421782,0.938212,-65.35
BTB 06084,0.944414,-0.152167,0,0.879716,0.944414,-43.13
BTB 06237,0.955001,0.147256,0,0.877194,0.955001,-40.09
BTB 06387,0.932645,-0.456434,0,0.648622,0.932645,-44.98
BTB 06428,0.843401,-3.3195,0,0.00532806,0.843401,-103.77
BTB 06691,0.915962,-1.02008,0,0.317414,0.915962,-58.31
BTB 06791,0.949926,-0.0147056,0,0.841626,0.949926,-43.01
BTB 07002,0.0972064,-27.2844,0,0,0.0972064,-597.28
BTB 07082,0.912698,-1.25713,0,0.31977,0.912698,-70.96
BTB 07328,0.909276,-1.29369,0,0.246226,0.909276,-66.39
BTB 07385,0.59628,-14.0118,1,0.226934,0.59628,-511.12
BTB 07880,0.933319,-0.433478,0,0.665412,0.933319,-42.26
BTB 08239,1.04813,3.18277,0,0.010615,1.04813,27.74
BTB 08317,0.951359,-0.0639876,0,0.590708,0.951359,-48.77
BTB 08363,0.945976,-0.181843,0,0.704426,0.945976,-47.32
BTB 08370,0.940044,-0.207674,0,0.837754,0.940044,-36.48
BTB 08512,0.957163,0.21829,0,0.828636,0.957163,-36.07
BTB 08537,0.93921,-0.390703,0,0.698672,0.93921,-50.89
BTB 08545,0.917571,-1.02733,0,0.34271,0.917571,-60.16
BTB 08601,0.939981,-0.331967,0,0.749886,0.939981,-47.63
BTB 09041,0.994852,1.05463,0,0.470764,0.994852,-44.98
