supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.983936,0.397915,0,0.69178,0.983936,0.66
AW 00421,0.98518,0.457116,0,0.648102,0.98518,0.66
AW 00430,0.94169,-1.59429,0,0.139684,0.94169,5.69
AW 00475,0.873978,-4.76577,0,2.03208e-06,0.873978,13.42
AW 00480,0.949238,-1.2291,0,0.219052,0.949238,5.1
AW 00519,0.994245,0.883824,0,0.376864,0.994245,0.19
AW 00564,0.977905,0.116762,0,0.90705,0.977905,2.15
AW 00594,0.978011,0.115069,0,0.793738,0.978011,2.28
AW 00603,0.994661,0.907354,0,0.368596,0.994661,0.53
AW 00637,0.99416,0.8867,0,0.38938,0.99416,0.7
AW 00845,0.956736,-0.878717,0,0.380386,0.956736,4.98
BR 00082,0.953949,-1.00041,0,0.33766,0.953949,5.38
BTB 00693,0.955699,-0.922185,0,0.361256,0.955699,5.27
BTB 00803,0.977225,0.0891286,0,0.875012,0.977225,2.9
BTB 01259,0.964798,-0.488025,0,0.652668,0.964798,4.27
BTB 01345,0.957338,-0.848262,0,0.396438,0.957338,5.1
BTB 01397,0.991174,0.731137,0,0.490304,0.991174,1.3
BTB 01431,0.956751,-0.877653,0,0.380604,0.956751,5.05
BTB 01473,0.968176,-0.338549,0,0.735304,0.968176,3.66
BTB 01480,0.996391,0.985266,0,0.324506,0.996391,0.37
BTB 01594,0.923651,-2.42507,0,0.0179056,0.923651,8.33
BTB 02800,0.989406,0.661279,0,0.51401,0.989406,0.83
BTB 02837,0.952479,-1.09702,0,0.400474,0.952479,4.85
BTB 03305,0.975918,0.0224097,0,0.963398,0.975918,2.11
BTB 03433,0.991753,0.764754,0,0.446532,0.991753,0.26
BTB 03574,0.982546,0.330495,0,0.744554,0.982546,1.25
BTB 03608,0.987883,0.586036,0,0.557924,0.987883,0.61
BTB 03925,0.980344,0.22169,0,0.714738,0.980344,1.43
BTB 04194,0.98487,0.437653,0,0.670958,0.98487,0.9
BTB 04231,0.982962,0.358041,0,0.722854,0.982962,1.12
BTB 04275,0.96631,-0.425455,0,0.671514,0.96631,3.03
BTB 04463,0.107675,-40.7615,0,0,0.107675,99.47
BTB 04719,0.925987,-2.32319,0,0.0205298,0.925987,7.71
BTB 04953,0.972896,-0.119236,0,0.905148,0.972896,2.57
BTB 05020,0.911195,-3.00583,0,0.0047298,0.911195,9.6
BTB 05066,0.989695,0.672119,0,0.502226,0.989695,0.95
BTB 05122,0.985918,0.488438,0,0.631062,0.985918,1.48
