supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.932628,0.363674,0,0.599982,0.932628,15
AW 00421,0.887601,-0.255892,0,0.626716,0.887601,19.61
AW 00430,0.903794,-0.060211,0,0.880536,0.903794,17.88
AW 00475,0.489694,-5.768,0,7.43328e-08,0.489694,60.25
AW 00480,0.858347,-0.706334,0,0.48809,0.858347,22.47
AW 00519,1.0188,1.52859,0,0.154194,1.0188,6.12
AW 00564,1.00471,1.3232,0,0.195256,1.00471,7.53
AW 00594,0.936063,0.323775,0,0.548078,0.936063,14.41
AW 00603,0.987766,1.10851,0,0.312694,0.987766,9.31
AW 00637,0.902972,-0.0836452,0,0.933348,0.902972,17.93
AW 00845,0.846487,-0.827971,0,0.437768,0.846487,23.8
BR 00082,0.42213,-6.64168,0,5.3088e-11,0.42213,67.31
BTB 00693,0.364438,-7.49093,0,4.38364e-12,0.364438,73.07
BTB 00803,0.956384,0.666305,0,0.519124,0.956384,12.5
BTB 01259,0.659667,-3.41648,0,0.000693994,0.659667,42.88
BTB 01345,0.156761,-10.3416,0,9.91978e-22,0.156761,94.35
BTB 01397,0.949813,0.564915,0,0.573986,0.949813,13.14
BTB 01431,0.778083,-1.75477,0,0.112988,0.778083,30.84
BTB 01473,0.168726,-10.1562,0,3.25498e-22,0.168726,93.18
BTB 01480,0.920034,0.138421,0,0.866594,0.920034,16.15
BTB 01594,0.251923,-9.00796,0,3.15784e-18,0.251923,84.68
BTB 02800,0.949766,0.561964,0,0.574988,0.949766,13.14
BTB 02837,0.892552,-0.199895,0,0.7372,0.892552,19.07
BTB 03305,0.891782,-0.248581,0,0.806842,0.891782,19.04
BTB 03433,0.87661,-0.465431,0,0.657512,0.87661,20.58
BTB 03574,0.904552,-0.0694054,0,0.906268,0.904552,17.75
BTB 03608,0.749267,-2.14897,0,0.0508562,0.749267,33.8
BTB 03925,0.894371,-0.199104,0,0.842192,0.894371,18.82
BTB 04194,0.847758,-0.804708,0,0.464978,0.847758,23.68
BTB 04231,0.96534,0.775692,0,0.439344,0.96534,11.54
BTB 04275,0.928039,0.273402,0,0.78798,0.928039,15.39
BTB 04463,0.111757,-10.9597,0,3.30784e-24,0.111757,98.97
BTB 04719,0.791326,-1.57429,0,0.154643,0.791326,29.48
BTB 04953,0.881158,-0.406311,0,0.70268,0.881158,20.1
BTB 05020,0.517006,-5.41181,0,1.55271e-06,0.517006,57.4
BTB 05066,0.942489,0.444516,0,0.661866,0.942489,13.84
BTB 05122,0.830714,-1.11138,0,0.340258,0.830714,25.24
BTB 05144,0.843735,-0.887776,0,0.375464,0.843735,24.02
BTB 05336,0.942087,0.447638,0,0.655038,0.942087,13.9
BTB 05340,0.21703,-9.50077,0,2.77726e-19,0.21703,88.21
BTB 05419,0.883042,-0.372892,0,0.717678,0.883042,19.93
BTB 05486,0.140189,-10.5327,0,1.17935e-24,0.140189,96.15
BTB 05499,0.673499,-3.22732,0,0.00135183,0.673499,41.46
BTB 05661,0.422713,-6.6048,0,7.79016e-10,0.422713,67.33
BTB 05727,0.340123,-7.82897,0,6.96148e-13,0.340123,75.55
BTB 06084,0.952926,0.590444,0,0.558512,0.952926,12.78
BTB 06237,0.970058,0.816936,0,0.427312,0.970058,11
BTB 06387,0.992676,1.13336,0,0.261726,0.992676,8.7
BTB 06428,0.779746,-1.79251,0,0.091348,0.779746,30.51
BTB 06691,0.936127,0.356404,0,0.726648,0.936127,14.49
BTB 06791,0.342303,-7.74817,0,9.87024e-15,0.342303,75.47
BTB 07002,0.172533,-10.0582,0,1.27543e-23,0.172533,92.92
BTB 07082,0.507624,-5.51955,0,2.18688e-07,0.507624,58.42
BTB 07328,0.952122,0.596687,0,0.552756,0.952122,12.91
BTB 07385,0.408087,-6.61555,1,0.000278812,0.408087,69.34
BTB 07880,0.701919,-2.85819,0,0.00728482,0.701919,38.49
BTB 08239,0.338052,-7.7599,0,3.83814e-13,0.338052,76.03
BTB 08317,0.883753,-0.385037,0,0.610054,0.883753,19.8
BTB 08363,0.948617,0.517875,0,0.622994,0.948617,13.18
BTB 08370,0.873123,-0.514565,0,0.626258,0.873123,20.93
BTB 08512,0.982682,1.01546,0,0.313166,0.982682,9.77
BTB 08537,0.970198,0.825788,0,0.41384,0.970198,11
BTB 08545,0.982449,1.00071,0,0.3174,0.982449,9.77
BTB 08601,0.721925,-2.59272,0,0.018937,0.721925,36.42
BTB 09041,0.905544,-0.0638464,0,0.820194,0.905544,17.62
BTB 10282,0.685126,-3.12044,0,0.0111667,0.685126,40.13
BTB 10320,0.204173,-9.71405,0,4.0569e-18,0.204173,89.43
BTB 10323,0.799443,-1.51801,0,0.144377,0.799443,28.5
BTB 10396,0.960682,0.680993,0,0.521252,0.960682,11.94
BTB 10539,0.94734,0.522815,0,0.601148,0.94734,13.37
BTB 10705,0.0956402,-11.1792,0,3.08136e-25,0.0956402,100.62
XBX 00150,0.194907,-9.81442,0,6.57522e-20,0.194907,90.45
BTB 11052,0.938839,0.385054,0,0.713772,0.938839,14.19
BTB 11704,1.01414,1.43389,0,0.151953,1.01414,6.51
BTB 11781,0.871619,-0.552581,0,0.622402,0.871619,21.04
