supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00178,0.812177,-1.76435,0,0.160151,0.812177,32.04
AW 00227,0.420672,-5.16213,0,4.39028e-05,0.420672,84.48
AW 00264,0.963075,-0.364536,0,0.719494,0.963075,11.76
AW 00294,0.920763,-0.78615,0,0.477844,0.920763,17.47
AW 00751,0.96926,-0.325108,0,0.75127,0.96926,10.95
AW 00786,1.01751,0.114325,0,0.909248,1.01751,4.47
AW 00837,1.00907,0.0595771,0,0.952494,1.00907,5.59
AW 00846,0.926513,-0.692256,0,0.503604,0.926513,16.67
AW 01237,0.97381,-0.291768,0,0.777094,0.97381,10.34
BR 00076,0.133596,-7.71971,0,2.6577e-09,0.133596,122.98
BR 00079,0.105246,-7.9668,0,7.52634e-10,0.105246,126.78
BR 00087,0.122347,-7.8384,0,2.42404e-09,0.122347,124.5
BTB 00551,0.824758,-1.52682,0,0.133373,0.824758,30.26
BTB 00807,0.688277,-2.57182,0,0.0121696,0.688277,48.45
BTB 00808,0.3352,-5.94122,0,4.5985e-06,0.3352,95.96
BTB 01249,0.803753,-1.72412,0,0.0965536,0.803753,33.09
BTB 01592,0.141979,-7.67037,0,6.0218e-09,0.141979,121.88
BTB 02045,0.907627,-0.840252,0,0.41202,0.907627,19.19
BTB 02100,0.0967413,-8.02695,0,3.8489e-10,0.0967413,127.91
BTB 02101,0.099092,-8.00353,0,4.03926e-10,0.099092,127.59
BTB 02102,0.102633,-7.96705,0,4.2388e-10,0.102633,127.12
BTB 02152,0.113549,-7.87807,0,7.89224e-10,0.113549,125.66
BTB 02153,0.222195,-7.03424,0,4.5504e-07,0.222195,111.18
BTB 02162,0.120833,-7.83368,0,1.59759e-09,0.120833,124.69
BTB 02163,0.100343,-7.98507,0,3.6673e-10,0.100343,127.42
BTB 02164,0.104328,-7.95556,0,4.89682e-10,0.104328,126.89
BTB 02167,0.4273,-5.12968,0,7.47752e-05,0.4273,83.61
BTB 02215,0.101564,-7.9693,0,3.49408e-10,0.101564,127.25
BTB 02216,0.764891,-1.97758,0,0.0480738,0.764891,38.23
BTB 02223,0.107395,-7.9148,0,4.2388e-10,0.107395,126.47
BTB 02227,0.104449,-7.94475,0,4.03926e-10,0.104449,126.87
BTB 02332,1.01045,0.136338,0,0.791552,1.01045,5.35
BTB 02708,0.760593,-2.08159,0,0.0437768,0.760593,38.86
BTB 02880,0.869754,-1.19184,0,0.263814,0.869754,24.28
BTB 02908,0.85681,-1.32202,0,0.23099,0.85681,26.02
BTB 02925,0.930297,-0.634162,0,0.530694,0.930297,16.14
BTB 02990,0.106709,-7.92943,0,4.89682e-10,0.106709,126.57
BTB 03006,0.114679,-7.87041,0,8.67678e-10,0.114679,125.51
BTB 03156,0.119381,-7.82357,0,9.53714e-10,0.119381,124.87
XBX 00259,0.931961,-0.625374,0,0.537844,0.931961,15.93
BTB 03252,0.400504,-5.3313,0,2.15178e-05,0.400504,87.18
BTB 03261,0.101473,-7.97741,0,4.03926e-10,0.101473,127.27
BTB 03767,0.72389,-2.5151,0,0.0428564,0.72389,43.86
BTB 03984,0.920541,-0.712776,0,0.480174,0.920541,17.45
BTB 04176,0.37156,-5.58492,0,8.64212e-06,0.37156,91.06
BTB 04424,0.1068,-7.92133,0,4.2388e-10,0.1068,126.55
BTB 04426,0.129379,-7.72334,0,1.15143e-09,0.129379,123.52
BTB 04487,0.173083,-7.31725,0,4.80686e-09,0.173083,117.65
BTB 04902,0.147397,-7.60619,0,5.5037e-09,0.147397,121.14
BTB 04959,0.109413,-7.92109,0,7.52634e-10,0.109413,126.22
BTB 04965,0.143331,-7.59631,0,1.92394e-09,0.143331,121.65
BTB 04980,0.117504,-7.85126,0,1.09855e-09,0.117504,125.13
BTB 05015,0.979025,-0.199003,0,0.842372,0.979025,9.61
BTB 05019,0.794683,-1.92787,0,0.136337,0.794683,34.39
BTB 05131,0.510311,-4.4771,0,0.00155377,0.510311,72.54
BTB 05159,1.0111,0.100779,0,0.920074,1.0111,5.3
BTB 05178,0.179893,-7.40836,0,9.89922e-08,0.179893,116.85
BTB 05299,0.124223,-7.81071,0,2.1106e-09,0.124223,124.25
BTB 05304,0.530589,-4.20486,0,0.000911242,0.530589,69.76
BTB 05335,0.938983,-0.557806,0,0.580502,0.938983,14.98
BTB 05411,0.113731,-7.86186,0,5.93098e-10,0.113731,125.62
BTB 05413,0.2068,-7.24344,0,8.76778e-07,0.2068,113.29
BTB 05417,0.119562,-7.80736,0,7.17698e-10,0.119562,124.84
BTB 05434,0.547902,-4.05755,0,0.00144197,0.547902,67.44
BTB 05488,0.21135,-7.07032,0,1.11994e-07,0.21135,112.59
BTB 05562,0.864669,-1.22631,0,0.244846,0.864669,24.95
BTB 05678,0.805468,-1.75742,0,0.113073,0.805468,32.89
BTB 06086,0.497205,-4.52851,0,0.000565712,0.497205,74.25
BTB 06196,0.795944,-1.86191,0,0.107633,0.795944,34.18
BTB 06254,0.126069,-7.78571,0,1.92394e-09,0.126069,123.99
BTB 06263,0.479681,-4.97427,1,0.00742476,0.479681,76.81
BTB 06536,0.874132,-1.12721,0,0.273958,0.874132,23.67
BTB 06587,0.114114,-7.87424,0,8.27546e-10,0.114114,125.58
BTB 06669,0.284685,-6.39597,0,9.82694e-07,0.284685,102.74
BTB 06671,0.153763,-7.55055,0,7.20398e-09,0.153763,120.29
BTB 06776,0.895843,-0.960068,0,0.359678,0.895843,20.78
