supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00178,0.902038,-0.765899,0,0.44407,0.902038,24.04
AW 00227,0.832961,-1.2698,0,0.208182,0.832961,30.66
AW 00264,0.990338,-0.121656,0,0.90352,0.990338,15.57
AW 00294,0.954373,-0.377546,0,0.707978,0.954373,19
AW 00751,0.972453,-0.240489,0,0.81452,0.972453,17.26
AW 00786,1.01858,0.0855293,0,0.888938,1.01858,12.86
AW 00837,1.00966,0.0281377,0,0.814282,1.00966,13.69
AW 00846,0.914799,-0.660172,0,0.514246,0.914799,22.78
AW 01237,0.999403,-0.0507653,0,0.869812,0.999403,14.69
BR 00076,0.144092,-6.23463,0,1.0851e-09,0.144092,96.57
BR 00079,0.108651,-6.49326,0,2.88086e-10,0.108651,99.97
BR 00087,0.195987,-5.88744,0,6.5135e-08,0.195987,91.67
BTB 00551,0.897941,-0.786517,0,0.43324,0.897941,24.41
BTB 00807,0.781483,-1.62985,0,0.103156,0.781483,35.56
BTB 00808,0.342128,-4.80597,0,2.26814e-06,0.342128,77.62
BTB 01249,0.67256,-2.39,0,0.0233762,0.67256,45.92
BTB 01592,0.147794,-6.19911,0,7.33776e-10,0.147794,96.2
BTB 02045,0.890185,-0.838597,0,0.406126,0.890185,25.14
BTB 02100,0.112835,-6.46454,0,3.88902e-10,0.112835,99.58
BTB 02101,0.11167,-6.46985,0,2.90278e-10,0.11167,99.68
BTB 02102,0.112289,-6.46382,0,2.64602e-10,0.112289,99.62
BTB 02152,0.112274,-6.46517,0,2.90806e-10,0.112274,99.62
BTB 02153,0.160827,-6.11975,0,3.38782e-09,0.160827,94.99
BTB 02162,0.158411,-6.13848,0,3.37474e-09,0.158411,95.22
BTB 02163,0.0954524,-6.58814,0,1.55573e-10,0.0954524,101.23
BTB 02164,0.100851,-6.54939,0,2.01286e-10,0.100851,100.72
BTB 02167,0.694485,-2.25595,0,0.0240808,0.694485,43.88
BTB 02215,0.0972496,-6.57545,0,1.72363e-10,0.0972496,101.06
BTB 02216,0.737983,-1.96891,0,0.063087,0.737983,39.78
BTB 02223,0.103834,-6.52936,0,2.58866e-10,0.103834,100.44
BTB 02227,0.106803,-6.51068,0,3.6731e-10,0.106803,100.16
BTB 02332,0.981884,-0.187191,0,0.85154,0.981884,16.39
BTB 02708,0.803323,-1.45188,0,0.164743,0.803323,33.42
BTB 02880,0.893305,-0.805742,0,0.438642,0.893305,24.82
BTB 02908,0.843443,-1.16997,0,0.25201,0.843443,29.6
BTB 02925,0.952008,-0.391546,0,0.699444,0.952008,19.22
BTB 02990,0.109859,-6.4839,0,2.88882e-10,0.109859,99.85
BTB 03006,0.108047,-6.49794,0,2.87726e-10,0.108047,100.03
BTB 03156,0.113431,-6.46054,0,4.08728e-10,0.113431,99.52
XBX 00259,0.942993,-0.457712,0,0.650828,0.942993,20.09
BTB 03252,0.775566,-1.7172,1,0.144646,0.775566,36.24
BTB 03261,0.109233,-6.4906,0,3.33882e-10,0.109233,99.92
BTB 03767,0.65486,-2.5433,0,0.0109985,0.65486,47.68
BTB 03984,0.944747,-0.449068,0,0.65482,0.944747,19.93
BTB 04176,0.502609,-3.67834,0,0.000954816,0.502609,62.34
BTB 04424,0.112892,-6.45914,0,2.6524e-10,0.112892,99.56
BTB 04426,0.114661,-6.44915,0,3.54398e-10,0.114661,99.39
BTB 04487,0.417651,-4.32082,1,0.000457294,0.417651,70.54
BTB 04902,0.123618,-6.38838,0,7.07784e-10,0.123618,98.55
BTB 04959,0.103259,-6.53134,0,2.1252e-10,0.103259,100.49
BTB 04965,0.415819,-4.28487,0,3.88232e-05,0.415819,70.59
BTB 04980,0.118334,-6.41634,0,2.61678e-10,0.118334,99.03
BTB 05015,0.991021,-0.109551,0,0.85375,0.991021,15.49
BTB 05019,0.717884,-2.08757,0,0.0368468,0.717884,41.64
BTB 05131,0.562561,-3.30275,1,0.0253806,0.562561,56.74
BTB 05159,0.992243,-0.0988385,0,0.832772,0.992243,15.36
BTB 05178,0.102663,-6.53534,0,2.02126e-10,0.102663,100.54
BTB 05299,0.222888,-5.65043,0,1.60075e-08,0.222888,88.99
BTB 05304,0.676585,-2.37614,0,0.018454,0.676585,45.57
BTB 05335,0.944725,-0.451093,0,0.652678,0.944725,19.94
BTB 05411,0.156658,-6.14712,0,2.32992e-09,0.156658,95.38
BTB 05413,0.27578,-5.36548,1,2.80456e-05,0.27578,84.17
BTB 05417,0.113475,-6.45649,0,3.06104e-10,0.113475,99.51
BTB 05434,0.772863,-1.7109,0,0.0972952,0.772863,36.43
BTB 05488,0.398983,-4.40919,0,2.70992e-05,0.398983,72.21
BTB 05562,0.89549,-0.808616,0,0.418862,0.89549,24.65
BTB 05678,0.76528,-1.74679,0,0.0806808,0.76528,37.11
BTB 06086,0.531293,-3.42998,0,0.000604352,0.531293,59.49
BTB 06196,0.790031,-1.55554,0,0.126465,0.790031,34.71
BTB 06254,0.163659,-6.1139,0,1.13006e-08,0.163659,94.75
BTB 06263,0.759284,-1.78955,0,0.0735468,0.759284,37.68
BTB 06536,0.879912,-0.918849,0,0.358756,0.879912,26.14
BTB 06587,0.106243,-6.51131,0,2.73048e-10,0.106243,100.2
BTB 06669,0.241837,-5.53573,0,8.71172e-08,0.241837,87.23
BTB 06671,0.156629,-6.14982,0,2.79742e-09,0.156629,95.39
BTB 06776,0.916683,-0.63938,0,0.536066,0.916683,22.58
BTB 06877,0.635135,-2.67888,0,0.00752314,0.635135,49.55
