supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00178,0.912462,-1.80545,0,0.259196,0.912462,8.49
AW 00227,0.791978,-4.42558,0,0.0803894,0.791978,22.23
AW 00264,0.996162,-0.135774,0,0.877322,0.996162,-1.09
AW 00294,0.950508,-1.04651,0,0.405058,0.950508,4.13
AW 00751,0.985903,-0.423879,0,0.68477,0.985903,0.06
AW 00786,1.00548,-0.0494089,0,0.808886,1.00548,-2.18
AW 00837,1.00443,-0.109985,0,0.740486,1.00443,-2.07
AW 00846,0.982032,-0.419108,0,0.691142,0.982032,0.52
AW 01237,0.99892,-0.130539,0,0.826024,0.99892,-1.42
BR 00076,0.0979216,-16.9327,0,6.09914e-17,0.0979216,101.97
BR 00079,0.0947233,-17.0741,0,9.33292e-17,0.0947233,102.32
BR 00087,0.0984782,-16.9377,0,7.2327e-17,0.0984782,101.91
BTB 00551,0.888803,-2.59364,0,0.298526,0.888803,11.12
BTB 00807,0.414487,-12.2619,0,1.84974e-05,0.414487,65.37
BTB 00808,0.483219,-10.5277,0,4.20444e-05,0.483219,57.59
BTB 01249,0.834378,-2.91509,0,0.0429694,0.834378,17.53
BTB 01592,0.173755,-15.7728,0,1.18504e-13,0.173755,93.22
BTB 02045,0.954952,-1.07645,0,0.448366,0.954952,3.6
BTB 02100,0.395162,-14.2901,1,0.00387966,0.395162,67.22
BTB 02101,0.488364,-13.4264,1,0.174876,0.488364,56.33
BTB 02102,0.093062,-17.0691,0,6.09914e-17,0.093062,102.52
BTB 02152,0.458775,-13.7209,1,0.0716762,0.458775,59.78
BTB 02153,0.522729,-12.8946,1,0.305612,0.522729,52.36
BTB 02162,0.344127,-14.0315,0,7.49962e-06,0.344127,73.34
BTB 02163,0.163769,-16.3936,0,1.36694e-12,0.163769,94.26
BTB 02164,0.387428,-14.2906,1,0.00201542,0.387428,68.14
BTB 02167,0.759448,-5.17406,0,0.0587884,0.759448,25.93
BTB 02215,0.120466,-16.805,0,3.5331e-15,0.120466,99.32
BTB 02216,0.458676,-13.5999,1,0.0564436,0.458676,59.82
BTB 02223,0.460827,-13.5292,1,0.0552994,0.460827,59.58
BTB 02227,0.36054,-14.5093,1,0.000331926,0.36054,71.29
BTB 02332,1.0229,0.264407,0,0.792504,1.0229,-4.18
BTB 02708,0.826918,-3.24838,0,0.0552998,0.826918,18.34
BTB 02880,0.921716,-1.63842,0,0.291322,0.921716,7.42
BTB 02908,0.898257,-1.99804,0,0.19745,0.898257,10.13
BTB 02925,0.961323,-0.763406,0,0.487228,0.961323,2.91
BTB 02990,0.4352,-13.9394,1,0.0286952,0.4352,62.53
BTB 03006,0.099101,-17.0233,0,1.68581e-16,0.099101,101.81
BTB 03156,0.0924641,-17.0137,0,3.34782e-17,0.0924641,102.61
XBX 00259,0.982024,-0.409025,0,0.696366,0.982024,0.53
BTB 03252,0.759041,-5.35055,0,0.0803894,0.759041,25.94
BTB 03261,0.0985113,-16.978,0,1.01586e-16,0.0985113,101.89
BTB 03767,0.83014,-3.8078,0,0.16969,0.83014,17.83
BTB 03984,0.965701,-0.712681,0,0.520416,0.965701,2.4
BTB 04176,0.614235,-7.95222,0,0.00221878,0.614235,42.58
BTB 04424,0.100679,-16.9274,0,1.10562e-16,0.100679,101.65
BTB 04426,0.210363,-15.2811,0,5.31452e-12,0.210363,88.97
BTB 04487,0.533891,-9.67208,0,0.000370952,0.533891,51.75
BTB 04902,0.295616,-14.1559,0,1.44505e-08,0.295616,79.09
BTB 04959,0.254073,-14.6932,0,3.46318e-10,0.254073,83.91
BTB 04965,0.399951,-12.0511,0,1.09462e-06,0.399951,67.15
BTB 04980,0.288592,-12.3312,0,2.36002e-14,0.288592,80.33
BTB 05015,0.996146,-0.115607,0,0.90857,0.996146,-1.09
BTB 05019,0.89172,-2.10942,0,0.178,0.89172,10.89
BTB 05131,0.468913,-11.2699,0,0.000160868,0.468913,59.12
BTB 05159,0.983228,-0.529945,0,0.613276,0.983228,0.36
BTB 05178,0.590542,-9.37064,0,0.0177095,0.590542,45.08
BTB 05299,0.173962,-16.0248,0,7.63298e-13,0.173962,93.13
BTB 05304,0.74443,-5.04906,0,0.0177095,0.74443,27.75
BTB 05335,0.971723,-0.646715,0,0.566308,0.971723,1.7
