supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00178,0.942567,-0.748292,0,0.475646,0.942567,7.93
AW 00227,0.870181,-1.62953,0,0.175611,0.870181,15.84
AW 00264,0.96789,-0.445481,0,0.671498,0.96789,5.15
AW 00294,0.9562,-0.582152,0,0.571852,0.9562,6.44
AW 00751,0.993673,-0.134634,0,0.796214,0.993673,2.33
AW 00786,1.0085,0.0407006,0,0.759962,1.0085,0.69
AW 00837,1.00631,0.0173451,0,0.807736,1.00631,0.94
AW 00846,0.96926,-0.440872,0,0.598906,0.96926,4.97
AW 01237,0.97845,-0.319532,0,0.758886,0.97845,3.99
BR 00076,0.0985441,-10.8639,0,1.61383e-24,0.0985441,100.52
BR 00079,0.0954406,-10.9033,0,1.8296e-24,0.0954406,100.85
BR 00087,0.102792,-10.8141,0,3.41886e-24,0.102792,100.05
BTB 00551,0.910946,-1.12767,0,0.285738,0.910946,11.4
BTB 00807,0.70175,-3.67796,0,0.0114467,0.70175,34.24
BTB 00808,0.633533,-4.54689,1,0.025192,0.633533,41.59
BTB 01249,0.90333,-1.22986,0,0.294038,0.90333,12.21
BTB 01592,0.126187,-10.5412,0,2.45116e-22,0.126187,97.46
BTB 02045,0.923985,-0.966122,0,0.344564,0.923985,9.98
BTB 02100,0.0922921,-10.9416,0,1.42329e-24,0.0922921,101.19
BTB 02101,0.122263,-10.5795,0,2.46558e-23,0.122263,97.91
BTB 02102,0.0933016,-10.9278,0,1.10656e-24,0.0933016,101.09
BTB 02152,0.142944,-10.3559,0,3.63726e-20,0.142944,95.58
BTB 02153,0.458218,-6.59772,0,2.13872e-07,0.458218,60.95
BTB 02162,0.302471,-8.49532,0,3.1395e-10,0.302471,77.95
BTB 02163,0.0917424,-10.9474,0,1.10656e-24,0.0917424,101.26
BTB 02164,0.10722,-10.769,0,3.14782e-23,0.10722,99.54
BTB 02167,0.846942,-1.92619,0,0.197881,0.846942,18.34
BTB 02215,0.0948909,-10.9091,0,1.42329e-24,0.0948909,100.91
BTB 02216,0.392715,-7.25939,0,6.94136e-10,0.392715,68.45
BTB 02223,0.263055,-8.9723,0,3.10612e-11,0.263055,82.27
BTB 02227,0.0969999,-10.8838,0,1.8296e-24,0.0969999,100.68
BTB 02332,1.00364,-0.0132822,0,0.831532,1.00364,1.24
BTB 02708,0.87047,-1.5974,0,0.110188,0.87047,15.88
BTB 02880,0.952367,-0.622737,0,0.536588,0.952367,6.88
BTB 02908,0.882415,-1.46723,0,0.159521,0.882415,14.53
BTB 02925,0.965171,-0.474962,0,0.644888,0.965171,5.46
BTB 02990,0.112433,-10.7043,0,3.55598e-23,0.112433,98.97
BTB 03006,0.102227,-10.8195,0,2.3505e-24,0.102227,100.11
BTB 03156,0.111393,-10.7173,0,3.55598e-23,0.111393,99.09
XBX 00259,0.97809,-0.310362,0,0.756332,0.97809,4.06
BTB 03252,0.705482,-3.59531,0,0.00117269,0.705482,33.92
BTB 03261,0.0938514,-10.9221,0,1.42329e-24,0.0938514,101.03
BTB 03767,0.843683,-1.94191,0,0.0881626,0.843683,18.76
BTB 03984,0.947794,-0.68398,0,0.509594,0.947794,7.36
BTB 04176,0.665771,-4.08454,0,0.000644602,0.665771,38.25
BTB 04424,0.100698,-10.8398,0,3.01792e-24,0.100698,100.27
BTB 04426,0.156947,-10.1794,0,2.90016e-20,0.156947,94.07
BTB 04487,0.545954,-5.61379,1,0.00474692,0.545954,51.15
BTB 04902,0.235745,-9.20479,0,3.04448e-19,0.235745,85.5
BTB 04959,0.220179,-9.44017,0,5.24854e-16,0.220179,87.09
BTB 04965,0.43779,-6.92646,1,0.000243272,0.43779,62.97
BTB 04980,0.423946,-7.08725,1,8.5783e-05,0.423946,64.51
