supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00178,0.461389,-16.5157,0,9.4778e-32,0.461389,47.34
AW 00227,0.298922,-21.8227,0,0,0.298922,70.9
AW 00264,0.719507,-8.12246,0,0.414524,0.719507,13.79
AW 00294,0.625922,-11.2416,0,2.8711e-07,0.625922,26.92
AW 00751,0.721146,-8.17082,0,0.178443,0.721146,15.55
AW 00786,0.780357,-6.31286,0,0.158601,0.780357,8.79
AW 00837,0.756015,-7.1321,0,0.32609,0.756015,13.72
AW 00846,0.262543,-23.2301,0,0,0.262543,76.49
AW 01237,0.772559,-6.64811,0,0.369534,0.772559,15.39
BR 00076,0.0903469,-28.7797,0,0,0.0903469,99.14
BR 00079,0.0725627,-29.3485,0,0,0.0725627,101.6
BR 00087,0.0884109,-28.8549,0,0,0.0884109,99.94
BTB 00551,0.717522,-8.6626,0,1.43897e-08,0.717522,30.37
BTB 00807,0.597139,-12.5465,0,3.87994e-27,0.597139,46.56
BTB 00808,0.131992,-27.458,0,0,0.131992,96.82
BTB 01249,0.682463,-10.1078,0,2.43042e-21,0.682463,43.78
BTB 01592,0.166372,-26.4563,0,0,0.166372,94.86
BTB 02045,0.941913,-2.13004,0,0.470926,0.941913,26.19
BTB 02100,0.108591,-28.293,0,0,0.108591,100.97
BTB 02101,0.114195,-28.1324,0,0,0.114195,100.8
BTB 02102,0.116961,-28.063,0,0,0.116961,100.86
BTB 02152,0.123498,-27.8296,0,0,0.123498,100.29
BTB 02153,0.124271,-27.8371,0,0,0.124271,100.46
BTB 02162,0.161896,-26.6668,0,0,0.161896,97.31
BTB 02163,0.113694,-28.1435,0,0,0.113694,100.86
BTB 02164,0.114116,-28.1248,0,0,0.114116,100.4
BTB 02167,0.43713,-17.6252,0,0,0.43713,69.36
BTB 02215,0.101315,-28.4917,0,0,0.101315,100.57
BTB 02216,0.659084,-10.551,0,2.80064e-16,0.659084,44.61
BTB 02223,0.0985481,-28.5644,0,0,0.0985481,100.17
BTB 02227,0.097708,-28.5819,0,0,0.097708,100.06
BTB 02332,0.91447,-2.57791,0,0.384428,0.91447,13.49
BTB 02708,0.632503,-11.4443,0,2.0964e-22,0.632503,42.89
BTB 02880,0.764161,-7.303,0,6.66688e-08,0.764161,27.32
BTB 02908,0.645242,-10.9411,0,5.31924e-16,0.645242,40.57
BTB 02925,0.815437,-5.64941,0,0.00104145,0.815437,21.66
BTB 02990,0.0839047,-29.0103,0,0,0.0839047,101.2
BTB 03006,0.101916,-28.4416,0,0,0.101916,99.43
BTB 03156,0.0965822,-28.6405,0,0,0.0965822,100.22
XBX 00259,0.876658,-3.67138,0,0.340346,0.876658,15.91
BTB 03252,0.287511,-22.4291,0,0,0.287511,81.54
BTB 03261,0.104637,-28.3932,0,0,0.104637,100.29
BTB 03767,0.570263,-13.6389,0,2.61642e-37,0.570263,57.87
BTB 03984,1.02714,0.512844,0,0.0276402,1.02714,20.31
BTB 04176,0.199424,-25.3973,0,0,0.199424,93.11
BTB 04424,0.516602,-14.3023,1,1.75969e-05,0.516602,60.87
BTB 04426,0.162666,-26.6348,0,0,0.162666,96.68
BTB 04487,0.16025,-26.6942,0,0,0.16025,96.63
BTB 04902,0.127342,-27.68,0,0,0.127342,99.09
BTB 04959,0.110124,-28.2392,0,0,0.110124,100.52
BTB 04965,0.114096,-28.0859,0,0,0.114096,99.95
BTB 04980,0.111333,-28.1684,0,0,0.111333,100.12
BTB 05015,1.04844,1.22537,0,0.234898,1.04844,14.46
BTB 05019,0.628842,-11.8714,0,7.0305e-25,0.628842,52.36
BTB 05131,0.295252,-22.5853,0,0,0.295252,83.32
BTB 05159,1.0296,0.708386,0,0.357006,1.0296,13.25
BTB 05178,0.103819,-28.3936,0,0,0.103819,100.29
BTB 05299,0.141615,-27.2348,0,0,0.141615,96.39
BTB 05304,0.365814,-20.1193,0,0,0.365814,73.71
BTB 05335,0.836038,-5.14452,0,2.08602e-05,0.836038,25.68
BTB 05411,0.115392,-28.0291,0,0,0.115392,98.52
BTB 05413,0.123459,-27.8143,0,0,0.123459,97.64
BTB 05417,0.110287,-28.1951,0,0,0.110287,99.09
BTB 05434,0.451209,-17.2513,0,0,0.451209,64.96
BTB 05488,0.104241,-28.3618,0,0,0.104241,99.9
BTB 05562,0.810024,-6.11356,0,2.34468e-08,0.810024,29.81
BTB 05678,0.601843,-12.6911,0,4.99854e-30,0.601843,50.39
BTB 06086,0.38051,-19.6127,0,0,0.38051,72.18
BTB 06196,0.715073,-8.98261,0,7.37924e-18,0.715073,37.79
BTB 06254,0.107619,-28.2748,0,0,0.107619,99.2
BTB 06263,0.140321,-27.1733,0,0,0.140321,95.73
BTB 06536,0.568559,-13.5003,0,3.01096e-35,0.568559,50.43
BTB 06587,0.0892252,-28.8349,0,0,0.0892252,100.75
BTB 06669,0.162404,-26.4747,0,0,0.162404,92.81
BTB 06671,0.135873,-27.3435,0,0,0.135873,95.43
BTB 06776,0.74605,-7.8812,0,1.1152e-09,0.74605,27.82
BTB 06877,0.432869,-17.8459,0,0,0.432869,62
BTB 06908,0.552271,-13.9803,0,4.24404e-36,0.552271,48.24
BTB 06938,0.0926287,-28.7044,0,0,0.0926287,99.78
BTB 07090,0.757728,-7.3427,0,0.000193546,0.757728,23.5
BTB 07221,0.708485,-9.4002,0,2.30798e-14,0.708485,38.12
BTB 07256,0.317054,-21.7195,0,0,0.317054,78.2
BTB 07373,0.0879012,-28.9169,0,0,0.0879012,101.2
BTB 07554,0.742967,-8.26919,0,1.43282e-12,0.742967,37.53
BTB 07887,0.510105,-15.5952,0,6.16571e-44,0.510105,60.86
BTB 08347,0.101502,-28.4848,0,0,0.101502,100.25
BTB 08378,1.0233,0.537792,0,0.449,1.0233,14.19
BTB 08441,0.898635,-3.44174,0,0.0447112,0.898635,26.89
BTB 08717,1.05499,1.53189,0,0.253038,1.05499,13.29
BTB 09155,0.194741,-25.5429,0,0,0.194741,92.16
BTB 09198,0.128191,-27.6513,0,0,0.128191,98.29
BTB 10339,0.0989561,-28.5681,0,0,0.0989561,100.98
BTB 10696,0.560122,-13.9996,0,1.12663e-36,0.560122,59.8
BTB 10821,0.0994064,-28.5548,0,0,0.0994064,101.03
BTB 11033,0.987038,-0.57635,0,0.581082,0.987038,22.39
BTB 11084,0.171597,-26.2597,0,0,0.171597,94.62
BTB 11110,0.242988,-24.0169,0,0,0.242988,88.14
BTB 11228,0.912501,-2.91142,0,0.0132427,0.912501,27.42
BTB 11385,0.560228,-14.0325,0,1.0564e-34,0.560228,58.38
BTB 11831,0.545632,-14.6451,0,4.0213e-29,0.545632,58.59
BTB 11835,0.754088,-7.93331,0,3.58218e-11,0.754088,36.77
BTB 11841,0.0930841,-28.7429,0,0,0.0930841,100.59
BTB 11866,0.0945498,-28.7096,0,0,0.0945498,100.25
BTB 12233,0.861692,-4.47833,0,2.76604e-05,0.861692,20.62
BTB 12258,0.789621,-6.74914,0,4.46798e-10,0.789621,27.1
BTB 12669,0.478312,-16.7969,0,9.58094e-38,0.478312,59.68
BTB 12794,0.822,-5.83757,0,1.98817e-05,0.822,23.25
BTB 12851,0.0960853,-28.6577,0,0,0.0960853,99.75
BTB 12860,0.0871306,-28.9385,0,0,0.0871306,100.7
BTB 13385,0.800939,-6.51797,0,2.6384e-06,0.800939,25.55
BTB 13421,0.776769,-7.23405,0,5.78026e-09,0.776769,27.53
