supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00178,0.352673,-21.2435,0,0,0.352673,48.2
AW 00227,0.0690548,-31.9279,0,0,0.0690548,99.15
AW 00264,0.460892,-17.3256,0,5.33302e-25,0.460892,26.42
AW 00294,0.0742125,-31.7417,0,0,0.0742125,98.6
AW 00751,0.578183,-12.8031,1,0.0438232,0.578183,17.24
AW 00786,0.631767,-10.846,1,0.0993774,0.631767,9.7
AW 00837,0.622562,-11.2606,1,0.455082,0.622562,12.08
AW 00846,0.0725247,-31.8154,0,0,0.0725247,99.93
AW 01237,0.573223,-13.0887,1,0.00211232,0.573223,26.52
BR 00076,0.0678753,-32.0183,0,0,0.0678753,100.55
BR 00079,0.0680949,-32.008,0,0,0.0680949,100.97
BR 00087,0.0733164,-31.8237,0,0,0.0733164,100.48
BTB 00551,0.49901,-16.2548,0,1.25053e-27,0.49901,41.88
BTB 00807,0.690372,-9.24288,1,0.480888,0.690372,21.48
BTB 00808,0.286114,-24.2866,0,0,0.286114,73.27
BTB 01249,0.269727,-24.488,0,0,0.269727,81.22
BTB 01592,0.154378,-28.9874,0,0,0.154378,93
BTB 02045,0.782085,-6.78468,0,0.0103647,0.782085,23.21
BTB 02100,0.0941308,-31.1993,0,0,0.0941308,100.55
BTB 02101,0.0961265,-31.1522,0,0,0.0961265,100.61
BTB 02102,0.0952029,-31.2051,0,0,0.0952029,100.97
BTB 02152,0.102314,-30.9674,0,0,0.102314,100.55
BTB 02153,0.135208,-29.9155,0,0,0.135208,97.58
BTB 02162,0.13521,-29.8152,0,0,0.13521,97.99
BTB 02163,0.117237,-30.5044,0,0,0.117237,99.76
BTB 02164,0.115808,-30.5433,0,0,0.115808,99.82
BTB 02167,0.500351,-17.539,0,1.05276e-39,0.500351,62.71
BTB 02215,0.107278,-30.8042,0,0,0.107278,100.18
BTB 02216,0.777466,-7.45687,0,5.35338e-12,0.777466,33.36
BTB 02223,0.108207,-30.7683,0,0,0.108207,99.76
BTB 02227,0.11011,-30.7001,0,0,0.11011,99.51
BTB 02332,0.885566,-3.41557,0,0.491366,0.885566,21.59
BTB 02708,0.105849,-30.8392,0,0,0.105849,100
BTB 02880,0.871791,-4.2436,0,0.0002559,0.871791,24
BTB 02908,0.211454,-27.4979,0,0,0.211454,89.46
BTB 02925,0.45967,-19.0791,0,9.35227e-42,0.45967,65.34
BTB 02990,0.106012,-30.8426,0,0,0.106012,100.42
BTB 03006,0.108607,-30.77,0,0,0.108607,100.24
BTB 03156,0.114704,-30.5431,0,0,0.114704,99.76
XBX 00259,0.873742,-4.00842,0,0.0232958,0.873742,23.31
BTB 03252,0.109321,-30.7519,0,0,0.109321,100.37
BTB 03261,0.113549,-30.5993,0,0,0.113549,100.12
BTB 03767,0.125426,-30.2433,0,0,0.125426,99.21
BTB 03984,0.962119,-1.55461,0,0.329416,0.962119,24.37
BTB 04176,0.119937,-30.426,0,0,0.119937,100
BTB 04424,0.118988,-30.4436,0,0,0.118988,100.12
BTB 04426,0.136431,-29.8942,0,0,0.136431,98.61
BTB 04487,0.124713,-30.2598,0,0,0.124713,99.58
BTB 04902,0.119159,-30.4288,0,0,0.119159,100
BTB 04959,0.114751,-30.6122,0,0,0.114751,100.37
BTB 04965,0.118751,-30.4467,0,0,0.118751,99.94
BTB 04980,0.270404,-25.793,0,0,0.270404,86.68
BTB 05015,1.04575,1.26325,0,0.193606,1.04575,15.85
BTB 05019,0.781544,-7.89304,0,8.30386e-06,0.781544,39.64
BTB 05131,0.133668,-29.9645,0,0,0.133668,98.42
BTB 05159,1.03996,1.19515,0,0.503594,1.03996,14.86
BTB 05178,0.108331,-30.8138,0,0,0.108331,100.61
BTB 05299,0.134755,-29.8955,0,0,0.134755,98.11
BTB 05304,0.112665,-30.6732,0,0,0.112665,100.18
BTB 05335,0.158046,-29.2287,0,0,0.158046,96.12
BTB 05411,0.123467,-30.2846,0,0,0.123467,99.27
BTB 05413,0.124334,-30.2643,0,0,0.124334,99.27
BTB 05417,0.127613,-30.149,0,0,0.127613,99.03
BTB 05434,0.123851,-30.2741,0,0,0.123851,99.39
BTB 05488,0.11238,-30.6835,0,0,0.11238,100.42
BTB 05562,0.309658,-24.0401,0,0,0.309658,82.44
BTB 05678,0.874921,-4.9023,0,0.493424,0.874921,29.99
BTB 06086,0.111808,-30.7074,0,0,0.111808,100.12
BTB 06196,0.882115,-4.37741,0,0.0583652,0.882115,25.64
BTB 06254,0.116205,-30.5543,0,0,0.116205,99.15
BTB 06263,0.136686,-29.7276,0,0,0.136686,96.7
BTB 06536,0.109551,-30.753,0,0,0.109551,99.27
BTB 06587,0.0957058,-31.2324,0,0,0.0957058,100.49
BTB 06669,0.108828,-30.7951,0,0,0.108828,98.85
BTB 06671,0.107036,-30.8459,0,0,0.107036,98.78
BTB 06776,0.311258,-24.6524,0,0,0.311258,75.43
BTB 06877,0.170842,-28.6125,0,0,0.170842,90.88
BTB 06908,0.121075,-30.2733,0,0,0.121075,96.34
BTB 06938,0.0921444,-31.3161,0,0,0.0921444,99.51
BTB 07090,0.231464,-26.6706,0,0,0.231464,81.9
BTB 07221,0.901654,-2.93502,0,0.491366,0.901654,28.92
BTB 07256,0.263989,-25.5599,0,0,0.263989,86.79
BTB 07373,0.114497,-30.5309,0,0,0.114497,100.71
BTB 07554,0.296229,-24.8051,0,0,0.296229,84.79
BTB 07887,0.123697,-30.2198,0,0,0.123697,100.48
BTB 08347,0.1553,-29.1077,0,0,0.1553,98.27
BTB 08378,0.471551,-18.477,0,0,0.471551,73.81
BTB 08441,0.412491,-20.401,0,0,0.412491,79.46
BTB 08717,1.29149,10.4834,0,6.97226e-10,1.29149,16.77
BTB 09155,0.165216,-28.7104,0,0,0.165216,98.92
BTB 09198,0.204487,-27.5484,0,0,0.204487,96.31
BTB 10339,0.142044,-29.6024,0,0,0.142044,100.89
BTB 10696,0.308244,-23.827,0,0,0.308244,89.75
BTB 10821,0.144189,-29.5417,0,0,0.144189,100.66
BTB 11033,0.55929,-16.2767,0,6.47728e-11,0.55929,70.75
BTB 11084,0.231675,-26.8446,0,0,0.231675,93.29
BTB 11110,0.123029,-30.2846,0,0,0.123029,100.77
BTB 11228,0.14366,-29.6602,0,0,0.14366,98.34
BTB 11385,0.491794,-17.1776,0,0,0.491794,65.59
BTB 11831,0.303701,-23.9744,0,0,0.303701,81.05
BTB 11835,0.153449,-29.352,0,0,0.153449,94.88
BTB 11841,0.140657,-29.89,0,0,0.140657,95.55
BTB 11866,0.0892421,-31.4741,0,0,0.0892421,100.54
BTB 12233,0.757166,-8.66601,0,2.17332e-08,0.757166,22.57
