supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.99839,-0.122125,0,0.9028,0.99839,0
LOPAC 00362,0.993143,-0.467784,0,0.504818,0.993143,0
LOPAC 00557,0.999427,-0.0578339,0,0.83685,0.999427,0
LOPAC 00565,1.00725,0.564204,0,0.581574,1.00725,0
LOPAC 00574,1.00082,0.0399702,0,0.751224,1.00082,0
LOPAC 00581,0.98768,-0.934411,0,0.35013,0.98768,0
LOPAC 00592,1.00413,0.290045,0,0.753734,1.00413,0
LOPAC 00662,1.00975,0.759265,0,0.46657,1.00975,0
LOPAC 00001,1.0093,0.732413,0,0.498708,1.0093,0
LOPAC 00057,0.999595,-0.0346725,0,0.954804,0.999595,0
LOPAC 00164,1.00752,0.570793,0,0.568206,1.00752,0
LOPAC 00167,1.00678,0.526477,0,0.604734,1.00678,0
LOPAC 00235,0.99811,-0.148375,0,0.882366,0.99811,0
LOPAC 00332,0.993758,-0.473371,0,0.635954,0.993758,0
LOPAC 00612,0.980945,-1.45459,0,0.150577,0.980945,0
LOPAC 00644,0.994793,-0.388817,0,0.698368,0.994793,0
LOPAC 00023,1.00598,0.415503,0,0.618566,1.00598,0
LOPAC 00087,1.00054,0.0433492,0,0.965446,1.00054,0
LOPAC 00645,0.996993,-0.213235,0,0.834748,0.996993,0
LOPAC 00646,1.00583,0.425591,0,0.678592,1.00583,0
LOPAC 00647,1.00653,0.482692,0,0.634424,1.00653,0
LOPAC 00648,1.00579,0.427258,0,0.673174,1.00579,0
LOPAC 00649,0.992307,-0.552762,0,0.614374,0.992307,0
LOPAC 00663,0.975112,-1.92293,0,0.0892684,0.975112,0
LOPAC 00018,1.00039,0.0405073,0,0.872562,1.00039,0
LOPAC 00243,0.980744,-1.46975,0,0.146318,0.980744,0
LOPAC 00324,1.0018,0.155958,0,0.782108,1.0018,0
LOPAC 00621,1.00712,0.546207,0,0.58666,1.00712,0
LOPAC 00650,1.00838,0.649193,0,0.525118,1.00838,0
LOPAC 00651,0.990758,-0.674558,0,0.528336,0.990758,0
LOPAC 00664,0.996322,-0.320972,0,0.564514,0.996322,0
LOPAC 01302,0.998005,-0.189589,0,0.588416,0.998005,0
LOPAC 00171,1.0049,0.364856,0,0.71628,1.0049,0
LOPAC 00568,0.994559,-0.405166,0,0.686906,0.994559,0
