supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,1.00863,0.125688,0,0.142772,1.00863,0
LOPAC 00362,0.969236,-1.06192,0,0.288784,0.969236,0
LOPAC 00557,1.08492,2.94515,0,0.00419444,1.08492,0
LOPAC 00565,1.01306,0.449745,0,0.652908,1.01306,0
LOPAC 00574,1.00785,0.311357,0,0.731272,1.00785,0
LOPAC 00581,0.968553,-1.02462,0,0.359044,0.968553,0
LOPAC 00592,1.00337,0.16151,0,0.696446,1.00337,0
LOPAC 00662,1.01482,0.496028,0,0.622084,1.01482,0
LOPAC 00001,1.00718,0.221284,0,0.828902,1.00718,0
LOPAC 00057,1.02049,0.748313,0,0.48703,1.02049,0
LOPAC 00164,1.00272,0.0713741,0,0.849334,1.00272,0
LOPAC 00167,0.997086,-0.116881,0,0.88518,0.997086,0
LOPAC 00235,1.01129,0.382868,0,0.702056,1.01129,0
LOPAC 00332,1.00706,0.235313,0,0.814318,1.00706,0
LOPAC 00612,0.974257,-0.869963,0,0.38788,0.974257,0
LOPAC 00644,0.980155,-0.714065,0,0.492322,0.980155,0
LOPAC 00023,0.996762,-0.0861585,0,0.829102,0.996762,0
LOPAC 00087,0.982052,-0.635354,0,0.530718,0.982052,0
LOPAC 00645,1.01521,0.535135,0,0.594828,1.01521,0
LOPAC 00646,1.01308,0.448641,0,0.653694,1.01308,0
LOPAC 00647,1.00001,-0.0157047,0,0.889632,1.00001,0
LOPAC 00648,1.01483,0.480353,0,0.641642,1.01483,0
LOPAC 00649,1.06908,2.35579,0,0.0197286,1.06908,0
LOPAC 00663,0.972805,-0.918156,0,0.363038,0.972805,0
LOPAC 00018,0.998591,-0.104422,0,0.629972,0.998591,0
LOPAC 00243,0.967713,-1.05812,0,0.335102,0.967713,0
LOPAC 00324,1.00765,0.29207,0,0.777258,1.00765,0
LOPAC 00621,0.993907,-0.216091,0,0.82921,0.993907,0
LOPAC 00650,1.0013,0.0524754,0,0.945272,1.0013,0
LOPAC 00651,1.01768,0.606701,0,0.544054,1.01768,0
LOPAC 00664,1.01685,0.590155,0,0.55703,1.01685,0
LOPAC 01302,1.02436,0.763459,0,0.529308,1.02436,0
LOPAC 00171,0.998899,-0.0370067,0,0.97048,0.998899,0
LOPAC 00568,1.00133,0.0802131,0,0.766116,1.00133,0
LOPAC 00598,0.96517,-1.21545,0,0.230584,0.96517,0
LOPAC 00652,0.998613,-0.0834329,0,0.757734,0.998613,0
LOPAC 00653,0.975518,-0.804196,0,0.444132,0.975518,0
LOPAC 00665,1.00231,0.0685027,0,0.926366,1.00231,0
LOPAC 00666,1.0154,0.554886,0,0.588558,1.0154,0
LOPAC 00349,1.01885,0.632323,0,0.530676,1.01885,0
LOPAC 00564,1.01661,0.598846,0,0.561048,1.01661,0
LOPAC 00654,0.969127,-1.08271,0,0.287904,0.969127,0
LOPAC 00655,0.992543,-0.271526,0,0.787838,0.992543,0
LOPAC 00656,1.00608,0.173818,0,0.766452,1.00608,0
LOPAC 00667,0.995384,-0.19207,0,0.775854,0.995384,0
LOPAC 00668,1.01597,0.562209,0,0.576696,1.01597,0
LOPAC 01342,0.989005,-0.441067,0,0.61834,0.989005,0
LOPAC 00326,1.08961,3.06995,0,0.00218792,1.08961,0
LOPAC 00409,1.09007,3.0919,0,0.00199072,1.09007,0
LOPAC 00485,1.00922,0.278042,0,0.748226,1.00922,0
LOPAC 00490,1.00856,0.324485,0,0.754032,1.00856,0
LOPAC 00657,0.999961,0.0303655,0,0.784064,0.999961,0
LOPAC 00658,1.00217,0.0805453,0,0.935894,1.00217,0
LOPAC 00669,0.959743,-1.44607,0,0.207822,0.959743,0
LOPAC 00670,1.02986,1.09166,0,0.34979,1.02986,0
LOPAC 00017,1.02116,0.759853,0,0.465776,1.02116,0
LOPAC 00327,1.00943,0.382432,0,0.63825,1.00943,0
LOPAC 00364,0.977288,-0.837023,0,0.457098,0.977288,0
LOPAC 00659,0.996356,-0.203925,0,0.504612,0.996356,0
LOPAC 00660,1.11652,4.01516,0,6.63754e-05,1.11652,0
LOPAC 00661,0.989575,-0.397966,0,0.707654,0.989575,0
LOPAC 00671,0.968017,-1.16782,0,0.32362,0.968017,0
LOPAC 00672,1.052,1.66199,0,0.280412,1.052,0
LOPAC 00170,0.985263,-0.504611,0,0.613864,0.985263,0
LOPAC 00178,0.997004,-0.0946156,0,0.924814,0.997004,0
LOPAC 00569,0.991519,-0.277668,0,0.782738,0.991519,0
LOPAC 00602,1.06677,2.32455,0,0.0246898,1.06677,0
LOPAC 00673,0.990326,-0.363566,0,0.725966,0.990326,0
LOPAC 00674,1.00117,0.0183842,0,0.851554,1.00117,0
LOPAC 01303,1.09819,3.42025,0,0.00138298,1.09819,0
LOPAC 01318,1.00238,0.0449185,0,0.750664,1.00238,0
LOPAC 00084,1.00265,0.105868,0,0.899102,1.00265,0
LOPAC 00408,0.986695,-0.47523,0,0.638822,0.986695,0
LOPAC 00675,0.96993,-1.0677,0,0.307338,0.96993,0
LOPAC 00676,1.08609,2.98643,0,0.00376706,1.08609,0
LOPAC 00677,1.03569,1.1608,0,0.31688,1.03569,0
LOPAC 00679,0.975076,-0.846068,0,0.39926,0.975076,0
LOPAC 00680,1.03728,1.30499,0,0.202028,1.03728,0
LOPAC 01304,0.993531,-0.259475,0,0.755202,0.993531,0
LOPAC 00083,1.00745,0.262491,0,0.793268,1.00745,0
LOPAC 00165,1.00008,0.0205771,0,0.877654,1.00008,0
LOPAC 00353,0.974546,-0.917347,0,0.391574,0.974546,0
LOPAC 00439,1.02395,0.619457,0,0.136816,1.02395,0
LOPAC 00681,1.08256,2.79571,0,0.00797172,1.08256,0
LOPAC 00682,1.00605,0.200998,0,0.840958,1.00605,0
LOPAC 00683,1.02325,0.792635,0,0.428564,1.02325,0
LOPAC 00684,0.9968,-0.163545,0,0.647262,0.9968,0
LOPAC 00082,0.973808,-0.902466,0,0.36696,0.973808,0
LOPAC 00166,0.98691,-0.50634,0,0.653138,0.98691,0
LOPAC 00484,1.00414,0.172554,0,0.796968,1.00414,0
LOPAC 00566,1.01016,0.365182,0,0.717648,1.01016,0
LOPAC 00685,0.978737,-0.758826,0,0.461628,0.978737,0
LOPAC 00686,1.0032,0.14028,0,0.793934,1.0032,0
LOPAC 00687,1.01187,0.40857,0,0.682866,1.01187,0
LOPAC 00688,1.0024,0.0698009,0,0.913508,1.0024,0
LOPAC 00011,0.99859,-0.089404,0,0.724222,0.99859,0
LOPAC 00053,1.06609,2.25086,0,0.026335,1.06609,0
LOPAC 00325,1.08738,3.00708,0,0.002675,1.08738,0
LOPAC 00689,0.971917,-1.01693,0,0.357244,0.971917,0
LOPAC 00690,1.00921,0.336085,0,0.740424,1.00921,0
LOPAC 00691,0.992345,-0.281832,0,0.780946,0.992345,0
LOPAC 00692,0.990286,-0.343937,0,0.731916,0.990286,0
LOPAC 00693,1.05629,1.90483,0,0.0643016,1.05629,0
LOPAC 00130,1.0198,0.678508,0,0.49749,1.0198,0
LOPAC 00328,1.0209,0.734413,0,0.467206,1.0209,0
LOPAC 00567,0.986734,-0.519868,0,0.626812,0.986734,0
LOPAC 00694,0.974592,-0.974729,0,0.495006,0.974592,0
LOPAC 00695,1.08595,2.93349,0,0.00376072,1.08595,0
LOPAC 00696,1.0072,0.250853,0,0.80202,1.0072,0
LOPAC 00697,0.989479,-0.346282,0,0.73133,0.989479,0
LOPAC 00698,0.984994,-0.546792,0,0.598142,0.984994,0
LOPAC 00002,0.99953,-0.0351828,0,0.869302,0.99953,0
LOPAC 00009,1.00673,0.271504,0,0.737392,1.00673,0
LOPAC 00015,0.97767,-0.826938,0,0.468216,0.97767,0
LOPAC 00060,0.99401,-0.228857,0,0.8225,0.99401,0
LOPAC 00101,1.00775,0.271177,0,0.786462,1.00775,0
LOPAC 00334,1.00828,0.29796,0,0.767274,1.00828,0
LOPAC 00412,0.979674,-0.772284,0,0.526682,0.979674,0
LOPAC 00699,1.00143,0.0588267,0,0.932448,1.00143,0
LOPAC 00016,0.988992,-0.401971,0,0.693962,0.988992,0
LOPAC 00019,1.00945,0.33702,0,0.737614,1.00945,0
LOPAC 00126,0.989579,-0.389373,0,0.707474,0.989579,0
LOPAC 00152,1.04479,1.49118,0,0.168023,1.04479,0
LOPAC 00168,1.00773,0.258671,0,0.796222,1.00773,0
LOPAC 00169,1.01753,0.575885,0,0.57452,1.01753,0
LOPAC 00486,1.00907,0.316516,0,0.751838,1.00907,0
LOPAC 00020,0.965277,-1.20618,0,0.230964,0.965277,0
LOPAC 00330,1.00507,0.138148,0,0.75854,1.00507,0
LOPAC 00333,0.992592,-0.25188,0,0.801182,0.992592,0
LOPAC 00406,1.00588,0.19616,0,0.844678,1.00588,0
LOPAC 00487,1.00387,0.149217,0,0.882546,1.00387,0
LOPAC 00701,1.06437,2.18523,0,0.032855,1.06437,0
