supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.999095,-0.0434324,0,0.965376,0.999095,0
LOPAC 00362,1.0305,1.46265,0,0.148889,1.0305,0
LOPAC 00557,0.994787,-0.250091,0,0.80666,0.994787,0
LOPAC 00565,0.996555,-0.16533,0,0.817354,0.996555,0
LOPAC 00574,0.98974,-0.491953,0,0.625174,0.98974,0
LOPAC 00581,1.04264,2.04471,0,0.0410064,1.04264,0
LOPAC 00592,0.990803,-0.44102,0,0.659336,0.990803,0
LOPAC 00662,0.995122,-0.234049,0,0.773598,0.995122,0
LOPAC 00001,0.997091,-0.13939,0,0.8188,0.997091,0
LOPAC 00057,1.00054,0.0258271,0,0.914616,1.00054,0
LOPAC 00164,0.994296,-0.273772,0,0.633662,0.994296,0
LOPAC 00167,0.985705,-0.685447,0,0.496778,0.985705,0
LOPAC 00235,1.00195,0.0937983,0,0.84606,1.00195,0
LOPAC 00332,0.991125,-0.425685,0,0.6757,0.991125,0
LOPAC 00612,1.01483,0.711558,0,0.498838,1.01483,0
LOPAC 00644,1.01307,0.626601,0,0.53095,1.01307,0
LOPAC 00023,0.994536,-0.262094,0,0.79554,0.994536,0
LOPAC 00087,0.985428,-0.698796,0,0.484872,0.985428,0
LOPAC 00645,1.00612,0.293287,0,0.77056,1.00612,0
LOPAC 00646,0.992054,-0.381062,0,0.703268,0.992054,0
LOPAC 00647,1.00059,0.0283561,0,0.944094,1.00059,0
LOPAC 00648,1.0016,0.0768749,0,0.903188,1.0016,0
LOPAC 00649,1.01994,0.956051,0,0.340244,1.01994,0
LOPAC 00663,1.01309,0.627839,0,0.535746,1.01309,0
LOPAC 00018,1.00429,0.2057,0,0.837046,1.00429,0
LOPAC 00243,1.00105,0.0504851,0,0.504274,1.00105,0
LOPAC 00324,0.983606,-0.786351,0,0.452538,0.983606,0
LOPAC 00621,0.996816,-0.152712,0,0.87868,0.996816,0
LOPAC 00650,0.996247,-0.180258,0,0.556848,0.996247,0
LOPAC 00651,0.931266,-3.29469,1,0.446496,0.931266,0
LOPAC 00664,0.994896,-0.24492,0,0.781738,0.994896,0
LOPAC 01302,1.02327,1.11606,0,0.28246,1.02327,0
LOPAC 00171,0.99244,-0.362487,0,0.719066,0.99244,0
LOPAC 00568,0.999106,-0.0427855,0,0.821594,0.999106,0
LOPAC 00598,1.02191,1.05142,0,0.512872,1.02191,0
LOPAC 00652,1.00545,0.26125,0,0.797806,1.00545,0
LOPAC 00653,0.99275,-0.347508,0,0.70371,0.99275,0
LOPAC 00665,1.0126,0.604132,0,0.553362,1.0126,0
LOPAC 00666,1.00195,0.0936153,0,0.925492,1.00195,0
LOPAC 00349,0.998581,-0.0682245,0,0.73267,0.998581,0
LOPAC 00564,0.99054,-0.453639,0,0.650882,0.99054,0
LOPAC 00654,1.01322,0.633943,0,0.536114,1.01322,0
LOPAC 00655,0.996919,-0.147729,0,0.882558,0.996919,0
LOPAC 00656,1.0061,0.292855,0,0.6354,1.0061,0
LOPAC 00667,0.982193,-0.853968,0,0.393188,0.982193,0
LOPAC 00668,0.998324,-0.0805219,0,0.774466,0.998324,0
LOPAC 01342,0.79757,-9.7129,1,0.155216,0.79757,0
LOPAC 00326,1.00241,0.115558,0,0.771518,1.00241,0
LOPAC 00409,1.01014,0.486453,0,0.627744,1.01014,0
LOPAC 00485,0.996595,-0.163094,0,0.70264,0.996595,0
LOPAC 00490,0.985601,-0.690461,0,0.494222,0.985601,0
LOPAC 00657,1.00093,0.044248,0,0.639208,1.00093,0
LOPAC 00658,1.01894,0.90813,0,0.3674,1.01894,0
LOPAC 00669,0.999184,-0.0392174,0,0.82148,0.999184,0
LOPAC 00670,1.00833,0.399754,0,0.694532,1.00833,0
LOPAC 00017,0.991542,-0.405548,0,0.688974,0.991542,0
LOPAC 00327,0.981568,-0.883976,0,0.37971,0.981568,0
LOPAC 00364,1.00493,0.236063,0,0.601474,1.00493,0
LOPAC 00659,0.986624,-0.64142,0,0.522876,0.986624,0
LOPAC 00660,1.01009,0.484186,0,0.647074,1.01009,0
LOPAC 00661,1.01082,0.519368,0,0.608852,1.01082,0
LOPAC 00671,0.970828,-1.39917,0,0.19627,0.970828,0
LOPAC 00672,1.01857,0.890647,0,0.450396,1.01857,0
LOPAC 00170,1.01403,0.672621,0,0.50125,1.01403,0
LOPAC 00178,0.989867,-0.485869,0,0.63199,0.989867,0
LOPAC 00569,0.989724,-0.492992,0,0.65653,0.989724,0
LOPAC 00602,0.992776,-0.346648,0,0.70545,0.992776,0
LOPAC 00673,0.962961,-1.77665,0,0.172663,0.962961,0
LOPAC 00674,0.992051,-0.381363,0,0.716964,0.992051,0
LOPAC 01303,0.973387,-1.27648,0,0.25582,0.973387,0
LOPAC 01318,0.977725,-1.06863,0,0.434296,0.977725,0
LOPAC 00084,0.995039,-0.23774,0,0.712338,0.995039,0
LOPAC 00408,1.01316,0.631346,0,0.580182,1.01316,0
LOPAC 00675,1.02725,1.30678,0,0.193249,1.02725,0
LOPAC 00676,0.982574,-0.835806,0,0.417502,0.982574,0
LOPAC 00677,1.0109,0.522791,0,0.61331,1.0109,0
LOPAC 00679,1.00149,0.0714811,0,0.83234,1.00149,0
LOPAC 00680,1.0226,1.08376,0,0.294434,1.0226,0
LOPAC 01304,0.965899,-1.6351,0,0.155719,0.965899,0
LOPAC 00083,0.988425,-0.555026,0,0.580264,0.988425,0
