supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.950367,-1.3522,0,0.206534,0.950367,0
LOPAC 00362,0.991467,-0.220564,0,0.637376,0.991467,0
LOPAC 00557,1.04503,0.895933,0,0.370634,1.04503,0
LOPAC 00565,0.998716,0.0558833,0,0.479054,0.998716,0
LOPAC 00574,0.996751,-0.0533141,0,0.914784,0.996751,0
LOPAC 00581,0.998082,-0.0641481,0,0.631854,0.998082,0
LOPAC 00592,1.01667,0.358959,0,0.406044,1.01667,0
LOPAC 00662,1.02106,0.560699,0,0.575772,1.02106,0
LOPAC 00001,0.997154,-0.0450137,0,0.875472,0.997154,0
LOPAC 00057,0.988892,-0.298867,0,0.679076,0.988892,0
LOPAC 00164,1.00662,0.129438,0,0.83827,1.00662,0
LOPAC 00167,1.00105,0.0151227,0,0.951846,1.00105,0
LOPAC 00235,0.985293,-0.359165,0,0.723142,0.985293,0
LOPAC 00332,1.03089,0.588303,0,0.556524,1.03089,0
LOPAC 00612,0.9828,-0.338245,0,0.55116,0.9828,0
LOPAC 00644,0.994504,-0.0721988,0,0.660932,0.994504,0
LOPAC 00023,1.00416,0.12029,0,0.800486,1.00416,0
LOPAC 00087,0.986608,-0.272691,0,0.698998,0.986608,0
LOPAC 00645,0.992792,-0.166787,0,0.868294,0.992792,0
LOPAC 00646,0.996313,-0.00701117,0,0.769498,0.996313,0
LOPAC 00647,1.01237,0.255198,0,0.612794,1.01237,0
LOPAC 00648,1.01418,0.387165,0,0.700682,1.01418,0
LOPAC 00649,0.995902,-0.118634,0,0.75489,0.995902,0
LOPAC 00663,1.02541,0.57132,0,0.584786,1.02541,0
LOPAC 00018,0.988236,-0.318052,0,0.656604,0.988236,0
LOPAC 00243,1.00401,0.0589062,0,0.694966,1.00401,0
LOPAC 00324,1.00607,0.158269,0,0.742106,1.00607,0
LOPAC 00621,0.995724,-0.117061,0,0.906894,0.995724,0
LOPAC 00650,1.01584,0.411713,0,0.687524,1.01584,0
LOPAC 00651,0.982254,-0.592797,0,0.192467,0.982254,0
LOPAC 00664,0.989528,-0.226811,0,0.821158,0.989528,0
LOPAC 01302,1.07186,1.91863,0,0.0568096,1.07186,0
LOPAC 00171,1.02146,0.438217,0,0.66153,1.02146,0
LOPAC 00568,1.00325,0.0934296,0,0.741868,1.00325,0
LOPAC 00598,0.975894,-0.496812,0,0.619496,0.975894,0
LOPAC 00652,1.06796,1.60273,0,0.218882,1.06796,0
LOPAC 00653,0.945016,-1.14823,0,0.251648,0.945016,0
LOPAC 00665,1.01802,0.485991,0,0.419122,1.01802,0
LOPAC 00666,1.0384,0.846637,0,0.403124,1.0384,0
LOPAC 00349,0.999411,-0.0199795,0,0.804622,0.999411,0
LOPAC 00564,0.95096,-1.0057,0,0.315518,0.95096,0
LOPAC 00654,0.970323,-0.608195,0,0.54331,0.970323,0
LOPAC 00655,0.972449,-0.540926,0,0.589076,0.972449,0
LOPAC 00656,1.00731,0.245727,0,0.687548,1.00731,0
LOPAC 00667,1.01594,0.432797,0,0.6666,1.01594,0
LOPAC 00668,1.01711,0.372396,0,0.709982,1.01711,0
LOPAC 01342,0.621736,-8.13589,0,9.8277e-16,0.621736,0
LOPAC 00326,1.03525,0.561083,0,0.580254,1.03525,0
LOPAC 00409,1.01271,0.223937,0,0.724942,1.01271,0
LOPAC 00485,1.00579,0.156668,0,0.814496,1.00579,0
LOPAC 00490,0.998221,-0.0630233,0,0.885208,0.998221,0
LOPAC 00657,0.998946,-0.0369892,0,0.833452,0.998946,0
LOPAC 00658,1.03937,0.830581,0,0.410034,1.03937,0
LOPAC 00669,1.0106,0.259186,1,0.563816,1.0106,0
LOPAC 00670,1.11045,2.68172,0,0.131265,1.11045,0
LOPAC 00017,0.968862,-0.555666,0,0.58967,0.968862,0
LOPAC 00327,1.00657,0.126141,0,0.899654,1.00657,0
LOPAC 00364,0.979464,-0.455804,0,0.65191,0.979464,0
LOPAC 00659,0.99395,-0.0558551,0,0.797712,0.99395,0
LOPAC 00660,1.0158,0.316233,0,0.751844,1.0158,0
LOPAC 00661,1.02604,0.341649,0,0.37324,1.02604,0
LOPAC 00671,0.855264,-3.16725,0,0.00761354,0.855264,0
LOPAC 00672,1.00003,-0.00321727,0,0.908168,1.00003,0
LOPAC 00170,0.972005,-0.614459,0,0.541156,0.972005,0
LOPAC 00178,1.01421,0.312478,0,0.755044,1.01421,0
LOPAC 00569,0.992093,-0.210864,0,0.770108,0.992093,0
LOPAC 00602,1.0041,0.0482979,0,0.655896,1.0041,0
LOPAC 00673,0.998195,-0.0591849,0,0.70732,0.998195,0
LOPAC 00674,1.00961,0.193491,0,0.838342,1.00961,0
LOPAC 01303,0.985498,-0.264115,0,0.65275,0.985498,0
LOPAC 01318,1.02678,0.548368,0,0.58344,1.02678,0
LOPAC 00084,1.01311,0.28567,0,0.696866,1.01311,0
LOPAC 00408,1.00522,0.0835686,0,0.880666,1.00522,0
LOPAC 00675,0.976007,-0.44354,0,0.65843,0.976007,0
LOPAC 00676,0.993478,-0.185171,0,0.752016,0.993478,0
LOPAC 00677,1.01282,0.328165,0,0.700746,1.01282,0
LOPAC 00679,1.00331,0.0855425,0,0.918196,1.00331,0
LOPAC 00680,0.992697,-0.19322,0,0.72669,0.992697,0
LOPAC 01304,1.00913,0.175541,0,0.72803,1.00913,0
LOPAC 00083,1.00755,0.189427,0,0.731164,1.00755,0
LOPAC 00165,1.00675,0.186314,0,0.755086,1.00675,0
LOPAC 00353,0.979079,-0.575046,0,0.576744,0.979079,0
LOPAC 00439,1.0504,0.9408,0,0.362248,1.0504,0
LOPAC 00681,1.0178,0.351432,0,0.725414,1.0178,0
LOPAC 00682,1.01019,0.165452,0,0.79402,1.01019,0
LOPAC 00683,0.938273,-0.992424,0,0.32112,0.938273,0
LOPAC 00684,1.02792,0.566092,0,0.571538,1.02792,0
LOPAC 00082,1.25379,3.95553,1,0.317944,1.25379,0
LOPAC 00166,0.225323,-16.4164,0,4.80078e-34,0.225323,0
LOPAC 00484,0.971804,-0.642057,0,0.46042,0.971804,0
LOPAC 00566,1.03401,0.580191,0,0.575642,1.03401,0
LOPAC 00685,0.976353,-0.636417,0,0.524956,0.976353,0
LOPAC 00686,0.985344,-0.209023,0,0.642938,0.985344,0
LOPAC 00687,1.02962,0.646781,0,0.432782,1.02962,0
LOPAC 00688,1.01842,0.481205,0,0.637726,1.01842,0
LOPAC 00011,1.03606,0.716665,0,0.47531,1.03606,0
LOPAC 00053,0.95926,-0.578232,0,0.174361,0.95926,0
LOPAC 00325,1.02053,0.492736,0,0.631866,1.02053,0
LOPAC 00689,0.995262,-0.150523,0,0.614972,0.995262,0
LOPAC 00690,0.985702,-0.19339,0,0.391674,0.985702,0
LOPAC 00691,1.01108,0.220866,0,0.712668,1.01108,0
LOPAC 00692,0.982879,-0.449074,0,0.65777,0.982879,0
LOPAC 00693,0.995353,-0.0866034,0,0.931006,0.995353,0
LOPAC 00130,1.00912,0.176173,0,0.860206,1.00912,0
LOPAC 00328,1.07978,1.34713,1,0.336016,1.07978,0
LOPAC 00567,1.0188,0.381641,0,0.704742,1.0188,0
LOPAC 00694,1.00554,0.078136,0,0.558312,1.00554,0
LOPAC 00695,0.970064,-0.55226,0,0.385034,0.970064,0
LOPAC 00696,0.93637,-1.41583,0,0.173956,0.93637,0
LOPAC 00697,0.796495,-4.62685,0,0.00607218,0.796495,0
LOPAC 00698,0.980136,-0.52431,0,0.603396,0.980136,0
LOPAC 00002,0.999999,-0.0908033,0,0.676574,0.999999,0
LOPAC 00009,1.02643,0.532844,0,0.594142,1.02643,0
LOPAC 00015,1.01245,0.324254,0,0.748796,1.01245,0
LOPAC 00060,1.01173,0.303564,0,0.61365,1.01173,0
LOPAC 00101,0.990511,-0.228534,0,0.602984,0.990511,0
LOPAC 00334,1.0079,0.23132,0,0.732654,1.0079,0
LOPAC 00412,0.946954,-1.05289,0,0.304226,0.946954,0
LOPAC 00699,1.02135,0.441077,0,0.659378,1.02135,0
LOPAC 00016,0.977909,-0.498986,0,0.623724,0.977909,0
LOPAC 00019,0.992732,-0.125929,0,0.792346,0.992732,0
LOPAC 00126,1.02246,0.624039,0,0.560986,1.02246,0
LOPAC 00152,0.961491,-0.576415,0,0.443986,0.961491,0
LOPAC 00168,1.00443,0.115841,0,0.907886,1.00443,0
LOPAC 00169,1.03065,0.748666,0,0.475358,1.03065,0
LOPAC 00486,0.989114,-0.278669,0,0.667874,0.989114,0
LOPAC 00020,1.01305,0.231465,0,0.744252,1.01305,0
LOPAC 00330,1.00109,0.0322419,0,0.777296,1.00109,0
LOPAC 00333,0.981609,-0.50065,0,0.469236,0.981609,0
LOPAC 00406,1.02518,0.669415,0,0.504904,1.02518,0
LOPAC 00487,0.961558,-0.671155,0,0.503082,0.961558,0
LOPAC 00701,1.01826,0.504938,0,0.60456,1.01826,0
LOPAC 01325,1.01128,0.209727,0,0.795434,1.01128,0
LOPAC 00021,1.02833,0.554165,0,0.583704,1.02833,0
LOPAC 00022,1.00547,0.0638133,0,0.623654,1.00547,0
