supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.979511,-1.13711,0,0.278558,0.979511,0
LOPAC 00362,0.995963,-0.230082,0,0.818392,0.995963,0
LOPAC 00557,1.00086,0.0527098,0,0.929044,1.00086,0
LOPAC 00565,1.02014,1.13766,0,0.25788,1.02014,0
LOPAC 00574,1.00557,0.335249,0,0.660428,1.00557,0
LOPAC 00581,0.986785,-0.746347,0,0.456494,0.986785,0
LOPAC 00592,1.00305,0.163558,0,0.868088,1.00305,0
LOPAC 00662,1.01374,0.762358,0,0.456632,1.01374,0
LOPAC 00001,1.01501,0.814529,0,0.496638,1.01501,0
LOPAC 00057,0.993893,-0.36855,0,0.623484,0.993893,0
LOPAC 00164,1.00819,0.475175,0,0.650036,1.00819,0
LOPAC 00167,1.00027,0.0238306,0,0.852682,1.00027,0
LOPAC 00235,0.995955,-0.195401,0,0.511024,0.995955,0
LOPAC 00332,0.998125,-0.108905,0,0.913502,0.998125,0
LOPAC 00612,0.995297,-0.290849,0,0.597018,0.995297,0
LOPAC 00644,0.995298,-0.275516,0,0.788534,0.995298,0
LOPAC 00023,0.985847,-0.795162,0,0.426566,0.985847,0
LOPAC 00087,0.995505,-0.230126,0,0.644634,0.995505,0
LOPAC 00645,1.00752,0.429161,0,0.670318,1.00752,0
LOPAC 00646,1.00915,0.528082,0,0.611994,1.00915,0
LOPAC 00647,1.00202,0.109246,0,0.91337,1.00202,0
LOPAC 00648,0.996901,-0.185467,0,0.818014,0.996901,0
LOPAC 00649,0.999599,-0.032361,0,0.837924,0.999599,0
LOPAC 00663,0.979755,-1.11792,0,0.306338,0.979755,0
LOPAC 00018,1.00432,0.259905,0,0.73378,1.00432,0
LOPAC 00243,0.996591,-0.201914,0,0.834114,0.996591,0
LOPAC 00324,0.996655,-0.189186,0,0.849984,0.996655,0
LOPAC 00621,1.00279,0.150067,0,0.88186,1.00279,0
LOPAC 00650,1.00799,0.457325,0,0.652084,1.00799,0
LOPAC 00651,1.00963,0.52716,0,0.61444,1.00963,0
LOPAC 00664,1.00464,0.268819,0,0.790864,1.00464,0
LOPAC 01302,1.02049,1.15405,0,0.248804,1.02049,0
LOPAC 00171,0.998913,-0.0465527,0,0.760658,0.998913,0
LOPAC 00568,0.994949,-0.327948,0,0.383672,0.994949,0
LOPAC 00598,0.97214,-1.52854,0,0.242052,0.97214,0
LOPAC 00652,0.995609,-0.228432,0,0.706778,0.995609,0
LOPAC 00653,0.991416,-0.464979,0,0.66409,0.991416,0
LOPAC 00665,0.998582,-0.0778016,0,0.938036,0.998582,0
LOPAC 00666,1.00027,0.0260213,0,0.819408,1.00027,0
LOPAC 00349,1.01579,0.868578,0,0.423126,1.01579,0
LOPAC 00564,1.00925,0.513254,0,0.611316,1.00925,0
LOPAC 00654,0.9704,-1.6459,0,0.12516,0.9704,0
LOPAC 00655,1.00662,0.37464,0,0.708234,1.00662,0
LOPAC 00656,0.990459,-0.521495,0,0.619512,0.990459,0
LOPAC 00667,1.00527,0.31583,0,0.700452,1.00527,0
LOPAC 00668,0.999368,-0.0473772,0,0.804714,0.999368,0
LOPAC 01342,0.952063,-2.71171,0,0.00991626,0.952063,0
LOPAC 00326,0.990823,-0.498909,0,0.639764,0.990823,0
LOPAC 00409,0.99248,-0.414535,0,0.683058,0.99248,0
LOPAC 00485,1.01535,0.861763,0,0.388982,1.01535,0
LOPAC 00490,1.00691,0.379357,0,0.7095,1.00691,0
LOPAC 00657,0.997796,-0.144246,0,0.67412,0.997796,0
LOPAC 00658,1.00732,0.391086,0,0.69449,1.00732,0
LOPAC 00669,0.984962,-0.846349,0,0.39741,0.984962,0
LOPAC 00670,1.00077,0.0414204,0,0.964686,1.00077,0
LOPAC 00017,1.01057,0.592714,0,0.553564,1.01057,0
LOPAC 00327,1.01837,1.00552,0,0.389978,1.01837,0
LOPAC 00364,0.991154,-0.467582,0,0.57521,0.991154,0
LOPAC 00659,0.994437,-0.346834,0,0.502598,0.994437,0
LOPAC 00660,1.0089,0.502737,0,0.615592,1.0089,0
LOPAC 00661,0.987686,-0.682327,0,0.504546,0.987686,0
LOPAC 00671,0.998097,-0.10058,0,0.89378,0.998097,0
LOPAC 00672,0.981622,-1.02107,0,0.32323,0.981622,0
LOPAC 00170,0.988031,-0.656936,0,0.534584,0.988031,0
LOPAC 00178,1.00454,0.244128,0,0.812012,1.00454,0
LOPAC 00569,1.00345,0.179381,0,0.763122,1.00345,0
LOPAC 00602,0.987624,-0.662483,0,0.572268,0.987624,0
LOPAC 00673,1.01451,0.827844,0,0.421618,1.01451,0
LOPAC 00674,1.00679,0.36801,0,0.724364,1.00679,0
LOPAC 01303,0.990489,-0.541335,0,0.591698,0.990489,0
LOPAC 01318,0.999732,0.0199429,0,0.464538,0.999732,0
LOPAC 00084,1.00165,0.111214,0,0.70554,1.00165,0
LOPAC 00408,0.99755,-0.155626,0,0.711828,0.99755,0
LOPAC 00675,0.9895,-0.600118,0,0.556526,0.9895,0
LOPAC 00676,1.00063,0.037819,0,0.96142,1.00063,0
LOPAC 00677,1.01293,0.716406,0,0.48419,1.01293,0
LOPAC 00679,0.997754,-0.151538,0,0.601868,0.997754,0
LOPAC 00680,0.993727,-0.343632,0,0.735798,0.993727,0
LOPAC 01304,1.01218,0.699822,0,0.5052,1.01218,0
LOPAC 00083,1.0035,0.189217,0,0.851878,1.0035,0
LOPAC 00165,1.00122,0.0709725,0,0.943504,1.00122,0
LOPAC 00353,0.98342,-0.916762,0,0.384226,0.98342,0
LOPAC 00439,0.994,-0.341245,0,0.733742,0.994,0
LOPAC 00681,1.01281,0.732751,0,0.477902,1.01281,0
LOPAC 00682,1.00188,0.0990284,0,0.885474,1.00188,0
LOPAC 00683,1.0181,0.981686,0,0.450414,1.0181,0
LOPAC 00684,0.995661,-0.238862,0,0.812284,0.995661,0
LOPAC 00082,1.0775,4.13917,1,0.332298,1.0775,0
LOPAC 00166,0.0716418,-52.3219,0,0,0.0716418,0
LOPAC 00484,1.04475,2.53358,0,0.0167135,1.04475,0
LOPAC 00566,1.01295,0.755855,0,0.519684,1.01295,0
LOPAC 00685,0.977912,-1.25377,0,0.223454,0.977912,0
LOPAC 00686,1.0596,3.5304,1,0.418172,1.0596,0
LOPAC 00687,1.0086,0.466417,0,0.662412,1.0086,0
LOPAC 00688,0.994442,-0.338827,0,0.603536,0.994442,0
LOPAC 00011,0.988159,-0.695383,0,0.563552,0.988159,0
LOPAC 00053,1.00605,0.319723,0,0.683814,1.00605,0
LOPAC 00325,0.99748,-0.145345,0,0.884774,0.99748,0
LOPAC 00689,0.990777,-0.494347,0,0.652752,0.990777,0
LOPAC 00690,1.01458,0.858239,0,0.52623,1.01458,0
LOPAC 00691,1.01494,0.859955,0,0.42894,1.01494,0
LOPAC 00692,0.995931,-0.204846,0,0.624068,0.995931,0
LOPAC 00693,0.984651,-0.868091,0,0.38793,0.984651,0
LOPAC 00130,0.997089,-0.161515,0,0.871816,0.997089,0
LOPAC 00328,1.00964,0.55509,0,0.592438,1.00964,0
LOPAC 00567,0.99355,-0.388661,0,0.614244,0.99355,0
LOPAC 00694,0.995246,-0.247859,0,0.692632,0.995246,0
LOPAC 00695,1.01694,0.977927,0,0.391846,1.01694,0
LOPAC 00696,1.02026,1.14707,0,0.25777,1.02026,0
LOPAC 00697,0.99016,-0.55721,0,0.578626,0.99016,0
LOPAC 00698,1.00914,0.510734,0,0.61048,1.00914,0
LOPAC 00002,0.999182,-0.0360708,0,0.835722,0.999182,0
LOPAC 00009,1.0033,0.191383,0,0.84924,1.0033,0
LOPAC 00015,1.00177,0.0960303,0,0.923716,1.00177,0
LOPAC 00060,0.995558,-0.264449,0,0.767486,0.995558,0
LOPAC 00101,1.00155,0.0888621,0,0.929248,1.00155,0
LOPAC 00334,0.989069,-0.582835,0,0.57284,0.989069,0
LOPAC 00412,0.984727,-0.849738,0,0.40395,0.984727,0
LOPAC 00699,1.00516,0.277446,0,0.788894,1.00516,0
LOPAC 00016,0.98338,-0.919537,0,0.381224,0.98338,0
LOPAC 00019,1.00364,0.199776,0,0.842482,1.00364,0
LOPAC 00126,1.00363,0.196823,0,0.845746,1.00363,0
LOPAC 00152,0.998055,-0.100912,0,0.860618,0.998055,0
LOPAC 00168,1.0234,1.31885,0,0.188124,1.0234,0
LOPAC 00169,1.00451,0.252316,0,0.80085,1.00451,0
LOPAC 00486,0.999464,-0.0320264,0,0.968406,0.999464,0
LOPAC 00020,0.969884,-1.70847,0,0.10302,0.969884,0
