supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.935312,-3.06836,0,0.0046066,0.935312,0
LOPAC 00362,0.952421,-2.18566,0,0.0396728,0.952421,0
LOPAC 00557,1.00421,0.197375,0,0.843536,1.00421,0
LOPAC 00565,1.02827,1.25452,0,0.30082,1.02827,0
LOPAC 00574,1.01486,0.702077,0,0.483952,1.01486,0
LOPAC 00581,0.970449,-1.47612,0,0.300492,0.970449,0
LOPAC 00592,1.02269,1.09746,0,0.303432,1.02269,0
LOPAC 00662,1.00927,0.51543,0,0.479862,1.00927,0
LOPAC 00001,1.00926,0.493118,0,0.6005,1.00926,0
LOPAC 00057,0.99563,-0.176931,0,0.793762,0.99563,0
LOPAC 00164,1.00626,0.247371,0,0.670144,1.00626,0
LOPAC 00167,1.00029,-0.00458845,0,0.858416,1.00029,0
LOPAC 00235,1.00944,0.442128,0,0.658418,1.00944,0
LOPAC 00332,1.01184,0.637996,0,0.495998,1.01184,0
LOPAC 00612,0.984747,-0.772179,0,0.512022,0.984747,0
LOPAC 00644,0.965436,-1.55854,0,0.17411,0.965436,0
LOPAC 00023,0.998991,-0.0611781,0,0.891462,0.998991,0
LOPAC 00087,1.01639,0.807015,0,0.456236,1.01639,0
LOPAC 00645,0.999837,-0.030311,0,0.825144,0.999837,0
LOPAC 00646,1.00802,0.417735,0,0.701726,1.00802,0
LOPAC 00647,1.0206,0.947072,0,0.34908,1.0206,0
LOPAC 00648,0.99911,-0.0185557,0,0.82225,0.99911,0
LOPAC 00649,1.00021,-0.114139,0,0.229572,1.00021,0
LOPAC 00663,0.99244,-0.45854,0,0.353792,0.99244,0
LOPAC 00018,0.9954,-0.184377,0,0.769516,0.9954,0
LOPAC 00243,0.996082,-0.193427,0,0.847398,0.996082,0
LOPAC 00324,1.00017,-0.0962809,0,0.312558,1.00017,0
LOPAC 00621,0.988995,-0.586031,0,0.553622,0.988995,0
LOPAC 00650,1.00744,0.369806,0,0.717798,1.00744,0
LOPAC 00651,1.00373,0.314793,0,0.191137,1.00373,0
LOPAC 00664,1.00869,0.459899,0,0.636296,1.00869,0
LOPAC 01302,0.940554,-2.50366,0,0.434036,0.940554,0
LOPAC 00171,1.00663,0.285083,0,0.781878,1.00663,0
LOPAC 00568,0.98257,-0.755664,0,0.519396,0.98257,0
LOPAC 00598,0.994543,-0.300392,0,0.672054,0.994543,0
LOPAC 00652,0.992084,-0.289091,0,0.450054,0.992084,0
LOPAC 00653,1.0051,0.135877,0,0.322982,1.0051,0
LOPAC 00665,1.03766,1.68366,0,0.180732,1.03766,0
LOPAC 00666,1.01191,0.581502,0,0.572494,1.01191,0
LOPAC 00349,1.01526,0.776523,0,0.518488,1.01526,0
LOPAC 00564,0.989746,-0.446044,0,0.671914,0.989746,0
LOPAC 00654,0.994685,-0.271649,0,0.791226,0.994685,0
LOPAC 00655,1.00122,-0.0234108,0,0.433602,1.00122,0
LOPAC 00656,1.00428,0.146067,0,0.603418,1.00428,0
LOPAC 00667,0.982254,-0.738407,0,0.494112,0.982254,0
LOPAC 00668,0.990913,-0.413449,0,0.681048,0.990913,0
LOPAC 01342,0.959627,-1.99815,0,0.182788,0.959627,0
LOPAC 00326,1.01452,0.605547,0,0.552822,1.01452,0
LOPAC 00409,0.980631,-0.86588,0,0.420116,0.980631,0
LOPAC 00485,1.00963,0.500609,0,0.657618,1.00963,0
LOPAC 00490,1.00001,0.0181345,0,0.862378,1.00001,0
LOPAC 00657,1.00798,0.373629,0,0.708688,1.00798,0
LOPAC 00658,1.00738,0.297157,0,0.657382,1.00738,0
LOPAC 00669,1.00511,0.214751,0,0.817732,1.00511,0
LOPAC 00670,1.05182,3.00922,1,0.0032491,1.05182,0
LOPAC 00017,0.985401,-0.629012,0,0.581464,0.985401,0
LOPAC 00327,1.00661,0.373443,0,0.55631,1.00661,0
LOPAC 00364,0.999609,-0.0159429,0,0.981938,0.999609,0
LOPAC 00659,0.98859,-0.537105,0,0.591476,0.98859,0
LOPAC 00660,1.01727,0.813107,0,0.416948,1.01727,0
LOPAC 00661,1.01526,0.553241,0,0.175176,1.01526,0
LOPAC 00671,1.00808,0.307897,0,0.518398,1.00808,0
LOPAC 00672,0.990909,-0.446789,0,0.662378,0.990909,0
LOPAC 00170,0.982831,-0.799857,0,0.423916,0.982831,0
LOPAC 00178,1.0406,1.79874,0,0.202716,1.0406,0
LOPAC 00569,1.0263,1.08474,0,0.380962,1.0263,0
LOPAC 00602,0.979187,-0.879131,0,0.524484,0.979187,0
LOPAC 00673,0.976565,-0.922662,0,0.229162,0.976565,0
LOPAC 00674,1.01085,0.529654,0,0.605104,1.01085,0
LOPAC 01303,1.01013,0.522895,0,0.641088,1.01013,0
LOPAC 01318,1.00259,0.0548781,0,0.51977,1.00259,0
LOPAC 00084,0.996731,-0.112248,0,0.69502,0.996731,0
