supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.964262,-1.62747,0,0.115704,0.964262,0
LOPAC 00362,0.971283,-1.30545,0,0.192187,0.971283,0
LOPAC 00557,0.993507,-0.29341,0,0.773988,0.993507,0
LOPAC 00565,1.01162,0.530138,0,0.602504,1.01162,0
LOPAC 00574,1.01638,0.747644,0,0.47716,1.01638,0
LOPAC 00581,0.984783,-0.696758,0,0.545098,0.984783,0
LOPAC 00592,1.01268,0.577278,0,0.565672,1.01268,0
LOPAC 00662,1.01252,0.567636,0,0.578416,1.01252,0
LOPAC 00001,1.00823,0.371865,0,0.718118,1.00823,0
LOPAC 00057,1.00862,0.393834,0,0.698696,1.00862,0
LOPAC 00164,1.00456,0.209019,0,0.837478,1.00456,0
LOPAC 00167,1.00828,0.378425,0,0.710868,1.00828,0
LOPAC 00235,1.01014,0.461681,0,0.644872,1.01014,0
LOPAC 00332,0.993805,-0.28158,0,0.778294,0.993805,0
LOPAC 00612,0.988369,-0.532447,0,0.622506,0.988369,0
LOPAC 00644,0.978019,-1.00085,0,0.322086,0.978019,0
LOPAC 00023,0.981108,-0.861506,0,0.405956,0.981108,0
LOPAC 00087,1.01029,0.467658,0,0.640224,1.01029,0
LOPAC 00645,1.00692,0.316913,0,0.757588,1.00692,0
LOPAC 00646,1.01071,0.486903,0,0.626368,1.01071,0
LOPAC 00647,1.00397,0.180297,0,0.856978,1.00397,0
LOPAC 00648,1.00426,0.194405,0,0.846344,1.00426,0
LOPAC 00649,0.98494,-0.684473,0,0.493972,0.98494,0
LOPAC 00663,1.00158,0.073011,0,0.879,1.00158,0
LOPAC 00018,1.01221,0.55404,0,0.582188,1.01221,0
LOPAC 00243,0.998584,-0.0661393,0,0.844752,0.998584,0
LOPAC 00324,1.00054,0.0274891,0,0.750504,1.00054,0
LOPAC 00621,0.964718,-1.60149,0,0.127358,0.964718,0
LOPAC 00650,1.00867,0.392426,0,0.700266,1.00867,0
LOPAC 00651,0.990906,-0.41406,0,0.679402,0.990906,0
LOPAC 00664,1.01106,0.50332,0,0.615314,1.01106,0
LOPAC 01302,0.984541,-0.706285,0,0.509376,0.984541,0
LOPAC 00171,1.00898,0.408999,0,0.683456,1.00898,0
LOPAC 00568,1.01013,0.463724,0,0.66093,1.01013,0
LOPAC 00598,0.968618,-1.42968,0,0.170646,0.968618,0
LOPAC 00652,1.01303,0.593125,0,0.554052,1.01303,0
LOPAC 00653,0.986231,-0.624359,0,0.540172,0.986231,0
LOPAC 00665,1.00124,0.0521605,0,0.65239,1.00124,0
LOPAC 00666,1.02027,0.92214,0,0.356598,1.02027,0
LOPAC 00349,0.993803,-0.279658,0,0.785804,0.993803,0
LOPAC 00564,0.980627,-0.875937,0,0.451158,0.980627,0
LOPAC 00654,1.00452,0.204922,0,0.837916,1.00452,0
LOPAC 00655,1.00937,0.425372,0,0.671288,1.00937,0
LOPAC 00656,0.987707,-0.557322,0,0.583724,0.987707,0
LOPAC 00667,1.00943,0.428922,0,0.668038,1.00943,0
LOPAC 00668,1.00585,0.266078,0,0.790208,1.00585,0
LOPAC 01342,0.857577,-6.4851,0,1.78254e-08,0.857577,0
LOPAC 00326,0.988608,-0.516324,0,0.612166,0.988608,0
LOPAC 00409,0.986584,-0.611762,0,0.547786,0.986584,0
LOPAC 00485,1.00922,0.4186,0,0.676574,1.00922,0
LOPAC 00490,1.00181,0.0871612,0,0.599076,1.00181,0
LOPAC 00657,1.0013,0.0558381,0,0.706648,1.0013,0
LOPAC 00658,1.00533,0.240319,0,0.814394,1.00533,0
LOPAC 00669,0.980988,-0.864346,0,0.387518,0.980988,0
LOPAC 00670,1.01798,0.816361,0,0.418794,1.01798,0
LOPAC 00017,1.02207,1.00503,0,0.31956,1.02207,0
LOPAC 00327,1.0218,0.982376,0,0.512298,1.0218,0
LOPAC 00364,0.968847,-1.41652,0,0.156645,0.968847,0
LOPAC 00659,1.0115,0.525166,0,0.611204,1.0115,0
LOPAC 00660,1.01588,0.723601,0,0.477048,1.01588,0
LOPAC 00661,0.99016,-0.448779,0,0.657008,0.99016,0
LOPAC 00671,0.989629,-0.480143,0,0.395008,0.989629,0
LOPAC 00672,0.994408,-0.251703,0,0.780928,0.994408,0
LOPAC 00170,0.984817,-0.687872,0,0.50862,0.984817,0
LOPAC 00178,1.01585,0.721795,0,0.472998,1.01585,0
LOPAC 00569,1.00184,0.0822478,0,0.85706,1.00184,0
LOPAC 00602,0.990141,-0.447142,0,0.657446,0.990141,0
LOPAC 00673,0.981914,-0.820616,0,0.42131,0.981914,0
LOPAC 00674,1.01806,0.821209,0,0.411566,1.01806,0
LOPAC 01303,0.986753,-0.603599,0,0.549792,0.986753,0
LOPAC 01318,1.01676,0.762251,0,0.446038,1.01676,0
LOPAC 00084,1.02248,1.02235,0,0.306942,1.02248,0
LOPAC 00408,0.982066,-0.815221,0,0.415182,0.982066,0
LOPAC 00675,0.975643,-1.10752,0,0.268074,0.975643,0
LOPAC 00676,0.99249,-0.341017,0,0.733444,0.99249,0
LOPAC 00677,1.01803,0.822762,0,0.432492,1.01803,0
LOPAC 00679,1.00373,0.168854,0,0.866476,1.00373,0
LOPAC 00680,1.00295,0.131992,0,0.796162,1.00295,0
LOPAC 01304,0.989479,-0.477667,0,0.634032,0.989479,0
LOPAC 00083,0.997933,-0.0904336,0,0.693082,0.997933,0
LOPAC 00165,1.00369,0.167455,0,0.867162,1.00369,0
LOPAC 00353,0.982896,-0.780038,0,0.45002,0.982896,0
LOPAC 00439,0.968025,-1.4548,0,0.147358,0.968025,0
LOPAC 00681,1.00662,0.29981,0,0.76712,1.00662,0
LOPAC 00682,1.00643,0.293319,0,0.771088,1.00643,0
LOPAC 00683,1.01899,0.861344,0,0.401078,1.01899,0
LOPAC 00684,0.975816,-1.09775,0,0.283684,0.975816,0
LOPAC 00082,0.978787,-0.961419,0,0.366056,0.978787,0
LOPAC 00166,0.509148,-22.3294,0,0,0.509148,0
LOPAC 00484,1.01408,0.638452,0,0.533522,1.01408,0
LOPAC 00566,1.01105,0.500822,0,0.622554,1.01105,0
LOPAC 00685,0.996802,-0.146665,0,0.884514,0.996802,0
LOPAC 00686,1.0083,0.376474,0,0.707524,1.0083,0
LOPAC 00687,1.01676,0.763214,0,0.448236,1.01676,0
LOPAC 00688,0.982918,-0.776089,0,0.438956,0.982918,0
LOPAC 00011,1.01374,0.62395,0,0.534734,1.01374,0
LOPAC 00053,1.00367,0.170927,0,0.656932,1.00367,0
LOPAC 00325,0.980235,-0.897015,0,0.378864,0.980235,0
LOPAC 00689,0.999323,-0.0319031,0,0.900904,0.999323,0
LOPAC 00690,1.00551,0.249442,0,0.80415,1.00551,0
LOPAC 00691,1.01158,0.524042,0,0.616774,1.01158,0
LOPAC 00692,0.994657,-0.24505,0,0.811432,0.994657,0
LOPAC 00693,0.97981,-0.917062,0,0.362138,0.97981,0
LOPAC 00130,1.01663,0.75532,0,0.451866,1.01663,0
LOPAC 00328,1.01811,0.823427,0,0.410292,1.01811,0
LOPAC 00567,0.996501,-0.16026,0,0.873688,0.996501,0
LOPAC 00694,1.00614,0.279045,0,0.78021,1.00614,0
LOPAC 00695,0.988357,-0.528031,0,0.601858,0.988357,0
LOPAC 00696,0.986634,-0.608853,0,0.545524,0.986634,0
LOPAC 00697,0.973264,-1.23563,1,0.163792,0.973264,0
LOPAC 00698,0.985033,-0.678426,0,0.509678,0.985033,0
LOPAC 00002,0.989194,-0.491283,0,0.62325,0.989194,0
LOPAC 00009,1.01485,0.67593,0,0.50049,1.01485,0
LOPAC 00015,0.981009,-0.866587,0,0.412592,0.981009,0
LOPAC 00060,0.976488,-1.0706,0,0.29057,0.976488,0
LOPAC 00101,1.00644,0.290059,0,0.775762,1.00644,0
LOPAC 00334,1.00337,0.15309,0,0.878362,1.00337,0
LOPAC 00412,0.995903,-0.183606,0,0.76603,0.995903,0
LOPAC 00699,1.00787,0.359294,0,0.722078,1.00787,0
LOPAC 00016,1.00212,0.0969273,0,0.922894,1.00212,0
LOPAC 00019,1.01108,0.505472,0,0.61973,1.01108,0
LOPAC 00126,0.974841,-1.14335,0,0.254298,0.974841,0
LOPAC 00152,0.979888,-0.914348,0,0.360646,0.979888,0
LOPAC 00168,1.01215,0.54624,0,0.540472,1.01215,0
LOPAC 00169,1.01002,0.456174,0,0.64861,1.01002,0
LOPAC 00486,1.00401,0.183154,0,0.85529,1.00401,0
LOPAC 00020,0.997331,-0.121775,0,0.90317,0.997331,0
LOPAC 00330,1.01186,0.541157,0,0.59535,1.01186,0
LOPAC 00333,1.00567,0.258487,0,0.796288,1.00567,0
LOPAC 00406,1.00231,0.105211,0,0.916286,1.00231,0
LOPAC 00487,1.00731,0.330321,0,0.749036,1.00731,0
LOPAC 00701,1.005,0.228067,0,0.819876,1.005,0
LOPAC 01325,1.00201,0.0897373,0,0.863292,1.00201,0
LOPAC 00021,0.985962,-0.63252,0,0.592944,0.985962,0
LOPAC 00022,1.00606,0.274431,0,0.78552,1.00606,0
