supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,1.03752,1.04217,0,0.320206,1.03752,0
LOPAC 00362,0.985162,-0.36766,0,0.531798,0.985162,0
LOPAC 00557,0.98636,-0.3614,0,0.723034,0.98636,0
LOPAC 00565,1.01019,0.264249,0,0.797908,1.01019,0
LOPAC 00574,1.00942,0.233129,0,0.67462,1.00942,0
LOPAC 00581,1.02987,0.9119,0,0.217176,1.02987,0
LOPAC 00592,0.995439,-0.129358,0,0.897444,0.995439,0
LOPAC 00662,0.990534,-0.253919,0,0.800218,0.990534,0
LOPAC 00001,1.00024,-0.0121994,0,0.737558,1.00024,0
LOPAC 00057,1.0417,1.12791,0,0.268282,1.0417,0
LOPAC 00164,1.00747,0.207497,0,0.835954,1.00747,0
LOPAC 00167,1.00295,0.0750946,0,0.923604,1.00295,0
LOPAC 00235,1.00105,0.0189108,0,0.864006,1.00105,0
LOPAC 00332,0.9838,-0.433291,0,0.66895,0.9838,0
LOPAC 00612,1.04884,1.42498,0,0.4242,1.04884,0
LOPAC 00644,0.999942,0.0222144,0,0.67224,0.999942,0
LOPAC 00023,0.999926,-0.0233368,0,0.704876,0.999926,0
LOPAC 00087,1.01039,0.270648,0,0.792168,1.01039,0
LOPAC 00645,1.04312,1.16495,0,0.256126,1.04312,0
LOPAC 00646,0.983614,-0.450426,0,0.65284,0.983614,0
LOPAC 00647,1.00219,0.0536103,0,0.913808,1.00219,0
LOPAC 00648,1.00488,0.119214,0,0.802486,1.00488,0
LOPAC 00649,0.963645,-0.940381,0,0.527888,0.963645,0
LOPAC 00663,1.00886,0.342642,0,0.0906674,1.00886,0
LOPAC 00018,1.03027,0.822665,0,0.411958,1.03027,0
LOPAC 00243,1.00108,0.115395,0,0.129666,1.00108,0
LOPAC 00324,0.979455,-0.559002,0,0.576426,0.979455,0
LOPAC 00621,1.01694,0.459463,0,0.646434,1.01694,0
LOPAC 00650,1.01057,0.26211,0,0.646862,1.01057,0
LOPAC 00651,0.823257,-4.83366,0,1.57069e-06,0.823257,0
LOPAC 00664,1.00416,0.108255,0,0.91417,1.00416,0
LOPAC 01302,0.962841,-0.956749,0,0.492766,0.962841,0
LOPAC 00171,0.999952,-0.00142953,0,0.998418,0.999952,0
LOPAC 00568,1.03,0.79719,0,0.45992,1.03,0
LOPAC 00598,0.998481,0.0326006,0,0.187949,0.998481,0
LOPAC 00652,1.01343,0.352269,0,0.733392,1.01343,0
LOPAC 00653,1.00947,0.236996,0,0.709412,1.00947,0
LOPAC 00665,1.00925,0.232119,0,0.723476,1.00925,0
LOPAC 00666,1.01155,0.294734,0,0.723678,1.01155,0
LOPAC 00349,1.03405,0.956179,0,0.389872,1.03405,0
LOPAC 00564,1.02567,0.673652,0,0.548976,1.02567,0
LOPAC 00654,0.999296,0.0601522,0,0.158816,0.999296,0
LOPAC 00655,0.986063,-0.381935,0,0.702584,0.986063,0
LOPAC 00656,1.02388,0.601184,0,0.446338,1.02388,0
LOPAC 00667,1.00577,0.177763,0,0.722318,1.00577,0
LOPAC 00668,0.996958,-0.0867359,0,0.931028,0.996958,0
LOPAC 01342,0.167024,-22.8135,0,0,0.167024,0
LOPAC 00326,1.00946,0.219704,0,0.502278,1.00946,0
LOPAC 00409,0.979705,-0.526525,0,0.640718,0.979705,0
LOPAC 00485,0.994917,-0.143466,0,0.886308,0.994917,0
LOPAC 00490,0.985012,-0.402851,0,0.689022,0.985012,0
LOPAC 00657,1.01236,0.348019,0,0.732306,1.01236,0
LOPAC 00658,1.00223,0.05611,0,0.930776,1.00223,0
LOPAC 00669,0.979028,-0.493856,0,0.210496,0.979028,0
LOPAC 00670,1.01931,0.499414,0,0.658476,1.01931,0
LOPAC 00017,0.98946,-0.276117,0,0.787042,0.98946,0
LOPAC 00327,1.01467,0.426479,0,0.674114,1.01467,0
LOPAC 00364,0.997276,-0.0506323,0,0.672892,0.997276,0
LOPAC 00659,1.01751,0.479035,0,0.631948,1.01751,0
LOPAC 00660,1.0203,0.529235,0,0.63204,1.0203,0
LOPAC 00661,1.02879,0.758857,0,0.499506,1.02879,0
LOPAC 00671,0.94794,-1.44364,0,0.179101,0.94794,0
LOPAC 00672,0.983775,-0.431917,0,0.671988,0.983775,0
LOPAC 00170,1.00773,0.227257,0,0.780696,1.00773,0
LOPAC 00178,1.0139,0.358493,0,0.726128,1.0139,0
LOPAC 00569,1.00115,0.0341269,0,0.96277,1.00115,0
LOPAC 00602,0.987803,-0.31765,0,0.759702,0.987803,0
LOPAC 00673,0.980725,-0.494276,0,0.612296,0.980725,0
LOPAC 00674,0.995505,-0.136453,0,0.809272,0.995505,0
LOPAC 01303,0.963151,-0.972823,0,0.411702,0.963151,0
LOPAC 01318,0.999797,-0.0166577,0,0.843436,0.999797,0
LOPAC 00084,1.00574,0.160664,0,0.872664,1.00574,0
LOPAC 00408,1.03098,0.797237,0,0.519946,1.03098,0
LOPAC 00675,0.99155,-0.172702,0,0.308906,0.99155,0
LOPAC 00676,0.992428,-0.163542,0,0.44789,0.992428,0
LOPAC 00677,1.03857,0.997378,0,0.522248,1.03857,0
LOPAC 00679,1.00986,0.241871,0,0.637228,1.00986,0
LOPAC 00680,0.983786,-0.399269,0,0.474064,0.983786,0
LOPAC 01304,1.00421,0.095785,0,0.733482,1.00421,0
LOPAC 00083,0.982144,-0.507732,0,0.633648,0.982144,0
LOPAC 00165,0.994149,-0.175281,0,0.786308,0.994149,0
