supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.980424,-0.741489,0,0.463564,0.980424,0
LOPAC 00362,0.989139,-0.409463,0,0.697222,0.989139,0
LOPAC 00557,1.02851,1.08083,0,0.281622,1.02851,0
LOPAC 00565,1.01048,0.394284,0,0.714244,1.01048,0
LOPAC 00574,1.01221,0.464794,0,0.647394,1.01221,0
LOPAC 00581,0.991619,-0.318577,0,0.750734,0.991619,0
LOPAC 00592,0.991783,-0.310808,0,0.757552,0.991783,0
LOPAC 00662,0.973054,-1.02175,0,0.30811,0.973054,0
LOPAC 00001,1.02908,1.1007,0,0.298458,1.02908,0
LOPAC 00057,0.999425,-0.0210135,0,0.92298,0.999425,0
LOPAC 00164,1.03555,1.34639,0,0.197586,1.03555,0
LOPAC 00167,1.02976,1.1292,0,0.258862,1.02976,0
LOPAC 00235,0.977543,-0.851926,0,0.394288,0.977543,0
LOPAC 00332,1.00891,0.336784,0,0.739998,1.00891,0
LOPAC 00612,1.03981,1.50748,0,0.159031,1.03981,0
LOPAC 00644,0.97903,-0.792025,0,0.470632,0.97903,0
LOPAC 00023,1.01314,0.496242,0,0.635148,1.01314,0
LOPAC 00087,1.04476,1.69343,0,0.143685,1.04476,0
LOPAC 00645,0.967958,-1.21263,0,0.256858,0.967958,0
LOPAC 00646,0.968977,-1.17525,0,0.250602,0.968977,0
LOPAC 00647,1.04246,1.61047,0,0.107647,1.04246,0
LOPAC 00648,1.03098,1.17189,0,0.286758,1.03098,0
LOPAC 00649,0.971333,-1.09175,0,0.33384,0.971333,0
LOPAC 00663,0.985106,-0.567646,0,0.588678,0.985106,0
LOPAC 00018,1.01307,0.493021,0,0.6409,1.01307,0
LOPAC 00243,0.967474,-1.22381,0,0.495332,0.967474,0
LOPAC 00324,1.01269,0.479151,0,0.643638,1.01269,0
LOPAC 00621,1.03925,1.48688,0,0.154183,1.03925,0
LOPAC 00650,1.0428,1.6157,0,0.27269,1.0428,0
LOPAC 00651,0.947725,-1.98003,0,0.0660642,0.947725,0
LOPAC 00664,0.993069,-0.260367,0,0.760386,0.993069,0
LOPAC 01302,0.943251,-2.15838,0,0.0678308,0.943251,0
LOPAC 00171,1.00941,0.356934,0,0.721164,1.00941,0
LOPAC 00568,0.999552,-0.017297,0,0.969016,0.999552,0
LOPAC 00598,0.968094,-1.20399,0,0.365668,0.968094,0
LOPAC 00652,1.04092,1.54921,0,0.152047,1.04092,0
LOPAC 00653,1.01529,0.576885,0,0.59443,1.01529,0
LOPAC 00665,1.05089,1.91948,0,0.290334,1.05089,0
LOPAC 00666,1.01468,0.557137,0,0.577786,1.01468,0
LOPAC 00349,0.984493,-0.588234,0,0.55642,0.984493,0
LOPAC 00564,0.993681,-0.237341,0,0.775954,0.993681,0
LOPAC 00654,0.969177,-1.1617,0,0.43115,0.969177,0
LOPAC 00655,0.942406,-2.19213,0,0.0917802,0.942406,0
LOPAC 00656,1.00739,0.286268,0,0.499486,1.00739,0
LOPAC 00667,0.967115,-1.25369,0,0.326036,0.967115,0
LOPAC 00668,0.985753,-0.537047,0,0.623524,0.985753,0
LOPAC 01342,1.00038,0.0288008,0,0.0772666,1.00038,0
LOPAC 00326,1.03773,1.4298,0,0.160731,1.03773,0
LOPAC 00409,0.970558,-1.11568,0,0.271202,0.970558,0
LOPAC 00485,0.992234,-0.298381,0,0.661406,0.992234,0
LOPAC 00490,1.00644,0.233145,0,0.185135,1.00644,0
LOPAC 00657,1.03408,1.28317,0,0.46602,1.03408,0
LOPAC 00658,1.03303,1.25045,0,0.23717,1.03303,0
LOPAC 00669,0.973691,-0.994895,0,0.357636,0.973691,0
LOPAC 00670,1.05574,2.11103,0,0.054268,1.05574,0
LOPAC 00017,0.959958,-1.52204,0,0.150752,0.959958,0
LOPAC 00327,1.00362,0.134853,0,0.762388,1.00362,0
LOPAC 00364,0.976771,-0.876132,0,0.469422,0.976771,0
LOPAC 00659,1.00455,0.171664,0,0.864426,1.00455,0
LOPAC 00660,1.01135,0.428625,0,0.67682,1.01135,0
LOPAC 00661,1.02678,1.02203,0,0.42079,1.02678,0
LOPAC 00671,1.00393,0.14937,0,0.881372,1.00393,0
LOPAC 00672,0.987071,-0.48882,0,0.632408,0.987071,0
LOPAC 00170,0.970732,-1.1113,0,0.269052,0.970732,0
LOPAC 00178,1.01354,0.514913,0,0.610892,1.01354,0
LOPAC 00569,1.00685,0.253178,0,0.433664,1.00685,0
LOPAC 00602,0.984917,-0.577318,0,0.598728,0.984917,0
LOPAC 00673,0.973574,-1.01165,0,0.480034,0.973574,0
LOPAC 00674,0.984545,-0.582148,0,0.609868,0.984545,0
LOPAC 01303,0.996466,-0.134053,0,0.893362,0.996466,0
LOPAC 01318,1.00002,-0.0067494,0,0.366384,1.00002,0
LOPAC 00084,1.02231,0.847407,0,0.400032,1.02231,0
LOPAC 00408,1.01973,0.748049,0,0.45577,1.01973,0
LOPAC 00675,0.973428,-1.00531,0,0.343126,0.973428,0
LOPAC 00676,1.02698,1.02549,0,0.319348,1.02698,0
LOPAC 00677,0.996748,-0.118418,0,0.548152,0.996748,0
LOPAC 00679,0.99319,-0.259918,0,0.798538,0.99319,0
LOPAC 00680,0.978631,-0.809159,0,0.427134,0.978631,0
LOPAC 01304,1.00873,0.330696,0,0.741128,1.00873,0
LOPAC 00083,1.01393,0.52764,0,0.600434,1.01393,0
LOPAC 00165,1.01086,0.410002,0,0.689356,1.01086,0
LOPAC 00353,0.991417,-0.324505,0,0.74792,0.991417,0
LOPAC 00439,0.995784,-0.157957,0,0.809146,0.995784,0
LOPAC 00681,1.00309,0.117533,0,0.906454,1.00309,0
LOPAC 00682,0.984421,-0.591737,0,0.555286,0.984421,0
LOPAC 00683,1.0579,2.19348,0,0.0401458,1.0579,0
LOPAC 00684,1.00633,0.23827,0,0.815738,1.00633,0
LOPAC 00082,1.00605,0.236268,0,0.433812,1.00605,0
LOPAC 00166,0.886887,-4.29549,0,7.0534e-05,0.886887,0
LOPAC 00484,1.02962,1.11823,0,0.362976,1.02962,0
LOPAC 00566,0.981899,-0.689667,0,0.51699,0.981899,0
LOPAC 00685,0.984345,-0.592603,0,0.558838,0.984345,0
LOPAC 00686,1.00285,0.102647,0,0.519422,1.00285,0
LOPAC 00687,1.01056,0.400727,0,0.688638,1.01056,0
LOPAC 00688,1.00974,0.371463,0,0.71789,1.00974,0
LOPAC 00011,1.0177,0.670075,0,0.508396,1.0177,0
LOPAC 00053,1.01642,0.625471,0,0.551706,1.01642,0
LOPAC 00325,1.0136,0.518459,0,0.620266,1.0136,0
LOPAC 00689,0.979195,-0.78801,0,0.436818,0.979195,0
LOPAC 00690,1.00121,0.0441606,0,0.837652,1.00121,0
LOPAC 00691,0.987406,-0.48188,0,0.656804,0.987406,0
LOPAC 00692,1.01852,0.699992,0,0.508962,1.01852,0
LOPAC 00693,0.983151,-0.631851,0,0.454574,0.983151,0
LOPAC 00130,0.988346,-0.444279,0,0.66758,0.988346,0
LOPAC 00328,1.01551,0.586802,0,0.563732,1.01551,0
LOPAC 00567,1.00928,0.349773,0,0.736874,1.00928,0
LOPAC 00694,0.969108,-1.16942,0,0.266186,0.969108,0
LOPAC 00695,0.981381,-0.709907,0,0.51626,0.981381,0
LOPAC 00696,0.989493,-0.402122,0,0.69597,0.989493,0
LOPAC 00697,1.03241,1.23116,0,0.22468,1.03241,0
LOPAC 00698,1.01072,0.412677,0,0.503684,1.01072,0
LOPAC 00002,1.00916,0.345408,0,0.739262,1.00916,0
LOPAC 00009,1.0087,0.330001,0,0.741416,1.0087,0
LOPAC 00015,1.00626,0.244236,0,0.41383,1.00626,0
LOPAC 00060,1.01876,0.716333,0,0.53787,1.01876,0
LOPAC 00101,0.996403,-0.13736,0,0.891376,0.996403,0
LOPAC 00334,1.01548,0.591485,0,0.604122,1.01548,0
LOPAC 00412,0.980165,-0.751844,0,0.453852,0.980165,0
LOPAC 00699,0.986389,-0.517931,0,0.610588,0.986389,0
LOPAC 00016,0.966877,-1.26087,0,0.264404,0.966877,0
LOPAC 00019,0.980136,-0.763337,0,0.361918,0.980136,0
LOPAC 00126,1.00417,0.161205,0,0.70937,1.00417,0
LOPAC 00152,0.983676,-0.61583,0,0.57358,0.983676,0
LOPAC 00168,1.01109,0.419677,0,0.676936,1.01109,0
LOPAC 00169,0.993179,-0.262017,0,0.704628,0.993179,0
LOPAC 00486,0.978724,-0.812572,0,0.508624,0.978724,0
LOPAC 00020,0.983697,-0.618316,0,0.53654,0.983697,0
LOPAC 00330,1.00036,0.0125103,0,0.875998,1.00036,0
LOPAC 00333,1.00059,0.0194544,0,0.737476,1.00059,0
LOPAC 00406,1.01727,0.655365,0,0.512416,1.01727,0
LOPAC 00487,1.02755,1.04751,0,0.313352,1.02755,0
LOPAC 00701,0.997261,-0.1014,0,0.759294,0.997261,0
LOPAC 01325,1.0117,0.444106,0,0.65709,1.0117,0
LOPAC 00021,1.01946,0.743333,0,0.531114,1.01946,0
LOPAC 00022,1.00622,0.240318,0,0.611266,1.00622,0
LOPAC 00054,1.00371,0.141396,0,0.88789,1.00371,0
LOPAC 00244,0.999781,-0.0100071,0,0.83494,0.999781,0
LOPAC 00489,0.987057,-0.489733,0,0.628886,0.987057,0
LOPAC 00572,1.01652,0.63116,0,0.582552,1.01652,0
LOPAC 01326,1.01183,0.447719,0,0.657904,1.01183,0
LOPAC 01327,0.986319,-0.521192,0,0.614258,0.986319,0
LOPAC 00085,0.999921,-0.00359641,0,0.940946,0.999921,0
LOPAC 00245,0.962045,-1.46053,1,0.147692,0.962045,0
LOPAC 00329,1.0179,0.682559,0,0.529702,1.0179,0
LOPAC 00337,0.965998,-1.29406,0,0.247652,0.965998,0
LOPAC 00338,0.997402,-0.101713,0,0.702414,0.997402,0
LOPAC 00339,1.00088,0.0319868,0,0.85573,1.00088,0
LOPAC 00702,1.01996,0.76413,0,0.5324,1.01996,0
LOPAC 00703,1.00086,0.0361929,0,0.66398,1.00086,0
LOPAC 00177,0.981058,-0.716725,0,0.485836,0.981058,0
LOPAC 00416,1.01582,0.598973,0,0.553478,1.01582,0
LOPAC 00576,0.992456,-0.284719,0,0.779494,0.992456,0
LOPAC 00704,0.99829,-0.0683332,0,0.672488,0.99829,0
LOPAC 00705,0.988429,-0.444844,0,0.518026,0.988429,0
LOPAC 00706,1.01094,0.418434,0,0.69975,1.01094,0
LOPAC 00708,0.93142,-2.60524,0,0.0151531,0.93142,0
LOPAC 00247,0.994692,-0.202573,0,0.841118,0.994692,0
LOPAC 00709,0.967164,-1.24151,0,0.275698,0.967164,0
LOPAC 00710,0.995598,-0.165022,0,0.808946,0.995598,0
LOPAC 00711,1.04472,1.69873,0,0.099202,1.04472,0
LOPAC 00712,1.00951,0.359291,0,0.723124,1.00951,0
LOPAC 00713,1.01402,0.528217,0,0.63231,1.01402,0
LOPAC 00714,1.00679,0.257865,0,0.796636,1.00679,0
LOPAC 00715,0.97546,-0.931228,0,0.35186,0.97546,0
LOPAC 00175,1.01451,0.553333,0,0.599826,1.01451,0
LOPAC 00716,0.975894,-0.913232,0,0.367614,0.975894,0
LOPAC 00717,1.01722,0.651177,0,0.53043,1.01722,0
LOPAC 00718,0.991638,-0.314871,0,0.762942,0.991638,0
LOPAC 00719,1.02808,1.06568,0,0.286764,1.02808,0
LOPAC 00720,0.994262,-0.216622,0,0.829916,0.994262,0
LOPAC 00721,0.999641,-0.0154303,0,0.825446,0.999641,0
LOPAC 00722,0.984221,-0.597819,0,0.551994,0.984221,0
LOPAC 00248,1.00321,0.119871,0,0.810054,1.00321,0
LOPAC 00491,0.99661,-0.12966,0,0.89765,0.99661,0
LOPAC 00573,0.976345,-0.887806,0,0.403696,0.976345,0
LOPAC 00723,1.03221,1.22106,0,0.225118,1.03221,0
LOPAC 00724,0.0614464,-35.6132,0,0,0.0614464,0
LOPAC 00725,1.0285,1.08075,0,0.281532,1.0285,0
LOPAC 00727,1.00026,0.01184,0,0.826848,1.00026,0
LOPAC 00728,0.995755,-0.167041,0,0.47215,0.995755,0
LOPAC 00093,0.993248,-0.260555,0,0.605054,0.993248,0
LOPAC 00098,0.997307,-0.10161,0,0.919254,0.997307,0
LOPAC 00174,1.03509,1.33283,0,0.190424,1.03509,0
LOPAC 00415,0.971032,-1.09392,0,0.363468,0.971032,0
LOPAC 00634,1.00275,0.10358,0,0.914864,1.00275,0
LOPAC 00729,1.00359,0.135638,0,0.892318,1.00359,0
LOPAC 00731,1.03131,1.19073,0,0.264724,1.03131,0
LOPAC 00739,0.942105,-2.19179,0,0.0564166,0.942105,0
LOPAC 00092,1.04086,1.54857,0,0.12828,1.04086,0
LOPAC 00094,1.02026,0.771242,0,0.462208,1.02026,0
LOPAC 00097,0.993905,-0.228961,0,0.786198,0.993905,0
LOPAC 00505,0.981004,-0.722946,0,0.485954,0.981004,0
LOPAC 00732,0.977372,-0.854288,0,0.453226,0.977372,0
LOPAC 00733,0.996633,-0.126404,0,0.87201,0.996633,0
LOPAC 00734,1.01875,0.710329,0,0.482312,1.01875,0
LOPAC 00735,0.972848,-1.03821,0,0.500154,0.972848,0
LOPAC 00024,0.970064,-1.14006,0,0.31628,0.970064,0
LOPAC 00176,0.982628,-0.658547,0,0.511102,0.982628,0
LOPAC 00246,0.95588,-1.66902,0,0.154228,0.95588,0
LOPAC 00249,1.0139,0.52232,0,0.59911,1.0139,0
LOPAC 00492,1.0115,0.441829,0,0.530972,1.0115,0
LOPAC 00575,0.99558,-0.170094,0,0.773338,0.99558,0
LOPAC 00736,1.03793,1.44356,0,0.211566,1.03793,0
LOPAC 00737,1.01114,0.427114,0,0.623594,1.01114,0
LOPAC 00099,0.961041,-1.47839,0,0.139532,0.961041,0
LOPAC 00100,0.998337,-0.0645454,0,0.85827,0.998337,0
LOPAC 00102,1.01691,0.643152,0,0.527532,1.01691,0
LOPAC 00250,1.00255,0.0992958,0,0.768128,1.00255,0
LOPAC 00475,1.01685,0.645831,0,0.507616,1.01685,0
LOPAC 00539,1.03474,1.32099,0,0.21154,1.03474,0
LOPAC 00738,1.02232,0.842463,0,0.45967,1.02232,0
LOPAC 00741,1.01848,0.702652,0,0.488496,1.01848,0
LOPAC 00008,1.03429,1.30855,0,0.364254,1.03429,0
LOPAC 00742,0.961361,-1.46505,0,0.145552,0.961361,0
LOPAC 00743,0.982269,-0.676739,0,0.548024,0.982269,0
LOPAC 00744,0.98078,-0.72641,0,0.493202,0.98078,0
LOPAC 00745,1.02274,0.868114,0,0.476176,1.02274,0
LOPAC 00746,1.0185,0.702543,0,0.483162,1.0185,0
LOPAC 00747,0.981777,-0.693342,0,0.500396,0.981777,0
LOPAC 01343,0.966584,-1.27505,0,0.363726,0.966584,0
LOPAC 00030,0.999177,-0.0245256,0,0.411876,0.999177,0
LOPAC 00748,0.963534,-1.38935,0,0.266294,0.963534,0
LOPAC 00749,0.971411,-1.09102,0,0.407076,0.971411,0
LOPAC 00750,0.947622,-2.00574,0,0.399546,0.947622,0
LOPAC 00751,0.999658,-0.0150523,0,0.800186,0.999658,0
LOPAC 00752,1.03142,1.19823,0,0.346204,1.03142,0
LOPAC 00753,1.00842,0.317745,0,0.756778,1.00842,0
LOPAC 00754,1.00304,0.11156,0,0.638118,1.00304,0
LOPAC 00420,0.98066,-0.737014,0,0.49557,0.98066,0
LOPAC 00755,0.978055,-0.833356,0,0.406612,0.978055,0
LOPAC 00756,1.02654,1.00626,0,0.316096,1.02654,0
LOPAC 00757,1.00304,0.119318,0,0.644968,1.00304,0
LOPAC 00758,0.998886,-0.0404795,0,0.82852,0.998886,0
LOPAC 00759,1.01822,0.69256,0,0.494526,1.01822,0
LOPAC 00760,0.997586,-0.0925564,0,0.907602,0.997586,0
LOPAC 00761,0.993746,-0.239249,0,0.816148,0.993746,0
LOPAC 00105,1.02133,0.813294,0,0.466404,1.02133,0
LOPAC 00762,0.93004,-2.65378,0,0.00808796,0.93004,0
LOPAC 00763,1.00196,0.0748321,0,0.940486,1.00196,0
LOPAC 00764,1.02368,0.899863,0,0.374706,1.02368,0
LOPAC 00765,1.01286,0.488459,0,0.625934,1.01286,0
LOPAC 00766,0.974748,-0.953212,0,0.42059,0.974748,0
LOPAC 00767,1.00696,0.26375,0,0.792028,1.00696,0
LOPAC 00768,1.00097,0.0337017,0,0.696422,1.00097,0
LOPAC 00070,0.978422,-0.821635,0,0.4409,0.978422,0
LOPAC 00345,1.01623,0.612266,0,0.579522,1.01623,0
LOPAC 00418,0.0676253,-35.376,0,0,0.0676253,0
LOPAC 00419,0.999212,-0.0292728,0,0.938716,0.999212,0
LOPAC 00423,0.897691,-3.87417,0,0.00151413,0.897691,0
LOPAC 00496,0.992033,-0.301707,0,0.763392,0.992033,0
LOPAC 00579,1.0095,0.363914,0,0.688638,1.0095,0
LOPAC 00769,1.02433,0.925085,0,0.367836,1.02433,0
LOPAC 00031,1.00112,0.0380933,0,0.601718,1.00112,0
LOPAC 00104,0.930251,-2.63211,0,0.184236,0.930251,0
LOPAC 00183,1.00025,0.0122847,0,0.749942,1.00025,0
LOPAC 00348,0.985936,-0.535659,0,0.604044,0.985936,0
LOPAC 00770,0.99125,-0.323024,0,0.29814,0.99125,0
LOPAC 00771,1.02323,0.884293,0,0.403396,1.02323,0
LOPAC 00772,1.02754,1.04546,0,0.29675,1.02754,0
LOPAC 00773,1.04708,1.79087,0,0.122954,1.04708,0
LOPAC 00014,1.00045,0.0103426,0,0.412226,1.00045,0
LOPAC 00173,0.998061,-0.0727834,0,0.9232,0.998061,0
LOPAC 00580,0.994569,-0.215543,0,0.257688,0.994569,0
LOPAC 00774,0.976351,-0.891552,0,0.478426,0.976351,0
LOPAC 00775,0.982717,-0.658306,0,0.530818,0.982717,0
LOPAC 00776,1.0037,0.142319,0,0.826628,1.0037,0
LOPAC 00777,1.02089,0.791941,0,0.429734,1.02089,0
LOPAC 00778,0.949284,-1.93424,0,0.24177,0.949284,0
LOPAC 00545,1.00296,0.117593,0,0.514036,1.00296,0
LOPAC 00779,1.01454,0.550653,0,0.5851,1.01454,0
LOPAC 00780,0.998925,-0.035304,0,0.503554,0.998925,0
LOPAC 00781,0.56838,-16.383,0,0,0.56838,0
LOPAC 00782,1.04571,1.73311,0,0.0854408,1.04571,0
LOPAC 00783,1.01507,0.570836,0,0.570054,1.01507,0
LOPAC 00784,0.988093,-0.44761,0,0.647074,0.988093,0
LOPAC 00785,0.102205,-34.0639,0,0,0.102205,0
LOPAC 00026,0.991665,-0.322469,0,0.468504,0.991665,0
LOPAC 00254,0.980843,-0.729985,0,0.497424,0.980843,0
LOPAC 00493,0.992273,-0.295182,0,0.774646,0.992273,0
LOPAC 00494,1.00817,0.308851,0,0.760414,1.00817,0
LOPAC 00497,1.01221,0.465781,0,0.659,1.01221,0
LOPAC 00503,0.992936,-0.272545,0,0.591992,0.992936,0
LOPAC 00786,0.966054,-1.28371,0,0.25686,0.966054,0
LOPAC 00787,0.985528,-0.550539,0,0.58804,0.985528,0
LOPAC 00181,0.987743,-0.460567,0,0.624526,0.987743,0
