supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.842346,-5.57639,0,7.08216e-07,0.842346,21.61
AW 00436,0.693398,-10.8242,0,4.92492e-25,0.693398,36.52
AW 00625,0.0638274,-33.0286,0,0,0.0638274,99.95
AW 00698,0.961517,-1.34338,0,0.254334,0.961517,9.28
AW 00801,0.799522,-7.0768,0,7.51866e-12,0.799522,25.62
AW 00819,1.01544,0.544798,0,0.585928,1.01544,3.73
AW 00844,0.890808,-3.83982,0,0.00037487,0.890808,16.26
AW 00891,0.986078,-0.467158,0,0.347522,0.986078,6.56
AW 00925,1.01382,0.480404,0,0.64681,1.01382,3.78
AW 00962,1.00251,0.0869672,0,0.930858,1.00251,4.88
AW 01018,1.01673,0.587679,0,0.55851,1.01673,3.41
AW 01055,1.01012,0.355072,0,0.723354,1.01012,4.04
AW 01109,1.01001,0.349798,0,0.72886,1.01001,4
AW 01159,1.00995,0.367676,0,0.492724,1.00995,4.07
AW 01219,0.990189,-0.334362,0,0.629696,0.990189,6.21
AW 01274,0.942688,-1.98591,0,0.327832,0.942688,11.12
BR 00009,0.95819,-1.48773,0,0.203286,0.95819,9.81
BTB 00027,0.986141,-0.507257,0,0.471804,0.986141,7.16
BTB 00084,1.0104,0.365523,0,0.715222,1.0104,4.84
BTB 00241,0.972664,-0.980924,0,0.449628,0.972664,8.79
BTB 00333,0.956253,-1.54826,0,0.132902,0.956253,10.54
BTB 00374,1.00827,0.292838,0,0.770018,1.00827,5.42
BTB 00441,0.978011,-0.766591,0,0.476424,0.978011,8.51
BTB 00496,0.971958,-0.985065,0,0.33113,0.971958,9.17
BTB 00554,0.736481,-9.30387,0,7.15874e-19,0.736481,32.76
BTB 00596,0.575126,-14.996,0,0,0.575126,48.9
BTB 00667,1.01708,0.606802,0,0.551272,1.01708,4.68
BTB 00694,0.76056,-8.43188,0,1.06319e-15,0.76056,30.29
BTB 00730,1.01242,0.440683,0,0.661904,1.01242,5.09
BTB 00778,1.00423,0.153488,0,0.85324,1.00423,5.87
BTB 00828,0.905812,-3.31913,0,0.000951166,0.905812,15.68
BTB 00881,0.966144,-1.19211,0,0.234566,0.966144,9.61
BTB 00992,1.00689,0.231936,0,0.633172,1.00689,5.53
BTB 01022,0.906168,-3.32124,0,0.0028458,0.906168,15.61
BTB 01036,1.00689,0.228605,0,0.539286,1.00689,5.54
BTB 01061,0.969946,-1.05704,0,0.293984,0.969946,9.26
BTB 01088,1.00424,0.142649,0,0.768524,1.00424,5.91
BTB 01148,1.02072,0.725893,0,0.477756,1.02072,4.34
BTB 01177,0.982627,-0.608097,0,0.551026,0.982627,8.2
BTB 01196,1.00413,0.148747,0,0.882894,1.00413,6.08
BTB 01235,0.940185,-2.12441,0,0.0752478,0.940185,12.49
BTB 01260,0.630029,-13.0615,0,1.67142e-35,0.630029,43.44
BTB 01296,1.04119,1.44029,0,0.20705,1.04119,2.3
BTB 01349,0.997392,-0.102505,0,0.645126,0.997392,6.61
BTB 01396,0.9694,-1.0764,0,0.284934,0.9694,9.34
BTB 01410,0.982287,-0.616337,0,0.563766,0.982287,8
BTB 01444,0.961035,-1.36041,0,0.247678,0.961035,10.1
BTB 01514,0.921832,-2.7475,0,0.0100465,0.921832,14.02
BTB 01585,1.01646,0.571632,0,0.594826,1.01646,4.54
BTB 01706,0.985341,-0.518017,0,0.604884,0.985341,7.6
BTB 01787,1.01443,0.515605,0,0.621588,1.01443,4.59
BTB 01869,1.02714,0.959063,0,0.33963,1.02714,3.23
BTB 01909,1.01303,0.459813,0,0.645736,1.01303,4.54
BTB 01965,0.973566,-0.933573,0,0.351506,0.973566,8.38
BTB 02003,0.978274,-0.756707,0,0.486718,0.978274,7.74
BTB 02050,0.975706,-0.849029,0,0.42183,0.975706,7.83
BTB 02082,0.988459,-0.432009,0,0.314836,0.988459,6.41
BTB 02134,0.988009,-0.422103,0,0.67311,0.988009,6.26
BTB 02164,0.0629728,-33.058,0,0,0.0629728,100
BTB 02191,1.0207,0.722516,0,0.492518,1.0207,2.62
BTB 02242,1.00427,0.154051,0,0.87889,1.00427,4.13
BTB 02289,0.955711,-1.55559,0,0.133199,0.955711,8.93
BTB 02335,0.975075,-0.873143,0,0.397656,0.975075,6.84
BTB 02361,0.998989,-0.028989,0,0.76957,0.998989,4.29
BTB 02389,1.01819,0.631769,0,0.563288,1.01819,2.25
BTB 02411,0.988632,-0.419492,0,0.452636,0.988632,5.22
BTB 02461,1.03486,1.21882,0,0.269234,1.03486,0.45
BTB 02498,1.00442,0.154299,0,0.877632,1.00442,3.56
BTB 02544,1.0102,0.363797,0,0.720096,1.0102,3.08
BTB 02581,1.01166,0.421019,0,0.692058,1.01166,3.04
BTB 02635,0.993976,-0.206359,0,0.79419,0.993976,4.97
BTB 02660,0.93666,-2.22834,0,0.0297268,0.93666,10.94
BTB 02678,0.772886,-8.04021,0,1.46078e-11,0.772886,27.79
BTB 02719,1.00147,0.0514506,0,0.958978,1.00147,4.62
BTB 02761,1.02717,0.959575,0,0.338428,1.02717,2.16
BTB 02768,0.95512,-1.5938,0,0.153952,0.95512,9.64
BTB 02848,1.02038,0.731643,0,0.532876,1.02038,3.14
BTB 02874,0.974366,-0.904123,0,0.365948,0.974366,7.98
BTB 02933,0.528495,-16.6484,0,0,0.528495,53.14
BTB 03010,0.994396,-0.197965,0,0.843092,0.994396,6.3
BTB 03055,0.909636,-3.19672,0,0.00315832,0.909636,16.97
BTB 03059,1.03386,1.203,0,0.266032,1.03386,4.5
BTB 03107,1.04946,1.74627,0,0.082176,1.04946,2.67
BTB 03148,0.889866,-3.89374,0,0.000290346,0.889866,18.11
BTB 03234,1.05211,1.83606,0,0.0668148,1.05211,1.79
BTB 03320,0.936425,-2.24764,0,0.0293698,0.936425,12.96
BTB 03415,1.03625,1.27437,0,0.208922,1.03625,2.75
BTB 03438,1.02779,0.982036,0,0.328298,1.02779,3.27
BTB 03489,0.985038,-0.521894,0,0.61294,0.985038,7.23
BTB 03563,0.778343,-7.81504,0,5.8965e-15,0.778343,27.68
BTB 03586,0.854153,-5.14197,0,2.78354e-07,0.854153,19.8
BTB 03653,1.03903,1.37906,0,0.170826,1.03903,0.87
BTB 03699,0.993225,-0.238417,0,0.811604,0.993225,5.24
BTB 03791,0.617202,-13.4904,0,9.77947e-40,0.617202,43.16
BTB 03853,1.00319,0.115004,0,0.909012,1.00319,3.71
BTB 03920,0.968673,-1.09946,0,0.283998,0.968673,7.04
BTB 04022,0.991585,-0.29417,0,0.77006,0.991585,4.58
BTB 04071,0.999514,-0.0107036,0,0.776832,0.999514,3.67
BTB 04115,1.02089,0.73429,0,0.465484,1.02089,1.41
BTB 04181,0.752045,-8.74291,0,2.32508e-18,0.752045,28.86
BTB 04212,1.02403,0.852551,0,0.405832,1.02403,0.97
BTB 04281,1.02498,0.87769,0,0.384698,1.02498,0.88
BTB 04346,1.00317,0.1017,0,0.664934,1.00317,3.17
BTB 04417,1.02765,0.982917,0,0.353102,1.02765,0.78
BTB 04487,0.622818,-13.3198,0,5.8634e-36,0.622818,42.28
BTB 04536,1.00427,0.150883,0,0.880076,1.00427,3.6
BTB 04603,0.951454,-1.70824,0,0.0915578,0.951454,9.3
BTB 04647,1.0102,0.359628,0,0.719126,1.0102,3.74
BTB 04665,1.00848,0.303868,0,0.766704,1.00848,4.4
BTB 04688,1.04316,1.51634,0,0.140944,1.04316,1.45
BTB 04722,1.0077,0.259588,0,0.60708,1.0077,5.58
BTB 04785,0.957987,-1.48408,0,0.140327,0.957987,11.12
BTB 04832,0.974978,-0.893084,0,0.423144,0.974978,10.05
BTB 04862,1.02096,0.729414,0,0.50436,1.02096,6.16
BTB 04891,0.94169,-2.04423,0,0.0692292,0.94169,14.46
BTB 04938,1.02511,0.898355,0,0.442836,1.02511,6.91
BTB 04978,1.08571,3.03709,0,0.00846946,1.08571,1.55
