supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.743984,-14.6669,0,5.06107e-40,0.743984,29.54
AW 00436,0.694997,-17.4795,0,0,0.694997,34.39
AW 00625,0.0453019,-54.5703,0,0,0.0453019,99.88
AW 00698,0.992352,-0.438898,0,0.661424,0.992352,4.13
AW 00801,0.894807,-6.03266,0,8.03832e-08,0.894807,13.88
AW 00819,1.0023,0.129545,0,0.897052,1.0023,2.86
AW 00844,0.951783,-2.78137,0,0.0264594,0.951783,7.86
AW 00891,0.984094,-0.909293,0,0.363482,0.984094,4.46
AW 00925,0.968141,-1.8101,0,0.0799838,0.968141,5.96
AW 00962,1.00046,0.0213025,0,0.88026,1.00046,2.56
AW 01018,1.00739,0.416973,0,0.67985,1.00739,1.74
AW 01055,1.00516,0.292041,0,0.770866,1.00516,1.85
AW 01109,1.01709,0.963117,0,0.367502,1.01709,0.51
AW 01159,1.0074,0.431501,0,0.676904,1.0074,1.4
AW 01219,0.993249,-0.388099,0,0.69884,0.993249,2.76
AW 01274,0.989078,-0.610083,0,0.57324,0.989078,3.13
BR 00009,0.929394,-4.02514,0,7.34928e-05,0.929394,9.21
BTB 00027,0.990765,-0.530197,0,0.597386,0.990765,2.89
BTB 00084,1.00417,0.240998,0,0.810216,1.00417,1.51
BTB 00241,0.997811,-0.140167,0,0.654826,0.997811,2.16
BTB 00333,0.999392,-0.0438332,0,0.78683,0.999392,2.02
BTB 00374,1.00765,0.442766,0,0.662806,1.00765,1.19
BTB 00441,0.991867,-0.460109,0,0.648054,0.991867,2.83
BTB 00496,0.982763,-0.999893,0,0.368256,0.982763,3.78
BTB 00554,0.981031,-1.08184,0,0.27961,0.981031,3.97
BTB 00596,0.227097,-44.2157,0,0,0.227097,81.2
BTB 00667,1.01708,0.979259,0,0.331456,1.01708,0.28
BTB 00694,0.518056,-27.5916,0,0,0.518056,51.39
BTB 00730,1.01238,0.707725,0,0.479222,1.01238,0.75
BTB 00778,1.01735,0.990785,0,0.321792,1.01735,0.23
BTB 00828,0.984668,-0.882256,0,0.387452,0.984668,3.57
BTB 00881,0.991823,-0.459232,0,0.654478,0.991823,2.83
BTB 00992,0.991699,-0.468481,0,0.643788,0.991699,2.83
BTB 01022,0.648369,-20.1026,0,0,0.648369,38
BTB 01036,1.01081,0.609819,0,0.551578,1.01081,0.83
BTB 01061,0.992405,-0.435356,0,0.663706,0.992405,2.7
BTB 01088,1.00099,0.0557799,0,0.955526,1.00099,1.82
BTB 01148,1.01383,0.792294,0,0.429648,1.01383,0.51
BTB 01177,0.998724,-0.073381,0,0.94151,0.998724,2.09
BTB 01196,0.98661,-0.761151,0,0.44877,0.98661,3.38
BTB 01235,0.966313,-1.91122,0,0.0719778,0.966313,5.51
BTB 01260,0.536714,-26.4504,0,0,0.536714,49.53
BTB 01296,1.01375,0.77324,0,0.466686,1.01375,0.79
BTB 01349,1.01868,1.05642,0,0.311678,1.01868,0.36
BTB 01396,1.00533,0.305667,0,0.760072,1.00533,1.8
BTB 01410,1.01786,1.02307,0,0.308674,1.01786,0.62
BTB 01444,0.988362,-0.678778,0,0.534676,0.988362,3.73
BTB 01514,0.962444,-2.15745,0,0.0440878,0.962444,6.47
BTB 01585,0.97686,-1.29471,0,0.32383,0.97686,5.1
BTB 01706,0.993146,-0.421729,0,0.407866,0.993146,3.57
BTB 01787,1.00182,0.118254,0,0.67876,1.00182,2.79
BTB 01869,0.996805,-0.180029,0,0.857486,0.996805,3.44
BTB 01909,1.00114,0.0651149,0,0.948084,1.00114,3.15
BTB 01965,1.01551,0.863024,0,0.483778,1.01551,1.87
BTB 02003,0.993048,-0.388182,0,0.707426,0.993048,4.28
BTB 02050,0.982253,-0.981207,0,0.51468,0.982253,5.5
BTB 02082,0.963785,-2.06992,0,0.0388862,0.963785,7.5
BTB 02134,1.00831,0.467718,0,0.646266,1.00831,3.16
BTB 02164,0.0444174,-54.6215,0,0,0.0444174,100
BTB 02191,1.00731,0.404643,0,0.70567,1.00731,3.53
BTB 02242,0.991966,-0.454658,0,0.651672,0.991966,5.2
BTB 02289,0.984667,-0.870627,0,0.388768,0.984667,6.08
BTB 02335,1.00514,0.308281,0,0.680874,1.00514,4.16
BTB 02361,0.999104,-0.0322166,0,0.574788,0.999104,4.88
BTB 02389,0.972453,-1.57952,0,0.121379,0.972453,7.64
BTB 02411,0.981527,-1.06794,0,0.321734,0.981527,6.83
BTB 02461,1.00744,0.430101,0,0.670654,1.00744,4.31
BTB 02498,0.990987,-0.520005,0,0.607672,0.990987,6
