supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.342269,-7.95706,0,1.52631e-12,0.342269,79.27
AW 00436,0.37032,-7.60453,0,7.71508e-13,0.37032,77.04
AW 00625,0.0885898,-10.993,0,8.85256e-27,0.0885898,100
AW 00698,0.797033,-2.45224,0,0.0162391,0.797033,42.02
AW 00801,0.433465,-6.83368,0,2.03598e-11,0.433465,71.69
AW 00819,0.985637,-0.172257,0,0.863278,0.985637,26.26
AW 00844,0.706324,-3.53364,0,0.000474532,0.706324,49.18
AW 00891,1.18859,2.29575,0,0.0587996,1.18859,9.48
AW 00925,1.04864,0.584068,0,0.55992,1.04864,20.63
AW 00962,0.977131,-0.285984,0,0.757896,0.977131,26.34
AW 01018,1.01394,0.177459,0,0.773028,1.01394,23.42
AW 01055,1.04951,0.587097,0,0.573456,1.04951,20.09
AW 01109,0.95208,-0.574583,0,0.56703,0.95208,28.15
AW 01159,0.986242,-0.165147,0,0.868852,0.986242,25.36
AW 01219,1.04983,0.595858,0,0.555198,1.04983,20.16
AW 01274,1.13459,1.63914,0,0.150155,1.13459,13.6
BR 00009,0.778587,-2.69635,0,0.0346416,0.778587,42.67
BTB 00027,0.911763,-1.06491,0,0.287588,0.911763,32.11
BTB 00084,0.959305,-0.493383,0,0.62326,0.959305,28.2
BTB 00241,0.783974,-2.61378,0,0.0128949,0.783974,42.55
BTB 00333,0.967925,-0.393421,0,0.70057,0.967925,27.32
BTB 00374,1.05929,0.718883,0,0.476514,1.05929,19.71
BTB 00441,0.737326,-3.16905,0,0.00165821,0.737326,46.09
BTB 00496,1.16401,1.95764,0,0.0886584,1.16401,10.19
BTB 00554,0.660939,-4.07165,0,0.000136287,0.660939,52.25
BTB 00596,0.207837,-9.55363,0,7.93218e-21,0.207837,89.81
BTB 00667,1.03796,0.453799,0,0.651984,1.03796,19.74
BTB 00694,0.342578,-7.9492,0,6.46902e-13,0.342578,77.99
BTB 00730,1.04673,0.585017,0,0.567244,1.04673,18.26
BTB 00778,1.13786,1.65159,0,0.113215,1.13786,9.69
BTB 00828,0.815229,-2.2249,0,0.0262388,0.815229,37.24
BTB 00881,1.19449,2.34711,0,0.0196845,1.19449,4.44
BTB 00992,0.956936,-0.515772,0,0.607668,0.956936,24.89
BTB 01022,0.218546,-9.42834,0,7.34552e-20,0.218546,88.4
BTB 01036,0.969633,-0.365604,0,0.714672,0.969633,24.06
BTB 01061,0.692413,-3.7009,0,0.000257728,0.692413,48.09
BTB 01088,1.09016,1.07158,0,0.331974,1.09016,14.07
BTB 01148,1.13866,1.65865,0,0.120498,1.13866,10.27
BTB 01177,0.80842,-2.32518,0,0.0375004,0.80842,38.58
BTB 01196,1.15882,1.90641,0,0.0627066,1.15882,9.25
BTB 01235,0.831101,-2.01862,0,0.0711764,0.831101,37.4
BTB 01260,0.275916,-8.73122,0,7.50204e-18,0.275916,84.04
BTB 01296,1.00544,0.0657908,0,0.947546,1.00544,22.78
BTB 01349,0.838679,-1.94338,0,0.0519892,0.838679,36.87
BTB 01396,0.923807,-0.930248,0,0.385288,0.923807,29.63
BTB 01410,1.09007,1.07076,0,0.331326,1.09007,15.7
BTB 01444,1.06006,0.716331,0,0.484992,1.06006,18.35
BTB 01514,0.887422,-1.34632,0,0.199275,0.887422,33.02
BTB 01585,0.95921,-0.453571,0,0.28996,0.95921,27.24
BTB 01706,0.915778,-1.0221,0,0.318794,0.915778,30.41
BTB 01787,1.03578,0.406632,0,0.486748,1.03578,20.09
BTB 01869,1.02346,0.27531,0,0.788384,1.02346,21.16
BTB 01909,0.908811,-1.08346,0,0.330254,0.908811,30.85
BTB 01965,1.05161,0.611732,0,0.560176,1.05161,18.45
BTB 02003,1.02776,0.329447,0,0.744762,1.02776,20.28
BTB 02050,0.911607,-1.06786,0,0.287358,0.911607,29.9
BTB 02082,0.874225,-1.51867,0,0.13067,0.874225,32.88
BTB 02134,1.00938,0.122095,0,0.781738,1.00938,21.27
BTB 02164,0.0879283,-11.0023,0,1.22776e-26,0.0879283,99.7
BTB 02191,1.02888,0.352776,0,0.727168,1.02888,19.27
BTB 02242,0.903308,-1.16115,0,0.249024,0.903308,29.96
BTB 02289,0.45537,-6.55941,0,6.44792e-11,0.45537,68.32
BTB 02335,0.967346,-0.397626,0,0.693312,0.967346,24.59
BTB 02361,1.15653,1.88374,0,0.0602492,1.15653,8.64
BTB 02389,1.02587,0.305703,0,0.763866,1.02587,20.02
BTB 02411,1.02355,0.287252,0,0.775158,1.02355,20.61
BTB 02461,0.969412,-0.375344,0,0.713422,0.969412,25.62
BTB 02498,0.91897,-0.963831,0,0.370206,0.91897,30.57
BTB 02544,1.01533,0.179034,0,0.860074,1.01533,23.84
BTB 02581,1.06394,0.782505,0,0.464614,1.06394,21.45
BTB 02635,1.11086,1.33854,0,0.182348,1.11086,19.32
BTB 02660,0.972429,-0.33941,0,0.74052,0.972429,31.76
BTB 02678,0.739328,-3.15874,0,0.00463738,0.739328,51
BTB 02719,1.10227,1.22756,0,0.224516,1.10227,25.21
BTB 02761,1.10952,1.30981,0,0.210618,1.10952,26.48
BTB 02768,0.794348,-2.46003,0,0.0295196,0.794348,50.79
BTB 02848,1.26408,3.19622,0,0.00305314,1.26408,19.54
BTB 02874,0.828794,-2.0746,0,0.0506638,0.828794,51.15
BTB 02933,0.666953,-4.0229,0,0.000108154,0.666953,63.3
BTB 03010,1.67157,8.10638,0,9.2687e-15,1.67157,0.24
BTB 03055,0.706595,-3.51939,0,0.00125909,0.706595,58.47
BTB 03059,1.09585,1.1663,0,0.271806,1.09585,29.82
BTB 03107,1.06138,0.74706,0,0.466772,1.06138,31.45
BTB 03148,0.861631,-1.66586,0,0.0960404,0.861631,45.28
BTB 03234,1.07744,0.934391,0,0.350512,1.07744,28.58
BTB 03320,0.751433,-2.99651,0,0.00275786,0.751433,52.21
BTB 03415,1.12593,1.54158,0,0.224512,1.12593,23.51
BTB 03438,1.18946,2.30098,0,0.0427126,1.18946,17.7
BTB 03489,0.949343,-0.621694,0,0.558312,0.949343,35.05
BTB 03563,0.650968,-4.20825,0,2.73608e-05,0.650968,57.74
BTB 03586,0.636371,-4.3796,0,1.22895e-05,0.636371,58.44
BTB 03653,1.01731,0.203864,0,0.840162,1.01731,27.57
BTB 03699,0.920233,-0.965663,0,0.33889,0.920233,34.7
BTB 03791,0.266233,-8.85211,0,7.89904e-18,0.266233,87
BTB 03853,0.999335,-0.0135276,0,0.865264,0.999335,27.12
BTB 03920,1.02194,0.260585,0,0.795794,1.02194,24.64
BTB 04022,0.955767,-0.519153,0,0.635148,0.955767,29.59
BTB 04071,0.996127,-0.0356141,0,0.733668,0.996127,25.52
BTB 04115,1.00316,0.0438921,0,0.85904,1.00316,24.15
BTB 04181,0.254389,-8.9917,0,1.01575e-18,0.254389,86.94
BTB 04212,0.963402,-0.445929,0,0.659364,0.963402,26.06
BTB 04281,0.978321,-0.26917,0,0.793928,0.978321,24.3
BTB 04346,0.922637,-0.940098,0,0.361406,0.922637,28.83
BTB 04417,1.0562,0.67809,0,0.49788,1.0562,17.22
BTB 04487,0.236783,-9.20682,0,3.33846e-19,0.236783,88.05
BTB 04536,1.01492,0.184012,0,0.85522,1.01492,20.89
BTB 04603,1.06794,0.848912,0,0.504012,1.06794,16.56
BTB 04647,1.01876,0.225573,0,0.821548,1.01876,20.79
BTB 04665,1.04705,0.575146,0,0.577574,1.04705,18.57
BTB 04688,1.0551,0.668669,0,0.50835,1.0551,18.12
BTB 04722,0.952491,-0.592835,0,0.597082,0.952491,27.19
BTB 04785,0.868888,-1.58411,0,0.11634,0.868888,34.9
BTB 04832,0.942892,-0.701698,0,0.519818,0.942892,29.3
BTB 04862,0.986117,-0.155688,0,0.724134,0.986117,26.62
BTB 04891,0.874147,-1.51384,0,0.131295,0.874147,36.68
BTB 04938,1.05817,0.694591,0,0.495614,1.05817,22.36
BTB 04978,1.0638,0.76969,0,0.441664,1.0638,22.55
BTB 05020,0.544555,-5.50214,0,2.11044e-07,0.544555,64.67
BTB 05047,0.192216,-9.74255,0,1.61712e-21,0.192216,93.08
BTB 05098,0.557627,-5.33847,0,1.94111e-07,0.557627,63.66
BTB 05123,0.897204,-1.22002,0,0.295282,0.897204,36.26
BTB 05165,0.833938,-2.00469,0,0.046434,0.833938,41.09
BTB 05191,0.799396,-2.43094,0,0.0245904,0.799396,43.64
BTB 05197,0.988821,-0.127739,0,0.831694,0.988821,28.06
BTB 05231,0.524863,-5.73361,0,2.34596e-08,0.524863,65.63
BTB 05265,0.910907,-1.07728,0,0.2846,0.910907,33.7
BTB 05284,1.05743,0.689921,0,0.491138,1.05743,21.09
BTB 05318,1.18962,2.27795,0,0.0257656,1.18962,9.32
BTB 05356,0.213064,-9.49023,0,1.27282e-20,0.213064,90.59
BTB 05417,0.100213,-10.8533,0,4.39896e-26,0.100213,100
BTB 05472,1.02611,0.320582,0,0.752666,1.02611,20.4
BTB 05499,0.817483,-2.21975,0,0.0584356,0.817483,37.61
BTB 05574,1.03933,0.467592,0,0.64643,1.03933,17.82
BTB 05608,1.06427,0.778317,0,0.439636,1.06427,15.22
BTB 05674,0.988457,-0.13198,0,0.82829,0.988457,21.58
BTB 05733,1.06954,0.841937,0,0.403454,1.06954,14.2
BTB 05771,0.934717,-0.796065,0,0.44527,0.934717,25.9
BTB 05809,0.900214,-1.2066,0,0.231558,0.900214,28.89
BTB 05841,0.858912,-1.70444,0,0.0912566,0.858912,32.51
BTB 05846,1.22644,2.73807,0,0.00848906,1.22644,0
BTB 05865,0.983103,-0.200318,0,0.842028,0.983103,21.53
BTB 05890,1.02858,0.367628,0,0.503576,1.02858,17.62
BTB 05936,0.927479,-0.879903,0,0.387214,0.927479,26.54
BTB 05966,0.97479,-0.299879,0,0.765904,0.97479,22.47
BTB 06030,1.05785,0.674498,0,0.577478,1.05785,15.18
BTB 06046,0.940345,-0.718857,0,0.47223,0.940345,25.76
BTB 06083,0.609387,-4.70939,0,2.69674e-06,0.609387,55.01
BTB 06131,0.997917,-0.023934,0,0.97134,0.997917,21.09
BTB 06169,0.366832,-7.64692,0,6.16016e-13,0.366832,76.45
BTB 06230,1.02737,0.357217,0,0.426546,1.02737,19.11
BTB 06262,0.995995,-0.0557126,0,0.818734,0.995995,21.92
BTB 06291,1.03872,0.459052,0,0.654936,1.03872,18.4
BTB 06365,0.87576,-1.49031,0,0.144451,0.87576,32.77
BTB 06385,1.07176,0.871266,0,0.393316,1.07176,16.01
BTB 06409,0.548889,-5.45774,0,8.99514e-07,0.548889,61.18
BTB 06435,0.810403,-2.29249,0,0.0259204,0.810403,38.87
BTB 06471,0.862164,-1.66869,0,0.104893,0.862164,34.6
BTB 06524,1.06634,0.795041,0,0.430542,1.06634,17.35
BTB 06547,1.07235,0.879955,0,0.393796,1.07235,17.13
BTB 06587,0.111865,-10.7119,0,1.40896e-25,0.111865,99.01
BTB 06714,1.10536,1.29587,0,0.331908,1.10536,22.08
BTB 06752,0.678745,-3.88463,0,0.000276782,0.678745,55.55
BTB 06795,0.915037,-1.02984,0,0.311578,0.915037,37.09
BTB 06849,1.09093,1.10205,0,0.27963,1.09093,23.26
BTB 06909,0.973603,-0.314222,0,0.755022,0.973603,32.33
BTB 06939,0.970139,-0.359571,0,0.719174,0.970139,32.55
BTB 06989,1.05829,0.701391,0,0.483264,1.05829,25.6
BTB 07042,0.803153,-2.38278,0,0.0236298,0.803153,45.49
BTB 07096,0.853785,-1.76837,0,0.083072,0.853785,41.43
BTB 07130,0.978522,-0.265706,0,0.795048,0.978522,31.61
BTB 07162,0.454099,-6.59007,0,2.66996e-10,0.454099,72.63
BTB 07186,0.574195,-5.14757,0,1.86822e-06,0.574195,63.21
BTB 07221,0.162195,-10.1059,0,7.75144e-23,0.162195,95.45
BTB 07289,0.527132,-5.70932,0,4.41262e-08,0.527132,66.74
BTB 07318,0.553584,-5.38637,0,1.34009e-07,0.553584,64.53
BTB 07356,1.05595,0.686481,0,0.52271,1.05595,24.57
BTB 07490,0.957239,-0.52025,0,0.607182,0.957239,32.09
BTB 07522,0.985415,-0.175191,0,0.86095,0.985415,29.43
BTB 07683,0.960715,-0.461415,0,0.666192,0.960715,31
BTB 07819,0.94019,-0.730362,0,0.484734,0.94019,32.43
BTB 07871,0.730693,-3.24569,0,0.00117505,0.730693,49.14
BTB 07953,0.992366,-0.0969102,0,0.879934,0.992366,27.87
BTB 08065,1.02468,0.304244,0,0.766056,1.02468,24.99
BTB 08155,1.24024,2.88182,0,0.00701284,1.24024,7.25
BTB 08182,0.694918,-3.67067,0,0.000290158,0.694918,51.32
BTB 08213,0.957315,-0.51878,0,0.607316,0.957315,29.63
BTB 08260,0.999887,-0.00314745,0,0.956166,0.999887,25.81
BTB 08300,1.00393,0.0398546,0,0.818484,1.00393,25.19
BTB 08391,0.908923,-1.10231,0,0.27576,0.908923,32.71
BTB 08461,0.996169,-0.0339865,0,0.70788,0.996169,25.04
BTB 08530,0.537308,-5.58754,0,9.8288e-08,0.537308,63.28
BTB 08580,1.29174,3.50211,0,0.00102088,1.29174,0
BTB 08631,1.00443,0.0533508,0,0.957452,1.00443,23.81
BTB 08690,0.977682,-0.267767,0,0.789008,0.977682,25.89
BTB 08791,0.961011,-0.470593,0,0.638034,0.961011,27.1
BTB 08831,0.992093,-0.0855391,0,0.765074,0.992093,24.19
BTB 08903,0.885235,-1.40108,0,0.225552,0.885235,33.21
BTB 08940,1.0116,0.149516,0,0.76622,1.0116,22.18
BTB 09043,0.568258,-5.22001,0,1.50291e-06,0.568258,59.92
BTB 09126,1.19124,2.29694,0,0.0249868,1.19124,6.89
BTB 09186,0.878754,-1.46036,0,0.144252,0.878754,33.45
BTB 09260,0.987381,-0.163595,0,0.725714,0.987381,24.3
BTB 09301,0.947885,-0.640421,0,0.551658,0.947885,27.67
BTB 09317,1.03009,0.364228,0,0.71603,1.03009,20.61
BTB 09341,1.01083,0.123595,0,0.834198,1.01083,22.2
BTB 09413,1.05877,0.689601,0,0.556314,1.05877,18.1
BTB 09538,0.745043,-3.07547,0,0.00222276,0.745043,44.74
BTB 09574,0.444955,-6.7009,0,1.48987e-10,0.444955,70.33
