supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.887321,-5.82902,0,3.01486e-07,0.887321,16.22
AW 00436,0.849859,-7.78176,0,1.4382e-14,0.849859,19.85
AW 00625,0.0458688,-49.4806,0,0,0.0458688,99.98
AW 00698,0.990992,-0.465372,0,0.643574,0.990992,5.54
AW 00801,0.978825,-1.09342,0,0.2933,0.978825,6.63
AW 00819,0.997826,-0.111059,0,0.91208,0.997826,4.61
AW 00844,0.962062,-1.96102,0,0.0667402,0.962062,8.07
AW 00891,0.965142,-1.8019,0,0.088456,0.965142,7.64
AW 00925,0.981476,-0.956625,0,0.352698,0.981476,5.88
AW 00962,0.993635,-0.335209,0,0.751162,0.993635,4.54
AW 01018,1.01105,0.572056,0,0.56782,1.01105,2.66
AW 01055,1.01113,0.574756,0,0.569566,1.01113,2.52
AW 01109,1.00999,0.519048,0,0.604942,1.00999,2.48
AW 01159,1.00468,0.238911,0,0.805746,1.00468,2.84
AW 01219,0.991356,-0.454976,0,0.678992,0.991356,4.02
AW 01274,0.973206,-1.38616,0,0.173656,0.973206,5.72
BR 00009,0.935889,-3.32774,0,0.00119161,0.935889,9.39
BTB 00027,0.996498,-0.177782,0,0.810698,0.996498,3.14
BTB 00084,1.01104,0.58002,0,0.608476,1.01104,1.58
BTB 00241,1.00809,0.418182,0,0.676988,1.00809,1.83
BTB 00333,0.999451,-0.0251905,0,0.834742,0.999451,2.67
BTB 00374,1.00851,0.435553,0,0.684806,1.00851,1.72
BTB 00441,0.997409,-0.133955,0,0.893466,0.997409,2.82
BTB 00496,0.9726,-1.42315,0,0.160101,0.9726,5.32
BTB 00554,0.985289,-0.765284,0,0.45017,0.985289,4
BTB 00596,0.633637,-18.9922,0,0,0.633637,39.87
BTB 00667,1.00967,0.500038,0,0.618456,1.00967,1.44
BTB 00694,0.765237,-12.1475,0,1.65378e-26,0.765237,26.37
BTB 00730,1.00476,0.254414,0,0.642068,1.00476,1.86
BTB 00778,1.02035,1.05534,0,0.29149,1.02035,0.23
BTB 00828,0.886,-5.88851,0,3.84028e-06,0.886,13.94
BTB 00881,0.979015,-1.08525,0,0.285376,0.979015,4.4
BTB 00992,0.979868,-1.04404,0,0.296538,0.979868,4.28
BTB 01022,0.91059,-4.63633,0,3.621e-06,0.91059,11.34
BTB 01036,1.00818,0.42108,0,0.679434,1.00818,1.3
BTB 01061,0.998136,-0.0976045,0,0.922396,0.998136,2.29
BTB 01088,1.00178,0.0898092,0,0.882736,1.00178,1.88
BTB 01148,1.01817,0.93936,0,0.355376,1.01817,0.18
BTB 01177,1.00119,0.0616692,0,0.95083,1.00119,1.91
BTB 01196,0.974838,-1.30405,0,0.192448,0.974838,4.61
BTB 01235,0.975779,-1.25698,0,0.210114,0.975779,4.52
BTB 01260,0.613169,-20.0839,0,0,0.613169,41.71
BTB 01296,1.00698,0.365591,0,0.722576,1.00698,1.36
BTB 01349,1.00589,0.305636,0,0.759918,1.00589,1.52
BTB 01396,1.00399,0.212283,0,0.744964,1.00399,1.76
BTB 01410,1.01506,0.780158,0,0.435962,1.01506,0.69
BTB 01444,0.993672,-0.327457,0,0.743512,0.993672,2.94
BTB 01514,0.945027,-2.85284,0,0.00489534,0.945027,7.99
BTB 01585,0.977637,-1.16534,0,0.276622,0.977637,4.73
BTB 01706,0.999485,-0.0240439,0,0.865204,0.999485,2.58
BTB 01787,1.00386,0.202454,0,0.841458,1.00386,2.21
BTB 01869,0.996262,-0.196901,0,0.846864,0.996262,3.07
BTB 01909,0.996878,-0.162454,0,0.871034,0.996878,3.11
BTB 01965,1.02162,1.11712,0,0.276288,1.02162,0.7
BTB 02003,0.999472,-0.035231,0,0.61453,0.999472,3.06
BTB 02050,0.976734,-1.20797,0,0.22971,0.976734,5.47
BTB 02082,0.961639,-1.99105,0,0.048497,0.961639,7.11
BTB 02134,0.995218,-0.245998,0,0.807178,0.995218,3.82
BTB 02164,0.0453317,-49.5087,0,0,0.0453317,99.98
BTB 02191,1.0059,0.303242,0,0.764854,1.0059,2.99
BTB 02242,1.00174,0.0981017,0,0.623714,1.00174,3.56
BTB 02289,0.998895,-0.0573859,0,0.954238,0.998895,3.99
BTB 02335,1.01733,0.894577,0,0.38529,1.01733,2.28
BTB 02361,0.990928,-0.469716,0,0.63882,0.990928,5.06
BTB 02389,0.963623,-1.87086,0,0.187021,0.963623,7.91
BTB 02411,0.985135,-0.769417,0,0.443214,0.985135,5.85
BTB 02461,1.00296,0.155232,0,0.877608,1.00296,4.17
BTB 02498,0.989946,-0.514778,0,0.636674,0.989946,5.56
BTB 02544,1.00301,0.157294,0,0.87531,1.00301,4.3
BTB 02581,0.995883,-0.225755,0,0.441394,0.995883,5.06
BTB 02635,0.975064,-1.29696,0,0.209876,0.975064,7.2
BTB 02660,0.948306,-2.67201,0,0.0165744,0.948306,9.93
BTB 02678,0.708539,-15.1125,0,0,0.708539,33.9
BTB 02719,0.992287,-0.402031,0,0.690456,0.992287,5.65
BTB 02761,0.993732,-0.324523,0,0.745638,0.993732,5.56
BTB 02768,0.97966,-1.04923,0,0.322018,0.97966,7.01
BTB 02848,1.01183,0.610141,0,0.549486,1.01183,3.85
BTB 02874,0.999271,-0.0421485,0,0.78151,0.999271,5.14
BTB 02933,0.741541,-13.3706,0,1.01596e-30,0.741541,30.84
BTB 03010,0.988595,-0.589026,0,0.560072,0.988595,6.27
BTB 03055,0.983107,-0.877794,0,0.383734,0.983107,8.66
BTB 03059,1.00659,0.337698,0,0.743962,1.00659,6.18
BTB 03107,1.02433,1.25811,0,0.219654,1.02433,4.24
BTB 03148,0.948209,-2.69018,0,0.0101766,0.948209,11.51
BTB 03234,1.01714,0.888931,0,0.374092,1.01714,4.54
BTB 03320,0.962724,-1.93176,0,0.0537742,0.962724,9.7
BTB 03415,1.01411,0.733686,0,0.467076,1.01411,4.43
BTB 03438,0.986182,-0.720279,0,0.484574,0.986182,6.99
BTB 03489,0.999005,-0.053449,0,0.90454,0.999005,5.51
BTB 03563,0.978455,-1.10934,0,0.323166,0.978455,7.34
BTB 03586,0.944032,-2.90144,0,0.00372258,0.944032,10.58
BTB 03653,1.02277,1.17883,0,0.240912,1.02277,2.54
BTB 03699,1.00294,0.150991,0,0.88044,1.00294,4.32
BTB 03791,0.241749,-39.3316,0,0,0.241749,80.36
BTB 03853,0.995968,-0.20841,0,0.83504,0.995968,4.58
BTB 03920,0.99278,-0.378143,0,0.71366,0.99278,4.71
BTB 04022,0.982518,-0.910722,0,0.380864,0.982518,5.58
BTB 04071,1.0073,0.378044,0,0.705644,1.0073,2.93
BTB 04115,0.993972,-0.313727,0,0.754404,0.993972,4.13
BTB 04181,0.887357,-5.83901,0,5.80434e-09,0.887357,14.77
BTB 04212,1.01598,0.826525,0,0.413086,1.01598,1.62
BTB 04281,1.01462,0.756914,0,0.450666,1.01462,1.63
BTB 04346,0.992405,-0.389549,0,0.70733,0.992405,3.79
BTB 04417,0.984053,-0.827832,0,0.408744,0.984053,4.58
BTB 04487,0.886714,-5.88266,0,5.785e-08,0.886714,14.44
BTB 04536,0.983797,-0.837516,0,0.40869,0.983797,4.53
BTB 04603,0.974705,-1.31101,0,0.190067,0.974705,5.46
BTB 04647,1.00629,0.329877,0,0.749332,1.00629,2.28
BTB 04665,1.02429,1.25766,0,0.210636,1.02429,0.52
BTB 04688,1.01947,1.00737,0,0.31898,1.01947,1.1
BTB 04722,0.867877,-6.86684,0,3.32414e-09,0.867877,16.6
BTB 04785,1.00477,0.245568,0,0.80721,1.00477,2.83
BTB 04832,0.966854,-1.72055,0,0.0879114,0.966854,6.78
BTB 04862,1.00652,0.336188,0,0.738732,1.00652,2.88
BTB 04891,0.949152,-2.63774,0,0.00861792,0.949152,8.75
BTB 04938,1.03242,1.67052,0,0.16869,1.03242,0.44
BTB 04978,1.02824,1.46096,0,0.153331,1.02824,0.94
BTB 05020,0.94343,-2.9326,0,0.0033703,0.94343,9.55
BTB 05047,0.921548,-4.067,0,4.81072e-05,0.921548,11.83
BTB 05098,0.859514,-7.27855,0,1.95064e-12,0.859514,18.13
BTB 05123,0.960368,-2.06063,0,0.0532136,0.960368,8.06
BTB 05165,0.99479,-0.272725,0,0.787934,0.99479,4.64
BTB 05191,0.849483,-7.81248,0,1.90131e-13,0.849483,19.25
BTB 05197,1.00589,0.30353,0,0.76339,1.00589,3.54
BTB 05231,0.989261,-0.552811,0,0.592612,0.989261,5.18
BTB 05265,1.03303,1.70686,0,0.108541,1.03303,0.75
BTB 05284,0.995394,-0.240822,0,0.811224,0.995394,4.46
BTB 05318,0.999796,-0.0138756,0,0.832474,0.999796,3.96
BTB 05356,0.592562,-21.1534,0,0,0.592562,44.94
BTB 05417,0.045405,-49.5055,0,0,0.045405,100
BTB 05472,1.00254,0.130045,0,0.896964,1.00254,3.63
BTB 05499,0.961481,-1.99662,0,0.0459674,0.961481,7.78
BTB 05574,1.00701,0.361101,0,0.720972,1.00701,3.24
BTB 05608,1.02822,1.45871,0,0.160222,1.02822,1.16
BTB 05674,1.01689,0.875985,0,0.381194,1.01689,2.37
BTB 05733,0.997745,-0.121062,0,0.791968,0.997745,4.39
BTB 05771,0.969043,-1.61246,0,0.146187,0.969043,7.37
BTB 05809,0.989015,-0.561772,0,0.619286,0.989015,5.45
BTB 05841,0.98968,-0.529679,0,0.61743,0.98968,5.49
BTB 05846,0.983254,-0.862191,0,0.423352,0.983254,6.24
BTB 05865,1.00937,0.48097,0,0.646412,1.00937,3.78
BTB 05890,1.00978,0.500384,0,0.647934,1.00978,3.88
BTB 05936,1.01047,0.538751,0,0.60263,1.01047,3.95
BTB 05966,0.997102,-0.153759,0,0.8237,0.997102,5.44
BTB 06030,0.975598,-1.25458,0,0.308998,0.975598,7.71
BTB 06046,0.972964,-1.39903,0,0.168063,0.972964,8.14
BTB 06083,0.976734,-1.20607,0,0.227836,0.976734,7.9
BTB 06131,1.0135,0.702048,0,0.48658,1.0135,4.36
BTB 06169,0.769687,-11.9522,0,1.33435e-29,0.769687,28.5
BTB 06230,1.01925,1.00385,0,0.34604,1.01925,3.8
BTB 06262,0.987252,-0.659681,0,0.510822,0.987252,6.97
BTB 06291,0.978447,-1.123,0,0.290878,0.978447,7.85
BTB 06365,0.966085,-1.7661,0,0.113686,0.966085,9.07
BTB 06385,0.9938,-0.318829,0,0.753242,0.9938,6.31
BTB 06409,0.938418,-3.19729,0,0.00203392,0.938418,11.8
BTB 06435,0.937638,-3.2252,0,0.00347828,0.937638,11.85
BTB 06471,1.01592,0.823966,0,0.412024,1.01592,4.12
BTB 06524,1.01266,0.658321,0,0.51396,1.01266,4.42
BTB 06547,1.00103,0.0496675,0,0.806836,1.00103,5.57
BTB 06587,0.0490005,-49.3195,0,0,0.0490005,99.73
BTB 06714,0.978625,-1.10867,0,0.267776,0.978625,7.24
BTB 06752,0.989479,-0.539517,0,0.61564,0.989479,6.1
BTB 06795,1.02738,1.4195,0,0.155763,1.02738,2.27
BTB 06849,1.00295,0.145055,0,0.612822,1.00295,4.64
BTB 06909,1.0107,0.558563,0,0.586178,1.0107,3.78
