supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.478857,-7.68878,0,4.3786e-14,0.478857,61.03
AW 00436,0.671342,-4.85568,0,9.69502e-06,0.671342,42.58
AW 00625,0.0655898,-13.7834,0,4.13103e-42,0.0655898,99.82
AW 00698,0.962328,-0.55485,0,0.579398,0.962328,13.92
AW 00801,0.831475,-2.49211,0,0.0220888,0.831475,26.07
AW 00819,1.02403,0.360005,0,0.729108,1.02403,6.97
AW 00844,0.639994,-5.30861,0,1.11575e-07,0.639994,43.85
AW 00891,0.937874,-0.918384,0,0.36339,0.937874,14.52
AW 00925,1.07438,1.09245,0,0.29455,1.07438,0.77
AW 00962,1.05476,0.807994,0,0.419314,1.05476,2.25
AW 01018,1.01585,0.232899,0,0.816142,1.01585,5.68
AW 01055,1.00662,0.0980568,0,0.921914,1.00662,6.18
AW 01109,0.997317,-0.0404395,0,0.954512,0.997317,6.72
AW 01159,1.01982,0.293689,0,0.769916,1.01982,4.42
AW 01219,1.0204,0.305939,0,0.751802,1.0204,4.43
AW 01274,0.941083,-0.868155,0,0.385784,0.941083,12.54
BR 00009,0.795777,-3.02024,0,0.00706462,0.795777,27.26
BTB 00027,0.976771,-0.344281,0,0.732244,0.976771,9.7
BTB 00084,0.996736,-0.0472799,0,0.955648,0.996736,8.12
BTB 00241,0.81864,-2.67792,0,0.00888552,0.81864,25.97
BTB 00333,0.802659,-2.90588,0,0.00504294,0.802659,27.86
BTB 00374,1.03266,0.482884,0,0.63018,1.03266,5.85
BTB 00441,1.03481,0.516146,0,0.611898,1.03481,5.99
BTB 00496,1.00372,0.058276,0,0.825858,1.00372,9.28
BTB 00554,0.857174,-2.10918,0,0.0382422,0.857174,23.63
BTB 00596,0.166998,-12.2922,0,2.59676e-32,0.166998,90.04
BTB 00667,1.00907,0.131293,0,0.874544,1.00907,9.45
BTB 00694,0.227898,-11.3915,0,1.1537e-28,0.227898,84.29
BTB 00730,0.999737,-0.00495313,0,0.944044,0.999737,10.8
BTB 00778,1.07987,1.18551,0,0.29256,1.07987,3.43
BTB 00828,0.888682,-1.64115,0,0.100909,0.888682,21.84
BTB 00881,1.00815,0.123305,0,0.838294,1.00815,10.76
BTB 00992,1.00453,0.0648357,0,0.897754,1.00453,11.32
BTB 01022,0.507882,-7.26651,0,1.32826e-11,0.507882,58.26
BTB 01036,0.987033,-0.1936,0,0.848282,0.987033,13.22
BTB 01061,0.854002,-2.15601,0,0.0342424,0.854002,25.77
BTB 01088,0.95764,-0.623317,0,0.534684,0.95764,16.03
BTB 01148,1.1011,1.49428,0,0.144408,1.1011,2.57
BTB 01177,0.9587,-0.607661,0,0.545046,0.9587,16
BTB 01196,0.923351,-1.13223,0,0.261114,0.923351,19.35
BTB 01235,0.628542,-5.48608,0,3.64882e-07,0.628542,47.04
BTB 01260,0.175824,-12.1632,0,2.89786e-31,0.175824,89.55
BTB 01296,1.08067,1.18835,0,0.236402,1.08067,4.29
BTB 01349,0.920307,-1.17342,0,0.243916,0.920307,19.22
BTB 01396,0.959177,-0.603184,0,0.547556,0.959177,15.38
BTB 01410,1.11546,1.70189,0,0.0892222,1.11546,0.41
BTB 01444,1.02483,0.370016,0,0.719572,1.02483,8.84
BTB 01514,0.931311,-1.01566,0,0.317238,0.931311,17.67
BTB 01585,0.953987,-0.680321,0,0.49914,0.953987,15.51
BTB 01706,0.924003,-1.12985,0,0.338338,0.924003,18.42
BTB 01787,1.08119,1.19721,0,0.231252,1.08119,3.58
BTB 01869,1.03477,0.511313,0,0.610594,1.03477,8.12
BTB 01909,1.00632,0.0911748,0,0.894454,1.00632,10.98
BTB 01965,1.01186,0.179817,0,0.753452,1.01186,10.61
BTB 02003,0.977265,-0.335778,0,0.737178,0.977265,14.04
BTB 02050,0.928268,-1.06344,0,0.319074,0.928268,18.8
BTB 02082,0.8016,-2.931,0,0.00529954,0.8016,30.81
BTB 02134,0.983066,-0.242446,0,0.645986,0.983066,13.84
BTB 02164,0.064673,-13.7965,0,2.43826e-42,0.064673,100
BTB 02191,0.971752,-0.41894,0,0.678874,0.971752,15.04
BTB 02242,1.00203,0.0280635,0,0.90389,1.00203,12.31
BTB 02289,0.937809,-0.917109,0,0.359086,0.937809,18.42
BTB 02335,0.993691,-0.0928679,0,0.926012,0.993691,13.29
BTB 02361,0.930527,-1.02373,0,0.306606,0.930527,19.26
BTB 02389,0.986156,-0.199939,0,0.787728,0.986156,14.14
BTB 02411,1.00607,0.0862648,0,0.83538,1.00607,12.38
BTB 02461,1.01926,0.287114,0,0.778518,1.01926,11.25
BTB 02498,1.03033,0.453433,0,0.675058,1.03033,10.34
BTB 02544,1.01217,0.181337,0,0.857118,1.01217,12.19
BTB 02581,1.01821,0.267767,0,0.78912,1.01821,11.79
BTB 02635,0.943944,-0.828851,0,0.411914,0.943944,18.83
BTB 02660,0.825211,-2.5789,0,0.0101729,0.825211,29.95
BTB 02678,0.168909,-12.2642,0,4.06928e-32,0.168909,90.5
BTB 02719,1.01974,0.28976,0,0.772902,1.01974,12.44
BTB 02761,0.910262,-1.32124,0,0.190605,0.910262,22.72
BTB 02768,0.768385,-3.41715,0,0.000671952,0.768385,35.87
BTB 02848,1.02558,0.376709,0,0.706592,1.02558,12.63
BTB 02874,0.450033,-8.11409,0,1.78206e-15,0.450033,65.16
BTB 02933,0.288135,-10.5009,0,3.35886e-25,0.288135,79.95
BTB 03010,0.752121,-3.65584,0,0.00025738,0.752121,38.11
BTB 03055,0.865501,-1.98305,0,0.047439,0.865501,25.19
BTB 03059,1.11142,1.63901,0,0.113608,1.11142,1.83
BTB 03107,1.10491,1.54461,0,0.127654,1.10491,2.1
BTB 03148,0.848471,-2.23312,0,0.0262256,0.848471,26.01
BTB 03234,1.02279,0.339743,0,0.740968,1.02279,9.19
BTB 03320,0.567961,-6.36835,0,3.50844e-10,0.567961,52.17
BTB 03415,1.00387,0.0549851,0,0.89179,1.00387,10.32
BTB 03438,0.976044,-0.35382,0,0.723636,0.976044,12.64
BTB 03489,0.90406,-1.41846,0,0.167588,0.90406,19.23
BTB 03563,0.963356,-0.537241,0,0.598822,0.963356,13.22
BTB 03586,0.417363,-8.59974,0,2.61428e-16,0.417363,65.79
BTB 03653,1.08124,1.19738,0,0.231632,1.08124,1.19
BTB 03699,0.979439,-0.301233,0,0.76514,0.979439,10.84
BTB 03791,0.104113,-13.2166,0,2.52528e-38,0.104113,96.06
BTB 03853,0.991102,-0.129886,0,0.89704,0.991102,9.02
BTB 03920,0.970676,-0.433925,0,0.665814,0.970676,10.69
BTB 04022,0.975176,-0.369963,0,0.720088,0.975176,9.94
BTB 04071,1.02345,0.343041,0,0.735712,1.02345,4.85
BTB 04115,0.996415,-0.0531631,0,0.95761,0.996415,7.23
BTB 04181,0.952915,-0.697169,0,0.49295,0.952915,11.3
BTB 04212,1.01115,0.167275,0,0.853964,1.01115,5.36
BTB 04281,1.05054,0.749702,0,0.471356,1.05054,1.37
BTB 04346,0.964903,-0.510756,0,0.643188,0.964903,9.93
BTB 04417,0.966078,-0.500033,0,0.617084,0.966078,9.85
BTB 04487,0.294415,-10.4082,0,8.42824e-25,0.294415,76.89
BTB 04536,1.01109,0.161722,0,0.872368,1.01109,5.59
BTB 04603,0.527395,-6.97754,0,5.41858e-11,0.527395,53.81
BTB 04647,1.0413,0.609431,0,0.542362,1.0413,2.92
BTB 04665,1.04083,0.604219,0,0.549234,1.04083,3.15
BTB 04688,0.969073,-0.457634,0,0.64889,0.969073,10.42
BTB 04722,0.938395,-0.91063,0,0.367106,0.938395,13.69
BTB 04785,0.392955,-8.95568,0,1.38321e-18,0.392955,67.64
BTB 04832,0.986922,-0.192066,0,0.847894,0.986922,9.91
BTB 04862,1.02723,0.400374,0,0.6897,1.02723,6.69
BTB 04891,0.746763,-3.73394,0,0.000190233,0.746763,34.46
BTB 04938,1.05839,0.86185,0,0.389282,1.05839,5.31
BTB 04978,1.07693,1.13358,0,0.2579,1.07693,4.29
BTB 05020,0.506435,-7.2776,0,3.79938e-13,0.506435,58.62
BTB 05047,0.630277,-5.45149,0,5.21122e-08,0.630277,47.27
BTB 05098,0.13105,-12.8219,0,2.92058e-35,0.13105,94
BTB 05123,0.610279,-5.74801,0,9.4383e-09,0.610279,49.57
BTB 05165,0.91631,-1.23686,0,0.223096,0.91631,21.45
BTB 05191,0.948525,-0.757311,0,0.451942,0.948525,18.85
BTB 05197,0.88009,-1.76898,0,0.0771736,0.88009,25.51
BTB 05231,0.410929,-8.68855,0,5.12404e-18,0.410929,68.7
BTB 05265,0.886772,-1.66925,0,0.095262,0.886772,25.42
BTB 05284,1.04324,0.639646,0,0.525896,1.04324,11.22
BTB 05318,1.02551,0.379051,0,0.709266,1.02551,12.72
